date,close,open,high,low,volume
2006-11-01,6312.0,5482.0,6307.0,5367.0,5262339
2006-11-02,7253.0,6782.0,7247.0,6677.0,1682625
2006-11-03,6262.0,7692.0,7858.0,6187.0,3133206
2006-11-06,5897.0,6257.0,6317.0,5847.0,500088
2006-11-07,5447.0,5912.0,6142.0,5186.0,898416
2006-11-08,6237.0,5442.0,6247.0,5402.0,2013878
2006-11-09,5882.0,6077.0,6177.0,5632.0,649359
2006-11-10,6202.0,6022.0,6652.0,6022.0,1627469
2006-11-13,6407.0,6222.0,6522.0,6102.0,631588
2006-11-14,6573.0,6437.0,6567.0,6247.0,582050
2006-11-15,6177.0,6507.0,6652.0,6177.0,509176
2006-11-16,5817.0,6142.0,6257.0,5772.0,359673
2006-11-17,5787.0,5822.0,6022.0,5782.0,347160
2006-11-20,5667.0,5697.0,5842.0,5662.0,184183
2006-11-21,5602.0,5652.0,5772.0,5482.0,213706
2006-11-22,5957.0,5602.0,6042.0,5587.0,313391
2006-11-23,6097.0,5902.0,6092.0,5807.0,204975
2006-11-24,6382.0,6092.0,6427.0,5942.0,477360
2006-11-27,6347.0,6402.0,6402.0,6162.0,189906
2006-11-28,6417.0,6257.0,6677.0,6212.0,478659
2006-11-29,6107.0,6447.0,6472.0,6022.0,248448
2006-11-30,6212.0,6102.0,6392.0,5937.0,229331
2006-12-01,7148.0,6152.0,7142.0,6142.0,2072211
2006-12-04,7478.0,7297.0,7652.0,6997.0,1289086
2006-12-05,7288.0,7357.0,7607.0,7202.0,642535
2006-12-06,8373.0,7297.0,8368.0,7297.0,1657522
2006-12-07,8398.0,8643.0,8823.0,8133.0,1198482
2006-12-08,8528.0,8348.0,8598.0,8048.0,729269
2006-12-11,8113.0,8538.0,8653.0,8073.0,596934
2006-12-12,7513.0,7943.0,8108.0,7332.0,731347
2006-12-13,7983.0,7512.0,7978.0,7452.0,447980
2006-12-14,8088.0,7963.0,8238.0,7883.0,415687
2006-12-15,8433.0,8288.0,8653.0,8108.0,571998
2006-12-18,8323.0,8428.0,8633.0,8253.0,338491
2006-12-19,8758.0,8393.0,9443.0,8273.0,901106
2006-12-20,8673.0,8753.0,9028.0,8583.0,389299
2006-12-21,8898.0,8668.0,8993.0,8608.0,256774
2006-12-22,8888.0,8993.0,9898.0,8358.0,1172376
2006-12-26,8888.0,8883.0,8908.0,8358.0,320222
