date,close,open,high,low,volume
2007-01-30,6125.0,7204.0,8009.0,6123.0,1665522
2007-01-31,5211.0,5875.0,5986.0,5211.0,369385
2007-02-01,5100.0,5192.0,5470.0,4876.0,256271
2007-02-02,4928.0,5094.0,5222.0,4911.0,129965
2007-02-05,4823.0,4943.0,5020.0,4811.0,184939
2007-02-06,4856.0,4970.0,5009.0,4821.0,134741
2007-02-07,4629.0,4866.0,4949.0,4626.0,101838
2007-02-08,4535.0,4656.0,4728.0,4495.0,70784
2007-02-09,4574.0,4506.0,4639.0,4461.0,66196
2007-02-12,4524.0,4506.0,4578.0,4412.0,53791
2007-02-13,4524.0,4600.0,4711.0,4523.0,88298
2007-02-14,4490.0,4523.0,4617.0,4468.0,33204
2007-02-15,4568.0,4488.0,4726.0,4477.0,86509
2007-02-16,4740.0,4633.0,4849.0,4533.0,85171
2007-02-20,4918.0,4744.0,4916.0,4661.0,49790
2007-02-21,5266.0,5016.0,5354.0,4927.0,179330
2007-02-22,5172.0,5272.0,5316.0,5055.0,64017
2007-02-23,4962.0,5081.0,5153.0,4759.0,70043
2007-02-26,5005.0,4861.0,5222.0,4850.0,78953
2007-02-27,4778.0,5110.0,5121.0,4778.0,82413
2007-02-28,4740.0,4489.0,4738.0,4422.0,27770
2007-03-02,4629.0,4738.0,4738.0,4543.0,219462
2007-03-05,4434.0,4651.0,4651.0,4390.0,106166
2007-03-06,4517.0,4483.0,4645.0,4434.0,107134
2007-03-07,4507.0,4555.0,4694.0,4495.0,108170
2007-03-08,4562.0,4507.0,4563.0,4423.0,124331
2007-03-09,4712.0,4572.0,4955.0,4438.0,249494
2007-03-12,5023.0,4749.0,5054.0,4660.0,157197
2007-03-13,5073.0,5087.0,5142.0,4966.0,100195
2007-03-14,5161.0,4959.0,5198.0,4848.0,118045
2007-03-15,5088.0,5154.0,5210.0,5039.0,74432
2007-03-16,5849.0,5707.0,5846.0,5707.0,218590
2007-03-19,6708.0,6706.0,6706.0,6374.0,270138
2007-03-20,6541.0,6955.0,7316.0,6263.0,456788
2007-03-21,7511.0,6707.0,7511.0,6541.0,331720
2007-03-22,8620.0,7871.0,8620.0,7373.0,1044053
2007-03-23,8897.0,8647.0,9867.0,8480.0,1047662
2007-03-26,7567.0,8591.0,8868.0,7566.0,597464
2007-03-27,7650.0,7177.0,8174.0,7177.0,545775
2007-03-28,7373.0,7481.0,7952.0,7176.0,238497
2007-03-29,7567.0,7233.0,7594.0,7038.0,269692
2007-03-30,6846.0,7483.0,7538.0,6486.0,422084
2007-04-02,6985.0,6900.0,7288.0,6734.0,291935
2007-04-03,7400.0,7011.0,7398.0,6872.0,382047
2007-04-04,7428.0,7483.0,7761.0,7263.0,303414
2007-04-05,7650.0,7427.0,7648.0,7288.0,303584
2007-04-06,7152.0,7731.0,7980.0,7094.0,248445
2007-04-09,6597.0,7150.0,7205.0,6540.0,226208
2007-04-10,6514.0,6569.0,6734.0,6291.0,164252
2007-04-11,6680.0,6569.0,6874.0,6486.0,179120
2007-04-12,6569.0,6763.0,6763.0,6458.0,89320
2007-04-13,6735.0,6569.0,6929.0,6430.0,153453
2007-04-16,6680.0,6763.0,6957.0,6652.0,98578
2007-04-17,6708.0,6817.0,6817.0,6596.0,75578
2007-04-18,7705.0,6652.0,7704.0,6457.0,565183
2007-04-19,7290.0,7980.0,8590.0,7150.0,634327
2007-04-20,7290.0,7343.0,7648.0,7066.0,198534
2007-04-23,6680.0,7318.0,7512.0,6569.0,229534
2007-04-24,6791.0,6651.0,6955.0,6651.0,105225
2007-04-25,7207.0,6927.0,7426.0,6816.0,296569
2007-04-26,6652.0,7290.0,7373.0,6652.0,183151
2007-04-27,6624.0,6706.0,6706.0,6456.0,73044
2007-04-30,6209.0,6623.0,6762.0,6208.0,48205
2007-05-02,6236.0,6153.0,6348.0,6015.0,62722
2007-05-03,6486.0,6430.0,6762.0,6347.0,79429
2007-05-04,6708.0,6540.0,7012.0,6540.0,74705
2007-05-07,6708.0,6817.0,6900.0,6540.0,44319
2007-05-08,6708.0,6817.0,6900.0,6569.0,44157
2007-05-09,7428.0,6790.0,7429.0,6707.0,216785
2007-05-10,7400.0,7454.0,7454.0,7066.0,92734
2007-05-11,7318.0,7233.0,7454.0,7037.0,54305
2007-05-14,7068.0,7454.0,7454.0,6789.0,68357
2007-05-15,7013.0,7067.0,7289.0,6846.0,49199
2007-05-16,6874.0,6955.0,7121.0,6817.0,21162
2007-05-17,6735.0,6734.0,6985.0,6624.0,47204
2007-05-18,6763.0,6734.0,6818.0,6597.0,26661
2007-05-21,6708.0,6706.0,6762.0,6596.0,19391
2007-05-22,6763.0,6652.0,7012.0,6652.0,51647
2007-05-23,6597.0,6817.0,6817.0,6485.0,42412
2007-05-25,6348.0,6486.0,6597.0,6347.0,46629
2007-05-28,6431.0,6485.0,6485.0,6319.0,32616
2007-05-29,6319.0,6486.0,6541.0,6319.0,28414
2007-05-30,5960.0,6374.0,6374.0,5819.0,93184
2007-05-31,6153.0,5958.0,6263.0,5958.0,28984
2007-06-01,5960.0,6346.0,6346.0,5958.0,30363
2007-06-04,6099.0,5985.0,6208.0,5930.0,19049
2007-06-05,5987.0,6041.0,6097.0,5875.0,37517
2007-06-07,5821.0,5930.0,5930.0,5818.0,26145
2007-06-08,5932.0,5819.0,5930.0,5542.0,61058
2007-06-11,5876.0,5930.0,5985.0,5818.0,14249
2007-06-12,5876.0,5818.0,5930.0,5735.0,26825
2007-06-13,6182.0,5985.0,6484.0,5985.0,108392
2007-06-14,6403.0,6375.0,6486.0,6043.0,63876
2007-06-15,6403.0,6404.0,6569.0,6291.0,25653
2007-06-18,6597.0,6456.0,6789.0,6263.0,74059
2007-06-19,6458.0,6817.0,6872.0,6457.0,63346
2007-06-20,6209.0,6457.0,6540.0,6208.0,28339
2007-06-21,6431.0,6124.0,6429.0,6013.0,19276
2007-06-22,6153.0,6485.0,6485.0,6124.0,41971
2007-06-25,5876.0,6096.0,6179.0,5874.0,24993
2007-06-26,5682.0,5958.0,5958.0,5680.0,36221
2007-06-27,6514.0,6430.0,6514.0,6430.0,173576
2007-06-28,6431.0,6872.0,7038.0,6402.0,241394
2007-06-29,6319.0,6569.0,6873.0,6263.0,80353
2007-07-02,6486.0,6514.0,6679.0,6374.0,60901
2007-07-03,6735.0,6652.0,6873.0,6541.0,82084
2007-07-04,6708.0,6845.0,6872.0,6402.0,104598
2007-07-05,6624.0,6679.0,6706.0,6456.0,28614
