date,close,open,high,low,volume
2007-10-24,3183.0,3740.0,3913.0,3183.0,1527683
2007-10-25,2711.0,2905.0,2933.0,2709.0,1273273
2007-10-26,2421.0,2600.0,2646.0,2349.0,1085920
2007-10-29,2346.0,2439.0,2585.0,2344.0,861473
2007-10-30,2302.0,2345.0,2494.0,2284.0,650534
2007-10-31,2354.0,2323.0,2367.0,2295.0,366019
2007-11-01,2492.0,2382.0,2520.0,2368.0,425441
2007-11-02,2400.0,2463.0,2544.0,2388.0,291484
2007-11-05,2314.0,2430.0,2473.0,2301.0,157449
2007-11-06,2311.0,2316.0,2417.0,2302.0,151285
2007-11-07,2280.0,2323.0,2341.0,2272.0,156800
2007-11-08,2187.0,2244.0,2256.0,2129.0,197234
2007-11-09,2112.0,2192.0,2204.0,2088.0,108901
2007-11-12,2084.0,2065.0,2094.0,2013.0,101100
2007-11-13,2187.0,2088.0,2319.0,2063.0,221534
2007-11-14,2227.0,2247.0,2302.0,2227.0,107103
2007-11-15,2248.0,2246.0,2252.0,2203.0,67610
2007-11-16,2326.0,2220.0,2387.0,2197.0,197259
2007-11-19,2452.0,2345.0,2457.0,2330.0,186932
2007-11-20,2412.0,2450.0,2450.0,2347.0,158021
2007-11-21,2400.0,2411.0,2440.0,2336.0,128243
2007-11-22,2326.0,2384.0,2384.0,2283.0,127065
2007-11-23,2259.0,2324.0,2336.0,2198.0,81120
2007-11-26,2271.0,2257.0,2327.0,2203.0,47658
2007-11-27,2293.0,2284.0,2324.0,2187.0,90421
2007-11-28,2280.0,2292.0,2335.0,2220.0,91889
2007-11-29,2273.0,2267.0,2342.0,2216.0,44978
2007-11-30,2236.0,2267.0,2267.0,2218.0,49459
2007-12-03,2308.0,2249.0,2352.0,2208.0,66166
2007-12-04,2268.0,2306.0,2306.0,2263.0,11441
2007-12-05,2314.0,2269.0,2341.0,2266.0,62805
2007-12-06,2383.0,2344.0,2387.0,2243.0,97310
2007-12-07,2383.0,2381.0,2404.0,2315.0,85875
2007-12-10,2377.0,2370.0,2411.0,2313.0,64392
2007-12-11,2340.0,2376.0,2414.0,2319.0,33019
2007-12-12,2343.0,2323.0,2378.0,2243.0,36428
2007-12-13,2265.0,2359.0,2359.0,2261.0,60890
2007-12-14,2291.0,2263.0,2378.0,2263.0,38797
2007-12-17,2256.0,2290.0,2302.0,2216.0,43387
2007-12-18,2225.0,2203.0,2243.0,2203.0,12870
2007-12-20,2302.0,2244.0,2324.0,2192.0,37355
2007-12-21,2273.0,2302.0,2302.0,2216.0,8954
2007-12-24,2239.0,2244.0,2322.0,2233.0,46833
2007-12-26,2199.0,2287.0,2287.0,2195.0,61821
2007-12-27,2205.0,2186.0,2240.0,2116.0,15447
2007-12-28,2245.0,2275.0,2275.0,2102.0,13979
2008-01-02,2245.0,2243.0,2301.0,2186.0,12664
2008-01-03,2196.0,2203.0,2292.0,2154.0,13667
2008-01-04,2199.0,2195.0,2244.0,2158.0,56098
2008-01-07,2187.0,2198.0,2198.0,2143.0,52653
2008-01-08,2139.0,2157.0,2223.0,2136.0,8868
2008-01-09,2139.0,2180.0,2180.0,2085.0,17758
2008-01-10,2170.0,2137.0,2244.0,2103.0,33052
2008-01-11,2207.0,2290.0,2290.0,2169.0,12677
2008-01-14,2199.0,2103.0,2238.0,2103.0,13664
2008-01-15,2227.0,2198.0,2244.0,2135.0,24834
2008-01-16,2222.0,2215.0,2439.0,2148.0,117591
2008-01-17,2144.0,2227.0,2267.0,2143.0,65895
2008-01-18,2152.0,2143.0,2209.0,2051.0,16754
2008-01-21,2055.0,2162.0,2174.0,1840.0,23610
2008-01-22,1934.0,1929.0,2162.0,1883.0,14286
2008-01-23,2009.0,1966.0,2070.0,1932.0,5352
2008-01-24,2015.0,2070.0,2070.0,1978.0,7780
2008-01-25,1977.0,2031.0,2112.0,1976.0,8418
2008-01-28,1951.0,1973.0,2001.0,1904.0,6706
2008-01-29,1951.0,2001.0,2001.0,1904.0,13300
2008-01-30,1888.0,2000.0,2000.0,1887.0,7198
2008-01-31,1899.0,1887.0,1916.0,1818.0,9520
2008-02-01,2020.0,1930.0,2063.0,1916.0,44149
2008-02-04,2011.0,2126.0,2126.0,1991.0,3692
2008-02-05,2044.0,1970.0,2059.0,1935.0,54655
2008-02-11,1980.0,2010.0,2010.0,1935.0,6474
2008-02-12,2015.0,1978.0,2030.0,1978.0,35417
2008-02-13,2011.0,2054.0,2054.0,1945.0,21538
2008-02-14,2015.0,2010.0,2019.0,2010.0,1209
2008-02-15,1971.0,1985.0,2014.0,1956.0,4774
2008-02-18,1974.0,2014.0,2014.0,1962.0,5682
2008-02-19,1974.0,2014.0,2014.0,1959.0,3055
2008-02-20,1963.0,2010.0,2010.0,1926.0,18263
2008-02-21,1969.0,1975.0,1975.0,1966.0,1953
2008-02-22,1957.0,1945.0,1967.0,1930.0,4780
2008-02-25,1951.0,1932.0,1984.0,1915.0,8689
2008-02-26,1920.0,1929.0,1961.0,1892.0,9033
2008-02-27,1923.0,1898.0,2131.0,1892.0,11302
2008-02-28,1899.0,1899.0,1939.0,1876.0,5613
2008-02-29,1948.0,1873.0,1967.0,1873.0,6617
2008-03-03,1954.0,1947.0,2005.0,1913.0,6193
2008-03-04,2003.0,1925.0,2005.0,1925.0,11371
2008-03-05,2003.0,2014.0,2014.0,1965.0,6102
2008-03-06,2015.0,2013.0,2070.0,1984.0,6512
2008-03-07,1991.0,1991.0,2046.0,1991.0,3877
2008-03-10,1989.0,2036.0,2036.0,1938.0,4392
2008-03-11,1998.0,1995.0,1995.0,1935.0,1598
2008-03-12,1957.0,2066.0,2066.0,1956.0,3414
2008-03-13,1989.0,1944.0,2013.0,1929.0,9114
2008-03-14,2006.0,2013.0,2013.0,1961.0,19045
2008-03-17,1951.0,2004.0,2004.0,1949.0,12724
