date,close,open,high,low,volume
2008-05-20,10194.0,11982.0,12371.0,10192.0,548229
2008-05-21,9649.0,9336.0,10690.0,9087.0,605389
2008-05-22,11096.0,9849.0,11094.0,9211.0,404253
2008-05-23,10893.0,11359.0,12137.0,10519.0,642590
2008-05-26,10412.0,10986.0,11484.0,10332.0,157893
2008-05-27,9991.0,10550.0,10627.0,9943.0,146932
2008-05-28,9773.0,9959.0,10409.0,9647.0,104431
2008-05-29,9820.0,9866.0,10145.0,9616.0,106066
2008-05-30,9742.0,10005.0,10145.0,9647.0,134660
2008-06-02,9058.0,9664.0,9740.0,9056.0,120979
2008-06-03,9073.0,8962.0,9351.0,8838.0,99279
2008-06-04,9073.0,9180.0,9258.0,8915.0,63328
2008-06-05,9027.0,9056.0,9429.0,9009.0,95929
2008-06-09,8264.0,8714.0,8714.0,8138.0,98188
2008-06-10,7642.0,8247.0,8371.0,7406.0,140600
2008-06-11,7843.0,7780.0,7857.0,7422.0,55091
2008-06-12,7547.0,7780.0,7780.0,7453.0,32027
2008-06-13,7517.0,7625.0,7764.0,7328.0,45417
2008-06-16,7377.0,7702.0,7702.0,7266.0,39899
2008-06-17,7221.0,7374.0,7406.0,7033.0,59254
2008-06-18,7314.0,7126.0,7313.0,6970.0,79360
2008-06-19,7750.0,7328.0,7779.0,7313.0,114510
2008-06-20,7750.0,7873.0,8153.0,7499.0,87680
2008-06-23,7673.0,7779.0,7779.0,7515.0,86297
2008-06-24,7625.0,7671.0,7842.0,7188.0,58219
2008-06-25,7470.0,7640.0,7640.0,7157.0,32097
2008-06-26,7377.0,7484.0,7561.0,7282.0,15946
2008-06-27,6863.0,7001.0,7142.0,6784.0,54979
2008-06-30,6614.0,6846.0,6846.0,6550.0,34836
2008-07-01,6241.0,6410.0,6628.0,6099.0,55498
2008-07-02,6272.0,6301.0,6815.0,6177.0,97844
2008-07-03,5913.0,6146.0,6223.0,5600.0,54640
2008-07-04,6023.0,5928.0,6146.0,5881.0,49405
2008-07-07,6116.0,6021.0,6208.0,5757.0,41691
2008-07-08,5913.0,6130.0,6208.0,5445.0,41675
2008-07-09,5307.0,5990.0,6068.0,5305.0,57634
2008-07-10,5540.0,5103.0,5539.0,5103.0,54941
2008-07-11,5478.0,5508.0,5726.0,5368.0,40688
2008-07-14,5851.0,5477.0,6192.0,5368.0,147283
2008-07-15,5478.0,5819.0,5897.0,5414.0,35747
2008-07-16,5695.0,5539.0,5757.0,5492.0,41388
2008-07-17,5743.0,5881.0,5881.0,5678.0,37503
2008-07-18,5727.0,5881.0,5881.0,5570.0,59706
2008-07-21,5727.0,5710.0,5850.0,5710.0,30775
2008-07-22,5447.0,5726.0,5741.0,5368.0,55898
2008-07-23,5790.0,5757.0,6083.0,5710.0,373286
2008-07-24,5821.0,5788.0,6099.0,5663.0,191325
2008-07-25,5525.0,5678.0,5710.0,5522.0,97262
2008-07-28,5540.0,5585.0,5600.0,5336.0,58942
2008-07-29,5571.0,5445.0,5647.0,5382.0,45001
2008-07-30,5976.0,5647.0,5990.0,5647.0,164657
2008-07-31,5898.0,6037.0,6052.0,5835.0,95943
2008-08-01,5883.0,5850.0,5974.0,5835.0,91095
2008-08-04,5603.0,5928.0,5960.0,5461.0,56049
2008-08-05,5618.0,5522.0,5990.0,5508.0,163773
2008-08-06,5509.0,5741.0,5819.0,5461.0,67407
2008-08-07,5369.0,5522.0,5570.0,5258.0,63256
2008-08-08,5245.0,5289.0,5352.0,5227.0,56024
