date,close,open,high,low,volume
2007-07-02,21187.0,18423.0,21187.0,18423.0,10024
2007-07-03,24353.0,24352.0,24352.0,24352.0,619
2007-07-04,28004.0,28003.0,28003.0,28003.0,587
2007-07-05,32191.0,32189.0,32189.0,32189.0,15922
2007-07-06,37014.0,37014.0,37014.0,37014.0,154621
2007-07-09,38187.0,35840.0,41602.0,33998.0,311273
2007-07-10,36009.0,37516.0,38689.0,34920.0,105847
2007-07-11,36043.0,36008.0,39307.0,35623.0,111679
2007-07-12,34670.0,36226.0,37013.0,34669.0,35294
2007-07-13,33497.0,34921.0,35474.0,33497.0,55011
2007-07-16,32995.0,33831.0,33915.0,32725.0,25368
2007-07-18,33497.0,33832.0,34083.0,32659.0,30876
2007-07-19,33464.0,33496.0,33496.0,32273.0,21831
2007-07-20,33179.0,33345.0,33864.0,32993.0,15733
2007-07-23,34971.0,33497.0,36512.0,33446.0,41421
2007-07-24,34335.0,35506.0,35673.0,34166.0,9853
2007-07-25,33665.0,34133.0,34133.0,33127.0,19922
2007-07-26,33497.0,33832.0,33949.0,33447.0,8066
2007-07-27,31822.0,32961.0,32961.0,31353.0,22030
2007-07-30,31822.0,32157.0,32810.0,31571.0,8758
2007-07-31,31822.0,32157.0,32308.0,31437.0,9858
2007-08-01,29980.0,31822.0,31822.0,29829.0,8831
2007-08-02,29478.0,30213.0,30431.0,28974.0,5896
2007-08-03,29561.0,29325.0,30314.0,29325.0,10548
2007-08-06,28908.0,28640.0,29193.0,28405.0,5509
2007-08-07,29092.0,29191.0,29310.0,28908.0,5751
2007-08-08,31152.0,29159.0,31738.0,29159.0,8414
2007-08-09,31286.0,31018.0,31721.0,31018.0,2414
2007-08-10,30399.0,30984.0,31168.0,30163.0,3701
2007-08-13,30298.0,30968.0,30968.0,30147.0,2517
2007-08-14,29645.0,30482.0,30482.0,29141.0,6843
2007-08-16,26798.0,28806.0,28806.0,25205.0,19812
2007-08-17,23967.0,27299.0,27299.0,23950.0,21667
2007-08-20,24955.0,25122.0,26044.0,24787.0,12283
2007-08-21,24905.0,24955.0,25793.0,24838.0,7093
2007-08-22,24738.0,24871.0,25139.0,24737.0,11601
2007-08-23,26295.0,25122.0,26378.0,25122.0,14279
2007-08-24,26882.0,25976.0,28053.0,25976.0,11232
2007-08-27,26748.0,27802.0,27802.0,26461.0,10527
2007-08-28,26965.0,26965.0,27266.0,26714.0,6559
2007-08-29,26781.0,26044.0,26781.0,25374.0,4904
2007-08-30,27635.0,27099.0,28288.0,26965.0,13267
2007-08-31,28054.0,27634.0,28253.0,27131.0,16120
2007-09-03,27183.0,28087.0,28171.0,27183.0,6819
2007-09-04,26212.0,27182.0,27216.0,26126.0,16381
2007-09-05,25843.0,26262.0,26748.0,24871.0,28084
2007-09-06,25810.0,25456.0,25909.0,25289.0,8250
2007-09-07,25810.0,25809.0,26613.0,25708.0,12418
2007-09-10,25475.0,25624.0,25809.0,24786.0,8715
2007-09-11,25274.0,25474.0,25708.0,24987.0,8172
2007-09-12,23867.0,24619.0,25188.0,23447.0,16753
2007-09-13,23214.0,23531.0,24167.0,22693.0,17222
2007-09-14,23214.0,23447.0,24033.0,23179.0,13482
2007-09-17,22795.0,23279.0,23782.0,22793.0,11510
2007-09-18,23934.0,22944.0,24100.0,22107.0,51800
2007-09-19,24687.0,24704.0,24704.0,23699.0,13918
2007-09-20,25123.0,25540.0,25540.0,24987.0,21923
2007-09-21,28272.0,25775.0,28807.0,25624.0,49285
2007-09-27,27334.0,28957.0,28957.0,27081.0,16686
2007-09-28,27417.0,27635.0,27635.0,26462.0,9539
2007-10-01,26965.0,27584.0,27584.0,26580.0,13619
2007-10-02,26597.0,26997.0,27198.0,26461.0,10319
2007-10-04,26128.0,26679.0,27131.0,26126.0,16889
2007-10-05,26044.0,26195.0,26413.0,25457.0,12223
2007-10-08,25357.0,26127.0,26295.0,25156.0,11879
2007-10-09,25709.0,25240.0,26295.0,25223.0,15759
2007-10-10,27970.0,26295.0,28272.0,25960.0,31961
2007-10-11,28305.0,28288.0,28506.0,27300.0,22109
2007-10-12,28054.0,28304.0,28438.0,27550.0,15197
2007-10-15,28891.0,28238.0,29326.0,28153.0,34971
2007-10-16,27133.0,28806.0,28806.0,27031.0,24438
2007-10-17,26463.0,26880.0,27232.0,25490.0,15145
2007-10-18,25977.0,26463.0,26798.0,25960.0,8064
2007-10-19,25324.0,26059.0,26327.0,25322.0,11423
2007-10-22,24955.0,23531.0,24953.0,23531.0,8666
2007-10-23,25274.0,25792.0,25792.0,25004.0,11565
2007-10-24,26128.0,25138.0,26562.0,25138.0,26013
2007-10-25,30047.0,27550.0,30045.0,26796.0,66224
2007-10-26,26630.0,29963.0,29980.0,26546.0,73081
2007-10-29,27300.0,27216.0,27918.0,26965.0,25125
2007-10-30,26178.0,27083.0,27417.0,26044.0,15410
2007-10-31,27016.0,26177.0,27333.0,26177.0,24511
2007-11-01,27133.0,27299.0,27550.0,26796.0,12514
2007-11-02,27133.0,26059.0,27131.0,26059.0,12405
2007-11-05,27468.0,27969.0,28137.0,27215.0,12395
2007-11-06,26429.0,27382.0,27651.0,26362.0,13247
2007-11-07,27401.0,26495.0,27416.0,26294.0,14706
2007-11-08,27300.0,26797.0,27970.0,26697.0,28100
2007-11-09,31350.0,30850.0,31350.0,30600.0,30061
2007-11-12,29550.0,31800.0,33950.0,27550.0,86923
2007-11-13,27700.0,28250.0,29100.0,27000.0,18160
2007-11-14,27150.0,28300.0,28800.0,27150.0,14476
2007-11-15,25350.0,26350.0,26900.0,25000.0,23958
2007-11-16,24325.0,25100.0,25100.0,24075.0,16161
2007-11-19,25900.0,24350.0,26199.0,24350.0,12807
2007-11-20,26250.0,25450.0,26450.0,24674.0,8779
2007-11-21,25000.0,25750.0,26550.0,25000.0,10478
2007-11-22,24950.0,25000.0,26200.0,24850.0,9271
2007-11-23,24000.0,24950.0,25750.0,23700.0,14330
2007-11-26,24000.0,24300.0,24425.0,23550.0,15491
2007-11-27,25000.0,24400.0,25250.0,23950.0,21768
2007-11-28,24400.0,25150.0,25600.0,24025.0,8711
2007-11-29,24900.0,24975.0,24975.0,24198.0,12252
2007-11-30,25750.0,24750.0,25850.0,24575.0,9161
2007-12-03,24850.0,25450.0,25500.0,24800.0,8014
2007-12-04,24375.0,24500.0,24875.0,24350.0,9423
2007-12-05,23425.0,23750.0,23975.0,22998.0,86757
2007-12-06,24150.0,23250.0,24550.0,22750.0,70565
2007-12-07,23575.0,24025.0,24075.0,23224.0,20479
2007-12-10,22550.0,23250.0,23275.0,22500.0,33187
2007-12-11,21875.0,22600.0,23325.0,21875.0,24891
2007-12-12,21400.0,21100.0,21700.0,20900.0,24863
2007-12-13,20875.0,21075.0,21400.0,20400.0,43671
2007-12-14,20425.0,20950.0,21150.0,20000.0,41579
2007-12-17,18800.0,20100.0,20400.0,18625.0,60042
2007-12-18,18875.0,18425.0,20000.0,18000.0,63169
2007-12-20,17775.0,19000.0,19450.0,17775.0,55849
2007-12-21,18100.0,17775.0,18200.0,17350.0,24760
2007-12-24,18575.0,18100.0,18675.0,17750.0,31764
2007-12-26,18500.0,19150.0,19175.0,18500.0,27100
2007-12-27,18200.0,18350.0,18700.0,17850.0,26266
2007-12-28,18600.0,17875.0,18600.0,17875.0,14505
2008-01-02,18125.0,18750.0,18750.0,18000.0,20785
2008-01-03,18200.0,17775.0,18225.0,17675.0,16668
2008-01-04,18000.0,18400.0,18400.0,17650.0,17376
2008-01-07,17225.0,17400.0,17600.0,17200.0,21070
2008-01-08,17200.0,17350.0,17625.0,17175.0,10634
2008-01-09,16650.0,16725.0,17150.0,16600.0,26888
2008-01-10,16325.0,16700.0,16850.0,16225.0,276078
