date,close,open,high,low,volume
2025-01-24,10800.0,14020.0,14440.0,10570.0,3254006
2025-01-31,11320.0,11350.0,12310.0,11010.0,1299253
2025-02-03,13380.0,11270.0,14400.0,10710.0,3852155
2025-02-04,13050.0,12880.0,14810.0,12660.0,2183888
2025-02-05,12570.0,13380.0,13610.0,12540.0,417832
2025-02-06,12220.0,12800.0,13140.0,11950.0,221570
2025-02-07,13080.0,12070.0,13580.0,11900.0,543376
2025-02-10,17000.0,13410.0,17000.0,13410.0,2110683
2025-02-11,16710.0,17930.0,18160.0,16570.0,1374061
2025-02-12,15650.0,16430.0,17420.0,15500.0,712141
2025-02-13,15180.0,16240.0,16360.0,15060.0,369841
2025-02-14,14530.0,15200.0,15350.0,13900.0,379734
2025-02-17,14750.0,14370.0,15140.0,14300.0,199350
2025-02-18,15140.0,15000.0,15720.0,13990.0,574368
2025-02-19,14690.0,15380.0,15480.0,14620.0,221329
2025-02-20,14400.0,14920.0,15090.0,14310.0,148900
2025-02-21,14050.0,14410.0,14480.0,13950.0,120140
2025-02-24,13180.0,13800.0,13800.0,13170.0,128273
2025-02-25,13280.0,13050.0,13500.0,12750.0,100228
2025-02-26,12950.0,13210.0,13270.0,12930.0,62337
2025-02-27,12630.0,12970.0,13280.0,12560.0,70039
2025-02-28,12000.0,12340.0,12380.0,11200.0,200679
2025-03-04,11330.0,11600.0,11990.0,11160.0,152882
2025-03-05,11790.0,11470.0,11800.0,11250.0,112141
2025-03-06,11580.0,11910.0,12030.0,11470.0,83897
2025-03-07,11400.0,11500.0,11800.0,11290.0,62898
2025-03-10,11560.0,11490.0,11950.0,11200.0,74529
2025-03-11,11250.0,11150.0,11290.0,10970.0,76498
2025-03-12,11520.0,11300.0,11890.0,11100.0,102725
2025-03-13,11260.0,11700.0,12020.0,11260.0,74830
2025-03-14,11400.0,11260.0,11530.0,11250.0,36809
2025-03-17,11610.0,11590.0,11850.0,11400.0,46985
2025-03-18,11420.0,11800.0,11830.0,11380.0,61424
2025-03-19,11790.0,11370.0,11890.0,11370.0,70641
2025-03-20,11520.0,11870.0,11870.0,11350.0,43871
2025-03-21,11150.0,11520.0,11550.0,11150.0,44771
2025-03-24,10940.0,11290.0,11290.0,10920.0,35081
2025-03-25,10620.0,11000.0,11090.0,10430.0,77270
2025-03-26,10780.0,10650.0,10980.0,10550.0,38373
2025-03-27,10180.0,10540.0,10940.0,10130.0,88015
2025-03-28,10140.0,10180.0,10250.0,10010.0,37822
2025-03-31,9910.0,9870.0,10030.0,9300.0,33245
2025-04-01,10200.0,10050.0,10210.0,9950.0,31643
2025-04-02,9900.0,10350.0,10350.0,9765.0,36176
2025-04-03,10110.0,9820.0,10340.0,9630.0,54887
2025-04-04,10090.0,9900.0,10190.0,9800.0,40474
2025-04-07,9850.0,9940.0,10840.0,9350.0,183796
2025-04-08,12030.0,10030.0,12090.0,9910.0,961842
2025-04-09,11900.0,12460.0,13200.0,11120.0,1555884
2025-04-10,12720.0,12290.0,13510.0,12000.0,1649746
2025-04-11,12310.0,12700.0,13110.0,12170.0,429808
2025-04-14,14990.0,12800.0,16000.0,12590.0,4301560
2025-04-15,16220.0,15090.0,18410.0,14690.0,6456690
2025-04-16,16230.0,16280.0,16700.0,15920.0,1198647
2025-04-17,15930.0,16790.0,16800.0,15750.0,1049890
2025-04-18,15250.0,15750.0,15750.0,14930.0,427659
2025-04-21,16100.0,15310.0,16940.0,15040.0,2062933
2025-04-22,14910.0,15810.0,16100.0,14500.0,434124
2025-04-23,14410.0,15060.0,15120.0,14380.0,238985
2025-04-24,13920.0,14490.0,14830.0,13820.0,308657
2025-04-25,13920.0,14040.0,14350.0,13900.0,159704
2025-04-28,13160.0,13380.0,13950.0,13050.0,168896
2025-04-29,13480.0,13180.0,13660.0,13160.0,120437
2025-04-30,13020.0,13480.0,13710.0,12900.0,112068
2025-05-02,12780.0,12890.0,13090.0,12590.0,86632
2025-05-07,13330.0,12740.0,13540.0,12680.0,127077
2025-05-08,13960.0,13450.0,14900.0,13090.0,1318659
2025-05-09,14280.0,13910.0,14650.0,13350.0,542130
2025-05-12,14050.0,14420.0,14520.0,13870.0,297218
2025-05-13,13630.0,14200.0,14700.0,13620.0,243248
2025-05-14,13630.0,13870.0,14490.0,13550.0,314565
2025-05-15,13290.0,13560.0,14070.0,12800.0,125719
2025-05-16,12820.0,13200.0,13210.0,12810.0,105067
2025-05-19,12840.0,12650.0,12930.0,12650.0,82118
2025-05-20,12690.0,12740.0,13060.0,12650.0,82760
2025-05-21,12690.0,12690.0,12890.0,12630.0,68291
2025-05-22,12050.0,12690.0,12710.0,12050.0,92560
2025-05-23,11900.0,11970.0,12210.0,11900.0,57249
2025-05-26,12130.0,11740.0,12270.0,11740.0,49931
2025-05-27,12420.0,12280.0,12470.0,12140.0,57280
2025-05-28,12490.0,12450.0,12610.0,12010.0,53925
2025-05-29,12670.0,12440.0,12770.0,12440.0,44673
2025-05-30,12600.0,12670.0,12710.0,12460.0,51743
2025-06-02,13440.0,12720.0,13580.0,12480.0,199927
2025-06-04,15490.0,14120.0,16600.0,14120.0,3564490
2025-06-05,15930.0,15490.0,15950.0,15260.0,883231
2025-06-09,19200.0,16470.0,19990.0,16360.0,3098350
2025-06-10,19250.0,19200.0,19690.0,18620.0,792941
2025-06-11,19100.0,19050.0,19380.0,18570.0,574514
2025-06-12,17120.0,18970.0,18970.0,17040.0,705324
2025-06-13,17800.0,17300.0,18360.0,16550.0,835148
2025-06-16,17720.0,18010.0,18010.0,17150.0,354041
2025-06-17,17750.0,18100.0,18430.0,17060.0,688577
2025-06-18,18760.0,17680.0,20200.0,17220.0,5865254
2025-06-19,18250.0,18830.0,18920.0,17750.0,841449
2025-06-20,16670.0,18200.0,18200.0,16600.0,739695
2025-06-23,17060.0,16310.0,17420.0,16200.0,550304
2025-06-24,17530.0,17340.0,17700.0,16930.0,332652
2025-06-25,17000.0,17540.0,17600.0,16170.0,295606
2025-06-26,16150.0,16810.0,17000.0,15660.0,366818
2025-06-27,15920.0,16250.0,16400.0,15790.0,145675
2025-06-30,15730.0,16950.0,17430.0,15700.0,339623
2025-07-01,15770.0,15980.0,16100.0,15550.0,84954
2025-07-02,15310.0,15810.0,15850.0,14550.0,111989
2025-07-03,15200.0,15250.0,15400.0,15090.0,75109
2025-07-04,14980.0,15210.0,15310.0,14930.0,52839
2025-07-07,15230.0,15130.0,15330.0,14980.0,49042
2025-07-08,15360.0,15000.0,15410.0,15000.0,43932
2025-07-09,15700.0,15370.0,15700.0,15100.0,73568
2025-07-10,15950.0,16010.0,16150.0,15680.0,60752
2025-07-11,15600.0,15980.0,15980.0,15420.0,53538
2025-07-14,15060.0,15400.0,15460.0,15020.0,48855
