date,close,open,high,low,volume
2007-12-17,1214.0,1427.0,1577.0,1214.0,4754302
2007-12-18,1110.0,1116.0,1175.0,1036.0,2377233
2007-12-20,1056.0,1142.0,1207.0,1056.0,860647
2007-12-21,979.0,1027.0,1081.0,977.0,509354
2007-12-24,991.0,969.0,1046.0,969.0,493194
2007-12-26,994.0,1012.0,1031.0,994.0,218743
2007-12-27,957.0,985.0,999.0,937.0,303602
2007-12-28,971.0,945.0,980.0,945.0,122067
2008-01-02,957.0,974.0,985.0,953.0,94703
2008-01-03,932.0,943.0,947.0,920.0,165224
2008-01-04,988.0,933.0,1011.0,930.0,238165
2008-01-07,1014.0,969.0,1108.0,969.0,631202
2008-01-08,1003.0,1024.0,1073.0,995.0,179127
2008-01-09,988.0,989.0,1016.0,979.0,92685
2008-01-10,988.0,992.0,1024.0,982.0,84787
2008-01-11,972.0,1007.0,1007.0,972.0,110367
2008-01-14,952.0,972.0,984.0,952.0,83237
2008-01-15,957.0,955.0,970.0,942.0,107674
2008-01-16,959.0,960.0,990.0,933.0,107024
2008-01-17,1033.0,970.0,1064.0,960.0,237404
2008-01-18,1033.0,1005.0,1042.0,990.0,99956
2008-01-21,1016.0,1032.0,1073.0,1012.0,173639
2008-01-22,935.0,938.0,989.0,873.0,157405
2008-01-23,964.0,953.0,980.0,948.0,57111
2008-01-24,984.0,999.0,999.0,965.0,41408
2008-01-25,1008.0,990.0,1066.0,985.0,174431
2008-01-28,988.0,1007.0,1007.0,975.0,62092
2008-01-29,974.0,1004.0,1004.0,969.0,75205
2008-01-30,947.0,987.0,995.0,947.0,67514
2008-01-31,949.0,948.0,965.0,942.0,19175
2008-02-01,952.0,943.0,982.0,943.0,31732
2008-02-04,976.0,960.0,979.0,957.0,27138
2008-02-05,976.0,982.0,990.0,958.0,22072
2008-02-11,956.0,975.0,975.0,943.0,15383
2008-02-12,966.0,950.0,980.0,950.0,19313
2008-02-13,956.0,974.0,975.0,953.0,46343
2008-02-14,1016.0,965.0,1049.0,955.0,158582
2008-02-15,1117.0,1016.0,1153.0,1000.0,871276
2008-02-18,1071.0,1121.0,1125.0,1051.0,276233
2008-02-19,1068.0,1067.0,1098.0,1046.0,192387
2008-02-20,1019.0,1068.0,1100.0,1019.0,170769
2008-02-21,1041.0,1032.0,1067.0,1032.0,94443
2008-02-22,1040.0,1027.0,1049.0,1016.0,54566
2008-02-25,1070.0,1066.0,1088.0,1059.0,98407
2008-02-26,1070.0,1083.0,1091.0,1051.0,39695
2008-02-27,1125.0,1069.0,1146.0,1066.0,238586
2008-02-28,1142.0,1113.0,1190.0,1100.0,290184
