date,close,open,high,low,volume
2007-11-20,3527.0,3066.0,3526.0,2893.0,931725
2007-11-21,4053.0,4053.0,4053.0,4053.0,17772
2007-11-22,4660.0,4660.0,4660.0,4080.0,2715441
2007-11-23,3967.0,4800.0,4920.0,3966.0,1223378
2007-11-26,3413.0,3833.0,3946.0,3373.0,617806
2007-11-27,3190.0,3373.0,3520.0,3036.0,370141
2007-11-28,3153.0,3190.0,3300.0,2966.0,229917
2007-11-29,3027.0,3086.0,3200.0,2966.0,172899
2007-11-30,3067.0,3020.0,3106.0,2866.0,172816
2007-12-03,3227.0,3026.0,3440.0,3020.0,187857
2007-12-04,3177.0,3210.0,3286.0,3133.0,54112
2007-12-05,3200.0,3200.0,3233.0,3053.0,72778
2007-12-06,3230.0,3230.0,3236.0,3133.0,53171
2007-12-07,3133.0,3373.0,3373.0,3103.0,32751
2007-12-10,3107.0,3133.0,3133.0,2980.0,15616
2007-12-11,2930.0,3106.0,3106.0,2913.0,89866
2007-12-12,2933.0,2933.0,2970.0,2833.0,45458
2007-12-13,2950.0,2880.0,3106.0,2880.0,39337
2007-12-14,3013.0,2956.0,3100.0,2956.0,34509
2007-12-17,3013.0,3016.0,3173.0,2973.0,73805
2007-12-18,2980.0,3013.0,3086.0,2920.0,31269
2007-12-20,2933.0,2913.0,3056.0,2913.0,31860
2007-12-21,2870.0,2933.0,3000.0,2866.0,34524
2007-12-24,2897.0,2960.0,2960.0,2860.0,20742
2007-12-26,2947.0,2876.0,2960.0,2863.0,42070
2007-12-27,2987.0,2963.0,2986.0,2910.0,17426
2007-12-28,3047.0,3050.0,3200.0,2936.0,58588
2008-01-02,3133.0,3046.0,3163.0,3046.0,11056
2008-01-03,3133.0,3180.0,3180.0,2960.0,30890
2008-01-04,3203.0,3133.0,3300.0,3023.0,43645
2008-01-07,3263.0,3203.0,3426.0,3203.0,31943
2008-01-08,3267.0,3393.0,3393.0,3200.0,11046
2008-01-09,3253.0,3333.0,3333.0,3176.0,9895
2008-01-10,3433.0,3200.0,3533.0,3200.0,59650
2008-01-11,3567.0,3593.0,3826.0,3400.0,75469
2008-01-14,3580.0,3546.0,3613.0,3400.0,16829
2008-01-15,3580.0,3533.0,3673.0,3466.0,12766
2008-01-16,3733.0,3666.0,3866.0,3513.0,37770
2008-01-17,3833.0,3866.0,3866.0,3566.0,41811
2008-01-18,3700.0,3893.0,3893.0,3666.0,25187
2008-01-21,3600.0,3733.0,3733.0,3533.0,24390
2008-01-22,3393.0,3506.0,3506.0,3226.0,41640
2008-01-23,3387.0,3393.0,3466.0,3213.0,72287
2008-01-24,3333.0,3573.0,3573.0,3230.0,87808
2008-01-25,3553.0,3460.0,3666.0,3333.0,79189
2008-01-28,3633.0,3933.0,3933.0,3566.0,84729
2008-01-29,3800.0,3600.0,3833.0,3600.0,74108
2008-01-30,3800.0,3800.0,3900.0,3713.0,41543
2008-01-31,4367.0,3800.0,4366.0,3733.0,181385
2008-02-01,4420.0,4466.0,4640.0,4200.0,152306
2008-02-04,4393.0,4426.0,4653.0,4046.0,101106
2008-02-05,4260.0,4300.0,4560.0,4200.0,55333
2008-02-11,4267.0,4246.0,4266.0,4093.0,32407
2008-02-12,4333.0,4186.0,4400.0,4186.0,48125
2008-02-13,4367.0,4313.0,4466.0,4313.0,54797
2008-02-14,4220.0,4313.0,4393.0,4220.0,48968
2008-02-15,4093.0,4266.0,4320.0,4093.0,41078
2008-02-18,4100.0,4040.0,4266.0,4000.0,65549
2008-02-19,4100.0,4080.0,4466.0,4006.0,111070
2008-02-20,4000.0,4100.0,4166.0,3880.0,52979
2008-02-21,3947.0,3933.0,4066.0,3893.0,18472
2008-02-22,3893.0,3813.0,3993.0,3786.0,32876
2008-02-25,3800.0,3800.0,3920.0,3786.0,36016
2008-02-26,3907.0,3860.0,3933.0,3686.0,26998
2008-02-27,3860.0,3833.0,3926.0,3800.0,18564
2008-02-28,4053.0,3866.0,4233.0,3766.0,49419
2008-02-29,4000.0,4120.0,4126.0,3973.0,19932
2008-03-03,3933.0,3900.0,3966.0,3733.0,5742
2008-03-04,3867.0,3846.0,4000.0,3826.0,5427
2008-03-05,3867.0,3866.0,3926.0,3746.0,6372
2008-03-06,3747.0,3800.0,3866.0,3673.0,34203
2008-03-07,3800.0,3746.0,3826.0,3666.0,14720
2008-03-10,3600.0,3866.0,3866.0,3600.0,14190
2008-03-11,3653.0,3566.0,3780.0,3533.0,18655
2008-03-12,3773.0,3740.0,4046.0,3693.0,11566
2008-03-13,3760.0,3820.0,3820.0,3620.0,20973
2008-03-14,3673.0,3760.0,3920.0,3673.0,38413
2008-03-17,3707.0,3766.0,3786.0,3600.0,25875
2008-03-18,3820.0,3620.0,3826.0,3620.0,34235
2008-03-19,3827.0,3986.0,4066.0,3826.0,119428
2008-03-20,3867.0,3760.0,3926.0,3760.0,26354
2008-03-21,4047.0,3993.0,4046.0,3920.0,38594
2008-03-24,4027.0,4073.0,4100.0,3980.0,23811
2008-03-25,4000.0,4133.0,4133.0,3980.0,24273
2008-03-26,3967.0,4000.0,4000.0,3920.0,21797
2008-03-27,3920.0,4000.0,4000.0,3800.0,11081
2008-03-28,3933.0,3920.0,4000.0,3860.0,22302
2008-03-31,3953.0,3960.0,3960.0,3853.0,14905
2008-04-01,3973.0,3966.0,3980.0,3900.0,36863
2008-04-02,3987.0,4020.0,4033.0,3926.0,21254
2008-04-03,4333.0,4000.0,4433.0,3980.0,118723
2008-04-04,4267.0,4333.0,4333.0,4166.0,11973
2008-04-07,4333.0,4266.0,4500.0,4180.0,40883
2008-04-08,4333.0,4326.0,4400.0,4253.0,19354
2008-04-10,4387.0,4346.0,4526.0,4339.0,39273
2008-04-11,4320.0,4433.0,4433.0,4286.0,11899
2008-04-14,4193.0,4266.0,4286.0,4133.0,12030
2008-04-15,4200.0,4193.0,4266.0,4133.0,35215
2008-04-16,4233.0,4266.0,4266.0,4066.0,43779
2008-04-17,3973.0,4200.0,4200.0,3966.0,29561
2008-04-18,3887.0,4000.0,4080.0,3826.0,47816
2008-04-21,3767.0,3886.0,3920.0,3766.0,44450
2008-04-22,3767.0,3766.0,3793.0,3646.0,40618
2008-04-23,3800.0,3733.0,3853.0,3686.0,13494
2008-04-24,3880.0,3833.0,3966.0,3833.0,37711
2008-04-25,3893.0,3993.0,3993.0,3806.0,9851
2008-04-28,3913.0,3866.0,3953.0,3806.0,5509
2008-04-29,3847.0,3806.0,3926.0,3733.0,7956
2008-04-30,3820.0,3740.0,3873.0,3740.0,5707
2008-05-02,3780.0,3866.0,3866.0,3753.0,27059
2008-05-06,3867.0,3793.0,3886.0,3773.0,10794
2008-05-07,3747.0,3926.0,3926.0,3746.0,40346
2008-05-08,3747.0,3800.0,3800.0,3533.0,58110
2008-05-09,3553.0,3780.0,3793.0,3520.0,49936
2008-05-13,3587.0,3580.0,3633.0,3500.0,21854
2008-05-14,3620.0,3653.0,3653.0,3333.0,48619
2008-05-15,3627.0,3546.0,3666.0,3533.0,16286
2008-05-16,3440.0,3553.0,3660.0,3440.0,57817
2008-05-19,3440.0,3466.0,3566.0,3413.0,43011
2008-05-20,3460.0,3426.0,3473.0,3400.0,2115
2008-05-21,3373.0,3413.0,3420.0,3300.0,40280
2008-05-22,3400.0,3333.0,3413.0,3300.0,19199
2008-05-23,3400.0,3340.0,3466.0,3340.0,21793
2008-05-26,3367.0,3460.0,3460.0,3270.0,15650
2008-05-27,3347.0,3333.0,3433.0,3293.0,16967
2008-05-28,3387.0,3333.0,3386.0,3306.0,6664
2008-05-29,3330.0,3386.0,3386.0,3280.0,25190
2008-05-30,3427.0,3333.0,3426.0,3330.0,3372
2008-06-02,3467.0,3426.0,3533.0,3360.0,9523
2008-06-03,3467.0,3386.0,3466.0,3373.0,11211
2008-06-04,3353.0,3413.0,3413.0,3346.0,18455
2008-06-05,3420.0,3360.0,3493.0,3346.0,20655
2008-06-09,3387.0,3406.0,3406.0,3313.0,16793
2008-06-10,3327.0,3393.0,3393.0,3296.0,18476
2008-06-11,3340.0,3366.0,3380.0,3290.0,18709
2008-06-12,3317.0,3326.0,3326.0,3266.0,17049
2008-06-13,3293.0,3330.0,3330.0,3246.0,22278
2008-06-16,3233.0,3233.0,3320.0,3233.0,26031
2008-06-17,3220.0,3233.0,3310.0,3173.0,11826
2008-06-18,3297.0,3180.0,3353.0,3180.0,42538
2008-06-19,3283.0,3273.0,3333.0,3200.0,14165
2008-06-20,3300.0,3266.0,3333.0,3210.0,21441
2008-06-23,3330.0,3286.0,3333.0,3223.0,18944
2008-06-24,3473.0,3546.0,3626.0,3426.0,185666
2008-06-25,3767.0,3473.0,3813.0,3473.0,70582
2008-06-26,3780.0,3800.0,3866.0,3620.0,48797
2008-06-27,3587.0,3726.0,3726.0,3333.0,12120
2008-06-30,3433.0,3486.0,3586.0,3433.0,9622
2008-07-01,3467.0,3406.0,3486.0,3353.0,22901
2008-07-02,3333.0,3533.0,3533.0,3200.0,32867
2008-07-03,3200.0,3266.0,3333.0,3070.0,4979
2008-07-04,3290.0,3166.0,3426.0,3166.0,5123
2008-07-07,3143.0,3140.0,3233.0,3100.0,18314
2008-07-08,2933.0,3143.0,3206.0,2866.0,10351
2008-07-09,3100.0,2973.0,3300.0,2933.0,25427
2008-07-10,3317.0,3000.0,3330.0,3000.0,7054
2008-07-11,3440.0,3760.0,3760.0,3183.0,10068
2008-07-14,3317.0,3346.0,3546.0,3246.0,28897
2008-07-15,3200.0,3333.0,3333.0,3166.0,7499
2008-07-16,3270.0,3166.0,3270.0,3143.0,4800
2008-07-17,3327.0,3393.0,3400.0,3233.0,4353
2008-07-18,3260.0,3233.0,3393.0,3210.0,4168
2008-07-21,3260.0,3333.0,3333.0,3200.0,9249
2008-07-22,3313.0,3326.0,3326.0,3200.0,2420
2008-07-23,3320.0,3333.0,3333.0,3200.0,4582
2008-07-24,3380.0,3320.0,3386.0,3283.0,12603
2008-07-25,3267.0,3280.0,3353.0,3266.0,14553
2008-07-28,3347.0,3293.0,3360.0,3266.0,20796
