date,close,open,high,low,volume
2008-01-23,1143.0,1128.0,1293.0,999.0,5530587
2008-01-24,1078.0,1174.0,1185.0,1078.0,677197
2008-01-25,1243.0,1103.0,1239.0,1049.0,759482
2008-01-28,1429.0,1321.0,1425.0,1300.0,2127934
2008-01-29,1447.0,1504.0,1554.0,1353.0,2901302
2008-01-30,1662.0,1443.0,1658.0,1375.0,2133069
2008-01-31,1909.0,1604.0,1905.0,1586.0,3367980
2008-02-01,1712.0,1980.0,2020.0,1626.0,2715130
2008-02-04,1658.0,1697.0,1773.0,1554.0,1135999
2008-02-05,1816.0,1651.0,1898.0,1633.0,1508024
2008-02-11,1834.0,1769.0,2077.0,1769.0,1912554
2008-02-12,1769.0,1869.0,1884.0,1712.0,810916
2008-02-13,1787.0,1819.0,1862.0,1719.0,719668
2008-02-14,1920.0,1773.0,1984.0,1762.0,942043
2008-02-15,1920.0,1880.0,1970.0,1851.0,386108
2008-02-18,1916.0,1984.0,2030.0,1912.0,475325
2008-02-19,1913.0,1919.0,1937.0,1866.0,230882
2008-02-20,1823.0,1902.0,1919.0,1755.0,364280
2008-02-21,1787.0,1819.0,1859.0,1687.0,503326
2008-02-22,2052.0,1902.0,2048.0,1859.0,908789
2008-02-25,2153.0,2206.0,2346.0,2099.0,4246751
2008-02-26,2013.0,2163.0,2167.0,1984.0,1036042
2008-02-27,2099.0,2009.0,2170.0,1998.0,657146
2008-02-28,2203.0,2095.0,2235.0,2084.0,1134828
2008-02-29,2199.0,2199.0,2210.0,2120.0,380792
2008-03-03,2121.0,2134.0,2181.0,2088.0,234094
2008-03-04,2121.0,2116.0,2199.0,2099.0,273635
2008-03-05,2153.0,2138.0,2242.0,2120.0,330238
2008-03-06,2185.0,2177.0,2192.0,2116.0,272021
2008-03-07,2249.0,2177.0,2288.0,2134.0,563060
2008-03-10,2221.0,2202.0,2475.0,2181.0,1623595
2008-03-11,2156.0,2120.0,2206.0,2120.0,373026
2008-03-12,2138.0,2217.0,2217.0,2095.0,353802
2008-03-13,2035.0,2109.0,2142.0,2023.0,274052
2008-03-14,1956.0,2045.0,2077.0,1930.0,346459
2008-03-17,1805.0,1887.0,1934.0,1665.0,399193
2008-03-18,1762.0,1794.0,1826.0,1715.0,293394
2008-03-19,1873.0,1812.0,1912.0,1812.0,338813
2008-03-20,1848.0,1826.0,1884.0,1812.0,205303
2008-03-21,1884.0,1902.0,1902.0,1830.0,154057
2008-03-24,1938.0,1851.0,1934.0,1830.0,146176
2008-03-25,2056.0,1941.0,2138.0,1934.0,439705
2008-03-26,2049.0,2063.0,2081.0,2016.0,117642
2008-03-27,2038.0,2034.0,2063.0,1995.0,159028
2008-03-28,2038.0,2002.0,2034.0,1987.0,178083
2008-03-31,2088.0,2034.0,2095.0,2034.0,199242
2008-04-01,2088.0,2084.0,2099.0,2016.0,171941
2008-04-02,2149.0,2249.0,2281.0,2138.0,484167
2008-04-03,2314.0,2174.0,2442.0,2156.0,1449912
2008-04-04,2353.0,2335.0,2407.0,2245.0,473265
2008-04-07,2264.0,2349.0,2518.0,2260.0,1170035
2008-04-08,2389.0,2267.0,2414.0,2267.0,576018
2008-04-10,2518.0,2385.0,2743.0,2364.0,2975026
2008-04-11,2740.0,2564.0,2736.0,2496.0,1231756
2008-04-14,2622.0,2765.0,2847.0,2614.0,1169842
2008-04-15,2905.0,2675.0,2904.0,2650.0,1728930
2008-04-16,2941.0,3008.0,3080.0,2647.0,1655060
2008-04-17,2891.0,2976.0,3008.0,2822.0,715537
2008-04-18,2751.0,2922.0,2951.0,2715.0,741459
2008-04-21,2747.0,2779.0,2793.0,2672.0,634833
2008-04-22,3052.0,2797.0,3091.0,2711.0,1845456
2008-04-23,3349.0,3048.0,3492.0,3012.0,3593678
2008-04-24,3256.0,3395.0,3624.0,3180.0,1928744
2008-04-25,3729.0,3395.0,3725.0,3281.0,2811005
2008-04-28,3811.0,3940.0,4223.0,3660.0,5270547
2008-04-29,3614.0,3907.0,4040.0,3478.0,3304769
2008-04-30,4144.0,3707.0,4140.0,3660.0,2458794
2008-05-02,4277.0,4455.0,4688.0,4072.0,5754882
2008-05-06,4377.0,4323.0,4405.0,4140.0,2446061
2008-05-07,4112.0,4405.0,4520.0,4090.0,2820575
2008-05-08,4044.0,3975.0,4223.0,3875.0,1343210
2008-05-09,3761.0,4122.0,4190.0,3624.0,1908869
2008-05-13,3879.0,3807.0,4040.0,3610.0,2085453
2008-05-14,3811.0,3958.0,4108.0,3757.0,1654397
2008-05-15,3729.0,3843.0,3857.0,3624.0,1163688
2008-05-16,3349.0,3757.0,3807.0,3227.0,1527069
2008-05-19,3063.0,3395.0,3410.0,3030.0,1939544
2008-05-20,3052.0,3030.0,3245.0,2973.0,1730733
2008-05-21,2984.0,3012.0,3012.0,2879.0,884017
2008-05-22,3263.0,2930.0,3313.0,2912.0,1731642
2008-05-23,3063.0,3288.0,3306.0,3059.0,779674
2008-05-26,3005.0,3094.0,3101.0,2862.0,602187
2008-05-27,3220.0,3048.0,3241.0,3030.0,853315
2008-05-28,3149.0,3291.0,3410.0,3112.0,1279600
2008-05-29,3084.0,3144.0,3180.0,3037.0,576462
2008-05-30,3073.0,3141.0,3209.0,3062.0,326354
2008-06-02,3084.0,3080.0,3130.0,3016.0,402310
2008-06-03,3034.0,3030.0,3066.0,2983.0,321036
2008-06-04,3166.0,3062.0,3177.0,3041.0,733340
2008-06-05,3202.0,3180.0,3245.0,3080.0,644134
2008-06-09,3152.0,3094.0,3170.0,3073.0,260349
2008-06-10,3034.0,3137.0,3273.0,3030.0,808874
2008-06-11,3217.0,3076.0,3256.0,3051.0,686042
2008-06-12,3102.0,3144.0,3202.0,3084.0,625595
2008-06-13,3564.0,3159.0,3560.0,3148.0,3360057
2008-06-16,3496.0,3675.0,3875.0,3410.0,3741190
2008-06-17,3697.0,3542.0,3707.0,3478.0,2733314
2008-06-18,3664.0,3707.0,3825.0,3592.0,2083165
2008-06-19,3414.0,3592.0,3660.0,3313.0,1838786
2008-06-20,3349.0,3492.0,3542.0,3345.0,960321
2008-06-23,3317.0,3245.0,3377.0,3230.0,780542
2008-06-24,3632.0,3327.0,3660.0,3295.0,2083747
2008-06-25,3514.0,3624.0,3793.0,3492.0,1867680
2008-06-26,3363.0,3560.0,3560.0,3313.0,1205156
2008-06-27,3048.0,3227.0,3295.0,2890.0,1096740
2008-06-30,2780.0,3048.0,3080.0,2661.0,1001921
2008-07-01,2826.0,2740.0,2897.0,2740.0,472067
2008-07-02,2486.0,2826.0,2862.0,2407.0,705528
2008-07-03,2389.0,2328.0,2543.0,2253.0,926170
2008-07-04,2303.0,2446.0,2507.0,2299.0,670393
2008-07-07,2300.0,2235.0,2346.0,2206.0,375333
2008-07-08,2153.0,2321.0,2407.0,2116.0,659820
2008-07-09,2199.0,2281.0,2331.0,2174.0,555475
2008-07-10,2332.0,2149.0,2339.0,2084.0,414279
2008-07-11,2411.0,2317.0,2432.0,2285.0,413435
2008-07-14,2361.0,2385.0,2467.0,2335.0,374345
2008-07-15,2224.0,2335.0,2364.0,2210.0,328214
2008-07-16,2257.0,2249.0,2296.0,2149.0,261442
2008-07-17,2314.0,2382.0,2382.0,2285.0,241791
2008-07-18,2196.0,2353.0,2356.0,2149.0,417498
2008-07-21,2257.0,2220.0,2285.0,2202.0,359004
2008-07-22,2257.0,2220.0,2270.0,2174.0,224845
2008-07-23,2267.0,2292.0,2299.0,2227.0,474326
2008-07-24,2425.0,2270.0,2582.0,2270.0,1799039
2008-07-25,2339.0,2432.0,2432.0,2303.0,448559
2008-07-28,2418.0,2371.0,2450.0,2367.0,514196
2008-07-29,2289.0,2339.0,2364.0,2263.0,367174
2008-07-30,2253.0,2324.0,2385.0,2249.0,341688
2008-07-31,2181.0,2285.0,2296.0,2159.0,355577
2008-08-01,2088.0,2177.0,2210.0,2063.0,318997
2008-08-04,2056.0,2099.0,2138.0,1984.0,219696
2008-08-05,1981.0,2020.0,2077.0,1977.0,275159
2008-08-06,2017.0,2005.0,2073.0,1952.0,419478
2008-08-07,2181.0,2048.0,2274.0,2016.0,1067466
2008-08-08,2160.0,2167.0,2202.0,2113.0,292927
2008-08-11,2181.0,2217.0,2260.0,2170.0,350418
2008-08-12,2199.0,2199.0,2270.0,2149.0,316320
2008-08-13,2128.0,2195.0,2245.0,2088.0,242575
2008-08-14,2149.0,2156.0,2192.0,2095.0,275676
2008-08-18,2160.0,2138.0,2181.0,2116.0,191457
2008-08-19,2085.0,2116.0,2159.0,2063.0,235057
2008-08-20,2296.0,2081.0,2356.0,2081.0,1378309
2008-08-21,2210.0,2288.0,2303.0,2206.0,520452
2008-08-22,2095.0,2210.0,2270.0,2066.0,442176
2008-08-25,2078.0,2124.0,2181.0,2066.0,315930
2008-08-26,2020.0,2002.0,2066.0,1984.0,312533
2008-08-27,1906.0,2034.0,2034.0,1851.0,337714
2008-08-28,1741.0,1902.0,1948.0,1737.0,427205
2008-08-29,1748.0,1780.0,1801.0,1719.0,245394
2008-09-01,1537.0,1669.0,1701.0,1533.0,376568
2008-09-02,1354.0,1500.0,1561.0,1321.0,492063
2008-09-03,1444.0,1353.0,1493.0,1332.0,501593
2008-09-04,1526.0,1425.0,1579.0,1425.0,532055
2008-09-05,1594.0,1457.0,1608.0,1454.0,326165
2008-09-08,1741.0,1608.0,1776.0,1608.0,321462
2008-09-09,1723.0,1748.0,1762.0,1658.0,281808
2008-09-10,1752.0,1665.0,1798.0,1665.0,203086
2008-09-11,1780.0,1733.0,1891.0,1733.0,438523
2008-09-12,1852.0,1798.0,1902.0,1794.0,335292
2008-09-16,1576.0,1597.0,1687.0,1572.0,382487
2008-09-17,1687.0,1651.0,1701.0,1636.0,276825
2008-09-18,1658.0,1590.0,1676.0,1590.0,163874
2008-09-19,1741.0,1737.0,1798.0,1708.0,343496
2008-09-22,1744.0,1780.0,1884.0,1740.0,235932
2008-09-23,1759.0,1705.0,1765.0,1687.0,210234
2008-09-24,1809.0,1758.0,1837.0,1755.0,312311
2008-09-25,1795.0,1787.0,1833.0,1755.0,240240
2008-09-26,1759.0,1816.0,1816.0,1740.0,215523
2008-09-29,1755.0,1808.0,1808.0,1719.0,215204
2008-09-30,1691.0,1586.0,1708.0,1536.0,175435
2008-10-01,1676.0,1719.0,1733.0,1654.0,116546
2008-10-02,1673.0,1679.0,1715.0,1629.0,136440
2008-10-06,1569.0,1647.0,1662.0,1536.0,56102
2008-10-07,1551.0,1497.0,1550.0,1457.0,203261
2008-10-08,1358.0,1472.0,1522.0,1353.0,194578
2008-10-09,1393.0,1328.0,1414.0,1289.0,231954
2008-10-10,1358.0,1268.0,1361.0,1182.0,447316
2008-10-13,1415.0,1336.0,1425.0,1336.0,381117
2008-10-14,1504.0,1490.0,1550.0,1475.0,308748
2008-10-15,1436.0,1504.0,1504.0,1396.0,163891
2008-10-16,1221.0,1311.0,1321.0,1217.0,358123
2008-10-17,1161.0,1264.0,1303.0,1106.0,330933
2008-10-20,1128.0,1174.0,1174.0,1088.0,233506
2008-10-21,1096.0,1156.0,1171.0,1088.0,251993
2008-10-22,999.0,1060.0,1139.0,985.0,245845
2008-10-23,928.0,924.0,952.0,859.0,398171
2008-10-24,788.0,891.0,956.0,784.0,577495
2008-10-27,695.0,691.0,791.0,669.0,492115
2008-10-28,799.0,591.0,795.0,591.0,553327
