date,close,open,high,low,volume
2013-03-07,2592.0,2418.0,2779.0,2328.0,17161148
2013-03-08,2422.0,2591.0,2615.0,2407.0,2878557
2013-03-11,2545.0,2488.0,2559.0,2413.0,2670295
2013-03-12,2545.0,2535.0,2613.0,2508.0,2155620
2013-03-13,2488.0,2514.0,2568.0,2463.0,1142532
2013-03-14,2559.0,2516.0,2576.0,2484.0,1252006
2013-03-15,2646.0,2561.0,2901.0,2561.0,5560998
2013-03-18,2569.0,2673.0,2738.0,2550.0,1921230
2013-03-19,2614.0,2598.0,2614.0,2547.0,992830
2013-03-20,2344.0,2612.0,2632.0,2269.0,2287088
2013-03-21,2333.0,2389.0,2413.0,2333.0,766406
2013-03-22,2398.0,2338.0,2495.0,2338.0,1041221
2013-03-25,2368.0,2394.0,2433.0,2338.0,661984
2013-03-26,2299.0,2366.0,2373.0,2250.0,870689
2013-03-27,2264.0,2305.0,2329.0,2255.0,427089
2013-03-28,2210.0,2255.0,2266.0,2179.0,706936
2013-03-29,2282.0,2210.0,2329.0,2206.0,562753
2013-04-01,2264.0,2282.0,2324.0,2215.0,328855
2013-04-02,2240.0,2233.0,2290.0,2224.0,228778
2013-04-03,2336.0,2270.0,2359.0,2260.0,492186
2013-04-04,2297.0,2341.0,2341.0,2225.0,335712
2013-04-05,2249.0,2320.0,2320.0,2209.0,216595
2013-04-08,2210.0,2213.0,2278.0,2194.0,226139
2013-04-09,2180.0,2182.0,2221.0,2143.0,276214
2013-04-10,2186.0,2179.0,2209.0,2156.0,154627
2013-04-11,2222.0,2215.0,2248.0,2191.0,124300
2013-04-12,2186.0,2215.0,2245.0,2186.0,224187
2013-04-15,2183.0,2206.0,2218.0,2144.0,226697
2013-04-16,2138.0,2149.0,2167.0,2128.0,162548
2013-04-17,2180.0,2155.0,2214.0,2137.0,197412
2013-04-18,2210.0,2183.0,2257.0,2141.0,367824
2013-04-19,2201.0,2230.0,2230.0,2149.0,136741
2013-04-22,2243.0,2200.0,2254.0,2179.0,160862
2013-04-23,2276.0,2245.0,2293.0,2239.0,263744
2013-04-24,2284.0,2298.0,2304.0,2250.0,167469
2013-04-25,2303.0,2299.0,2317.0,2263.0,279851
2013-04-26,2303.0,2302.0,2305.0,2266.0,188351
2013-04-29,2255.0,2305.0,2305.0,2255.0,430371
2013-04-30,2246.0,2254.0,2287.0,2239.0,162824
2013-05-02,2222.0,2255.0,2260.0,2210.0,153059
2013-05-03,2225.0,2221.0,2245.0,2200.0,155359
2013-05-06,2210.0,2233.0,2263.0,2210.0,171839
2013-05-07,2261.0,2212.0,2263.0,2206.0,279725
2013-05-08,2282.0,2270.0,2305.0,2251.0,262234
2013-05-09,2366.0,2284.0,2386.0,2272.0,328999
2013-05-10,2326.0,2378.0,2382.0,2296.0,292855
2013-05-13,2329.0,2319.0,2349.0,2292.0,222466
2013-05-14,2348.0,2353.0,2353.0,2287.0,442274
2013-05-15,2297.0,2347.0,2353.0,2290.0,349308
2013-05-16,2192.0,2146.0,2293.0,2090.0,2621199
2013-05-20,2132.0,2122.0,2173.0,2122.0,369364
2013-05-21,2120.0,2122.0,2164.0,2113.0,237191
2013-05-22,2108.0,2092.0,2137.0,2083.0,242306
2013-05-23,2123.0,2122.0,2182.0,2122.0,212523
2013-05-24,2177.0,2122.0,2176.0,2110.0,226549
2013-05-27,2240.0,2218.0,2240.0,2186.0,248108
2013-05-28,2213.0,2239.0,2260.0,2206.0,197019
2013-05-29,2284.0,2224.0,2340.0,2220.0,409567
2013-05-30,2234.0,2286.0,2331.0,2227.0,171389
2013-05-31,2252.0,2278.0,2278.0,2215.0,65143
2013-06-03,2174.0,2248.0,2248.0,2167.0,97495
2013-06-04,2138.0,2175.0,2209.0,2107.0,154035
2013-06-05,2091.0,2153.0,2153.0,2091.0,131672
2013-06-07,2040.0,2069.0,2131.0,2033.0,207660
2013-06-10,2049.0,2049.0,2114.0,1947.0,81967
2013-06-11,2061.0,2042.0,2087.0,2042.0,35324
2013-06-12,2016.0,1994.0,2099.0,1994.0,59601
2013-06-13,2028.0,1985.0,2054.0,1967.0,62659
2013-06-14,2001.0,2033.0,2077.0,1967.0,56811
2013-06-17,1882.0,1992.0,2031.0,1851.0,112560
2013-06-18,1882.0,1929.0,1929.0,1863.0,80627
2013-06-19,1822.0,1874.0,1911.0,1785.0,141268
2013-06-20,1735.0,1779.0,1815.0,1705.0,209717
2013-06-21,1693.0,1671.0,1701.0,1641.0,165429
2013-06-24,1675.0,1683.0,1701.0,1653.0,54433
2013-06-25,1514.0,1650.0,1692.0,1513.0,116202
2013-06-26,1577.0,1516.0,1600.0,1516.0,61341
2013-06-27,1660.0,1608.0,1665.0,1567.0,55759
2013-06-28,1657.0,1671.0,1698.0,1629.0,92214
2013-07-01,1619.0,1660.0,1664.0,1612.0,80005
2013-07-02,1642.0,1626.0,1668.0,1617.0,53420
2013-07-03,1585.0,1632.0,1656.0,1584.0,48538
2013-07-04,1612.0,1584.0,1626.0,1575.0,12458
2013-07-05,1624.0,1629.0,1635.0,1596.0,34390
2013-07-08,1574.0,1608.0,1626.0,1567.0,61738
2013-07-09,1585.0,1605.0,1620.0,1569.0,44448
2013-07-10,1612.0,1584.0,1626.0,1575.0,65015
2013-07-11,1649.0,1624.0,1664.0,1603.0,84864
2013-07-12,1893.0,1677.0,1893.0,1677.0,769678
2013-07-15,1852.0,1947.0,2022.0,1830.0,960134
2013-07-16,1837.0,1852.0,1890.0,1813.0,315112
2013-07-17,1845.0,1871.0,1954.0,1844.0,428978
2013-07-18,1828.0,1854.0,1881.0,1821.0,97548
2013-07-19,1833.0,1826.0,1865.0,1805.0,73344
2013-07-22,1822.0,1842.0,1923.0,1818.0,137096
2013-07-23,1833.0,1826.0,1880.0,1766.0,154985
2013-07-24,1860.0,1832.0,1859.0,1808.0,65428
2013-07-25,1837.0,1860.0,1941.0,1833.0,245962
2013-07-26,1837.0,1845.0,1857.0,1813.0,64634
2013-07-29,1843.0,1863.0,1863.0,1816.0,61666
2013-07-30,1837.0,1852.0,1852.0,1803.0,58838
2013-07-31,1807.0,1836.0,1836.0,1803.0,69848
2013-08-01,1803.0,1817.0,1835.0,1778.0,60707
2013-08-02,1807.0,1809.0,1839.0,1791.0,115389
2013-08-05,1813.0,1816.0,1818.0,1791.0,39582
2013-08-06,1783.0,1813.0,1821.0,1776.0,31291
2013-08-07,1788.0,1811.0,1811.0,1751.0,44395
2013-08-08,1753.0,1797.0,1797.0,1677.0,41077
2013-08-09,1714.0,1774.0,1774.0,1692.0,39053
2013-08-12,1672.0,1677.0,1713.0,1645.0,127909
2013-08-13,1684.0,1656.0,1689.0,1656.0,28934
2013-08-14,1708.0,1674.0,1722.0,1674.0,33941
2013-08-16,1696.0,1671.0,1716.0,1671.0,37184
2013-08-19,1714.0,1690.0,1714.0,1683.0,36515
2013-08-20,1696.0,1716.0,1718.0,1671.0,48919
2013-08-21,1642.0,1713.0,1713.0,1611.0,62264
2013-08-22,1577.0,1648.0,1648.0,1570.0,44791
2013-08-23,1589.0,1579.0,1641.0,1579.0,45313
2013-08-26,1595.0,1609.0,1618.0,1582.0,59947
2013-08-27,1547.0,1603.0,1603.0,1528.0,95266
2013-08-28,1592.0,1535.0,1592.0,1513.0,61922
2013-08-29,1553.0,1603.0,1642.0,1553.0,42895
2013-08-30,1597.0,1554.0,1635.0,1552.0,33470
2013-09-02,1637.0,1600.0,1660.0,1600.0,36211
2013-09-03,1654.0,1644.0,1662.0,1617.0,26298
2013-09-04,1654.0,1644.0,1656.0,1608.0,55004
2013-09-05,1672.0,1680.0,1701.0,1636.0,35812
2013-09-06,1642.0,1671.0,1701.0,1626.0,52916
2013-09-09,1639.0,1641.0,1668.0,1617.0,22363
2013-09-10,1699.0,1645.0,1699.0,1621.0,86077
2013-09-11,1702.0,1698.0,1725.0,1683.0,30066
2013-09-12,1690.0,1686.0,1716.0,1648.0,37321
2013-09-13,1690.0,1695.0,1701.0,1660.0,17937
2013-09-16,1672.0,1690.0,1716.0,1623.0,60403
2013-09-17,1660.0,1680.0,1680.0,1641.0,7301
2013-09-23,1666.0,1665.0,1698.0,1641.0,17328
2013-09-24,1654.0,1653.0,1680.0,1647.0,10106
2013-09-25,1649.0,1672.0,1672.0,1639.0,9685
2013-09-26,1657.0,1647.0,1668.0,1635.0,23520
2013-09-27,1651.0,1671.0,1671.0,1629.0,27092
2013-09-30,1664.0,1664.0,1664.0,1630.0,51385
2013-10-01,1705.0,1779.0,1911.0,1705.0,1273576
2013-10-02,1693.0,1713.0,1752.0,1665.0,148130
2013-10-04,1678.0,1713.0,1713.0,1656.0,69063
2013-10-07,1615.0,1659.0,1689.0,1611.0,69207
2013-10-08,1604.0,1597.0,1651.0,1582.0,36658
2013-10-10,1624.0,1605.0,1647.0,1602.0,31267
2013-10-11,1622.0,1637.0,1637.0,1600.0,28227
2013-10-14,1609.0,1620.0,1626.0,1572.0,86049
2013-10-15,1595.0,1612.0,1615.0,1585.0,25997
2013-10-16,1574.0,1573.0,1596.0,1570.0,43995
2013-10-17,1577.0,1573.0,1585.0,1565.0,69249
2013-10-18,1535.0,1606.0,1606.0,1528.0,58464
2013-10-21,1532.0,1546.0,1546.0,1522.0,38538
2013-10-22,1514.0,1522.0,1531.0,1504.0,58217
2013-10-23,1517.0,1531.0,1531.0,1504.0,45847
2013-10-24,1589.0,1519.0,1594.0,1510.0,56366
2013-10-25,1592.0,1603.0,1630.0,1565.0,21781
2013-10-28,1547.0,1591.0,1599.0,1522.0,29105
2013-10-29,1568.0,1568.0,1568.0,1540.0,27150
2013-10-30,1570.0,1557.0,1578.0,1551.0,30354
2013-10-31,1562.0,1570.0,1580.0,1538.0,31993
2013-11-01,1553.0,1558.0,1561.0,1537.0,14740
2013-11-04,1553.0,1534.0,1553.0,1534.0,15301
2013-11-05,1562.0,1553.0,1603.0,1546.0,44539
2013-11-06,1553.0,1573.0,1573.0,1522.0,16057
2013-11-07,1544.0,1558.0,1558.0,1513.0,36658
2013-11-08,1540.0,1542.0,1545.0,1503.0,77642
2013-11-11,1540.0,1542.0,1542.0,1498.0,36208
2013-11-12,1502.0,1501.0,1534.0,1498.0,31216
2013-11-13,1463.0,1492.0,1510.0,1459.0,12167
2013-11-14,1487.0,1474.0,1513.0,1462.0,16824
2013-11-15,1460.0,1527.0,1527.0,1456.0,32152
2013-11-18,1418.0,1450.0,1462.0,1396.0,34353
2013-11-19,1364.0,1414.0,1420.0,1327.0,128550
2013-11-20,1332.0,1364.0,1376.0,1313.0,72188
2013-11-21,1314.0,1332.0,1355.0,1314.0,25558
2013-11-22,1362.0,1364.0,1370.0,1328.0,10264
2013-11-25,1394.0,1339.0,1416.0,1339.0,11697
2013-11-26,1409.0,1423.0,1423.0,1384.0,11469
2013-11-27,1397.0,1408.0,1411.0,1375.0,16354
2013-11-28,1376.0,1396.0,1426.0,1366.0,31874
2013-11-29,1374.0,1385.0,1385.0,1337.0,9690
2013-12-02,1356.0,1374.0,1374.0,1334.0,7643
