date,close,open,high,low,volume
2009-05-28,9350.0,11000.0,12650.0,9350.0,6923643
2009-05-29,8210.0,9410.0,9620.0,7960.0,2375638
2009-06-01,8250.0,8490.0,8880.0,8080.0,1706255
2009-06-02,8020.0,8380.0,8800.0,8020.0,1689194
2009-06-03,7970.0,8150.0,8290.0,7970.0,689229
2009-06-04,7310.0,8080.0,8160.0,7270.0,706813
2009-06-05,7550.0,7450.0,7800.0,7410.0,530452
2009-06-08,7070.0,7650.0,7780.0,7070.0,457709
2009-06-09,6580.0,7160.0,7220.0,6500.0,521495
2009-06-10,6860.0,6640.0,6950.0,6530.0,333689
2009-06-11,6800.0,6900.0,7080.0,6770.0,190837
2009-06-12,6680.0,6800.0,6870.0,6560.0,211965
2009-06-15,7120.0,6780.0,7250.0,6620.0,333872
2009-06-16,7310.0,7100.0,7390.0,6960.0,283952
2009-06-17,7100.0,7290.0,7350.0,7030.0,142828
2009-06-18,7110.0,7120.0,7380.0,7050.0,136685
2009-06-19,6980.0,7200.0,7240.0,6750.0,103818
2009-06-22,7000.0,6910.0,7060.0,6720.0,109766
2009-06-23,6800.0,6810.0,6950.0,6700.0,73634
2009-06-24,6370.0,6740.0,6860.0,6270.0,132967
2009-06-25,6680.0,6310.0,6800.0,6130.0,189148
2009-06-26,6620.0,6800.0,6800.0,6590.0,71399
2009-06-29,6080.0,6730.0,6730.0,6050.0,274497
2009-06-30,6500.0,6180.0,6850.0,6130.0,649841
2009-07-01,6870.0,6460.0,7150.0,6460.0,405603
2009-07-02,7300.0,6900.0,7360.0,6900.0,345338
2009-07-03,7550.0,7250.0,7680.0,7100.0,327197
2009-07-06,7550.0,7680.0,7850.0,7500.0,365140
2009-07-07,8040.0,7640.0,8100.0,7560.0,451966
2009-07-08,8190.0,8000.0,8290.0,7670.0,387890
2009-07-09,7710.0,8260.0,8290.0,7710.0,341797
2009-07-10,7900.0,7860.0,7970.0,7700.0,221051
2009-07-13,7870.0,7990.0,8100.0,7380.0,238356
2009-07-14,8390.0,8020.0,8450.0,7860.0,480398
2009-07-15,8500.0,8500.0,8640.0,8260.0,347838
2009-07-16,8140.0,8510.0,8560.0,8140.0,217608
2009-07-17,7920.0,8160.0,8240.0,7760.0,206206
2009-07-20,7970.0,7910.0,8200.0,7910.0,204314
2009-07-21,8030.0,8180.0,8180.0,7970.0,100534
2009-07-22,8000.0,8070.0,8140.0,7760.0,101937
2009-07-23,8340.0,8000.0,8460.0,7920.0,258977
2009-07-24,8450.0,8450.0,8550.0,8350.0,256000
2009-07-27,8640.0,8520.0,8680.0,8400.0,336275
2009-07-28,8620.0,8600.0,8810.0,8470.0,522806
2009-07-29,8470.0,8630.0,8630.0,8250.0,283513
2009-07-30,8420.0,8330.0,8500.0,8300.0,252564
2009-07-31,8160.0,8550.0,8550.0,8100.0,402993
2009-08-03,7900.0,8210.0,8270.0,7900.0,230530
2009-08-04,7690.0,8040.0,8120.0,7640.0,345414
2009-08-05,7660.0,7650.0,7980.0,7630.0,174434
2009-08-06,7790.0,7690.0,7820.0,7690.0,80945
2009-08-07,7790.0,7780.0,7840.0,7620.0,98258
2009-08-10,8000.0,7800.0,8050.0,7800.0,135072
2009-08-11,8030.0,8010.0,8030.0,7870.0,130073
2009-08-12,8190.0,8030.0,8330.0,8000.0,141555
2009-08-13,8220.0,8290.0,8350.0,8190.0,127786
2009-08-14,8080.0,8290.0,8300.0,8000.0,117394
2009-08-17,7950.0,8100.0,8100.0,7900.0,98664
2009-08-18,7900.0,7720.0,7990.0,7720.0,111065
2009-08-19,7650.0,8000.0,8000.0,7650.0,82301
2009-08-20,7900.0,7700.0,7950.0,7600.0,149192
2009-08-21,7780.0,7900.0,7960.0,7670.0,109822
2009-08-24,7810.0,7800.0,7890.0,7640.0,102046
2009-08-25,7670.0,7810.0,7880.0,7670.0,97432
2009-08-26,8000.0,7830.0,8000.0,7680.0,117674
2009-08-27,7990.0,7930.0,8130.0,7860.0,110987
2009-08-28,8460.0,8240.0,8550.0,8120.0,361039
2009-08-31,8500.0,8540.0,8580.0,8220.0,153581
2009-09-01,8770.0,8510.0,8900.0,8440.0,232217
2009-09-02,9070.0,8720.0,9130.0,8620.0,248110
2009-09-03,9050.0,9160.0,9240.0,8920.0,203051
2009-09-04,8790.0,9070.0,9170.0,8770.0,104787
2009-09-07,9620.0,8800.0,9670.0,8510.0,318585
2009-09-08,9500.0,9890.0,10050.0,9500.0,352611
2009-09-09,9300.0,9500.0,9610.0,9270.0,187290
2009-09-10,9380.0,9330.0,9680.0,9330.0,125857
2009-09-11,9070.0,9380.0,9530.0,9070.0,178389
2009-09-14,8550.0,9100.0,9240.0,8510.0,264625
2009-09-15,8790.0,8550.0,8850.0,8500.0,133581
2009-09-16,8740.0,8890.0,8900.0,8610.0,104390
2009-09-17,8700.0,8750.0,8800.0,8650.0,87421
2009-09-18,8700.0,8900.0,8900.0,8600.0,105207
2009-09-21,9230.0,8730.0,9230.0,8730.0,191776
2009-09-22,9400.0,9440.0,9580.0,9280.0,296920
2009-09-23,8980.0,9480.0,9480.0,8940.0,146961
2009-09-24,8720.0,8980.0,9100.0,8590.0,120038
2009-09-25,8750.0,8670.0,8750.0,8410.0,102959
2009-09-28,8710.0,8850.0,8850.0,8600.0,106723
2009-09-29,8700.0,8900.0,8900.0,8600.0,109194
2009-09-30,8730.0,8630.0,9020.0,8610.0,110187
2009-10-01,8850.0,8740.0,8950.0,8520.0,46794
2009-10-05,8680.0,8840.0,8850.0,8570.0,58691
2009-10-06,8680.0,8700.0,8920.0,8600.0,201577
2009-10-07,8860.0,8720.0,8880.0,8650.0,154761
2009-10-08,8730.0,8990.0,9030.0,8710.0,146321
2009-10-09,8900.0,8730.0,8900.0,8660.0,117413
2009-10-12,10200.0,8990.0,10200.0,8900.0,1137335
2009-10-13,10650.0,10450.0,10750.0,9950.0,1241405
2009-10-14,10700.0,10500.0,10800.0,10100.0,773547
2009-10-15,9850.0,10700.0,10700.0,9760.0,1040658
2009-10-16,10500.0,10000.0,10700.0,9940.0,981089
2009-10-19,10250.0,10750.0,11050.0,10000.0,1120911
2009-10-20,10350.0,10250.0,10450.0,9860.0,751257
2009-10-21,10450.0,10350.0,10550.0,10100.0,345442
2009-10-22,10050.0,10300.0,10700.0,10000.0,668436
2009-10-23,9800.0,10200.0,10250.0,9660.0,394947
2009-10-26,10150.0,9900.0,10150.0,9740.0,296546
2009-10-27,9800.0,10000.0,10100.0,9740.0,197391
2009-10-28,9160.0,9800.0,9800.0,8950.0,287184
2009-10-29,9200.0,9000.0,9200.0,8720.0,247069
2009-10-30,8950.0,9310.0,9420.0,8950.0,159783
2009-11-02,8840.0,8630.0,8910.0,8590.0,263444
2009-11-03,8960.0,9010.0,9170.0,8900.0,159704
2009-11-04,9110.0,8960.0,9230.0,8960.0,186819
2009-11-05,9270.0,9180.0,9410.0,8980.0,211579
2009-11-06,9310.0,9430.0,9450.0,9200.0,146973
2009-11-09,9260.0,9370.0,9460.0,9200.0,136445
2009-11-10,8870.0,9320.0,9320.0,8870.0,277103
2009-11-11,9100.0,9000.0,9120.0,8940.0,128655
2009-11-12,9130.0,9190.0,9190.0,9030.0,131306
2009-11-13,9450.0,9140.0,9470.0,9070.0,298296
2009-11-16,9310.0,9370.0,9570.0,9210.0,138584
2009-11-17,9250.0,9350.0,9420.0,9210.0,73899
2009-11-18,9200.0,9250.0,9390.0,8970.0,131971
2009-11-19,9460.0,9100.0,9500.0,9050.0,110470
2009-11-20,9810.0,9370.0,9900.0,9370.0,260581
2009-11-23,9750.0,9810.0,9960.0,9650.0,136683
2009-11-24,9960.0,9850.0,9960.0,9650.0,202574
2009-11-25,9780.0,9940.0,10050.0,9730.0,192307
2009-11-26,9900.0,9840.0,10000.0,9780.0,131102
