date,close,open,high,low,volume
2009-04-07,26528.0,23087.0,26526.0,23087.0,23078
2009-04-08,30507.0,30505.0,30505.0,30505.0,21391
2009-04-09,35075.0,35073.0,35073.0,35073.0,228920
2009-04-10,40331.0,40330.0,40330.0,40330.0,50626
2009-04-13,46374.0,46372.0,46372.0,46372.0,21610
2009-04-14,53301.0,53300.0,53300.0,47158.0,1626881
2009-04-15,45342.0,51580.0,54527.0,45341.0,1295989
2009-04-16,41905.0,44210.0,50106.0,40478.0,2227280
2009-04-17,39399.0,43719.0,44162.0,39102.0,759759
2009-04-20,39350.0,38905.0,43130.0,37432.0,1213665
2009-04-21,38219.0,37923.0,40428.0,37677.0,562197
2009-04-22,41905.0,40035.0,43523.0,40035.0,930795
2009-04-23,40331.0,41755.0,41853.0,40035.0,333098
2009-04-24,38514.0,40771.0,41460.0,37972.0,276966
2009-04-27,38367.0,39053.0,41264.0,38266.0,515361
2009-04-28,33896.0,38611.0,39102.0,33108.0,384007
2009-04-29,34436.0,34582.0,35369.0,33157.0,176138
2009-04-30,35075.0,36105.0,37087.0,34435.0,179278
2009-05-04,34093.0,35073.0,35073.0,33648.0,165864
2009-05-06,35665.0,34042.0,36105.0,33305.0,241884
2009-05-07,32914.0,35662.0,35712.0,32617.0,669652
2009-05-08,31931.0,33256.0,34141.0,31389.0,340932
2009-05-11,33012.0,32568.0,33797.0,32519.0,331261
2009-05-12,34191.0,33157.0,34632.0,33157.0,259683
2009-05-13,32914.0,34582.0,34828.0,32666.0,191970
2009-05-14,32030.0,32765.0,33501.0,31881.0,159973
2009-05-15,30851.0,32126.0,32421.0,30652.0,250190
2009-05-18,32472.0,30554.0,32470.0,29621.0,326995
2009-05-19,32373.0,32519.0,32715.0,31439.0,273902
2009-05-20,33306.0,32912.0,34091.0,32814.0,319919
2009-05-21,32227.0,33355.0,33599.0,32028.0,158862
2009-05-22,34093.0,31585.0,35171.0,31585.0,498470
2009-05-25,33896.0,34435.0,34877.0,30701.0,315358
2009-05-26,35861.0,34386.0,37038.0,33698.0,832208
2009-05-27,33405.0,36596.0,37432.0,33403.0,422359
2009-05-28,32569.0,33403.0,34141.0,31339.0,216959
2009-05-29,31931.0,32864.0,33157.0,31635.0,138319
2009-06-01,32422.0,31831.0,32765.0,31782.0,135685
2009-06-02,32619.0,32666.0,33648.0,32421.0,164231
2009-06-03,33306.0,32961.0,33944.0,32961.0,115129
2009-06-04,33306.0,33501.0,35122.0,33108.0,262843
2009-06-05,33012.0,33698.0,34042.0,32273.0,107066
2009-06-08,31980.0,33108.0,33108.0,31881.0,94534
2009-06-09,30703.0,31979.0,32372.0,30701.0,116369
2009-06-10,30654.0,30898.0,31094.0,30112.0,92620
2009-06-11,30703.0,30701.0,31291.0,30457.0,60173
2009-06-12,31686.0,30849.0,31979.0,30554.0,98895
2009-06-15,30851.0,31339.0,31684.0,30701.0,52809
2009-06-16,30409.0,30701.0,31242.0,30112.0,53538
2009-06-17,30310.0,30457.0,30996.0,30014.0,64448
2009-06-18,29573.0,30308.0,30652.0,29572.0,55438
2009-06-19,28001.0,29767.0,30014.0,27262.0,180776
2009-06-22,27313.0,27951.0,28148.0,27213.0,88944
2009-06-23,26577.0,26673.0,26723.0,25935.0,96691
2009-06-24,27461.0,26526.0,28933.0,26034.0,253720
2009-06-25,27952.0,27803.0,28883.0,27655.0,91609
2009-06-26,27265.0,28196.0,28491.0,27164.0,50323
2009-06-29,26037.0,27116.0,27754.0,26034.0,55784
2009-06-30,25546.0,26378.0,26919.0,24855.0,68712
2009-07-01,27167.0,25199.0,27164.0,25199.0,94378
2009-07-02,28001.0,27459.0,28246.0,26869.0,96253
2009-07-03,28590.0,27312.0,28835.0,27312.0,79787
2009-07-06,29672.0,29080.0,30457.0,28883.0,145734
2009-07-07,29377.0,29767.0,29964.0,29178.0,50294
2009-07-08,28494.0,28982.0,29178.0,28048.0,65454
2009-07-09,28985.0,28785.0,29915.0,28294.0,60163
2009-07-10,27903.0,28785.0,29326.0,27901.0,49258
2009-07-13,26331.0,27655.0,28540.0,26330.0,49998
2009-07-14,26085.0,27017.0,27213.0,25887.0,53687
2009-07-15,27215.0,26771.0,27557.0,26476.0,72413
2009-07-16,25988.0,27655.0,27655.0,25935.0,103580
2009-07-17,26037.0,26330.0,26723.0,25839.0,58523
2009-07-20,26822.0,26330.0,26967.0,25935.0,57543
2009-07-21,26822.0,27017.0,27017.0,26526.0,46366
2009-07-22,26773.0,27164.0,27459.0,26771.0,50923
2009-07-23,28197.0,26869.0,28491.0,26821.0,121317
2009-07-24,28149.0,28392.0,28491.0,27803.0,62688
2009-07-27,28296.0,28441.0,29326.0,28294.0,72463
2009-07-28,28296.0,28589.0,28982.0,28294.0,83371
2009-07-29,27510.0,28246.0,28539.0,26967.0,81236
2009-07-30,27019.0,27213.0,27360.0,26624.0,56163
2009-07-31,26724.0,27116.0,27262.0,26574.0,62290
2009-08-03,27167.0,27066.0,27459.0,26673.0,45298
2009-08-04,26675.0,27459.0,27557.0,26574.0,65943
2009-08-05,26577.0,26869.0,27164.0,26574.0,50670
2009-08-06,26430.0,26624.0,26723.0,26034.0,44931
2009-08-07,26921.0,26428.0,27116.0,26133.0,47929
2009-08-10,27706.0,27116.0,27901.0,26624.0,116498
2009-08-11,27412.0,27557.0,27705.0,27213.0,53171
2009-08-12,28246.0,27360.0,28441.0,27164.0,165379
2009-08-13,28837.0,28491.0,28835.0,27803.0,117422
2009-08-14,28494.0,28982.0,29178.0,28246.0,89047
2009-08-17,27019.0,28737.0,28982.0,26526.0,87459
2009-08-18,26626.0,26624.0,27410.0,26182.0,53801
2009-08-19,26282.0,26821.0,26967.0,26280.0,55718
2009-08-20,27117.0,26673.0,27116.0,26280.0,47905
2009-08-21,28346.0,27312.0,29276.0,27017.0,249237
2009-08-24,27608.0,28737.0,28835.0,27410.0,93548
2009-08-25,26822.0,27655.0,27754.0,26476.0,87107
2009-08-26,26822.0,26723.0,27360.0,26624.0,52260
2009-08-27,26528.0,26821.0,27213.0,26428.0,43078
2009-08-28,26724.0,26919.0,26919.0,26428.0,34496
2009-08-31,26085.0,26967.0,27017.0,26083.0,59851
2009-09-01,26037.0,26083.0,26280.0,25641.0,49857
2009-09-02,27167.0,25985.0,27410.0,25789.0,147891
2009-09-03,26773.0,27164.0,27262.0,26428.0,35332
2009-09-04,26380.0,27017.0,27017.0,26232.0,53845
2009-09-07,26183.0,26378.0,26673.0,26133.0,36884
2009-09-08,25888.0,26232.0,26378.0,25592.0,66320
2009-09-09,26037.0,25839.0,26476.0,25839.0,60548
2009-09-10,26528.0,26330.0,26869.0,26182.0,69682
2009-09-11,26626.0,26574.0,26967.0,26378.0,45260
2009-09-14,26282.0,26869.0,26869.0,26182.0,26438
2009-09-15,26037.0,26280.0,26476.0,25935.0,35818
2009-09-16,25939.0,26034.0,26232.0,25887.0,41002
2009-09-17,25888.0,26034.0,26083.0,25789.0,34644
2009-09-18,25939.0,25887.0,26083.0,25740.0,37895
2009-09-21,26183.0,26083.0,26378.0,25985.0,34095
2009-09-22,25888.0,26378.0,26476.0,25887.0,46476
2009-09-23,25546.0,25838.0,25985.0,25542.0,43748
2009-09-24,25299.0,25542.0,25789.0,25101.0,45423
2009-09-25,24808.0,25298.0,25298.0,24487.0,56462
2009-09-28,24563.0,24561.0,24855.0,24536.0,29871
2009-09-29,24071.0,24658.0,24905.0,23898.0,57023
2009-09-30,23335.0,24045.0,24217.0,23087.0,50866
2009-10-01,23237.0,23209.0,23701.0,23136.0,28990
2009-10-05,22401.0,23160.0,23160.0,22277.0,32038
2009-10-06,22549.0,22449.0,23013.0,22349.0,28172
2009-10-07,22549.0,22596.0,22940.0,22547.0,23091
2009-10-08,22303.0,22399.0,22547.0,22202.0,23146
2009-10-09,23139.0,22301.0,23209.0,22301.0,45922
2009-10-12,25299.0,23873.0,26280.0,23873.0,178010
2009-10-13,25299.0,25150.0,25592.0,24954.0,50715
2009-10-14,25349.0,25346.0,25445.0,24807.0,40758
2009-10-15,25299.0,25494.0,25592.0,25101.0,29059
2009-10-16,24538.0,25052.0,25248.0,24414.0,41519
2009-10-19,24219.0,24316.0,24316.0,23898.0,26243
2009-10-20,24759.0,24118.0,24807.0,24118.0,26229
2009-10-21,24415.0,24905.0,24905.0,24389.0,18261
2009-10-22,23728.0,24364.0,24389.0,23725.0,24109
2009-10-23,23408.0,23873.0,24069.0,23333.0,24611
2009-10-26,24415.0,23578.0,24658.0,23209.0,47555
2009-10-27,24022.0,24069.0,24266.0,23824.0,15321
2009-10-28,24096.0,24045.0,24905.0,23578.0,53599
2009-10-29,23260.0,23799.0,23971.0,23209.0,20245
2009-10-30,23408.0,23430.0,23750.0,23259.0,10753
2009-11-02,22941.0,22718.0,23259.0,22694.0,13228
2009-11-03,22721.0,23234.0,23358.0,22669.0,9677
2009-11-04,22966.0,22669.0,23185.0,22669.0,7009
2009-11-05,22745.0,22989.0,23308.0,22742.0,7701
2009-11-06,23089.0,22940.0,23234.0,22842.0,7955
2009-11-09,23728.0,23185.0,23725.0,22989.0,19004
2009-11-10,24244.0,24118.0,24658.0,23725.0,51450
2009-11-11,24121.0,24143.0,24340.0,23824.0,12786
2009-11-12,23997.0,24364.0,24364.0,23848.0,11164
2009-11-13,23408.0,23996.0,24020.0,23406.0,11873
2009-11-16,23114.0,23185.0,23456.0,22915.0,15335
2009-11-17,23187.0,23111.0,23480.0,23087.0,11659
2009-11-18,23163.0,23234.0,23406.0,22989.0,12518
2009-11-19,23064.0,22915.0,23160.0,22915.0,13441
2009-11-20,23040.0,22669.0,23062.0,22669.0,16095
2009-11-23,23163.0,22965.0,23185.0,22940.0,15155
2009-11-24,23139.0,23160.0,23652.0,23136.0,18020
2009-11-25,23040.0,23136.0,23333.0,22718.0,34074
2009-11-26,22843.0,22891.0,23136.0,22792.0,12246
2009-11-27,21124.0,22842.0,22842.0,21122.0,52909
2009-11-30,21394.0,21466.0,21613.0,21318.0,21429
2009-12-01,21590.0,21171.0,21858.0,21171.0,19804
2009-12-02,21713.0,21638.0,21957.0,21564.0,14875
2009-12-03,21713.0,21638.0,21784.0,21540.0,16460
2009-12-04,22032.0,21589.0,22178.0,21589.0,18566
2009-12-07,22131.0,22129.0,22301.0,22031.0,19686
2009-12-08,21886.0,22055.0,22178.0,21809.0,24130
2009-12-09,21713.0,21589.0,21809.0,21515.0,20369
2009-12-10,21713.0,21809.0,21858.0,21613.0,19242
2009-12-11,22990.0,21858.0,23234.0,21736.0,74001
2009-12-14,23310.0,22742.0,23480.0,22742.0,33990
2009-12-15,23163.0,23333.0,23529.0,23136.0,22851
2009-12-16,23899.0,23382.0,24069.0,23087.0,38424
2009-12-17,23728.0,23898.0,23922.0,23430.0,19918
2009-12-18,24145.0,23333.0,24217.0,23333.0,23508
2009-12-21,23728.0,23922.0,24316.0,20582.0,28598
2009-12-22,23605.0,23873.0,23873.0,23382.0,12921
2009-12-23,23015.0,23652.0,23652.0,22891.0,19740
2009-12-24,23433.0,22742.0,23480.0,22742.0,13505
2009-12-28,23310.0,23087.0,23430.0,22940.0,19790
2009-12-29,23535.0,23057.0,23684.0,23057.0,12402
2009-12-30,23661.0,23684.0,23684.0,23233.0,16784
2010-01-04,24762.0,23758.0,25236.0,23758.0,52700
2010-01-05,25388.0,25085.0,25486.0,24635.0,74161
2010-01-06,26640.0,25537.0,26888.0,25486.0,152935
2010-01-07,26590.0,26838.0,26888.0,26238.0,76744
2010-01-08,26490.0,26789.0,26939.0,26037.0,37329
2010-01-11,27892.0,26238.0,27990.0,26188.0,90167
2010-01-12,27691.0,27589.0,28290.0,26988.0,47287
2010-01-13,27491.0,27689.0,27890.0,27090.0,29046
2010-01-14,27542.0,27840.0,28041.0,27440.0,40394
2010-01-15,28392.0,27589.0,28941.0,27539.0,93813
2010-01-18,28042.0,28341.0,28391.0,27689.0,68112
2010-01-19,26390.0,27939.0,27939.0,26188.0,97542
2010-01-20,26189.0,26638.0,26738.0,25737.0,45822
2010-01-21,26039.0,25937.0,26488.0,25787.0,34395
2010-01-22,25137.0,25436.0,25537.0,24786.0,87176
2010-01-25,24537.0,24685.0,25085.0,24134.0,30751
2010-01-26,24912.0,24786.0,24985.0,24285.0,35310
2010-01-27,24937.0,24735.0,25586.0,24685.0,25838
2010-01-28,24787.0,24936.0,25336.0,24034.0,14176
2010-01-29,24036.0,24535.0,24535.0,23809.0,30499
2010-02-01,24036.0,24034.0,24134.0,23583.0,10644
2010-02-02,24087.0,24285.0,24435.0,23834.0,25879
2010-02-03,24087.0,24209.0,24460.0,23834.0,23794
2010-02-04,23936.0,23935.0,24160.0,23784.0,7866
2010-02-05,23209.0,22632.0,23784.0,22632.0,24377
2010-02-08,23385.0,23133.0,23708.0,23008.0,9895
2010-02-09,22684.0,23384.0,23384.0,22432.0,35038
2010-02-10,22483.0,22782.0,22883.0,22482.0,20129
2010-02-11,22608.0,22456.0,22757.0,22382.0,11566
2010-02-12,22784.0,22683.0,22933.0,22608.0,11970
2010-02-16,22684.0,23008.0,23008.0,22582.0,8340
2010-02-17,22784.0,22683.0,22933.0,22632.0,20535
2010-02-18,22784.0,22732.0,22883.0,22608.0,11923
2010-02-19,22433.0,22782.0,23233.0,22432.0,24253
2010-02-22,22459.0,22432.0,22683.0,22407.0,19460
2010-02-23,22209.0,22456.0,22532.0,22082.0,29882
2010-02-24,22133.0,22007.0,22207.0,21881.0,25942
2010-02-25,21683.0,22181.0,22231.0,21680.0,27586
2010-02-26,21683.0,21881.0,21881.0,21631.0,14492
2010-03-02,22158.0,21781.0,22181.0,21781.0,17283
2010-03-03,22033.0,22106.0,22332.0,22032.0,13655
2010-03-04,21982.0,22057.0,22106.0,21830.0,8148
2010-03-05,22234.0,21931.0,22281.0,21931.0,12014
2010-03-08,22359.0,22456.0,22456.0,22257.0,12341
2010-03-09,22234.0,22382.0,22432.0,22131.0,11267
2010-03-10,22108.0,22332.0,22332.0,22082.0,10986
2010-03-11,22133.0,22082.0,22281.0,22032.0,15961
2010-03-12,22058.0,22031.0,22307.0,22031.0,10863
