date,close,open,high,low,volume
2009-12-22,8796.0,10346.0,10590.0,8794.0,3473087
2009-12-23,7822.0,8672.0,8794.0,7516.0,966778
2009-12-24,7943.0,8033.0,8520.0,7912.0,523729
2009-12-28,8217.0,8216.0,8399.0,7972.0,283704
2009-12-29,7882.0,8277.0,8520.0,7668.0,244617
2009-12-30,7761.0,7943.0,7972.0,7516.0,112080
2010-01-04,7487.0,7851.0,7881.0,7303.0,170022
2010-01-05,7487.0,7485.0,7729.0,7211.0,256318
2010-01-06,7274.0,7546.0,7546.0,7272.0,131816
2010-01-07,7548.0,7303.0,7729.0,7181.0,213054
2010-01-08,7517.0,7485.0,7637.0,7364.0,79360
2010-01-11,8125.0,7485.0,8399.0,7424.0,349238
2010-01-12,8035.0,8246.0,8277.0,7820.0,132044
2010-01-13,7517.0,7912.0,8033.0,7485.0,190888
2010-01-14,7213.0,7577.0,7607.0,7150.0,205393
2010-01-15,7121.0,7272.0,7546.0,7059.0,251467
2010-01-18,7517.0,7059.0,7546.0,7059.0,207205
2010-01-19,7335.0,7577.0,7912.0,7333.0,211091
2010-01-20,7669.0,7456.0,7912.0,7333.0,283290
2010-01-21,7517.0,7607.0,7881.0,7485.0,136326
2010-01-22,7487.0,7333.0,7637.0,7333.0,127786
2010-01-25,7060.0,7333.0,7364.0,7029.0,136960
2010-01-26,6634.0,7121.0,7211.0,6634.0,113528
2010-01-27,6573.0,6634.0,6847.0,6451.0,80503
2010-01-28,6239.0,6785.0,6785.0,6116.0,162545
2010-01-29,5569.0,6146.0,6146.0,5538.0,276191
2010-02-01,5660.0,5575.0,5745.0,5447.0,65558
2010-02-02,5721.0,5702.0,5884.0,5604.0,77323
2010-02-03,5709.0,5842.0,5884.0,5689.0,55993
2010-02-04,5758.0,5751.0,5775.0,5635.0,56076
2010-02-05,5447.0,5477.0,5581.0,5337.0,65155
2010-02-08,5387.0,5495.0,5514.0,5337.0,41474
2010-02-09,5727.0,5416.0,5770.0,5252.0,128620
2010-02-10,5777.0,5727.0,5787.0,5678.0,63722
2010-02-11,5898.0,5775.0,5945.0,5775.0,35893
2010-02-12,6026.0,5909.0,6043.0,5891.0,35943
2010-02-16,6080.0,5934.0,6207.0,5934.0,46704
2010-02-17,6086.0,6079.0,6176.0,6043.0,41765
