date,close,open,high,low,volume
2009-09-23,5742.0,4993.0,5741.0,4993.0,2329890
2009-09-24,5218.0,6590.0,6590.0,5092.0,9329116
2009-09-25,4444.0,5267.0,5367.0,4443.0,2146834
2009-09-28,3780.0,4199.0,4318.0,3779.0,2505998
2009-09-29,3480.0,3744.0,3964.0,3370.0,2563292
2009-09-30,3290.0,3515.0,3714.0,3265.0,2103030
2009-10-01,3171.0,3385.0,3465.0,3065.0,720285
2009-10-05,3011.0,3085.0,3150.0,2930.0,704373
2009-10-06,2736.0,3060.0,3140.0,2701.0,1104084
2009-10-07,2871.0,2796.0,3145.0,2761.0,2351854
2009-10-08,2641.0,2880.0,2910.0,2611.0,815604
2009-10-09,2621.0,2641.0,2751.0,2616.0,765133
2009-10-12,2791.0,2661.0,2880.0,2636.0,1257709
2009-10-13,2661.0,2846.0,2880.0,2651.0,595673
2009-10-14,2681.0,2686.0,2751.0,2656.0,317290
2009-10-15,2616.0,2716.0,2721.0,2601.0,380173
2009-10-16,2521.0,2621.0,2636.0,2516.0,260504
2009-10-19,2526.0,2521.0,2576.0,2478.0,228942
2009-10-20,2676.0,2571.0,2746.0,2561.0,780693
2009-10-21,2546.0,2696.0,2696.0,2536.0,362034
2009-10-22,2521.0,2546.0,2556.0,2501.0,169022
2009-10-23,2736.0,2566.0,2866.0,2551.0,1610978
2009-10-26,2971.0,2736.0,2975.0,2686.0,1198040
2009-10-27,2966.0,2910.0,2980.0,2836.0,549712
2009-10-28,2696.0,2920.0,2965.0,2661.0,427501
2009-10-29,2596.0,2636.0,2671.0,2516.0,379412
2009-10-30,2721.0,2636.0,2781.0,2626.0,404768
2009-11-02,2596.0,2601.0,2666.0,2571.0,178748
2009-11-03,2546.0,2626.0,2666.0,2546.0,244009
2009-11-04,2576.0,2551.0,2601.0,2521.0,190867
2009-11-05,2586.0,2586.0,2676.0,2561.0,358900
2009-11-06,2691.0,2626.0,2706.0,2581.0,305490
2009-11-09,2791.0,2736.0,2915.0,2711.0,728074
2009-11-10,2676.0,2831.0,2831.0,2671.0,356007
2009-11-11,2991.0,2701.0,2990.0,2671.0,769664
2009-11-12,2891.0,2950.0,2990.0,2861.0,647248
2009-11-13,2821.0,2935.0,3130.0,2821.0,1757458
2009-11-16,2611.0,2781.0,2811.0,2531.0,580216
2009-11-17,3001.0,2651.0,3000.0,2611.0,1315901
2009-11-18,3345.0,3150.0,3450.0,3045.0,4265252
2009-11-19,3265.0,3340.0,3530.0,3265.0,1939512
2009-11-20,3555.0,3220.0,3729.0,3210.0,3559503
2009-11-23,3555.0,3560.0,3884.0,3445.0,2342545
2009-11-24,3211.0,3594.0,3739.0,3195.0,1224297
2009-11-25,3151.0,3280.0,3335.0,3080.0,857027
2009-11-26,3620.0,3195.0,3619.0,3185.0,1659225
2009-11-27,3755.0,3829.0,4069.0,3520.0,5575087
2009-11-30,4094.0,3919.0,4313.0,3879.0,4785264
2009-12-01,3845.0,4194.0,4333.0,3749.0,2693289
2009-12-02,3820.0,3944.0,4049.0,3789.0,1467316
2009-12-03,4389.0,3839.0,4388.0,3704.0,2898487
2009-12-04,4204.0,4553.0,4683.0,4204.0,3741013
2009-12-07,4529.0,4294.0,4528.0,4194.0,2282090
2009-12-08,4309.0,4543.0,4543.0,4294.0,1348778
2009-12-09,4214.0,4343.0,4468.0,4154.0,1259659
2009-12-10,4234.0,4254.0,4383.0,4199.0,1073983
2009-12-11,4259.0,4299.0,4503.0,4249.0,1761236
2009-12-14,4029.0,4367.0,4383.0,3999.0,1237616
2009-12-15,4594.0,4044.0,4628.0,3914.0,4233159
2009-12-16,4359.0,4643.0,4648.0,4343.0,1277927
2009-12-17,4204.0,4398.0,4453.0,4174.0,830767
2009-12-18,4214.0,4179.0,4428.0,4129.0,827952
2009-12-21,4114.0,4254.0,4318.0,4114.0,764733
2009-12-22,3735.0,4164.0,4174.0,3734.0,914975
2009-12-23,3455.0,3769.0,3769.0,3425.0,684917
2009-12-24,3490.0,3505.0,3699.0,3470.0,558576
2009-12-28,3300.0,3490.0,3540.0,3295.0,487479
2009-12-29,3320.0,3310.0,3450.0,3280.0,275506
2009-12-30,3565.0,3350.0,3684.0,3345.0,782078
2010-01-04,3610.0,3575.0,3609.0,3485.0,325588
2010-01-05,3660.0,3654.0,3799.0,3585.0,529435
2010-01-06,3615.0,3694.0,3754.0,3604.0,445403
2010-01-07,3405.0,3684.0,3684.0,3365.0,311517
2010-01-08,3395.0,3435.0,3520.0,3345.0,211973
2010-01-11,3630.0,3430.0,3659.0,3420.0,378711
2010-01-12,3525.0,3664.0,3664.0,3525.0,213507
2010-01-13,3495.0,3525.0,3560.0,3425.0,208195
2010-01-14,3795.0,3530.0,3844.0,3510.0,643346
2010-01-15,3820.0,3869.0,3914.0,3694.0,695519
2010-01-18,3750.0,3754.0,3914.0,3744.0,323704
2010-01-19,3830.0,3759.0,3839.0,3674.0,325215
2010-01-20,3695.0,3919.0,4044.0,3639.0,790992
2010-01-21,4049.0,3644.0,4049.0,3594.0,1001251
2010-01-22,4094.0,4094.0,4279.0,4069.0,1752271
2010-01-25,3655.0,3994.0,4089.0,3520.0,819972
