date,close,open,high,low,volume
2009-11-13,1123.0,978.0,1122.0,978.0,307831
2009-11-16,957.0,1216.0,1250.0,957.0,754026
2009-11-17,859.0,888.0,918.0,842.0,656578
2009-11-18,821.0,859.0,922.0,813.0,402570
2009-11-19,772.0,828.0,832.0,766.0,213569
2009-11-20,775.0,748.0,811.0,740.0,268386
2009-11-23,775.0,778.0,808.0,772.0,116261
2009-11-24,745.0,779.0,794.0,744.0,98770
2009-11-25,724.0,748.0,765.0,710.0,73168
2009-11-26,738.0,721.0,757.0,703.0,85665
2009-11-27,661.0,723.0,740.0,658.0,75212
2009-11-30,672.0,661.0,688.0,657.0,56561
2009-12-01,650.0,676.0,676.0,649.0,38661
2009-12-02,677.0,659.0,706.0,659.0,72078
2009-12-03,698.0,693.0,706.0,678.0,45525
2009-12-04,692.0,702.0,705.0,681.0,39619
2009-12-07,744.0,693.0,782.0,688.0,153284
2009-12-08,747.0,755.0,782.0,731.0,76941
2009-12-09,728.0,737.0,754.0,725.0,30073
2009-12-10,754.0,744.0,765.0,734.0,28821
2009-12-11,768.0,765.0,786.0,758.0,58625
2009-12-14,732.0,781.0,783.0,731.0,49968
2009-12-15,727.0,731.0,742.0,718.0,44338
2009-12-16,708.0,726.0,729.0,702.0,37776
2009-12-17,731.0,707.0,740.0,697.0,44677
2009-12-18,736.0,718.0,748.0,717.0,16616
2009-12-21,733.0,741.0,751.0,731.0,32976
2009-12-22,724.0,733.0,747.0,722.0,14386
2009-12-23,707.0,728.0,729.0,700.0,16163
2009-12-24,700.0,706.0,732.0,696.0,22634
2009-12-28,677.0,700.0,700.0,666.0,38283
2009-12-29,686.0,680.0,685.0,663.0,15186
2009-12-30,698.0,676.0,697.0,664.0,13051
2010-01-04,722.0,697.0,721.0,682.0,28164
2010-01-05,722.0,721.0,732.0,715.0,20111
2010-01-06,716.0,721.0,735.0,715.0,19735
2010-01-07,766.0,718.0,785.0,718.0,61877
2010-01-08,756.0,765.0,785.0,749.0,45436
2010-01-11,801.0,757.0,836.0,757.0,103042
2010-01-12,819.0,801.0,871.0,790.0,147946
