date,close,open,high,low,volume
2022-07-14,16450.0,18400.0,18600.0,16250.0,5116518
2022-07-15,15700.0,17000.0,17100.0,15450.0,1805598
2022-07-18,15800.0,15700.0,16200.0,15300.0,1370030
2022-07-19,17900.0,16450.0,17900.0,15700.0,5588690
2022-07-20,17400.0,17650.0,18750.0,16650.0,3237289
2022-07-21,17300.0,17450.0,17700.0,16700.0,1779381
2022-07-22,16000.0,17000.0,17250.0,16000.0,1166080
2022-07-25,15800.0,16000.0,16400.0,15750.0,468893
2022-07-26,15850.0,15900.0,16150.0,15600.0,434649
2022-07-27,15950.0,15750.0,16200.0,15600.0,307051
2022-07-28,15400.0,16150.0,16200.0,15400.0,446549
2022-07-29,15150.0,15450.0,15550.0,15050.0,435904
2022-08-01,15550.0,15400.0,15800.0,15300.0,751737
2022-08-02,15000.0,15650.0,15750.0,15000.0,254655
2022-08-03,14750.0,14950.0,15050.0,14550.0,245877
2022-08-04,14250.0,14900.0,14900.0,14250.0,276017
2022-08-05,14500.0,14300.0,15700.0,14050.0,1032285
2022-08-08,14450.0,14650.0,14650.0,14350.0,117364
2022-08-09,14100.0,14400.0,14450.0,14050.0,134564
2022-08-10,13900.0,14100.0,14300.0,13450.0,375148
2022-08-11,13850.0,14300.0,14500.0,13850.0,268790
2022-08-12,15050.0,14150.0,16650.0,14050.0,4934525
2022-08-16,14650.0,14750.0,15100.0,14500.0,594949
2022-08-17,14750.0,14650.0,14950.0,14500.0,498964
2022-08-18,14900.0,14500.0,15100.0,14450.0,564455
2022-08-19,14800.0,15000.0,15150.0,14800.0,378115
2022-08-22,13750.0,14600.0,14650.0,13750.0,342004
2022-08-23,13350.0,13650.0,14000.0,13200.0,204128
2022-08-24,13400.0,13550.0,13700.0,13250.0,133174
2022-08-25,13550.0,13500.0,13750.0,13450.0,122829
2022-08-26,13600.0,13700.0,13950.0,13550.0,149000
2022-08-29,12750.0,13000.0,13000.0,12700.0,226809
2022-08-30,12650.0,12850.0,12900.0,12350.0,275645
2022-08-31,13100.0,12600.0,13250.0,12500.0,183872
2022-09-01,12800.0,12900.0,13150.0,12750.0,110402
2022-09-02,12650.0,13000.0,13050.0,12600.0,123664
2022-09-05,11800.0,12550.0,12600.0,11800.0,201800
2022-09-06,11800.0,11900.0,12050.0,11700.0,110410
2022-09-07,11600.0,11700.0,12050.0,11500.0,114282
2022-09-08,11500.0,11800.0,11950.0,11500.0,87799
2022-09-13,12150.0,11750.0,12250.0,11700.0,134594
2022-09-14,12200.0,11650.0,12450.0,11600.0,117822
2022-09-15,12550.0,12700.0,13100.0,12400.0,355830
2022-09-16,12900.0,12650.0,13250.0,12200.0,228779
2022-09-19,12300.0,12800.0,13100.0,12250.0,133451
2022-09-20,12000.0,12300.0,12500.0,11850.0,128314
2022-09-21,11850.0,11900.0,12100.0,11700.0,78666
2022-09-22,12400.0,11600.0,12700.0,11600.0,224334
2022-09-23,13100.0,12600.0,13200.0,12350.0,510340
2022-09-26,12150.0,12850.0,13200.0,12150.0,250041
2022-09-27,12600.0,12100.0,13650.0,12100.0,1022278
2022-09-28,12750.0,12650.0,13150.0,12400.0,529853
2022-09-29,12800.0,13000.0,13350.0,12700.0,385572
2022-09-30,12950.0,12700.0,13250.0,12600.0,253697
2022-10-04,13200.0,13300.0,13600.0,13100.0,339876
2022-10-05,12900.0,13500.0,13500.0,12750.0,260081
