date,close,open,high,low,volume
2010-09-17,318480.0,298252.0,342514.0,291510.0,133928
2010-09-20,279032.0,336730.0,341556.0,271319.0,59428
2010-09-24,254003.0,283797.0,283797.0,253978.0,20716
2010-09-27,250159.0,258817.0,260745.0,244386.0,9705
2010-09-28,243416.0,250134.0,254936.0,241463.0,10366
2010-09-29,254961.0,244362.0,274193.0,240457.0,20803
2010-09-30,241500.0,251104.0,256864.0,241475.0,7458
2010-10-01,237656.0,239547.0,245332.0,236625.0,4455
2010-10-04,273260.0,238602.0,273247.0,232842.0,26897
2010-10-05,258829.0,286683.0,305964.0,254002.0,60906
2010-10-06,256889.0,260720.0,260720.0,248218.0,12269
2010-10-07,256889.0,259726.0,273235.0,256864.0,20090
2010-10-08,246315.0,254961.0,258817.0,246315.0,7532
2010-10-11,242458.0,246289.0,251092.0,240505.0,4786
2010-10-12,245357.0,243404.0,248231.0,240530.0,3446
2010-10-13,254003.0,246290.0,256852.0,243392.0,6570
2010-10-14,250159.0,256877.0,257859.0,249188.0,2389
2010-10-15,246315.0,254961.0,254961.0,243404.0,5262
2010-10-18,248243.0,246314.0,252075.0,246314.0,2721
2010-10-19,250159.0,251117.0,261703.0,249188.0,5056
2010-10-20,246315.0,248231.0,251117.0,244386.0,3526
2010-10-21,244399.0,250159.0,250159.0,243416.0,2469
2010-10-22,243416.0,245332.0,246289.0,239547.0,2977
2010-10-25,239572.0,243391.0,244374.0,238589.0,2239
2010-10-26,248243.0,240530.0,251080.0,238614.0,4118
2010-10-27,241500.0,250134.0,251104.0,237631.0,2985
2010-10-28,237656.0,244337.0,244337.0,236625.0,3873
2010-10-29,239572.0,239547.0,248169.0,239547.0,2491
2010-11-01,237656.0,240505.0,240505.0,235703.0,2604
2010-11-02,258829.0,238601.0,262661.0,235727.0,11576
2010-11-03,257871.0,258828.0,274217.0,257871.0,8484
2010-11-04,273260.0,257859.0,296336.0,255919.0,45638
2010-11-05,272302.0,273260.0,279020.0,261703.0,10558
2010-11-08,285775.0,278984.0,289607.0,273260.0,11558
2010-11-09,279032.0,288636.0,288636.0,278001.0,6122
2010-11-10,271344.0,280948.0,280948.0,261715.0,6009
2010-11-11,273260.0,273247.0,276134.0,265547.0,3285
2010-11-12,263631.0,276133.0,277091.0,254002.0,6163
2010-11-15,266518.0,263571.0,269367.0,257847.0,2131
2010-11-16,254961.0,261679.0,266481.0,252050.0,2904
2010-11-17,259787.0,249152.0,259787.0,240530.0,3201
2010-11-18,270362.0,261691.0,273236.0,260733.0,3336
2010-11-19,265560.0,270337.0,272278.0,262649.0,2535
2010-11-22,255931.0,272277.0,272277.0,253020.0,3445
2010-11-23,247285.0,255907.0,260745.0,247285.0,3115
2010-11-24,236686.0,227057.0,240518.0,225129.0,5700
2010-11-25,235728.0,242446.0,243404.0,233799.0,2275
2010-11-26,223226.0,233788.0,236674.0,215489.0,3580
2010-11-29,219382.0,225142.0,229968.0,217453.0,2057
2010-11-30,223226.0,218399.0,224159.0,215489.0,2808
2010-12-01,234770.0,223213.0,235728.0,219369.0,1833
2010-12-02,232842.0,236674.0,238602.0,227967.0,1373
2010-12-03,242458.0,238589.0,245332.0,231859.0,3363
2010-12-06,239572.0,246290.0,246290.0,237619.0,968
2010-12-07,236686.0,240518.0,240518.0,234757.0,905
2010-12-08,227058.0,233776.0,237620.0,221273.0,2384
2010-12-09,229968.0,226099.0,234770.0,222255.0,1786
2010-12-10,232842.0,230913.0,250146.0,230913.0,15269
2010-12-13,228028.0,233788.0,236662.0,228003.0,2709
2010-12-14,233812.0,228961.0,233812.0,228015.0,1465
2010-12-15,236686.0,233751.0,243404.0,228973.0,4044
2010-12-16,240530.0,238577.0,246290.0,233775.0,4168
2010-12-17,236686.0,243404.0,244386.0,235715.0,1912
2010-12-20,227058.0,231860.0,233776.0,225105.0,2890
2010-12-21,240530.0,230901.0,241463.0,230901.0,3461
2010-12-22,239572.0,240469.0,241463.0,236661.0,1602
2010-12-23,251129.0,240469.0,262649.0,240469.0,10880
2010-12-24,261715.0,255918.0,276145.0,251116.0,21817
2010-12-27,267476.0,256840.0,270325.0,256840.0,5797
2010-12-28,257871.0,268433.0,269391.0,255918.0,5063
2010-12-29,261715.0,263631.0,264589.0,253044.0,3177
2010-12-30,267476.0,265523.0,274194.0,257847.0,6369
2011-01-03,276146.0,269391.0,281906.0,263631.0,7587
2011-01-04,268434.0,276110.0,278996.0,266481.0,4342
2011-01-05,280948.0,276121.0,289582.0,274193.0,6994
2011-01-06,273260.0,281906.0,291522.0,273247.0,8001
2011-01-07,288649.0,278050.0,302109.0,272290.0,20652
2011-01-10,283834.0,285750.0,295354.0,280923.0,5067
2011-01-11,274218.0,284804.0,286684.0,271283.0,5274
2011-01-12,270362.0,274194.0,278038.0,266493.0,4464
2011-01-13,269404.0,274206.0,274206.0,268421.0,2697
2011-01-14,276146.0,271331.0,277104.0,264589.0,3165
2011-01-17,257871.0,276145.0,278061.0,254960.0,5271
2011-01-18,254961.0,259763.0,265523.0,253978.0,2870
2011-01-19,259787.0,257858.0,261703.0,254960.0,2425
2011-01-20,253045.0,257847.0,262649.0,247248.0,5022
2011-01-21,245357.0,253033.0,254961.0,244350.0,2805
2011-01-24,281906.0,257846.0,281881.0,255882.0,19374
2011-01-25,323282.0,311725.0,323257.0,297270.0,29593
2011-01-26,336755.0,319414.0,360789.0,307869.0,65395
2011-01-27,347341.0,344430.0,355017.0,329042.0,25951
2011-01-28,348299.0,347316.0,352131.0,334802.0,17298
2011-01-31,314636.0,339653.0,342527.0,314636.0,15487
2011-02-01,361772.0,320371.0,361747.0,315569.0,54225
2011-02-07,398346.0,384873.0,415650.0,380059.0,55395
2011-02-08,386801.0,389650.0,392561.0,366573.0,30075
2011-02-09,406058.0,389675.0,434919.0,371400.0,43940
2011-02-10,392585.0,405063.0,442594.0,384872.0,21659
2011-02-11,369484.0,389674.0,418535.0,367555.0,18314
2011-02-14,401232.0,371376.0,406992.0,357915.0,20812
2011-02-15,381987.0,407004.0,415650.0,377160.0,14922
2011-02-16,382957.0,381028.0,403147.0,375244.0,11865
2011-02-17,381029.0,394489.0,397375.0,365628.0,9064
2011-02-18,382957.0,373328.0,390633.0,372358.0,7665
2011-02-21,411818.0,391590.0,434906.0,388716.0,26913
2011-02-22,452236.0,404105.0,457959.0,404105.0,27204
2011-02-23,423363.0,443553.0,447422.0,415650.0,22065
2011-02-24,388717.0,420452.0,426224.0,388692.0,12744
2011-02-25,423363.0,396417.0,429123.0,392573.0,11247
2011-02-28,409890.0,418536.0,423350.0,398333.0,9731
2011-03-02,394501.0,401219.0,414691.0,391590.0,7425
2011-03-03,376202.0,403110.0,407937.0,370405.0,15784
2011-03-04,391603.0,384848.0,396405.0,372346.0,10934
2011-03-07,372358.0,390608.0,396392.0,370405.0,9689
2011-03-08,380071.0,368514.0,383903.0,359843.0,9530
2011-03-09,358898.0,383890.0,384848.0,357915.0,10535
2011-03-10,366598.0,359843.0,373316.0,347341.0,9402
2011-03-11,359856.0,355987.0,372334.0,350203.0,4714
2011-03-14,344455.0,365628.0,366585.0,331940.0,9126
2011-03-15,307893.0,335771.0,347316.0,305940.0,12148
2011-03-16,320396.0,315569.0,330958.0,312683.0,8492
2011-03-17,329066.0,308838.0,330982.0,306922.0,5518
2011-03-18,318480.0,329042.0,333844.0,317497.0,6857
2011-03-21,344455.0,321353.0,344455.0,321353.0,7085
2011-03-22,335797.0,347317.0,348275.0,333844.0,4737
2011-03-23,335797.0,337688.0,338670.0,322300.0,4726
2011-03-24,364658.0,337688.0,385806.0,337688.0,44629
2011-03-25,359856.0,364633.0,369460.0,355987.0,9491
2011-03-28,360814.0,365616.0,381004.0,358861.0,12134
2011-03-29,355054.0,371400.0,372358.0,352167.0,6046
2011-03-30,356970.0,356970.0,364646.0,354083.0,6189
2011-03-31,354084.0,359844.0,364646.0,350215.0,4616
2011-04-01,365640.0,356969.0,370442.0,352167.0,6794
2011-04-04,361772.0,372334.0,381962.0,361747.0,9864
2011-04-05,358898.0,365616.0,368502.0,357915.0,3567
2011-04-06,355054.0,356970.0,367556.0,353125.0,4899
2011-04-07,362742.0,360789.0,373304.0,355987.0,6418
2011-04-08,342539.0,365627.0,368514.0,342539.0,6874
2011-04-11,328108.0,343496.0,346382.0,325221.0,5750
2011-04-12,320396.0,331916.0,331916.0,320371.0,3019
2011-04-13,342539.0,321353.0,357927.0,321353.0,8903
2011-04-14,341581.0,346383.0,349257.0,338694.0,2534
2011-04-15,343497.0,346370.0,350215.0,340610.0,3368
2011-04-18,333869.0,343473.0,345389.0,331916.0,3101
2011-04-19,327150.0,333868.0,333868.0,323281.0,3095
2011-04-20,334839.0,329042.0,341557.0,327126.0,3866
2011-04-21,325222.0,336742.0,345412.0,325222.0,3707
2011-04-22,317522.0,326180.0,330024.0,308851.0,2852
2011-04-25,312720.0,321366.0,321366.0,311749.0,1838
2011-04-26,302121.0,312658.0,315581.0,294408.0,4508
2011-04-27,302121.0,301114.0,311737.0,294408.0,3937
2011-04-28,288649.0,303079.0,307881.0,287678.0,3599
2011-04-29,269404.0,288636.0,291510.0,266493.0,5166
2011-05-02,283834.0,269379.0,283809.0,266493.0,3385
2011-05-03,277104.0,282864.0,282864.0,272289.0,1568
2011-05-04,273260.0,276134.0,279020.0,269391.0,2220
2011-05-06,258829.0,269391.0,273259.0,257858.0,3224
2011-05-09,265560.0,260733.0,267451.0,259763.0,1601
2011-05-11,276146.0,267427.0,283822.0,267427.0,2567
2011-05-12,273260.0,271331.0,285762.0,271331.0,1945
2011-05-13,277104.0,279020.0,279020.0,271331.0,1754
2011-05-16,286733.0,276134.0,291535.0,273260.0,2417
2011-05-17,273260.0,279020.0,282864.0,271331.0,2220
2011-05-18,262673.0,269391.0,273259.0,261702.0,2260
2011-05-19,257871.0,262673.0,277103.0,257871.0,4178
2011-05-20,250159.0,265547.0,265547.0,243404.0,2427
2011-05-23,229968.0,246314.0,251116.0,229968.0,2751
2011-05-24,233812.0,225141.0,239572.0,224183.0,2448
2011-05-25,227058.0,233776.0,239536.0,226075.0,2473
2011-05-26,232842.0,227045.0,233800.0,227045.0,1096
2011-05-27,232842.0,232842.0,241488.0,232842.0,1054
2011-05-30,230926.0,233799.0,236686.0,228973.0,827
2011-05-31,230926.0,234757.0,234757.0,228973.0,1178
2011-06-01,236686.0,236686.0,236686.0,228015.0,822
2011-06-02,229968.0,228015.0,236649.0,226099.0,869
2011-06-03,219382.0,228986.0,232842.0,212627.0,2267
2011-06-07,212627.0,214518.0,218387.0,211644.0,846
2011-06-08,207825.0,211657.0,219369.0,206854.0,1498
2011-06-09,213597.0,206842.0,216471.0,205884.0,1055
2011-06-10,199154.0,213560.0,216458.0,197201.0,2104
2011-06-13,194352.0,195310.0,203968.0,191465.0,1784
2011-06-14,192230.0,195285.0,198172.0,186833.0,2000
2011-06-15,201082.0,194327.0,204913.0,192205.0,2927
2011-06-16,192230.0,197214.0,199130.0,192205.0,819
2011-06-17,191660.0,194327.0,198171.0,191247.0,1560
2011-06-20,185888.0,190690.0,194340.0,185875.0,1116
2011-06-21,180880.0,185876.0,186640.0,177399.0,2327
2011-06-22,188568.0,182965.0,189526.0,182965.0,2088
2011-06-23,196280.0,188749.0,202998.0,188543.0,2778
2011-06-24,206867.0,196268.0,215513.0,195310.0,2887
2011-06-27,204939.0,203010.0,206855.0,200112.0,2017
2011-06-28,198196.0,208758.0,209716.0,197213.0,1273
2011-06-29,195322.0,202040.0,202040.0,194351.0,1663
