date,close,open,high,low,volume
2011-02-09,9967.0,11700.0,11866.0,9966.0,4163864
2011-02-10,10400.0,10200.0,11033.0,9966.0,1862393
2011-02-11,9700.0,10500.0,10633.0,9400.0,783912
2011-02-14,9867.0,9866.0,10366.0,9666.0,495471
2011-02-15,9367.0,9866.0,9966.0,9366.0,441355
2011-02-16,9700.0,9533.0,10466.0,9366.0,684858
2011-02-17,9200.0,9766.0,10066.0,9200.0,448321
2011-02-18,9467.0,9233.0,9800.0,9100.0,423111
2011-02-21,9733.0,9533.0,10233.0,9533.0,577843
2011-02-22,9633.0,9666.0,9966.0,9499.0,195404
2011-02-23,9433.0,9733.0,10099.0,9433.0,344699
2011-02-24,9167.0,9333.0,9533.0,9133.0,317705
2011-02-25,9133.0,9266.0,9333.0,8933.0,215297
2011-02-28,9300.0,9600.0,10066.0,9266.0,498531
2011-03-02,9867.0,9300.0,9866.0,9200.0,324823
2011-03-03,9800.0,9966.0,10433.0,9766.0,424126
2011-03-04,10200.0,10000.0,10300.0,9900.0,234073
2011-03-07,10400.0,10200.0,10466.0,10066.0,242427
2011-03-08,10900.0,10433.0,10900.0,10166.0,337236
2011-03-09,10933.0,11000.0,11200.0,10800.0,252290
2011-03-10,11000.0,11033.0,11266.0,10766.0,226382
2011-03-11,10700.0,10633.0,10966.0,10600.0,104705
2011-03-14,10233.0,10600.0,10699.0,9800.0,194855
2011-03-15,10500.0,10433.0,11566.0,9433.0,709507
2011-03-16,10467.0,10733.0,10866.0,10033.0,219217
2011-03-17,10100.0,10166.0,10333.0,10000.0,175815
2011-03-18,10500.0,10266.0,10766.0,10233.0,231901
2011-03-21,11033.0,10733.0,11033.0,10500.0,182303
2011-03-22,11267.0,11066.0,11600.0,10933.0,332107
2011-03-23,11067.0,11333.0,11366.0,11066.0,147474
2011-03-24,11267.0,11166.0,11566.0,10966.0,222417
2011-03-25,11100.0,11366.0,11466.0,11066.0,164088
2011-03-28,12067.0,11133.0,12433.0,11033.0,694852
2011-03-29,11933.0,12366.0,12466.0,11933.0,482426
2011-03-30,12200.0,12000.0,12900.0,12000.0,526744
2011-03-31,12333.0,12533.0,12766.0,12166.0,231196
2011-04-01,12267.0,12466.0,12533.0,12166.0,180276
2011-04-04,12533.0,12333.0,13066.0,12266.0,306457
2011-04-05,12867.0,12700.0,12900.0,12500.0,152691
2011-04-06,12567.0,12866.0,12866.0,12300.0,190963
2011-04-07,12033.0,12566.0,12566.0,11800.0,321656
2011-04-08,12033.0,12033.0,12400.0,11600.0,187508
