date,close,open,high,low,volume
2015-12-16,7216.0,6213.0,7916.0,6213.0,1072954
2015-12-17,7236.0,7294.0,7415.0,6794.0,110818
2015-12-18,6875.0,7234.0,7274.0,6814.0,44123
2015-12-21,6555.0,6755.0,6795.0,6333.0,73492
2015-12-22,6695.0,6793.0,7034.0,6413.0,72195
2015-12-23,7256.0,6774.0,7415.0,6534.0,103875
2015-12-24,7236.0,7254.0,7455.0,7055.0,31796
2015-12-28,6855.0,7254.0,7475.0,6794.0,27403
2015-12-29,7196.0,6995.0,7234.0,6895.0,58045
2015-12-30,7357.0,7296.0,7497.0,7176.0,50477
2016-01-04,7437.0,7497.0,7838.0,7417.0,73142
2016-01-05,7637.0,7295.0,7655.0,7295.0,97638
2016-01-06,7657.0,7776.0,7816.0,7456.0,85393
2016-01-07,7537.0,7675.0,7916.0,7436.0,74312
2016-01-08,7597.0,7336.0,7615.0,7235.0,50543
2016-01-11,7216.0,7615.0,7615.0,7095.0,40030
2016-01-12,6775.0,7214.0,7214.0,6694.0,57675
2016-01-13,6535.0,6976.0,6976.0,6194.0,131871
2016-01-14,6775.0,6333.0,7094.0,6273.0,177021
2016-01-15,7417.0,6936.0,7677.0,6835.0,330849
2016-01-18,7437.0,7256.0,7617.0,7176.0,337632
2016-01-19,7637.0,7695.0,7876.0,7295.0,177864
2016-01-20,7196.0,7615.0,7675.0,6694.0,215973
2016-01-21,6936.0,7116.0,7236.0,6875.0,61780
2016-01-22,7096.0,6935.0,7214.0,6814.0,73483
2016-01-25,7096.0,7194.0,7194.0,6854.0,37732
2016-01-26,6936.0,7096.0,7096.0,6775.0,21141
2016-01-27,6795.0,6994.0,7054.0,6774.0,35834
2016-01-28,6936.0,6815.0,7016.0,6635.0,29387
2016-01-29,6896.0,7096.0,7096.0,6695.0,14957
2016-02-01,7056.0,6916.0,7156.0,6795.0,73943
2016-02-02,6875.0,6974.0,7194.0,6734.0,34810
2016-02-03,6635.0,6775.0,6896.0,6354.0,39681
2016-02-04,6795.0,6674.0,6813.0,6534.0,42203
2016-02-05,6735.0,7154.0,7174.0,6574.0,82811
2016-02-11,6054.0,6474.0,6514.0,5913.0,83868
2016-02-12,5192.0,5733.0,5993.0,4410.0,205212
2016-02-15,5212.0,5332.0,5412.0,4851.0,101864
2016-02-16,5412.0,5291.0,5530.0,5211.0,55831
2016-02-17,5813.0,5351.0,6052.0,5271.0,121584
2016-02-18,6735.0,5912.0,7014.0,5912.0,301447
2016-02-19,6775.0,6894.0,6954.0,6614.0,74184
2016-02-22,6896.0,6775.0,6976.0,6655.0,64294
2016-02-23,6535.0,6855.0,6896.0,6213.0,110181
2016-02-24,6595.0,6535.0,6675.0,6333.0,55239
2016-02-25,6535.0,6535.0,6655.0,6413.0,37444
2016-02-26,6675.0,6833.0,6934.0,6554.0,114382
2016-02-29,6956.0,6735.0,7156.0,6715.0,128702
2016-03-02,7016.0,7216.0,7216.0,6896.0,73090
2016-03-03,7036.0,6976.0,7076.0,6695.0,83790
2016-03-04,6996.0,7036.0,7056.0,6875.0,33763
2016-03-07,7096.0,7095.0,7154.0,6834.0,77583
2016-03-08,7176.0,7135.0,7234.0,6975.0,78046
2016-03-09,7357.0,7176.0,7457.0,7056.0,89546
2016-03-10,7357.0,7397.0,7497.0,7256.0,81248
2016-03-11,7677.0,7356.0,7816.0,7255.0,176307
2016-03-14,7697.0,7715.0,7715.0,7576.0,33593
2016-03-15,7577.0,7675.0,7796.0,7356.0,75315
2016-03-16,7737.0,7496.0,7796.0,7235.0,114895
2016-03-17,7557.0,7816.0,7876.0,7496.0,79327
2016-03-18,7577.0,7536.0,7615.0,7436.0,44566
2016-03-21,7818.0,7516.0,7818.0,7436.0,65779
2016-03-22,7958.0,8016.0,8136.0,7757.0,119542
2016-03-23,7697.0,7996.0,8016.0,7676.0,93989
2016-03-24,7357.0,7617.0,7617.0,7357.0,69706
2016-03-25,7377.0,7296.0,7437.0,7176.0,43539
2016-03-28,6976.0,7337.0,7377.0,6735.0,93978
2016-03-29,7176.0,6975.0,7175.0,6895.0,76697
2016-03-30,6896.0,7176.0,7216.0,6755.0,129950
2016-03-31,6996.0,6956.0,6996.0,6755.0,51491
2016-04-01,7016.0,7076.0,7236.0,6916.0,107420
2016-04-04,7276.0,7035.0,7415.0,7015.0,42872
2016-04-05,7196.0,7135.0,7294.0,7115.0,27634
2016-04-06,7236.0,7195.0,7315.0,7055.0,57400
2016-04-07,7116.0,7274.0,7294.0,7095.0,49881
2016-04-08,7116.0,7115.0,7174.0,6995.0,45148
2016-04-11,6896.0,7136.0,7156.0,6855.0,61729
2016-04-12,6976.0,6835.0,6996.0,6795.0,27127
2016-04-14,7056.0,7016.0,7096.0,6835.0,29047
2016-04-15,7056.0,7136.0,7176.0,6956.0,52364
2016-04-18,7016.0,7056.0,7136.0,6855.0,22255
2016-04-19,6936.0,6976.0,7016.0,6855.0,32982
2016-04-20,6976.0,6996.0,6996.0,6875.0,20587
2016-04-21,7296.0,6975.0,7295.0,6915.0,74409
2016-04-22,7216.0,7315.0,7315.0,7135.0,38850
2016-04-25,7236.0,7294.0,7294.0,7155.0,24286
2016-04-26,7216.0,7215.0,7274.0,7035.0,49020
2016-04-27,7176.0,7175.0,7274.0,7135.0,40237
2016-04-28,7517.0,7176.0,7537.0,7156.0,117484
2016-04-29,7537.0,7416.0,7595.0,7356.0,77530
2016-05-02,7357.0,7577.0,7577.0,7357.0,36739
2016-05-03,7377.0,7357.0,7557.0,7337.0,62595
2016-05-04,7256.0,7355.0,7455.0,7095.0,63326
2016-05-09,7076.0,7176.0,7337.0,7076.0,37620
2016-05-10,7136.0,7055.0,7135.0,6935.0,30940
2016-05-11,7136.0,7095.0,7254.0,7095.0,36261
2016-05-12,6996.0,7076.0,7156.0,6996.0,29225
2016-05-13,6916.0,7016.0,7096.0,6855.0,64763
2016-05-16,6715.0,6914.0,6914.0,6714.0,56378
2016-05-17,6695.0,6333.0,6813.0,6173.0,150617
2016-05-18,6835.0,6594.0,6994.0,6574.0,66858
2016-05-19,6815.0,6833.0,6894.0,6433.0,68729
2016-05-20,7076.0,6815.0,7136.0,6675.0,38722
2016-05-23,7176.0,7075.0,7194.0,6995.0,41215
2016-05-24,7276.0,7075.0,7275.0,6995.0,52834
2016-05-25,7337.0,7317.0,7337.0,7136.0,44421
2016-05-26,7377.0,7397.0,7457.0,7256.0,51870
2016-05-27,7337.0,7417.0,7417.0,7176.0,29654
2016-05-30,7216.0,7395.0,7395.0,7155.0,28360
2016-05-31,7196.0,7075.0,7335.0,7075.0,25869
2016-06-01,7216.0,7335.0,7335.0,7135.0,36173
2016-06-02,7116.0,7214.0,7214.0,6995.0,25337
2016-06-03,6956.0,7096.0,7096.0,6795.0,46857
2016-06-07,6956.0,6976.0,7056.0,6795.0,37218
2016-06-08,6896.0,6936.0,6936.0,6755.0,37906
2016-06-09,6835.0,6814.0,6974.0,6674.0,36717
2016-06-10,6875.0,6894.0,6894.0,6694.0,30964
2016-06-13,6815.0,6814.0,6974.0,6694.0,30905
2016-06-14,6815.0,6734.0,6853.0,6694.0,12178
2016-06-15,6896.0,6815.0,6976.0,6715.0,23405
2016-06-16,6815.0,6894.0,6974.0,6674.0,14624
2016-06-17,6675.0,6753.0,6813.0,6594.0,14534
2016-06-20,6635.0,6695.0,6755.0,6595.0,26394
2016-06-21,6655.0,6495.0,6655.0,6413.0,20557
2016-06-22,6595.0,6495.0,6655.0,6495.0,12632
2016-06-23,6555.0,6495.0,6635.0,6373.0,21081
2016-06-24,6234.0,6575.0,6735.0,5932.0,83645
2016-06-27,6835.0,6253.0,6914.0,5972.0,72346
2016-06-28,7417.0,6835.0,7537.0,6735.0,185058
2016-06-29,8339.0,7437.0,8479.0,7236.0,489508
2016-06-30,8579.0,8478.0,8758.0,8157.0,340262
2016-07-01,8820.0,8619.0,9439.0,8398.0,230897
2016-07-04,9221.0,8820.0,9502.0,8820.0,195731
2016-07-05,9622.0,9241.0,10003.0,9241.0,246191
2016-07-06,10324.0,9822.0,10324.0,9441.0,189880
2016-07-07,10143.0,10462.0,10983.0,10022.0,151703
2016-07-08,10203.0,10142.0,10662.0,9942.0,152589
2016-07-11,10624.0,10242.0,10803.0,10242.0,136536
2016-07-12,10484.0,10704.0,10805.0,10464.0,133061
2016-07-13,10604.0,10563.0,10702.0,10202.0,124289
2016-07-14,10604.0,10622.0,10763.0,10423.0,66730
2016-07-15,11145.0,10623.0,11184.0,10623.0,165136
2016-07-18,11105.0,11104.0,11184.0,10543.0,134887
2016-07-19,11145.0,10984.0,11224.0,10723.0,98675
2016-07-20,11627.0,11025.0,12027.0,11025.0,184708
2016-07-21,12027.0,11666.0,12026.0,11505.0,153668
2016-07-22,13070.0,12027.0,13150.0,11787.0,183001
2016-07-25,12609.0,13110.0,13110.0,12368.0,108609
2016-07-26,12348.0,12627.0,12627.0,11806.0,191338
2016-07-27,12068.0,12408.0,12428.0,11967.0,77648
2016-07-28,12970.0,12088.0,13070.0,12088.0,181773
2016-07-29,12970.0,13010.0,13050.0,12428.0,101005
2016-08-01,13812.0,12869.0,13812.0,12829.0,210346
2016-08-02,13952.0,13852.0,14092.0,13371.0,112902
2016-08-03,14233.0,13710.0,14934.0,13550.0,126362
2016-08-04,14092.0,14251.0,14692.0,13891.0,69575
2016-08-05,13210.0,14110.0,14291.0,12748.0,496314
2016-08-08,12649.0,13310.0,13411.0,12108.0,331663
2016-08-09,12849.0,12528.0,13088.0,11906.0,228419
2016-08-10,12769.0,12768.0,12908.0,12608.0,61707
2016-08-11,11927.0,12747.0,12767.0,11786.0,152621
2016-08-12,12348.0,11966.0,12547.0,11746.0,107650
2016-08-16,12108.0,12368.0,12489.0,11967.0,45744
2016-08-17,12308.0,12006.0,12446.0,11726.0,44266
2016-08-18,12629.0,12148.0,13230.0,12128.0,144500
2016-08-19,12769.0,12728.0,13208.0,12427.0,123374
2016-08-22,12228.0,12769.0,12910.0,12088.0,72579
2016-08-23,12088.0,12228.0,12569.0,11826.0,56365
2016-08-24,11627.0,11947.0,12087.0,11406.0,102388
2016-08-25,11105.0,11404.0,11564.0,10924.0,108746
2016-08-26,11526.0,10884.0,11645.0,10884.0,83909
2016-08-29,10664.0,11344.0,11344.0,10543.0,78032
2016-08-30,11145.0,10663.0,11144.0,10663.0,51210
2016-08-31,11366.0,10865.0,11366.0,10424.0,59711
2016-09-01,11145.0,11144.0,11504.0,11144.0,29358
2016-09-02,11627.0,11446.0,11687.0,11105.0,45425
2016-09-05,11747.0,11486.0,11927.0,11246.0,52163
2016-09-06,11306.0,11526.0,11727.0,11206.0,43940
2016-09-07,10744.0,11224.0,11344.0,10703.0,66130
2016-09-08,10303.0,10462.0,11083.0,10082.0,95081
2016-09-09,10544.0,10222.0,10783.0,9781.0,71213
2016-09-12,10003.0,10263.0,10524.0,9882.0,45236
2016-09-13,10163.0,10301.0,10522.0,10082.0,65437
2016-09-19,10424.0,10324.0,10504.0,10163.0,16753
2016-09-20,10704.0,10443.0,10843.0,10343.0,22005
2016-09-21,10785.0,10925.0,10925.0,10584.0,28688
2016-09-22,11707.0,11005.0,11827.0,11005.0,146731
2016-09-23,12027.0,11766.0,12106.0,11545.0,162270
2016-09-26,11687.0,12048.0,12128.0,11667.0,36341
2016-09-27,12288.0,11605.0,12527.0,11285.0,115838
2016-09-28,12228.0,12228.0,12809.0,12027.0,108957
2016-09-29,12388.0,12227.0,12667.0,12167.0,55223
2016-09-30,12689.0,12387.0,12688.0,12227.0,68948
2016-10-04,12829.0,12708.0,13028.0,12307.0,84180
2016-10-05,12529.0,12549.0,13030.0,12228.0,60082
2016-10-06,12308.0,12547.0,12747.0,12287.0,28819
