date,close,open,high,low,volume
2011-05-02,4770.0,5610.0,5890.0,4770.0,1495851
2011-05-03,5480.0,4980.0,5480.0,4910.0,258218
2011-05-04,6300.0,6300.0,6300.0,6300.0,80272
2011-05-06,5800.0,6600.0,7150.0,5750.0,4876704
2011-05-09,5300.0,5930.0,6060.0,5140.0,1968465
2011-05-11,5000.0,5360.0,5880.0,4930.0,2073369
2011-05-12,5270.0,4970.0,5510.0,4960.0,2170791
2011-05-13,5000.0,5330.0,5670.0,4980.0,774165
2011-05-16,4700.0,5050.0,5070.0,4700.0,529985
2011-05-17,4480.0,4710.0,4950.0,4400.0,693556
2011-05-18,4425.0,4550.0,4730.0,4400.0,693716
2011-05-19,4565.0,4510.0,4950.0,4410.0,1124581
2011-05-20,4450.0,4620.0,4740.0,4430.0,492823
2011-05-23,4095.0,4480.0,4620.0,4085.0,373931
2011-05-24,4040.0,4030.0,4155.0,3770.0,334284
2011-05-25,3800.0,4050.0,4150.0,3780.0,187062
2011-05-26,4370.0,3900.0,4370.0,3835.0,601922
2011-05-27,4150.0,4535.0,4600.0,4110.0,858518
2011-05-30,4410.0,4300.0,4450.0,4145.0,580036
2011-05-31,4240.0,4465.0,4465.0,4180.0,368347
2011-06-01,4060.0,4240.0,4295.0,4040.0,140770
2011-06-02,4085.0,4000.0,4210.0,3900.0,160743
2011-06-03,4010.0,4090.0,4185.0,3975.0,95053
2011-06-07,3960.0,3965.0,4050.0,3960.0,68047
2011-06-08,4200.0,4030.0,4380.0,4000.0,342649
2011-06-09,4275.0,4250.0,4470.0,4225.0,314739
2011-06-10,4150.0,4305.0,4330.0,4040.0,88972
2011-06-13,4295.0,4100.0,4295.0,4050.0,81295
2011-06-14,4935.0,4420.0,4935.0,4400.0,410193
2011-06-15,5000.0,5400.0,5530.0,4735.0,1187124
2011-06-16,5750.0,5120.0,5750.0,5020.0,2620474
2011-06-17,5560.0,5930.0,6090.0,5400.0,2934100
2011-06-20,5540.0,5610.0,5900.0,5350.0,1612613
2011-06-21,5670.0,5680.0,6170.0,5450.0,2611825
2011-06-22,5480.0,5750.0,6030.0,5410.0,1442241
2011-06-23,5310.0,5450.0,5660.0,5280.0,948489
2011-06-24,5220.0,5350.0,5420.0,5130.0,600970
2011-06-27,5090.0,5280.0,5550.0,5010.0,851800
2011-06-28,5190.0,5100.0,5310.0,5030.0,447820
2011-06-29,5080.0,5300.0,5430.0,5080.0,473319
