date,close,open,high,low,volume
2011-07-29,3176.0,3722.0,4098.0,3176.0,3325359
2011-08-01,2855.0,2923.0,2957.0,2762.0,2654708
2011-08-02,2760.0,2878.0,2967.0,2718.0,1528646
2011-08-03,2630.0,2742.0,2783.0,2578.0,775739
2011-08-04,2442.0,2680.0,2742.0,2441.0,891265
2011-08-05,2100.0,2168.0,2247.0,2076.0,705037
2011-08-08,1848.0,2049.0,2162.0,1786.0,562288
2011-08-09,1622.0,1698.0,1789.0,1570.0,605256
2011-08-10,1677.0,1768.0,1802.0,1676.0,542444
2011-08-11,1820.0,1553.0,1820.0,1553.0,525178
2011-08-12,1738.0,1874.0,1936.0,1734.0,518117
2011-08-16,1947.0,1806.0,1987.0,1806.0,655148
2011-08-17,2022.0,1946.0,2110.0,1884.0,644062
2011-08-18,1967.0,2076.0,2076.0,1912.0,296568
2011-08-19,1786.0,1792.0,1864.0,1741.0,335907
2011-08-22,1834.0,1843.0,1898.0,1796.0,253302
2011-08-23,1838.0,1884.0,1905.0,1827.0,164006
2011-08-24,1800.0,1878.0,1888.0,1799.0,146600
2011-08-25,1943.0,1994.0,2038.0,1905.0,596151
2011-08-26,1906.0,1939.0,1939.0,1861.0,175325
2011-08-29,1964.0,1912.0,1997.0,1912.0,112590
2011-08-30,1933.0,1990.0,1997.0,1912.0,136496
2011-08-31,2220.0,1980.0,2219.0,1966.0,759719
2011-09-01,2155.0,2270.0,2345.0,2107.0,851360
2011-09-02,2183.0,2158.0,2195.0,2090.0,417874
2011-09-05,2025.0,2151.0,2162.0,1997.0,268271
2011-09-06,1752.0,1963.0,1997.0,1738.0,353586
2011-09-07,1834.0,1809.0,1847.0,1782.0,134126
2011-09-08,1783.0,1868.0,1874.0,1758.0,105516
2011-09-09,1797.0,1755.0,1895.0,1751.0,100551
2011-09-14,1745.0,1776.0,1843.0,1745.0,87773
2011-09-15,1755.0,1809.0,1823.0,1704.0,67246
2011-09-16,1830.0,1809.0,1864.0,1748.0,165800
2011-09-19,1855.0,1830.0,1861.0,1792.0,100949
2011-09-20,1926.0,1861.0,2100.0,1861.0,518817
2011-09-21,1961.0,1966.0,1966.0,1895.0,128962
2011-09-22,1827.0,1902.0,1943.0,1827.0,94756
2011-09-23,1669.0,1741.0,1741.0,1645.0,125133
2011-09-26,1452.0,1610.0,1700.0,1420.0,132857
2011-09-27,1537.0,1454.0,1563.0,1454.0,67830
2011-09-28,1525.0,1580.0,1629.0,1523.0,32242
2011-09-29,1540.0,1526.0,1577.0,1523.0,63561
2011-09-30,1569.0,1541.0,1570.0,1526.0,49688
2011-10-04,1489.0,1461.0,1502.0,1422.0,56980
2011-10-05,1428.0,1519.0,1519.0,1423.0,38130
2011-10-06,1421.0,1456.0,1490.0,1420.0,51557
2011-10-07,1506.0,1456.0,1528.0,1456.0,62990
2011-10-10,1530.0,1498.0,1547.0,1498.0,38712
2011-10-11,1565.0,1563.0,1598.0,1550.0,37894
2011-10-12,1565.0,1601.0,1601.0,1519.0,55780
2011-10-13,1636.0,1608.0,1652.0,1592.0,79087
2011-10-14,1673.0,1652.0,1673.0,1580.0,42986
2011-10-17,1673.0,1704.0,1731.0,1659.0,112800
2011-10-18,1653.0,1758.0,1789.0,1651.0,187881
2011-10-19,1606.0,1700.0,1700.0,1604.0,84098
2011-10-20,1547.0,1608.0,1690.0,1547.0,75009
2011-10-21,1595.0,1601.0,1604.0,1557.0,47207
2011-10-24,1834.0,1639.0,1833.0,1613.0,219549
2011-10-25,1820.0,1843.0,1936.0,1776.0,223418
2011-10-26,1871.0,1792.0,1912.0,1741.0,157894
2011-10-27,1845.0,1915.0,2000.0,1840.0,173220
2011-10-28,1930.0,1895.0,2038.0,1843.0,256205
