date,close,open,high,low,volume
2013-12-19,2913.0,3424.0,3475.0,2913.0,3327839
2013-12-20,2816.0,2811.0,3082.0,2785.0,4871708
2013-12-23,2821.0,2903.0,2990.0,2800.0,1724071
2013-12-24,2683.0,2811.0,2852.0,2652.0,1155503
2013-12-26,2586.0,2662.0,2724.0,2586.0,506461
2013-12-27,2627.0,2601.0,2688.0,2586.0,686491
2013-12-30,2622.0,2657.0,2678.0,2591.0,437106
2014-01-02,2540.0,2632.0,2668.0,2535.0,447203
2014-01-03,2556.0,2530.0,2581.0,2501.0,331760
2014-01-06,2643.0,2555.0,2734.0,2530.0,629755
2014-01-07,2653.0,2647.0,2708.0,2627.0,305620
2014-01-08,3046.0,2693.0,3046.0,2683.0,2506945
2014-01-09,3051.0,3071.0,3148.0,2974.0,1632497
2014-01-10,3169.0,3036.0,3168.0,2954.0,1590979
2014-01-13,3220.0,3117.0,3358.0,3082.0,1428870
2014-01-14,3092.0,3179.0,3214.0,3092.0,581462
2014-01-15,3333.0,3092.0,3501.0,3030.0,2116374
2014-01-16,3373.0,3317.0,3782.0,3296.0,2170930
2014-01-17,3833.0,3398.0,3879.0,3352.0,2715131
2014-01-20,4038.0,3879.0,4242.0,3853.0,1766845
2014-01-21,3885.0,4155.0,4160.0,3797.0,928396
2014-01-22,4191.0,3884.0,4191.0,3838.0,1271441
2014-01-23,4079.0,4160.0,4211.0,4053.0,524000
2014-01-24,4028.0,4078.0,4104.0,3905.0,552348
2014-01-27,3885.0,3884.0,3940.0,3802.0,415467
2014-01-28,4048.0,3930.0,4104.0,3910.0,649519
2014-01-29,4023.0,4063.0,4063.0,3940.0,305101
2014-02-03,3941.0,3986.0,4007.0,3858.0,423015
2014-02-04,3966.0,3858.0,3976.0,3777.0,638819
2014-02-05,3885.0,4037.0,4135.0,3833.0,587627
2014-02-06,3936.0,3853.0,3935.0,3797.0,391221
2014-02-07,4191.0,3935.0,4308.0,3910.0,1582190
2014-02-10,4232.0,4237.0,4242.0,4104.0,455945
2014-02-11,4498.0,4273.0,4651.0,4227.0,2265423
2014-02-12,4523.0,4528.0,4738.0,4472.0,706726
2014-02-13,4600.0,4595.0,4779.0,4508.0,784482
2014-02-14,4615.0,4641.0,4733.0,4574.0,389875
2014-02-17,4437.0,4620.0,4641.0,4339.0,547016
2014-02-18,4462.0,4451.0,4513.0,4334.0,414837
2014-02-19,4600.0,4482.0,4702.0,4451.0,623281
2014-02-20,4488.0,4600.0,4651.0,4400.0,443883
2014-02-21,4595.0,4487.0,4681.0,4446.0,399199
2014-02-24,4621.0,4610.0,4932.0,4559.0,898018
2014-02-25,4932.0,4676.0,4983.0,4492.0,1283587
2014-02-26,4917.0,4973.0,5049.0,4917.0,568574
2014-02-27,5101.0,5111.0,5366.0,5085.0,2211945
2014-02-28,5265.0,5187.0,5443.0,5106.0,1525300
2014-03-03,5290.0,5290.0,5469.0,5213.0,737124
2014-03-04,5341.0,5213.0,5392.0,5070.0,1488712
2014-03-05,5316.0,5392.0,5545.0,5111.0,1408282
2014-03-06,5239.0,5366.0,5366.0,5187.0,633097
2014-03-07,5341.0,5264.0,5392.0,5136.0,792504
2014-03-10,5188.0,5392.0,5417.0,5187.0,689106
2014-03-11,5137.0,5187.0,5239.0,5065.0,639768
2014-03-12,5035.0,5162.0,5162.0,4896.0,466318
2014-03-13,5443.0,5106.0,5494.0,5044.0,1037234
2014-03-14,6236.0,5469.0,6235.0,5366.0,1534765
2014-03-17,6670.0,6619.0,7130.0,6388.0,4297059
2014-03-18,6696.0,6924.0,7666.0,6567.0,6583956
2014-03-19,7437.0,6772.0,7615.0,6490.0,5931011
2014-03-20,7922.0,7283.0,8178.0,7231.0,4314544
2014-03-21,9098.0,8126.0,9098.0,8100.0,3107299
2014-03-24,10223.0,9506.0,10452.0,9481.0,4414050
2014-03-25,9379.0,9966.0,10120.0,9149.0,2456500
2014-03-26,8970.0,9455.0,9813.0,8612.0,4020454
2014-03-27,9226.0,9072.0,10043.0,8868.0,4729035
2014-03-28,8715.0,9302.0,9583.0,8535.0,3148987
2014-03-31,8945.0,8714.0,8970.0,8510.0,1786162
2014-04-01,9098.0,8816.0,9634.0,8714.0,3400330
2014-04-02,8842.0,9328.0,9455.0,8816.0,1682005
2014-04-03,8664.0,8995.0,9072.0,8663.0,1332623
2014-04-04,8689.0,8663.0,9149.0,8510.0,1714778
2014-04-07,8970.0,8714.0,8970.0,8535.0,1037845
2014-04-08,10299.0,9021.0,10299.0,8919.0,6566759
2014-04-09,9481.0,10222.0,10324.0,9379.0,3577748
2014-04-10,9277.0,9558.0,9736.0,9098.0,2006362
2014-04-11,9200.0,8919.0,9404.0,8893.0,1713598
2014-04-14,9098.0,9251.0,9455.0,9046.0,1019644
2014-04-15,9021.0,9123.0,9353.0,8995.0,922945
2014-04-16,9328.0,9098.0,9736.0,8995.0,2348982
2014-04-17,9098.0,9455.0,9583.0,9098.0,738595
2014-04-18,8689.0,9072.0,9149.0,8638.0,1142594
2014-04-21,8689.0,8689.0,8944.0,8638.0,490490
2014-04-22,8894.0,8791.0,8893.0,8714.0,379766
2014-04-23,9200.0,8995.0,9481.0,8919.0,1501822
2014-04-24,9354.0,9302.0,9583.0,9072.0,1255284
2014-04-25,8945.0,9404.0,9532.0,8944.0,572542
2014-04-28,8868.0,8868.0,9200.0,8765.0,582548
2014-04-29,8817.0,8944.0,9123.0,8816.0,433676
2014-04-30,8152.0,8816.0,8970.0,7948.0,1645674
2014-05-02,7999.0,8203.0,8228.0,7845.0,854794
2014-05-07,8050.0,8050.0,8101.0,7896.0,536218
2014-05-08,7641.0,8050.0,8050.0,7512.0,872341
2014-05-09,7820.0,7691.0,7871.0,7486.0,753134
2014-05-12,7795.0,7819.0,7871.0,7564.0,428490
2014-05-13,8076.0,7922.0,8305.0,7871.0,1238977
2014-05-14,7692.0,8101.0,8101.0,7641.0,905427
2014-05-15,7769.0,7717.0,7794.0,7590.0,575962
2014-05-16,7207.0,7717.0,7743.0,7104.0,1119138
2014-05-19,7207.0,7206.0,7360.0,6975.0,806649
2014-05-20,7232.0,7232.0,7462.0,7103.0,657852
2014-05-21,7284.0,7205.0,7334.0,6951.0,686058
2014-05-22,8101.0,7487.0,8331.0,7436.0,2870069
2014-05-23,8076.0,8024.0,8254.0,7896.0,694782
2014-05-26,7974.0,8178.0,8586.0,7973.0,1402516
2014-05-27,7565.0,7999.0,8050.0,7334.0,857500
2014-05-28,7462.0,7564.0,7692.0,7283.0,420038
2014-05-29,7667.0,7436.0,7769.0,7334.0,526528
2014-05-30,7539.0,7666.0,7743.0,7385.0,379339
2014-06-02,6900.0,7435.0,7538.0,6900.0,561934
2014-06-03,6849.0,6721.0,7079.0,6414.0,518737
2014-06-05,6287.0,6720.0,6772.0,6209.0,936856
2014-06-09,7207.0,6593.0,7206.0,6516.0,1429165
2014-06-10,7437.0,7436.0,7845.0,7257.0,1930568
2014-06-11,7718.0,7590.0,8151.0,7513.0,1247539
2014-06-12,7437.0,7716.0,7743.0,7436.0,545058
2014-06-13,8025.0,7486.0,8075.0,7486.0,1309064
2014-06-16,7692.0,8075.0,8459.0,7692.0,1130477
2014-06-17,7846.0,7743.0,8152.0,7692.0,1435068
2014-06-18,7948.0,7845.0,7973.0,7716.0,391076
2014-06-19,7258.0,7845.0,7896.0,7232.0,1173230
2014-06-20,7054.0,7206.0,7334.0,6874.0,626097
2014-06-23,6824.0,7103.0,7206.0,6772.0,370973
2014-06-24,6951.0,6772.0,7181.0,6721.0,502327
2014-06-25,6824.0,6874.0,7053.0,6823.0,177592
2014-06-26,7028.0,6874.0,7155.0,6849.0,291157
2014-06-27,7181.0,7053.0,7334.0,7001.0,363568
2014-06-30,7156.0,7257.0,7309.0,7053.0,173046
2014-07-01,7284.0,7155.0,7385.0,7001.0,406336
2014-07-02,7411.0,7411.0,7717.0,7384.0,585032
2014-07-03,7258.0,7360.0,7411.0,7155.0,365654
2014-07-04,7514.0,7411.0,7538.0,7231.0,311469
2014-07-07,7667.0,7564.0,7666.0,7411.0,284717
2014-07-08,7616.0,7717.0,7871.0,7513.0,462274
2014-07-09,8740.0,8689.0,8740.0,8459.0,3067784
2014-07-10,8715.0,9021.0,9200.0,8510.0,3159174
2014-07-11,8715.0,8740.0,8868.0,8535.0,1377818
2014-07-14,8076.0,8842.0,8867.0,8075.0,1843416
2014-07-15,8178.0,8075.0,8229.0,8024.0,712455
2014-07-16,7820.0,8178.0,8304.0,7666.0,992347
2014-07-17,7948.0,7845.0,7999.0,7716.0,529553
2014-07-18,7999.0,7819.0,8023.0,7819.0,414984
2014-07-21,8152.0,8075.0,8382.0,7999.0,800874
2014-07-22,8510.0,8178.0,8919.0,7973.0,2410360
2014-07-23,8408.0,8791.0,8868.0,8356.0,1340680
2014-07-24,8101.0,8510.0,8535.0,8075.0,691695
2014-07-25,8050.0,8024.0,8254.0,7999.0,382411
2014-07-28,8536.0,8050.0,8535.0,8050.0,940438
