date,close,open,high,low,volume
2013-02-19,12000.0,13050.0,14000.0,11850.0,4905175
2013-02-20,12150.0,12250.0,12650.0,12000.0,1289661
2013-02-21,12400.0,12200.0,12450.0,11950.0,641031
2013-02-22,12500.0,12250.0,12700.0,12150.0,520713
2013-02-25,12700.0,12600.0,13000.0,12350.0,435246
2013-02-26,12700.0,12700.0,12900.0,12450.0,206727
2013-02-27,12500.0,12700.0,12700.0,12250.0,243240
2013-02-28,12450.0,12500.0,12650.0,12300.0,224640
2013-03-04,13400.0,12450.0,13800.0,12450.0,695783
2013-03-05,13350.0,13600.0,13650.0,13150.0,359600
2013-03-06,13650.0,13500.0,14350.0,13400.0,524511
2013-03-07,13750.0,13500.0,14100.0,13300.0,239642
2013-03-08,13800.0,13850.0,14100.0,13600.0,124693
2013-03-11,14550.0,13950.0,14800.0,13800.0,473067
2013-03-12,15400.0,14800.0,16300.0,14600.0,654294
2013-03-13,15150.0,15500.0,15500.0,14700.0,312620
2013-03-14,14950.0,15050.0,15200.0,14750.0,130192
2013-03-15,14600.0,14950.0,15200.0,14500.0,191211
2013-03-18,14450.0,14400.0,14650.0,14050.0,122640
2013-03-19,13900.0,13950.0,14300.0,13100.0,833909
2013-03-20,14100.0,13800.0,14450.0,13800.0,199765
2013-03-21,13900.0,14250.0,14250.0,13900.0,104952
2013-03-22,13850.0,13900.0,14100.0,13600.0,152668
2013-03-25,14550.0,13950.0,14650.0,13950.0,238390
2013-03-26,14650.0,14550.0,14750.0,14250.0,158560
2013-03-27,14200.0,14500.0,14600.0,14100.0,123276
2013-03-28,14150.0,14250.0,14400.0,13750.0,125318
2013-03-29,14150.0,14100.0,14300.0,13800.0,127658
2013-04-01,13850.0,14300.0,14400.0,13800.0,134033
2013-04-02,13550.0,13850.0,14000.0,13400.0,93263
2013-04-03,13750.0,13550.0,13850.0,13550.0,61894
2013-04-04,13600.0,13600.0,13750.0,13050.0,108641
2013-04-05,13250.0,13700.0,13700.0,13200.0,57260
2013-04-08,12900.0,13100.0,13350.0,12900.0,85848
2013-04-09,12850.0,12750.0,13400.0,12300.0,144936
2013-04-10,13000.0,12950.0,13250.0,12700.0,63082
2013-04-11,13550.0,13350.0,13650.0,13100.0,65779
2013-04-12,13650.0,13600.0,13750.0,13350.0,92545
2013-04-15,14250.0,13500.0,14550.0,13500.0,212914
2013-04-16,14250.0,14000.0,14550.0,14000.0,139299
2013-04-17,14350.0,14400.0,14550.0,14200.0,84462
2013-04-18,13850.0,14350.0,14500.0,13800.0,86157
2013-04-19,13850.0,14150.0,14150.0,13300.0,115760
2013-04-22,14350.0,13900.0,14450.0,13500.0,116635
2013-04-23,14950.0,14500.0,15100.0,14250.0,157447
2013-04-24,14950.0,15050.0,15200.0,14700.0,114068
2013-04-25,15050.0,15000.0,15450.0,14800.0,282023
2013-04-26,14950.0,14950.0,15200.0,14700.0,128467
2013-04-29,14950.0,14800.0,15100.0,14650.0,78203
2013-04-30,14900.0,14950.0,15300.0,14750.0,105122
2013-05-02,14850.0,14900.0,15000.0,14600.0,71315
2013-05-03,14900.0,15050.0,15050.0,14600.0,44017
2013-05-06,15600.0,14900.0,15850.0,14850.0,256150
2013-05-07,15800.0,15800.0,16200.0,15600.0,171091
2013-05-08,15950.0,15950.0,16100.0,15550.0,103106
2013-05-09,15700.0,15800.0,16000.0,15400.0,119203
2013-05-10,15100.0,15650.0,15800.0,14850.0,242154
2013-05-13,14900.0,15100.0,15100.0,14400.0,95165
2013-05-14,14350.0,14750.0,15150.0,13350.0,421076
2013-05-15,14300.0,14250.0,14700.0,13950.0,112845
2013-05-16,14600.0,14400.0,14600.0,14150.0,58081
2013-05-20,14600.0,14500.0,14800.0,14350.0,69074
2013-05-21,14650.0,14550.0,14700.0,14300.0,58197
2013-05-22,14550.0,14600.0,14950.0,14450.0,102904
2013-05-23,14000.0,14400.0,14600.0,13700.0,131454
2013-05-24,13900.0,14200.0,14200.0,13400.0,223583
2013-05-27,14050.0,13900.0,14200.0,13650.0,42511
2013-05-28,14250.0,14150.0,14250.0,13650.0,79200
2013-05-29,13900.0,14250.0,14300.0,13700.0,93921
2013-05-30,14200.0,13900.0,14350.0,13700.0,62831
2013-05-31,15200.0,14150.0,15450.0,14150.0,308981
2013-06-03,15150.0,15050.0,15450.0,14950.0,94931
2013-06-04,15150.0,15200.0,15400.0,14950.0,88856
2013-06-05,14950.0,15050.0,15250.0,14700.0,57872
2013-06-07,14100.0,15050.0,15200.0,14100.0,76818
2013-06-10,14300.0,13900.0,14350.0,13650.0,120033
2013-06-11,14150.0,14450.0,14550.0,14100.0,52875
2013-06-12,14250.0,14150.0,14300.0,14000.0,41568
2013-06-13,13550.0,14050.0,14250.0,13350.0,121424
2013-06-14,13250.0,13700.0,13800.0,13100.0,62570
2013-06-17,12950.0,13250.0,13300.0,12750.0,58803
2013-06-18,13300.0,12850.0,13450.0,12850.0,23191
2013-06-19,13400.0,13500.0,13700.0,13000.0,32478
2013-06-20,13600.0,13050.0,13600.0,12900.0,31268
2013-06-21,13000.0,13100.0,13250.0,12900.0,27476
2013-06-24,12700.0,13150.0,13150.0,12650.0,32186
2013-06-25,11600.0,12400.0,12600.0,10900.0,120988
2013-06-26,11350.0,11550.0,11950.0,10900.0,111120
2013-06-27,11850.0,11450.0,11950.0,11450.0,61341
2013-06-28,12050.0,12000.0,12450.0,12000.0,50329
2013-07-01,12050.0,11950.0,12250.0,11850.0,14923
2013-07-02,11600.0,12100.0,12200.0,11250.0,120847
2013-07-03,11700.0,11600.0,11950.0,11300.0,67020
2013-07-04,11750.0,11900.0,11900.0,11400.0,33165
2013-07-05,11850.0,11900.0,12150.0,11750.0,38626
2013-07-08,11550.0,11900.0,11900.0,11450.0,13447
2013-07-09,11500.0,11550.0,11800.0,11300.0,15722
2013-07-10,11600.0,11550.0,11750.0,11250.0,45203
2013-07-11,12000.0,11600.0,12150.0,11450.0,66024
2013-07-12,11900.0,12100.0,12100.0,11800.0,17692
2013-07-15,11850.0,11950.0,12000.0,11750.0,32145
2013-07-16,12300.0,11900.0,12400.0,11900.0,56057
2013-07-17,12600.0,12350.0,12700.0,12150.0,46311
2013-07-18,12350.0,12750.0,12750.0,12300.0,16105
2013-07-19,12350.0,12450.0,12600.0,12200.0,17567
2013-07-22,13150.0,12500.0,13950.0,12350.0,315040
2013-07-23,12750.0,13000.0,13350.0,12750.0,120172
2013-07-24,12950.0,12700.0,13200.0,12600.0,45496
2013-07-25,12800.0,12750.0,12900.0,12450.0,60750
2013-07-26,12700.0,12650.0,12950.0,12600.0,24551
2013-07-29,12100.0,12650.0,12800.0,11950.0,62893
2013-07-30,12550.0,12000.0,12700.0,11900.0,44084
2013-07-31,12450.0,12650.0,12650.0,12150.0,40424
2013-08-01,12150.0,12450.0,12550.0,12150.0,33617
2013-08-02,12000.0,12250.0,12250.0,11900.0,34482
2013-08-05,12450.0,12550.0,13600.0,12400.0,319430
2013-08-06,12850.0,12650.0,13050.0,12450.0,112516
