date,close,open,high,low,volume
2012-12-27,4004.0,4277.0,4517.0,3798.0,8114327
2012-12-28,4124.0,3969.0,4226.0,3798.0,1794686
2013-01-02,4740.0,4277.0,4739.0,4226.0,1611118
2013-01-03,4894.0,4927.0,5115.0,4671.0,2519596
2013-01-04,5167.0,4876.0,5355.0,4807.0,1394426
2013-01-07,4996.0,5081.0,5167.0,4944.0,387145
2013-01-08,5133.0,4944.0,5269.0,4825.0,555637
2013-01-09,5595.0,5098.0,5903.0,5081.0,1306955
2013-01-10,5663.0,5526.0,5817.0,5526.0,484914
2013-01-11,5561.0,5646.0,5817.0,5475.0,427442
2013-01-14,5629.0,5526.0,5817.0,5475.0,319361
2013-01-15,5082.0,5595.0,5663.0,5081.0,541269
2013-01-16,5150.0,5081.0,5304.0,5013.0,335328
2013-01-17,5013.0,5150.0,5252.0,4688.0,435312
2013-01-18,5048.0,4996.0,5115.0,4842.0,160693
2013-01-21,4996.0,5030.0,5150.0,4893.0,192522
2013-01-22,4842.0,4927.0,5064.0,4825.0,164886
2013-01-23,5202.0,4876.0,5509.0,4756.0,573033
2013-01-24,4945.0,5201.0,5252.0,4944.0,227743
2013-01-25,4928.0,5013.0,5201.0,4807.0,172718
2013-01-28,4859.0,4927.0,4996.0,4653.0,214056
2013-01-29,4859.0,4807.0,4910.0,4756.0,110194
2013-01-30,4620.0,4859.0,4876.0,4619.0,144594
2013-01-31,4603.0,4534.0,4688.0,4482.0,210423
2013-02-01,4551.0,4619.0,4619.0,4448.0,200511
2013-02-04,4312.0,4482.0,4551.0,4311.0,138338
2013-02-05,4568.0,4346.0,4568.0,4174.0,193235
2013-02-06,4740.0,4568.0,4739.0,4568.0,132359
2013-02-07,5065.0,4722.0,5184.0,4722.0,555941
2013-02-08,5116.0,5013.0,5115.0,4927.0,186379
2013-02-12,4911.0,5115.0,5184.0,4807.0,214573
2013-02-13,4894.0,4893.0,5064.0,4893.0,115776
2013-02-14,4945.0,4944.0,4996.0,4790.0,282906
2013-02-15,4962.0,4944.0,4996.0,4842.0,131687
2013-02-18,5356.0,5047.0,5372.0,4996.0,462623
2013-02-19,5321.0,5355.0,5389.0,5235.0,197601
2013-02-20,5184.0,5389.0,5475.0,5184.0,212343
2013-02-21,4979.0,5133.0,5252.0,4961.0,216744
2013-02-22,5219.0,4961.0,5218.0,4961.0,171719
2013-02-25,5133.0,5201.0,5287.0,5064.0,92462
2013-02-26,5065.0,5030.0,5133.0,4944.0,93780
2013-02-27,4996.0,5047.0,5133.0,4961.0,97956
2013-02-28,5099.0,4996.0,5133.0,4961.0,80910
2013-03-04,5133.0,5098.0,5201.0,5013.0,113169
2013-03-05,5065.0,5081.0,5133.0,4979.0,193393
2013-03-06,4996.0,5133.0,5133.0,4979.0,129171
2013-03-07,4671.0,4996.0,4996.0,4671.0,301150
2013-03-08,4962.0,4688.0,4979.0,4688.0,358127
2013-03-11,4449.0,4961.0,4961.0,4448.0,662582
2013-03-12,4226.0,4346.0,4431.0,4192.0,647386
2013-03-13,4500.0,4226.0,4619.0,4226.0,428018
2013-03-14,4791.0,4585.0,4825.0,4414.0,355897
2013-03-15,4774.0,4910.0,4910.0,4739.0,168317
2013-03-18,4551.0,4722.0,4739.0,4551.0,130851
2013-03-19,4671.0,4551.0,4790.0,4551.0,79411
2013-03-20,4911.0,4842.0,5098.0,4602.0,612358
2013-03-21,4757.0,5013.0,5013.0,4705.0,202595
2013-03-22,4791.0,4636.0,4790.0,4619.0,107509
2013-03-25,4808.0,4773.0,4876.0,4739.0,63354
2013-03-26,4671.0,4739.0,4876.0,4602.0,124627
2013-03-27,4517.0,4653.0,4671.0,4517.0,132175
2013-03-28,4637.0,4517.0,4722.0,4517.0,76302
2013-03-29,4278.0,4671.0,4671.0,4277.0,394678
2013-04-01,4432.0,4346.0,4431.0,4294.0,177163
2013-04-02,4346.0,4380.0,4414.0,4294.0,156345
2013-04-03,4380.0,4363.0,4397.0,4174.0,453783
2013-04-04,4312.0,4328.0,4363.0,4174.0,112415
2013-04-05,4209.0,4346.0,4346.0,4020.0,144574
2013-04-08,3935.0,4209.0,4209.0,3849.0,269350
2013-04-09,3901.0,3901.0,3986.0,3764.0,234698
2013-04-10,3952.0,3918.0,4020.0,3866.0,173583
2013-04-11,4004.0,3986.0,4020.0,3832.0,188442
2013-04-12,4192.0,3969.0,4294.0,3969.0,341839
2013-04-15,4209.0,4174.0,4260.0,4089.0,185970
2013-04-16,4158.0,4106.0,4192.0,4072.0,211800
2013-04-17,4209.0,4174.0,4243.0,4123.0,144580
2013-04-18,4106.0,4226.0,4243.0,4038.0,80548
2013-04-19,4021.0,4038.0,4089.0,3884.0,218804
2013-04-22,4038.0,4003.0,4055.0,3935.0,128701
2013-04-23,4158.0,4038.0,4174.0,4020.0,243237
2013-04-24,4295.0,4192.0,4294.0,4072.0,255332
2013-04-25,4414.0,4328.0,4585.0,4277.0,482587
2013-04-26,4432.0,4414.0,4482.0,4346.0,133928
2013-04-29,4346.0,4517.0,4517.0,4346.0,81030
2013-04-30,4329.0,4346.0,4380.0,4226.0,128996
2013-05-02,4192.0,4294.0,4311.0,4157.0,128876
2013-05-03,4329.0,4226.0,4328.0,4209.0,130223
2013-05-06,4329.0,4380.0,4380.0,4226.0,84455
2013-05-07,4243.0,4363.0,4363.0,4243.0,148276
2013-05-08,4380.0,4294.0,4397.0,4243.0,267012
2013-05-09,4329.0,4414.0,4414.0,4328.0,185725
2013-05-10,4329.0,4363.0,4431.0,4277.0,142029
2013-05-13,4004.0,4380.0,4380.0,4003.0,303467
2013-05-14,4072.0,4003.0,4089.0,3935.0,119010
2013-05-15,4089.0,4038.0,4123.0,4038.0,54742
2013-05-16,4004.0,4072.0,4140.0,3918.0,246717
2013-05-20,3918.0,3969.0,3986.0,3884.0,102120
2013-05-21,4004.0,3952.0,4038.0,3935.0,149378
2013-05-22,4072.0,4003.0,4106.0,3969.0,170573
2013-05-23,3987.0,4003.0,4055.0,3952.0,87147
2013-05-24,3987.0,4020.0,4020.0,3901.0,74826
2013-05-27,3901.0,3935.0,3986.0,3901.0,97541
2013-05-28,4004.0,3935.0,4020.0,3918.0,88383
2013-05-29,4038.0,4003.0,4038.0,3952.0,92114
2013-05-30,3935.0,4055.0,4055.0,3935.0,81302
2013-05-31,3918.0,3969.0,3969.0,3832.0,84028
2013-06-03,3798.0,3866.0,3935.0,3798.0,91696
2013-06-04,3593.0,3815.0,3849.0,3541.0,185961
2013-06-05,3422.0,3610.0,3644.0,3418.0,185850
2013-06-07,3350.0,3422.0,3473.0,3264.0,114826
2013-06-10,3439.0,3408.0,3439.0,3387.0,52694
2013-06-11,3415.0,3387.0,3439.0,3360.0,36975
2013-06-12,3412.0,3367.0,3490.0,3357.0,73324
2013-06-13,3422.0,3370.0,3422.0,3346.0,58114
2013-06-14,3391.0,3418.0,3439.0,3353.0,60861
2013-06-17,3183.0,3387.0,3418.0,3158.0,117874
2013-06-18,3220.0,3155.0,3226.0,3155.0,66092
2013-06-19,3268.0,3295.0,3302.0,3165.0,40400
2013-06-20,3193.0,3141.0,3220.0,3083.0,181169
2013-06-21,3285.0,3096.0,3285.0,3079.0,129232
2013-06-24,3364.0,3329.0,3456.0,3268.0,219538
2013-06-25,3278.0,3357.0,3357.0,3199.0,99771
2013-06-26,3251.0,3285.0,3319.0,3196.0,84557
2013-06-27,3319.0,3329.0,3329.0,3216.0,59426
2013-06-28,3319.0,3350.0,3350.0,3264.0,35569
2013-07-01,3542.0,3350.0,3558.0,3305.0,180465
2013-07-02,3473.0,3541.0,3576.0,3418.0,107926
2013-07-03,3405.0,3473.0,3507.0,3370.0,58085
2013-07-04,3419.0,3456.0,3456.0,3336.0,55908
2013-07-05,3388.0,3422.0,3456.0,3353.0,64330
2013-07-08,3251.0,3387.0,3418.0,3189.0,36388
2013-07-09,3241.0,3250.0,3250.0,3182.0,37346
2013-07-10,3217.0,3268.0,3268.0,3182.0,21540
2013-07-11,3302.0,3240.0,3309.0,3209.0,57653
2013-07-12,3299.0,3315.0,3315.0,3250.0,23083
2013-07-15,3285.0,3274.0,3309.0,3254.0,16782
2013-07-16,3337.0,3302.0,3353.0,3257.0,40867
2013-07-17,3357.0,3336.0,3360.0,3285.0,42305
2013-07-18,3391.0,3370.0,3411.0,3329.0,43234
2013-07-19,3388.0,3363.0,3404.0,3336.0,47273
2013-07-22,3422.0,3422.0,3473.0,3322.0,56647
2013-07-23,3402.0,3439.0,3439.0,3346.0,40742
2013-07-24,3357.0,3370.0,3418.0,3357.0,19897
2013-07-25,3196.0,3336.0,3391.0,3196.0,137581
2013-07-26,3217.0,3226.0,3247.0,3141.0,90209
2013-07-29,3135.0,3216.0,3244.0,3134.0,53155
2013-07-30,3152.0,3134.0,3161.0,3134.0,28860
2013-07-31,3155.0,3131.0,3185.0,3131.0,49929
2013-08-01,3183.0,3155.0,3199.0,3148.0,22285
2013-08-02,3183.0,3213.0,3216.0,3151.0,24430
2013-08-05,3155.0,3182.0,3182.0,3124.0,40718
2013-08-06,3121.0,3134.0,3155.0,3103.0,62720
2013-08-07,3094.0,3120.0,3120.0,3055.0,47729
2013-08-08,3035.0,3083.0,3107.0,3011.0,52214
2013-08-09,3029.0,3035.0,3069.0,2994.0,37711
2013-08-12,2998.0,3018.0,3045.0,2942.0,74596
2013-08-13,2909.0,2942.0,2970.0,2895.0,91761
2013-08-14,2943.0,2884.0,2966.0,2877.0,101033
2013-08-16,2940.0,2895.0,2966.0,2891.0,62673
2013-08-19,2898.0,2922.0,2956.0,2881.0,102862
2013-08-20,2929.0,2884.0,3004.0,2884.0,146102
2013-08-21,2885.0,2953.0,2987.0,2847.0,77702
2013-08-22,2772.0,2884.0,2908.0,2754.0,203290
2013-08-23,2823.0,2771.0,2830.0,2771.0,63205
2013-08-26,3244.0,2895.0,3244.0,2891.0,768162
2013-08-27,3148.0,3295.0,3363.0,3079.0,473698
2013-08-28,3117.0,3079.0,3233.0,3079.0,272857
2013-08-29,3087.0,3165.0,3165.0,3079.0,143829
2013-08-30,2940.0,3062.0,3093.0,2939.0,197104
2013-09-02,2950.0,2915.0,2977.0,2888.0,103540
2013-09-03,3015.0,2932.0,3035.0,2929.0,66481
2013-09-04,2916.0,3045.0,3069.0,2915.0,98894
2013-09-05,2885.0,2912.0,2942.0,2840.0,112339
2013-09-06,2806.0,2888.0,2888.0,2806.0,144089
2013-09-09,2868.0,2806.0,2867.0,2792.0,62395
2013-09-10,2871.0,2891.0,3007.0,2871.0,156260
2013-09-11,2977.0,2877.0,3042.0,2877.0,184389
2013-09-12,3066.0,2977.0,3124.0,2960.0,154816
2013-09-13,3046.0,3066.0,3086.0,3007.0,94610
2013-09-16,3018.0,3028.0,3114.0,2980.0,70160
2013-09-17,3011.0,2984.0,3055.0,2977.0,53024
2013-09-23,2974.0,3011.0,3055.0,2949.0,37305
2013-09-24,2844.0,3001.0,3001.0,2806.0,116968
2013-09-25,2840.0,2874.0,2905.0,2833.0,78655
2013-09-26,2875.0,2853.0,2891.0,2819.0,72109
2013-09-27,2844.0,2850.0,2874.0,2840.0,78672
2013-09-30,2786.0,2840.0,2840.0,2765.0,99730
2013-10-01,2789.0,2816.0,2823.0,2720.0,99560
2013-10-02,2786.0,2775.0,2830.0,2775.0,38781
2013-10-04,2714.0,2706.0,2768.0,2700.0,71612
2013-10-07,2659.0,2747.0,2747.0,2600.0,60452
2013-10-08,2570.0,2628.0,2628.0,2546.0,140962
2013-10-10,2953.0,2713.0,2953.0,2713.0,420832
2013-10-11,3046.0,3199.0,3233.0,3011.0,1932118
2013-10-14,3169.0,3086.0,3377.0,3031.0,905833
2013-10-15,3114.0,3209.0,3220.0,3062.0,449546
2013-10-16,3011.0,3120.0,3203.0,2960.0,506775
2013-10-17,3456.0,3079.0,3456.0,3049.0,3692456
2013-10-18,3412.0,3439.0,3507.0,3357.0,1388979
2013-10-21,3508.0,3456.0,3576.0,3343.0,1223765
2013-10-22,3391.0,3541.0,3558.0,3387.0,824172
2013-10-23,3230.0,3363.0,3411.0,3213.0,684420
2013-10-24,3213.0,3220.0,3302.0,3213.0,320398
2013-10-25,3159.0,3254.0,3329.0,3148.0,374413
