date,close,open,high,low,volume
2015-06-17,8837.0,9593.0,10350.0,8646.0,2004094
2015-06-18,8615.0,9025.0,9278.0,8362.0,646980
2015-06-19,8679.0,8899.0,8899.0,8457.0,317722
2015-06-22,8363.0,8615.0,8741.0,8331.0,298080
2015-06-23,8363.0,8426.0,8615.0,8141.0,303600
2015-06-24,8426.0,8331.0,8552.0,8268.0,261757
2015-06-25,8742.0,8426.0,8930.0,8331.0,339364
2015-06-26,8868.0,8867.0,9025.0,8583.0,220505
2015-06-29,8079.0,8583.0,8678.0,8047.0,132697
2015-06-30,7889.0,8078.0,8236.0,7763.0,99881
2015-07-01,7985.0,7984.0,8142.0,7920.0,80281
2015-07-02,7858.0,8110.0,8204.0,7794.0,98964
2015-07-03,8111.0,8015.0,8141.0,7731.0,86384
2015-07-06,7416.0,7920.0,7984.0,7258.0,104426
2015-07-07,7164.0,7479.0,7574.0,7006.0,112065
2015-07-08,6848.0,7132.0,7290.0,6753.0,119345
2015-07-09,7101.0,6721.0,7416.0,6469.0,210923
2015-07-10,7037.0,7068.0,7258.0,7006.0,59113
2015-07-13,7605.0,7163.0,7668.0,7006.0,80220
2015-07-14,7353.0,7574.0,7668.0,7321.0,62154
2015-07-15,7195.0,7226.0,7352.0,7068.0,93515
2015-07-16,7448.0,7258.0,7731.0,7100.0,141247
2015-07-17,7195.0,7416.0,7542.0,7068.0,87665
2015-07-20,7511.0,7321.0,7636.0,7195.0,113425
2015-07-21,7543.0,7510.0,7700.0,7289.0,106011
2015-07-22,7290.0,7574.0,7636.0,7290.0,50532
2015-07-23,7385.0,7226.0,7479.0,7226.0,82910
2015-07-24,7479.0,7384.0,7574.0,7290.0,92540
2015-07-27,7448.0,7479.0,7574.0,7321.0,77125
2015-07-28,7795.0,7384.0,7826.0,7258.0,156128
2015-07-29,7858.0,7858.0,8204.0,7794.0,177285
2015-07-30,7858.0,8047.0,8299.0,7763.0,190892
2015-07-31,7827.0,7858.0,7984.0,7700.0,51117
2015-08-03,7448.0,7731.0,7763.0,7384.0,75472
2015-08-04,7479.0,7416.0,7574.0,7416.0,39359
2015-08-05,7511.0,7541.0,7700.0,7447.0,26424
2015-08-06,7827.0,7510.0,7952.0,7510.0,103688
2015-08-07,7763.0,7794.0,7826.0,7668.0,37261
2015-08-10,7543.0,7825.0,7825.0,7510.0,34589
2015-08-11,7006.0,7542.0,7574.0,6753.0,151170
2015-08-12,6817.0,6848.0,7006.0,6721.0,62700
2015-08-13,6943.0,6942.0,7068.0,6753.0,31680
2015-08-17,7321.0,7068.0,7574.0,7068.0,115589
2015-08-18,7195.0,7352.0,7447.0,7100.0,53030
2015-08-19,6911.0,7132.0,7226.0,6753.0,57724
