date,close,open,high,low,volume
2015-11-20,4406.0,4976.0,5218.0,4387.0,2765035
2015-11-23,4090.0,4458.0,4458.0,4077.0,780750
2015-11-24,4017.0,4089.0,4168.0,3974.0,346640
2015-11-25,4066.0,4016.0,4131.0,3986.0,212154
2015-11-26,4224.0,4155.0,4289.0,4107.0,398154
2015-11-27,4139.0,4247.0,4283.0,4138.0,190194
2015-11-30,4066.0,4131.0,4131.0,3980.0,179532
2015-12-01,3999.0,4035.0,4077.0,3992.0,110024
2015-12-02,3969.0,4009.0,4028.0,3913.0,211399
2015-12-03,3769.0,3956.0,3956.0,3769.0,160729
2015-12-04,3957.0,3786.0,3979.0,3786.0,271146
2015-12-07,3896.0,3991.0,4034.0,3883.0,112118
2015-12-08,3647.0,3833.0,3845.0,3646.0,218352
2015-12-09,3568.0,3651.0,3675.0,3524.0,212792
2015-12-10,3581.0,3617.0,3617.0,3520.0,140109
2015-12-11,3593.0,3659.0,3659.0,3568.0,96352
2015-12-14,3550.0,3602.0,3602.0,3512.0,55391
2015-12-15,3531.0,3608.0,3626.0,3518.0,100344
2015-12-16,3531.0,3541.0,3601.0,3511.0,66902
2015-12-17,3483.0,3597.0,3597.0,3482.0,74868
2015-12-18,3544.0,3482.0,3567.0,3470.0,40065
2015-12-21,3544.0,3482.0,3580.0,3397.0,202378
2015-12-22,3568.0,3543.0,3567.0,3469.0,92893
2015-12-23,3593.0,3556.0,3617.0,3532.0,77985
2015-12-24,3641.0,3621.0,3688.0,3573.0,133192
2015-12-28,3641.0,3640.0,3670.0,3555.0,80665
2015-12-29,3654.0,3617.0,3714.0,3599.0,60581
2015-12-30,3738.0,3700.0,3737.0,3646.0,69170
2016-01-04,3641.0,3760.0,3760.0,3634.0,124847
2016-01-05,3866.0,3617.0,3974.0,3599.0,250823
2016-01-06,4096.0,3883.0,4211.0,3871.0,797112
2016-01-07,4017.0,4089.0,4259.0,3931.0,286264
2016-01-08,4090.0,3907.0,4136.0,3883.0,211690
2016-01-11,4023.0,4088.0,4161.0,3944.0,301548
2016-01-12,3969.0,4088.0,4088.0,3890.0,93195
2016-01-13,3872.0,3986.0,3992.0,3847.0,95464
2016-01-14,3762.0,3731.0,3857.0,3700.0,86973
2016-01-15,3884.0,3810.0,3920.0,3768.0,73580
2016-01-18,3817.0,3882.0,3882.0,3725.0,80066
2016-01-19,3848.0,3817.0,3848.0,3738.0,117625
2016-01-20,3872.0,3834.0,4041.0,3694.0,284901
2016-01-21,3878.0,3925.0,3979.0,3773.0,142986
2016-01-22,3872.0,3938.0,3968.0,3804.0,36582
2016-01-25,3859.0,3906.0,3906.0,3803.0,31320
2016-01-26,3654.0,3878.0,3878.0,3654.0,213229
2016-01-27,3623.0,3682.0,3700.0,3592.0,169630
2016-01-28,3610.0,3621.0,3700.0,3591.0,31951
2016-01-29,3581.0,3635.0,3635.0,3574.0,27420
2016-02-01,3708.0,3609.0,3966.0,3609.0,171687
2016-02-02,3744.0,3760.0,3826.0,3688.0,73747
2016-02-03,3623.0,3742.0,3742.0,3610.0,71082
2016-02-04,3623.0,3675.0,3693.0,3610.0,45118
2016-02-05,3659.0,3621.0,3693.0,3609.0,40770
2016-02-11,3471.0,3584.0,3602.0,3458.0,54309
2016-02-12,3229.0,3471.0,3574.0,3156.0,106771
2016-02-15,3179.0,3371.0,3371.0,3178.0,48565
2016-02-16,3247.0,3179.0,3362.0,3179.0,77823
2016-02-17,3229.0,3247.0,3326.0,3179.0,32889
2016-02-18,3258.0,3268.0,3323.0,3251.0,41211
2016-02-19,3222.0,3262.0,3274.0,3214.0,20514
2016-02-22,3161.0,3220.0,3220.0,3154.0,105585
2016-02-23,3082.0,3190.0,3256.0,3081.0,101654
2016-02-24,3010.0,3123.0,3123.0,2990.0,90875
2016-02-25,2998.0,3032.0,3062.0,2972.0,66419
2016-02-26,3100.0,2978.0,3116.0,2978.0,36684
2016-02-29,3118.0,3134.0,3134.0,3044.0,20759
2016-03-02,3174.0,3118.0,3185.0,3095.0,59489
2016-03-03,3161.0,3171.0,3171.0,3093.0,77742
2016-03-04,3107.0,3111.0,3135.0,3051.0,49429
2016-03-07,3161.0,3141.0,3208.0,3105.0,67764
2016-03-08,3131.0,3197.0,3197.0,3106.0,89397
2016-03-09,3082.0,3147.0,3147.0,3069.0,62696
2016-03-10,3150.0,3088.0,3149.0,3081.0,44311
2016-03-11,3465.0,3149.0,3621.0,3099.0,754489
2016-03-14,3399.0,3537.0,3579.0,3379.0,268661
2016-03-15,3405.0,3405.0,3586.0,3398.0,379329
2016-03-16,3446.0,3347.0,3529.0,3347.0,174375
2016-03-17,3471.0,3451.0,3615.0,3415.0,344612
2016-03-18,3563.0,3513.0,3738.0,3446.0,702615
2016-03-21,3683.0,3633.0,3766.0,3597.0,331931
2016-03-22,3683.0,3760.0,3760.0,3633.0,184896
2016-03-23,3544.0,3707.0,3707.0,3544.0,141828
2016-03-24,3563.0,3532.0,3599.0,3513.0,91354
2016-03-25,3617.0,3580.0,3689.0,3519.0,135377
2016-03-28,3604.0,3614.0,3674.0,3561.0,76568
2016-03-29,3738.0,3634.0,3737.0,3585.0,132043
2016-03-30,3726.0,3785.0,3785.0,3670.0,162605
2016-03-31,3654.0,3733.0,3751.0,3629.0,102852
2016-04-01,3756.0,3639.0,3778.0,3616.0,175269
2016-04-04,3884.0,3834.0,4078.0,3755.0,939818
2016-04-05,3884.0,3895.0,3962.0,3828.0,278531
