date,close,open,high,low,volume
2014-12-16,6527.0,6293.0,6853.0,5431.0,2252753
2014-12-17,7040.0,6736.0,7295.0,6364.0,651104
2014-12-18,6854.0,6923.0,7156.0,6480.0,228312
2014-12-19,7017.0,6807.0,7109.0,6760.0,112697
2014-12-22,6784.0,7016.0,7156.0,6736.0,110962
2014-12-23,7111.0,6876.0,7273.0,6643.0,357942
2014-12-24,7157.0,7062.0,7483.0,6970.0,395690
2014-12-26,8230.0,7250.0,8228.0,7109.0,895806
2014-12-29,9441.0,9277.0,9441.0,9231.0,234414
2014-12-30,10281.0,10327.0,10490.0,9581.0,1235202
2015-01-02,10304.0,9884.0,10583.0,9627.0,786958
2015-01-05,10094.0,10629.0,10816.0,9861.0,577157
2015-01-06,9581.0,9930.0,10094.0,9581.0,333614
2015-01-07,9092.0,9418.0,9464.0,8928.0,438228
2015-01-08,9675.0,9231.0,10070.0,9161.0,817826
2015-01-09,9232.0,9790.0,9884.0,9231.0,307980
2015-01-12,9745.0,9231.0,9790.0,9208.0,346389
2015-01-13,9838.0,9790.0,10629.0,9604.0,628485
2015-01-14,9559.0,9814.0,9977.0,9138.0,235324
2015-01-15,10024.0,9651.0,10186.0,9441.0,284182
2015-01-16,11517.0,9861.0,11515.0,9837.0,1426905
2015-01-19,12799.0,11935.0,13148.0,11656.0,1086135
2015-01-20,13079.0,12634.0,13148.0,12191.0,542813
2015-01-21,13522.0,12938.0,14126.0,12705.0,610319
2015-01-22,12822.0,13473.0,13824.0,12821.0,309614
2015-01-23,13451.0,13148.0,13893.0,13007.0,339017
2015-01-26,12752.0,13567.0,13847.0,12751.0,309712
2015-01-27,12752.0,12774.0,13334.0,12611.0,267972
2015-01-28,12612.0,12634.0,12961.0,12542.0,126220
2015-01-29,12356.0,12634.0,13753.0,12191.0,561140
2015-01-30,11750.0,12354.0,12542.0,11748.0,274163
2015-02-02,12356.0,11819.0,12354.0,11609.0,190685
2015-02-03,12822.0,12542.0,12914.0,11958.0,168158
2015-02-04,12705.0,12751.0,13007.0,12495.0,136223
2015-02-05,13218.0,13171.0,13404.0,12891.0,291388
2015-02-06,13009.0,13590.0,14267.0,12681.0,535929
2015-02-09,12822.0,13101.0,13310.0,12658.0,152880
2015-02-10,12589.0,12797.0,13171.0,12099.0,121598
2015-02-11,12752.0,12542.0,12844.0,12332.0,118818
2015-02-12,13009.0,12821.0,13334.0,12448.0,325373
2015-02-13,12146.0,13007.0,13054.0,12075.0,246789
2015-02-16,11376.0,12075.0,12238.0,10956.0,265336
2015-02-17,11376.0,11143.0,11866.0,11096.0,110215
2015-02-23,11446.0,11259.0,11585.0,11259.0,52431
2015-02-24,12403.0,11446.0,12914.0,11376.0,345763
2015-02-25,12403.0,12518.0,12797.0,11911.0,110946
2015-02-26,12006.0,12587.0,12658.0,12005.0,131352
2015-02-27,11889.0,11866.0,12285.0,11748.0,98112
2015-03-02,12006.0,12099.0,12332.0,11819.0,83610
2015-03-03,11563.0,12005.0,12121.0,11423.0,116871
2015-03-04,11586.0,11446.0,11609.0,11236.0,83991
2015-03-05,11819.0,11679.0,12262.0,11632.0,149285
2015-03-06,11423.0,11866.0,12005.0,11305.0,81403
2015-03-09,11446.0,11305.0,11492.0,10956.0,76164
2015-03-10,11027.0,11679.0,11679.0,10933.0,66627
2015-03-11,10607.0,10676.0,10863.0,10327.0,127231
2015-03-12,11307.0,10676.0,11772.0,10373.0,246280
2015-03-13,10817.0,11423.0,11446.0,10816.0,114836
2015-03-16,11074.0,10816.0,11119.0,10606.0,84810
2015-03-17,10724.0,11119.0,11259.0,10676.0,91788
2015-03-18,10584.0,10816.0,11003.0,10583.0,76807
2015-03-19,10584.0,10746.0,10746.0,10396.0,45267
2015-03-20,10584.0,10606.0,10700.0,10537.0,73134
2015-03-23,11703.0,10723.0,11842.0,10653.0,306226
2015-03-24,11609.0,11679.0,11982.0,11399.0,173117
2015-03-25,12006.0,11515.0,12121.0,11468.0,159510
2015-03-26,12169.0,11889.0,12401.0,11795.0,148103
2015-03-27,11889.0,12168.0,12891.0,11889.0,184955
2015-03-30,11796.0,12215.0,12262.0,11423.0,109618
2015-03-31,12775.0,11889.0,12985.0,11819.0,337411
2015-04-01,13148.0,12797.0,13520.0,12681.0,322262
2015-04-02,13242.0,13194.0,13473.0,12938.0,114821
2015-04-03,12891.0,13381.0,13520.0,12844.0,97339
2015-04-06,12915.0,13054.0,13240.0,12774.0,69431
2015-04-07,14011.0,13054.0,14173.0,12914.0,361208
2015-04-08,13941.0,14150.0,14290.0,13660.0,178181
2015-04-09,13965.0,14010.0,14243.0,13683.0,165273
2015-04-10,13777.0,13800.0,13963.0,13497.0,153197
2015-04-13,12822.0,13940.0,13987.0,12821.0,205141
2015-04-14,12869.0,13007.0,13287.0,12564.0,139302
2015-04-15,12962.0,13194.0,13381.0,12868.0,162606
2015-04-16,13894.0,13101.0,14196.0,12868.0,321735
2015-04-17,13848.0,14126.0,14220.0,13428.0,128022
2015-04-20,13358.0,13567.0,13753.0,13264.0,133200
2015-04-21,13522.0,13660.0,13683.0,13148.0,99591
2015-04-22,12495.0,13660.0,13660.0,11842.0,224896
2015-04-23,12286.0,12774.0,12774.0,12075.0,115889
2015-04-24,12403.0,12238.0,12681.0,12191.0,42048
2015-04-27,12146.0,12634.0,12658.0,11866.0,88488
2015-04-28,12775.0,12168.0,12891.0,11958.0,78112
2015-04-29,12915.0,13357.0,13590.0,12821.0,186025
2015-04-30,12262.0,12821.0,13054.0,12168.0,78467
2015-05-04,11750.0,12075.0,12215.0,11656.0,79502
2015-05-06,10910.0,11468.0,12075.0,10793.0,147390
2015-05-07,11423.0,10723.0,11515.0,10303.0,135312
2015-05-08,11190.0,11329.0,11679.0,11166.0,65965
2015-05-11,11143.0,11423.0,11468.0,10816.0,129678
2015-05-12,10724.0,11025.0,11096.0,10420.0,177664
2015-05-13,10794.0,10676.0,10956.0,10583.0,59624
2015-05-14,12403.0,10933.0,12401.0,10933.0,236783
2015-05-15,14244.0,12961.0,14243.0,12821.0,744698
2015-05-18,14663.0,14500.0,14733.0,13824.0,450779
2015-05-19,15083.0,14663.0,15245.0,14430.0,263727
2015-05-20,16202.0,15199.0,17203.0,14569.0,307414
2015-05-21,16645.0,15945.0,16760.0,15945.0,145906
2015-05-22,16319.0,16411.0,16760.0,16084.0,80392
2015-05-26,17019.0,16131.0,17926.0,15432.0,136752
2015-05-27,16319.0,17158.0,17158.0,16201.0,72114
2015-05-28,17344.0,16317.0,17670.0,16272.0,148672
2015-05-29,17391.0,17111.0,17437.0,16715.0,91145
2015-06-01,17111.0,17158.0,17623.0,16877.0,47222
2015-06-02,17252.0,17111.0,17834.0,16877.0,78793
2015-06-03,19839.0,17111.0,19838.0,17111.0,304638
2015-06-04,19210.0,19838.0,20281.0,18742.0,135676
2015-06-05,19046.0,19302.0,19302.0,18276.0,84151
2015-06-08,19046.0,18882.0,19302.0,18556.0,57123
2015-06-09,19000.0,19092.0,19139.0,18440.0,51661
2015-06-10,19279.0,19045.0,20094.0,18742.0,127900
2015-06-11,18883.0,19372.0,19768.0,18882.0,43856
2015-06-12,18557.0,18929.0,19535.0,18089.0,104425
2015-06-15,18697.0,18556.0,19349.0,17810.0,81807
2015-06-16,17950.0,18532.0,18649.0,17507.0,153015
2015-06-17,17695.0,17810.0,17856.0,16877.0,437459
2015-06-18,17764.0,17950.0,18276.0,17367.0,143863
2015-06-19,18534.0,17763.0,18532.0,17437.0,86916
2015-06-22,18021.0,18579.0,18626.0,17530.0,102863
2015-06-23,19326.0,18160.0,19372.0,17577.0,211712
2015-06-24,19536.0,19116.0,20025.0,19022.0,80526
2015-06-25,19233.0,19349.0,19628.0,19069.0,53392
2015-06-26,20352.0,19232.0,20678.0,19022.0,162536
