date,close,open,high,low,volume
2014-12-15,12247.0,12629.0,14373.0,11652.0,3317526
2014-12-16,10712.0,11827.0,12072.0,10571.0,661502
2014-12-17,10642.0,10885.0,11373.0,10606.0,346397
2014-12-18,11375.0,10885.0,12210.0,10780.0,1185292
2014-12-19,12107.0,11861.0,12419.0,11546.0,445770
2014-12-22,11620.0,12107.0,12107.0,11514.0,181213
2014-12-23,12178.0,11479.0,12421.0,11304.0,307089
2014-12-24,12492.0,12036.0,12804.0,11827.0,308788
2014-12-26,12178.0,12281.0,12874.0,11933.0,446312
2014-12-29,11759.0,12002.0,12176.0,11513.0,224096
2014-12-30,12388.0,11759.0,12388.0,11514.0,274498
2015-01-02,13086.0,12247.0,13433.0,12211.0,317008
2015-01-05,12979.0,13083.0,13222.0,12629.0,130567
2015-01-06,12038.0,12699.0,13084.0,11757.0,156806
2015-01-07,11794.0,11932.0,12176.0,11513.0,112052
2015-01-08,12282.0,12036.0,12350.0,11722.0,107028
2015-01-09,12073.0,12420.0,12420.0,11896.0,86728
2015-01-12,12211.0,12070.0,12348.0,11721.0,98571
2015-01-13,12422.0,12280.0,12803.0,12280.0,255696
2015-01-14,12422.0,12350.0,12490.0,11723.0,196738
2015-01-15,13958.0,12351.0,14270.0,12351.0,1131691
2015-01-16,15597.0,13956.0,15734.0,13711.0,985019
2015-01-19,15737.0,16223.0,16922.0,15456.0,381130
2015-01-20,15772.0,16049.0,16258.0,15002.0,314994
2015-01-21,16051.0,16014.0,17479.0,15456.0,845339
2015-01-22,15911.0,15944.0,16292.0,15141.0,391010
2015-01-23,18285.0,16085.0,18283.0,15771.0,962180
2015-01-26,18250.0,19051.0,19540.0,18109.0,739090
2015-01-27,18703.0,18108.0,18911.0,17724.0,401627
2015-01-28,18354.0,18631.0,19295.0,18318.0,222285
2015-01-29,18913.0,18563.0,19121.0,18108.0,303442
2015-01-30,17237.0,19049.0,19852.0,16921.0,658128
2015-02-02,16889.0,17097.0,17270.0,16539.0,282485
2015-02-03,16959.0,16958.0,17552.0,16714.0,246437
2015-02-04,16854.0,16958.0,17307.0,16643.0,425031
2015-02-05,19366.0,17550.0,19363.0,17480.0,878669
2015-02-06,18983.0,18982.0,19540.0,18772.0,409269
2015-02-09,17308.0,18912.0,19400.0,17307.0,411654
2015-02-10,17098.0,17376.0,17551.0,16608.0,160123
2015-02-11,17028.0,17306.0,17655.0,16922.0,162209
2015-02-12,16470.0,17166.0,17270.0,16119.0,190305
2015-02-13,17168.0,16468.0,17166.0,16293.0,181531
2015-02-16,16679.0,16782.0,17096.0,16433.0,113465
2015-02-17,16749.0,16677.0,17097.0,16399.0,70881
2015-02-23,17132.0,16781.0,17513.0,16571.0,119918
2015-02-24,18040.0,17445.0,18526.0,17269.0,265070
2015-02-25,18040.0,18072.0,18317.0,17584.0,113768
2015-02-26,18006.0,18109.0,18214.0,17412.0,90696
2015-02-27,18878.0,17829.0,19016.0,17655.0,218461
2015-03-02,18983.0,18982.0,19749.0,18702.0,179113
2015-03-03,18250.0,19086.0,19086.0,17934.0,136287
2015-03-04,18075.0,18492.0,18492.0,17794.0,103987
2015-03-05,17308.0,18214.0,18283.0,17202.0,119858
2015-03-06,17517.0,17306.0,17725.0,16957.0,103277
2015-03-09,16889.0,17620.0,17620.0,16748.0,106724
2015-03-10,16331.0,16783.0,17516.0,15771.0,222278
2015-03-11,15458.0,15840.0,16259.0,15282.0,135878
2015-03-12,16400.0,15631.0,16748.0,15526.0,184797
2015-03-13,16504.0,16398.0,16816.0,15839.0,122398
2015-03-16,15911.0,16328.0,16362.0,15734.0,231655
2015-03-17,15877.0,16155.0,16678.0,15632.0,151770
2015-03-18,15806.0,15978.0,16327.0,15663.0,130029
2015-03-19,15074.0,15980.0,16049.0,14514.0,379288
2015-03-20,16540.0,15107.0,16957.0,15073.0,445294
2015-03-23,16749.0,16643.0,16957.0,16155.0,202656
2015-03-24,16924.0,16748.0,17446.0,16399.0,229488
2015-03-25,17447.0,16748.0,17655.0,16713.0,208580
2015-03-26,17378.0,17097.0,17794.0,16922.0,215367
2015-03-27,17272.0,17375.0,17653.0,16921.0,93480
2015-03-30,17378.0,17411.0,17515.0,16922.0,130272
2015-03-31,17341.0,17583.0,17583.0,16991.0,89739
2015-04-01,17028.0,17131.0,17411.0,16817.0,102521
2015-04-02,17657.0,16993.0,18005.0,16573.0,241135
2015-04-03,18424.0,17794.0,19016.0,17794.0,296175
2015-04-06,18285.0,18422.0,18632.0,17968.0,106514
2015-04-07,18668.0,18318.0,19120.0,18178.0,162447
2015-04-08,19366.0,18735.0,19468.0,18527.0,256643
2015-04-09,19366.0,19398.0,19747.0,19049.0,112312
2015-04-10,22228.0,19364.0,22260.0,19226.0,542398
2015-04-13,22262.0,22226.0,24146.0,21807.0,377613
2015-04-14,20414.0,22366.0,22820.0,20238.0,290643
2015-04-15,22262.0,20307.0,22505.0,19922.0,302420
2015-04-16,21356.0,22436.0,22890.0,21111.0,183295
2015-04-17,22193.0,21492.0,22190.0,21004.0,123736
2015-04-20,21984.0,21564.0,22750.0,21355.0,162328
2015-04-21,24043.0,21982.0,24147.0,21808.0,505967
2015-04-22,22751.0,23725.0,24634.0,20934.0,416903
2015-04-23,20797.0,22889.0,23239.0,20621.0,385800
2015-04-24,20658.0,21145.0,21564.0,19645.0,210653
2015-04-27,21007.0,20657.0,21320.0,20447.0,121952
2015-04-28,19890.0,21005.0,21214.0,19749.0,176924
2015-04-29,20274.0,19679.0,20865.0,19679.0,125525
2015-04-30,20309.0,20517.0,21215.0,19959.0,189270
2015-05-04,20344.0,21040.0,21040.0,20027.0,106319
2015-05-06,20344.0,19888.0,20343.0,19539.0,96474
2015-05-07,21007.0,20586.0,21006.0,19714.0,87542
