date,close,open,high,low,volume
2014-12-24,9435.0,9410.0,9505.0,9410.0,68291
2014-12-26,9435.0,9434.0,9460.0,9434.0,16854
2014-12-29,9460.0,9460.0,9480.0,9460.0,1685
2014-12-30,9485.0,9460.0,9480.0,9435.0,2827
2015-01-02,9485.0,9480.0,9504.0,9460.0,2045
2015-01-05,9510.0,9505.0,9530.0,9480.0,3606
2015-01-06,9530.0,9480.0,9530.0,9460.0,6077
2015-01-07,9580.0,9550.0,9575.0,9530.0,3279
2015-01-08,9625.0,9575.0,9624.0,9575.0,786
2015-01-09,9650.0,9625.0,9740.0,9625.0,5353
2015-01-12,9670.0,9625.0,9740.0,9625.0,3595
2015-01-13,9740.0,9670.0,9740.0,9670.0,1452
2015-01-14,9815.0,9740.0,9810.0,9714.0,2790
2015-01-15,9835.0,9810.0,9854.0,9714.0,10868
2015-01-16,10050.0,9855.0,10045.0,9835.0,9889
2015-01-19,10095.0,10045.0,10140.0,10020.0,2851
2015-01-20,10190.0,10185.0,10185.0,10090.0,5607
2015-01-21,10000.0,10185.0,10185.0,9930.0,3984
2015-01-22,9975.0,9854.0,9974.0,9854.0,2136
2015-01-23,10050.0,9975.0,10045.0,9975.0,745
2015-01-26,9955.0,10045.0,10045.0,9834.0,5462
2015-01-27,9955.0,9694.0,9950.0,9694.0,1181
2015-01-28,9955.0,9974.0,9974.0,9950.0,652
2015-01-29,9955.0,9930.0,9950.0,9854.0,1654
2015-01-30,10070.0,9975.0,10070.0,9975.0,6508
2015-02-02,10610.0,10070.0,10700.0,10070.0,14235
2015-02-03,10590.0,10610.0,10630.0,10420.0,11649
2015-02-04,10635.0,10655.0,10655.0,10630.0,908
2015-02-05,10610.0,10680.0,10700.0,10325.0,4663
2015-02-06,10635.0,10630.0,10680.0,10350.0,2453
2015-02-09,10515.0,10445.0,10515.0,10445.0,1640
2015-02-10,10000.0,10210.0,10395.0,9835.0,15518
2015-02-11,10070.0,9975.0,10070.0,9950.0,8722
2015-02-12,10095.0,9974.0,10160.0,9974.0,5008
2015-02-13,10165.0,10000.0,10304.0,10000.0,3084
2015-02-16,10190.0,10185.0,10255.0,10045.0,6313
2015-02-17,10235.0,10540.0,10540.0,10090.0,636
2015-02-23,10260.0,10325.0,10325.0,10090.0,2001
2015-02-24,10330.0,10140.0,10325.0,10140.0,3406
2015-02-25,10280.0,10325.0,10325.0,10185.0,7333
2015-02-26,10330.0,10280.0,10325.0,10255.0,349
2015-02-27,10375.0,10305.0,10375.0,10235.0,7126
2015-03-02,10330.0,10280.0,10325.0,10235.0,13053
2015-03-03,10330.0,10325.0,10375.0,10280.0,38401
2015-03-04,10470.0,10325.0,10470.0,10325.0,28854
2015-03-05,10470.0,10420.0,10490.0,10280.0,6813
2015-03-06,10470.0,10470.0,10585.0,10325.0,15286
2015-03-09,10280.0,10655.0,10655.0,10000.0,24271
2015-03-10,10210.0,10185.0,10210.0,10090.0,10343
2015-03-11,10190.0,10185.0,10210.0,10070.0,1343
2015-03-12,10165.0,10184.0,10184.0,10044.0,1690
2015-03-13,10235.0,10185.0,10234.0,10140.0,851
2015-03-16,10280.0,10235.0,10280.0,10185.0,4316
2015-03-17,10330.0,10185.0,10325.0,10185.0,3237
2015-03-18,10445.0,10325.0,10470.0,10325.0,5062
2015-03-19,10540.0,10445.0,10560.0,10115.0,27183
2015-03-20,10730.0,10420.0,10750.0,10420.0,8278
2015-03-23,10730.0,10750.0,10775.0,10585.0,5887
2015-03-24,10565.0,10865.0,10865.0,10560.0,5007
2015-03-25,10445.0,10610.0,10610.0,10375.0,6916
2015-03-26,10495.0,10375.0,10610.0,10325.0,7163
2015-03-27,10375.0,10375.0,10470.0,10325.0,2336
2015-03-30,10305.0,10375.0,10490.0,10185.0,7743
2015-03-31,10260.0,10325.0,10470.0,10185.0,6570
2015-04-01,10445.0,10160.0,10445.0,10160.0,2402
2015-04-02,10470.0,10445.0,10470.0,10325.0,1909
2015-04-03,10470.0,10470.0,10470.0,10420.0,1455
2015-04-06,10540.0,10515.0,10540.0,10515.0,1353
2015-04-07,10540.0,10540.0,10610.0,10540.0,976
2015-04-08,10610.0,10560.0,10775.0,10540.0,1464
2015-04-09,10565.0,10490.0,10560.0,10350.0,2535
2015-04-10,10660.0,10325.0,10795.0,10325.0,1367
2015-04-13,10515.0,10445.0,10560.0,10445.0,1781
2015-04-14,10590.0,10470.0,10585.0,10470.0,1687
2015-04-15,10775.0,10540.0,10775.0,10540.0,4508
2015-04-16,10775.0,10655.0,10915.0,10655.0,1240
2015-04-17,10895.0,10795.0,10915.0,10750.0,4232
2015-04-20,10965.0,10865.0,10960.0,10865.0,858
2015-04-21,10820.0,10960.0,11055.0,10750.0,6122
2015-04-22,10800.0,11100.0,11100.0,10795.0,1780
2015-04-23,10870.0,10865.0,10865.0,10700.0,1633
2015-04-24,10800.0,10915.0,10915.0,10680.0,7235
2015-04-27,10775.0,10775.0,10775.0,10775.0,5
2015-04-28,10775.0,10775.0,10775.0,10775.0,6
2015-04-29,10635.0,10935.0,10935.0,10630.0,98
2015-04-30,10870.0,10585.0,10865.0,10585.0,470
2015-05-04,10845.0,10630.0,10865.0,10630.0,2761
2015-05-06,10750.0,11030.0,11030.0,10655.0,895
2015-05-07,10680.0,10750.0,10795.0,10680.0,4106
2015-05-08,10845.0,10725.0,10960.0,10725.0,1796
2015-05-11,10820.0,10845.0,10845.0,10775.0,2025
2015-05-12,10635.0,10750.0,10750.0,10610.0,2013
2015-05-13,10705.0,10750.0,10750.0,10680.0,3626
2015-05-14,10775.0,10725.0,10775.0,10700.0,1831
2015-05-15,11010.0,10960.0,11030.0,10845.0,4286
2015-05-18,11035.0,11010.0,11030.0,10960.0,1201
2015-05-19,11410.0,11030.0,11735.0,10890.0,10655
2015-05-20,11385.0,11620.0,11620.0,11170.0,19942
2015-05-21,11290.0,11360.0,11360.0,11125.0,3456
2015-05-22,11270.0,11550.0,11550.0,10960.0,7611
2015-05-26,11150.0,11080.0,11360.0,11080.0,3342
2015-05-27,11290.0,11055.0,11290.0,10890.0,3468
2015-05-28,11220.0,11315.0,11360.0,11030.0,5234
2015-05-29,11740.0,11220.0,11875.0,11195.0,9182
2015-06-01,11690.0,11780.0,11780.0,11570.0,764
2015-06-02,11550.0,11710.0,11780.0,11360.0,1749
2015-06-03,11385.0,11430.0,11455.0,11195.0,2951
2015-06-04,11340.0,11550.0,11550.0,11150.0,1364
2015-06-05,11480.0,11335.0,11570.0,11170.0,4899
2015-06-08,11435.0,11475.0,11735.0,11360.0,7027
2015-06-09,11575.0,11475.0,11735.0,11430.0,6341
2015-06-10,11245.0,11550.0,11550.0,11125.0,3692
2015-06-11,11360.0,11240.0,11690.0,11220.0,5735
2015-06-12,11665.0,11360.0,11735.0,11360.0,8797
2015-06-15,11505.0,11665.0,11710.0,11500.0,2443
2015-06-16,10895.0,11430.0,11430.0,10585.0,8039
2015-06-17,10870.0,10795.0,11240.0,10795.0,3421
2015-06-18,11550.0,11620.0,11620.0,10680.0,17848
2015-06-19,11550.0,0.0,0.0,0.0,0
2015-06-22,11550.0,0.0,0.0,0.0,0
2015-06-23,11550.0,0.0,0.0,0.0,0
2015-06-24,11550.0,0.0,0.0,0.0,0
2015-06-25,11550.0,0.0,0.0,0.0,0
2015-06-26,11550.0,0.0,0.0,0.0,0
2015-06-29,11550.0,0.0,0.0,0.0,0
2015-06-30,11550.0,0.0,0.0,0.0,0
2015-07-01,11550.0,0.0,0.0,0.0,0
2015-07-02,11550.0,0.0,0.0,0.0,0
2015-07-03,11550.0,0.0,0.0,0.0,0
2015-07-06,11550.0,0.0,0.0,0.0,0
2015-07-07,11550.0,0.0,0.0,0.0,0
2015-07-08,11550.0,0.0,0.0,0.0,0
2015-07-09,11550.0,0.0,0.0,0.0,0
2015-07-10,11550.0,0.0,0.0,0.0,0
2015-07-13,11550.0,0.0,0.0,0.0,0
2015-07-14,11550.0,0.0,0.0,0.0,0
2015-07-15,11550.0,0.0,0.0,0.0,0
2015-07-16,11550.0,0.0,0.0,0.0,0
2015-07-17,11550.0,0.0,0.0,0.0,0
2015-07-20,11550.0,0.0,0.0,0.0,0
2015-07-21,11550.0,0.0,0.0,0.0,0
2015-07-22,11550.0,0.0,0.0,0.0,0
2015-07-23,11550.0,0.0,0.0,0.0,0
2015-07-24,11550.0,0.0,0.0,0.0,0
2015-07-27,11550.0,0.0,0.0,0.0,0
2015-07-28,11550.0,0.0,0.0,0.0,0
2015-07-29,11550.0,0.0,0.0,0.0,0
2015-07-30,11550.0,0.0,0.0,0.0,0
2015-07-31,11550.0,0.0,0.0,0.0,0
2015-08-03,11550.0,0.0,0.0,0.0,0
2015-08-04,11550.0,0.0,0.0,0.0,0
2015-08-05,11550.0,0.0,0.0,0.0,0
2015-08-06,11550.0,0.0,0.0,0.0,0
2015-08-07,11550.0,0.0,0.0,0.0,0
2015-08-10,11550.0,0.0,0.0,0.0,0
2015-08-11,11550.0,0.0,0.0,0.0,0
2015-08-12,11550.0,0.0,0.0,0.0,0
2015-08-13,11550.0,0.0,0.0,0.0,0
2015-08-17,11550.0,0.0,0.0,0.0,0
2015-08-18,11550.0,0.0,0.0,0.0,0
2015-08-19,11550.0,0.0,0.0,0.0,0
2015-08-20,11550.0,0.0,0.0,0.0,0
2015-08-21,11275.0,11550.0,13225.0,10800.0,160574
2015-08-24,11250.0,11275.0,12300.0,11050.0,52316
2015-08-25,11350.0,11425.0,11750.0,10875.0,36506
2015-08-26,11450.0,11600.0,12250.0,11175.0,26485
2015-08-27,11400.0,11725.0,11725.0,11175.0,18815
2015-08-28,11300.0,11775.0,11775.0,11250.0,8773
2015-08-31,11250.0,11250.0,11575.0,11025.0,12571
2015-09-01,10975.0,11375.0,11375.0,10875.0,22099
2015-09-02,10850.0,11025.0,11025.0,10800.0,9997
2015-09-03,10875.0,10850.0,11550.0,10850.0,19888
2015-09-04,11075.0,11125.0,11475.0,10900.0,13294
2015-09-07,11050.0,11425.0,11425.0,11000.0,14823
2015-09-08,10975.0,11050.0,11225.0,10900.0,3828
2015-09-09,10900.0,10975.0,11050.0,10800.0,7528
2015-09-10,10725.0,10825.0,10900.0,10675.0,10079
2015-09-11,10775.0,10925.0,10925.0,10625.0,13016
2015-09-14,10775.0,10900.0,11075.0,10675.0,4244
2015-09-15,10600.0,10925.0,10925.0,10600.0,9110
2015-09-16,10675.0,10650.0,10700.0,10625.0,5246
2015-09-17,10625.0,10675.0,10850.0,10525.0,5528
2015-09-18,10575.0,10775.0,10775.0,10500.0,8631
2015-09-21,10450.0,10650.0,10725.0,10450.0,16375
2015-09-22,10575.0,10525.0,10625.0,10500.0,5597
2015-09-23,10175.0,10574.0,10700.0,10174.0,20696
2015-09-24,10525.0,10400.0,10550.0,10200.0,30161
2015-09-25,10600.0,10525.0,11725.0,10375.0,34564
2015-09-30,10725.0,10725.0,10800.0,10600.0,12539
2015-10-01,10800.0,10725.0,10875.0,10700.0,8965
2015-10-02,11075.0,10925.0,11475.0,10925.0,22038
2015-10-05,10925.0,11250.0,11250.0,10850.0,18509
2015-10-06,11100.0,11350.0,11700.0,11025.0,29419
2015-10-07,10925.0,10875.0,11200.0,10800.0,11632
2015-10-08,11100.0,11175.0,11175.0,11000.0,10233
2015-10-12,11000.0,11000.0,11175.0,10900.0,3779
2015-10-13,10975.0,11050.0,11075.0,10850.0,2680
2015-10-14,10925.0,11100.0,11100.0,10800.0,4314
2015-10-15,10775.0,10950.0,10950.0,10700.0,3794
2015-10-16,10525.0,10900.0,10900.0,10450.0,28453
2015-10-19,10650.0,10550.0,10725.0,10500.0,15136
2015-10-20,10650.0,10550.0,10700.0,10550.0,3890
2015-10-21,10650.0,10650.0,10650.0,10550.0,5219
2015-10-22,10750.0,10775.0,10950.0,10625.0,39760
