date,close,open,high,low,volume
2025-02-12,22500.0,14430.0,24000.0,14330.0,45070738
2025-02-13,20250.0,21450.0,22200.0,19350.0,10756205
2025-02-14,16930.0,19770.0,19770.0,16160.0,6629001
2025-02-17,18380.0,17490.0,20250.0,16750.0,13459554
2025-02-18,17820.0,18210.0,19010.0,17700.0,3664308
2025-02-19,21050.0,17820.0,23150.0,17720.0,21604456
2025-02-20,20950.0,20550.0,22800.0,19620.0,8838127
2025-02-21,21550.0,20200.0,24250.0,19890.0,11515872
2025-02-24,19000.0,21000.0,21100.0,19000.0,1944635
2025-02-25,18860.0,18390.0,20850.0,18200.0,3114382
2025-02-26,17330.0,18620.0,18970.0,17330.0,1086592
2025-02-27,17820.0,17700.0,19450.0,17330.0,2785567
2025-02-28,17600.0,17210.0,18170.0,16930.0,872262
2025-03-04,15250.0,17290.0,17330.0,13230.0,1763041
2025-03-05,14000.0,15090.0,15450.0,13780.0,1059284
2025-03-06,13730.0,14010.0,14820.0,13710.0,1003296
2025-03-07,11950.0,13700.0,13700.0,11880.0,994569
2025-03-10,11660.0,12050.0,12400.0,11590.0,621505
2025-03-11,12750.0,11300.0,13930.0,11300.0,3220040
2025-03-12,12550.0,12710.0,13300.0,11950.0,1912951
2025-03-13,12170.0,13290.0,13760.0,12150.0,1981493
2025-03-14,12270.0,12100.0,12560.0,11960.0,703523
2025-03-17,13900.0,12450.0,15000.0,12260.0,8013210
2025-03-18,13850.0,13950.0,13970.0,13430.0,1004538
2025-03-19,13530.0,14010.0,14860.0,13450.0,2506449
2025-03-20,12670.0,13850.0,14030.0,12610.0,846725
2025-03-21,12830.0,13000.0,13730.0,12650.0,1181230
2025-03-24,12360.0,12870.0,13100.0,12320.0,449248
2025-03-25,11870.0,12560.0,12690.0,11760.0,416418
2025-03-26,12030.0,11920.0,12240.0,11430.0,291104
2025-03-27,11700.0,11850.0,12040.0,11500.0,235629
2025-03-28,11830.0,11640.0,12970.0,11300.0,1336516
2025-03-31,10280.0,11480.0,11560.0,10280.0,491402
2025-04-01,10710.0,10410.0,11090.0,10410.0,426274
2025-04-02,10510.0,10980.0,11340.0,10410.0,383011
2025-04-03,10030.0,10260.0,10510.0,9810.0,262929
2025-04-04,9670.0,9790.0,9920.0,9200.0,463580
2025-04-07,8610.0,9180.0,9210.0,8400.0,372427
2025-04-08,8570.0,8950.0,9170.0,8460.0,270302
2025-04-09,8680.0,8410.0,8880.0,8350.0,180128
2025-04-10,9270.0,9500.0,9570.0,9100.0,327500
2025-04-11,9890.0,9000.0,9930.0,8990.0,490217
2025-04-14,10250.0,10100.0,10430.0,9890.0,229119
2025-04-15,10330.0,10480.0,10670.0,10200.0,174307
2025-04-16,10120.0,10260.0,10470.0,10100.0,151161
2025-04-17,10880.0,10000.0,10880.0,9950.0,313566
2025-04-18,10460.0,10800.0,10880.0,10460.0,204968
2025-04-21,10580.0,10360.0,11300.0,10140.0,407805
2025-04-22,10270.0,10300.0,10700.0,10260.0,154340
2025-04-23,10800.0,10490.0,11030.0,10310.0,350282
2025-04-24,10270.0,10910.0,11060.0,10250.0,195451
2025-04-25,10410.0,10480.0,10590.0,10330.0,137135
2025-04-28,10040.0,10420.0,10420.0,10000.0,126921
2025-04-29,10140.0,10140.0,10580.0,10120.0,127629
