date,close,open,high,low,volume
2015-04-03,59200.0,51500.0,59200.0,51500.0,7189
2015-04-06,68000.0,68000.0,68000.0,68000.0,11716
2015-04-07,78200.0,78200.0,78200.0,78200.0,5463
2015-04-08,89900.0,89900.0,89900.0,89900.0,7207
2015-04-09,103300.0,103300.0,103300.0,103300.0,13107
2015-04-10,118700.0,118700.0,118700.0,118700.0,52623
2015-04-13,133900.0,123400.0,136500.0,118600.0,552679
2015-04-14,135500.0,129500.0,140700.0,123500.0,300278
2015-04-15,128500.0,133000.0,134500.0,128400.0,107056
2015-04-16,131500.0,130000.0,134100.0,124000.0,182349
2015-04-17,130200.0,129500.0,134400.0,126600.0,53751
2015-04-20,124700.0,126500.0,128800.0,124600.0,82914
2015-04-21,124900.0,124000.0,124900.0,120400.0,49722
2015-04-22,131000.0,127100.0,136000.0,122100.0,95515
2015-04-23,132800.0,129900.0,132800.0,126200.0,38315
2015-04-24,132800.0,131700.0,132800.0,129000.0,20826
2015-04-27,127000.0,130400.0,130700.0,126700.0,23196
2015-04-28,126800.0,127500.0,128000.0,125300.0,38987
2015-04-29,126900.0,126900.0,129200.0,123000.0,28904
2015-04-30,125500.0,127100.0,127800.0,120400.0,60316
2015-05-04,127100.0,125300.0,136500.0,122200.0,59640
2015-05-06,126000.0,126800.0,130000.0,123800.0,23500
2015-05-07,126900.0,123600.0,127900.0,123600.0,28384
2015-05-08,128000.0,125700.0,128000.0,124000.0,18457
2015-05-11,128700.0,127600.0,131500.0,126200.0,11249
2015-05-12,127000.0,130500.0,130500.0,125800.0,16751
2015-05-13,127600.0,125800.0,127700.0,123600.0,46630
2015-05-14,125900.0,127400.0,128800.0,125100.0,19206
2015-05-15,123800.0,126000.0,126900.0,123000.0,16640
2015-05-18,122000.0,122600.0,125000.0,120500.0,18405
2015-05-19,124900.0,121000.0,124900.0,120900.0,15011
2015-05-20,126200.0,125000.0,129400.0,123100.0,20281
2015-05-21,125200.0,127000.0,127000.0,123700.0,14280
2015-05-22,123000.0,125900.0,125900.0,122100.0,8631
2015-05-26,124000.0,123100.0,124000.0,120700.0,20827
2015-05-27,123000.0,122400.0,125000.0,121600.0,10776
2015-05-28,123100.0,121100.0,124800.0,120700.0,18053
2015-05-29,127800.0,122000.0,128100.0,122000.0,37413
2015-06-01,133500.0,128300.0,141600.0,127000.0,73447
2015-06-02,135000.0,134000.0,137900.0,130500.0,41978
2015-06-03,136700.0,135000.0,137700.0,131000.0,23807
2015-06-04,136700.0,135700.0,138000.0,133900.0,12923
2015-06-05,136700.0,137400.0,137400.0,130000.0,10475
