date,close,open,high,low,volume
2015-05-18,6393.0,7521.0,7753.0,6392.0,2038424
2015-05-19,6367.0,6095.0,6936.0,5861.0,1327349
2015-05-20,5902.0,6224.0,6522.0,5873.0,486352
2015-05-21,5915.0,5912.0,6184.0,5861.0,242335
2015-05-22,5772.0,5912.0,6067.0,5769.0,268982
2015-05-26,5772.0,5769.0,5820.0,5744.0,132562
2015-05-27,5744.0,5744.0,5820.0,5744.0,114829
2015-05-28,5732.0,5757.0,5848.0,5731.0,69484
2015-05-29,5732.0,5757.0,5820.0,5706.0,101234
2015-06-01,5757.0,5744.0,5769.0,5706.0,99682
2015-06-02,5757.0,5744.0,5769.0,5706.0,120739
2015-06-03,5744.0,5718.0,5782.0,5706.0,71470
2015-06-04,5757.0,5731.0,5769.0,5718.0,27834
2015-06-05,5772.0,5718.0,5795.0,5718.0,28712
2015-06-08,5757.0,5744.0,5782.0,5718.0,13917
2015-06-09,5744.0,5757.0,5769.0,5718.0,13398
2015-06-10,5732.0,5731.0,5757.0,5706.0,77458
2015-06-11,5706.0,5706.0,5731.0,5690.0,64592
2015-06-12,5564.0,5652.0,5678.0,5523.0,29820
2015-06-15,5602.0,5561.0,5627.0,5548.0,47187
2015-06-16,5460.0,5561.0,5561.0,5459.0,25533
2015-06-17,5409.0,5446.0,5523.0,5289.0,36321
2015-06-18,5254.0,5212.0,5317.0,5212.0,464674
2015-06-19,5330.0,5251.0,5342.0,5251.0,148334
2015-06-22,5355.0,5355.0,5380.0,5301.0,116270
2015-06-23,5396.0,5406.0,5406.0,5355.0,53184
2015-06-24,5355.0,5380.0,5380.0,5317.0,80775
2015-06-25,5355.0,5355.0,5355.0,5289.0,75867
2015-06-26,5447.0,5367.0,5459.0,5355.0,76123
2015-06-29,5421.0,5342.0,5459.0,5342.0,59070
2015-06-30,5513.0,5418.0,5510.0,5393.0,112873
2015-07-01,5643.0,5510.0,5950.0,5459.0,75881
2015-07-02,5602.0,5627.0,5706.0,5561.0,46157
2015-07-03,5655.0,5535.0,5690.0,5472.0,64636
2015-07-06,5564.0,5652.0,5744.0,5548.0,48911
2015-07-07,5693.0,5589.0,5690.0,5548.0,15238
2015-07-08,5589.0,5690.0,5690.0,5510.0,26274
2015-07-09,5564.0,5484.0,5601.0,5472.0,19670
2015-07-10,5589.0,5561.0,5627.0,5523.0,16494
2015-07-13,5576.0,5627.0,5627.0,5393.0,79336
2015-07-14,5551.0,5576.0,5576.0,5497.0,33536
2015-07-15,5564.0,5640.0,5640.0,5510.0,25194
2015-07-16,5526.0,5561.0,5589.0,5459.0,24819
2015-07-17,5526.0,5510.0,5561.0,5497.0,19988
2015-07-20,5589.0,5576.0,5601.0,5523.0,20931
2015-07-21,5602.0,5589.0,5614.0,5576.0,17908
2015-07-22,5693.0,5589.0,5690.0,5589.0,19315
2015-07-23,5706.0,5678.0,5795.0,5665.0,23343
2015-07-24,5719.0,5795.0,5795.0,5665.0,42960
2015-07-27,5643.0,5820.0,5820.0,5601.0,37526
2015-07-28,5732.0,5665.0,5795.0,5640.0,20864
2015-07-29,5627.0,5744.0,5757.0,5627.0,79513
2015-07-30,5706.0,5640.0,5718.0,5640.0,19883
2015-07-31,5757.0,5731.0,5782.0,5706.0,33391
2015-08-03,5785.0,5820.0,5820.0,5757.0,10622
2015-08-04,5810.0,5795.0,5807.0,5757.0,31679
2015-08-05,5836.0,5820.0,5835.0,5782.0,24214
2015-08-06,5927.0,5807.0,5978.0,5807.0,61000
