date,close,open,high,low,volume
2015-09-25,5255.0,5504.0,5805.0,5079.0,3192707
2015-09-30,5355.0,5504.0,5704.0,5154.0,1018036
2015-10-01,5230.0,5404.0,5479.0,5204.0,439374
2015-10-02,5054.0,5304.0,5304.0,5054.0,512303
2015-10-05,4809.0,5104.0,5154.0,4809.0,620553
2015-10-06,4674.0,4854.0,4869.0,4573.0,402639
2015-10-07,4544.0,4644.0,4794.0,4498.0,348642
2015-10-08,4599.0,4609.0,4769.0,4533.0,220373
2015-10-12,4524.0,4624.0,4649.0,4523.0,120950
2015-10-13,4479.0,4553.0,4568.0,4443.0,103656
2015-10-14,4469.0,4493.0,4604.0,4438.0,127516
2015-10-15,4584.0,4729.0,4959.0,4563.0,461079
2015-10-16,4639.0,4589.0,4659.0,4528.0,127465
2015-10-19,4654.0,4639.0,4714.0,4609.0,59202
2015-10-20,4704.0,4644.0,4829.0,4614.0,112356
2015-10-21,4604.0,4739.0,4739.0,4604.0,72970
2015-10-22,4394.0,4604.0,4634.0,4258.0,147395
2015-10-23,4509.0,4443.0,4518.0,4313.0,95808
2015-10-26,5855.0,4508.0,5855.0,4453.0,2123118
2015-10-27,6255.0,5654.0,7556.0,5454.0,3048261
2015-10-28,6456.0,6430.0,7281.0,6205.0,1406518
2015-10-29,6255.0,6605.0,6855.0,6155.0,578152
2015-10-30,5955.0,6105.0,6305.0,5880.0,348181
2015-11-02,6230.0,6030.0,6355.0,5955.0,280767
2015-11-03,5880.0,6155.0,6205.0,5805.0,262536
2015-11-04,5830.0,5855.0,5930.0,5679.0,168038
2015-11-05,5955.0,5755.0,6080.0,5704.0,174433
2015-11-06,5930.0,6005.0,6005.0,5730.0,192440
2015-11-09,5730.0,5880.0,5980.0,5479.0,215045
2015-11-10,6500.0,5980.0,7380.0,5800.0,1660575
2015-11-11,6200.0,6440.0,6680.0,6150.0,216880
2015-11-12,5870.0,6050.0,6120.0,5700.0,271545
2015-11-13,5690.0,5740.0,5860.0,5510.0,132137
2015-11-16,5250.0,5620.0,5690.0,5060.0,144811
2015-11-17,5380.0,5250.0,5460.0,5070.0,73258
2015-11-18,5200.0,5290.0,5470.0,5200.0,85367
2015-11-19,5260.0,5200.0,5380.0,5160.0,71456
2015-11-20,5350.0,5270.0,5360.0,5190.0,42423
2015-11-23,5350.0,5400.0,5450.0,5250.0,35457
2015-11-24,5850.0,5370.0,6540.0,5370.0,655864
2015-11-25,5680.0,5860.0,5900.0,5590.0,111245
2015-11-26,5520.0,5730.0,5730.0,5520.0,85026
2015-11-27,5540.0,5470.0,5560.0,5450.0,28734
2015-11-30,5540.0,5540.0,5540.0,5370.0,49271
2015-12-01,5560.0,5540.0,5730.0,5470.0,33784
2015-12-02,5500.0,5560.0,5650.0,5400.0,70473
2015-12-03,5420.0,5400.0,5500.0,5260.0,47451
2015-12-04,5400.0,5300.0,5500.0,5260.0,90988
2015-12-07,5180.0,5160.0,5580.0,5100.0,466221
2015-12-08,4900.0,5240.0,5240.0,4820.0,273176
2015-12-09,4750.0,4900.0,4980.0,4730.0,102764
2015-12-10,4550.0,4750.0,4795.0,4530.0,106258
2015-12-11,4580.0,4525.0,4720.0,4500.0,62606
2015-12-14,4405.0,4500.0,4570.0,4375.0,79895
2015-12-15,4585.0,4405.0,4585.0,4330.0,77491
2015-12-16,4535.0,4630.0,4660.0,4505.0,44755
2015-12-17,4640.0,4575.0,4735.0,4505.0,74392
2015-12-18,4950.0,4585.0,4965.0,4585.0,137369
2015-12-21,5550.0,4995.0,5670.0,4995.0,578153
2015-12-22,5490.0,5550.0,5670.0,5400.0,164859
2015-12-23,5500.0,5580.0,5950.0,5450.0,332186
2015-12-24,5600.0,5530.0,5670.0,5500.0,82796
2015-12-28,5400.0,5660.0,5660.0,5350.0,89432
2015-12-29,5880.0,5600.0,6390.0,5440.0,919488
2015-12-30,6040.0,5870.0,6050.0,5740.0,188483
2016-01-04,6090.0,6040.0,6400.0,5940.0,172869
2016-01-05,6250.0,6020.0,6250.0,6000.0,92649
2016-01-06,6640.0,6250.0,6800.0,6220.0,339275
2016-01-07,6700.0,6550.0,6950.0,6500.0,167139
2016-01-08,6490.0,6600.0,6700.0,6320.0,100267
2016-01-11,6070.0,6250.0,6670.0,6020.0,181304
2016-01-12,5560.0,5950.0,6050.0,5560.0,389451
2016-01-13,5360.0,5690.0,5730.0,5360.0,237043
2016-01-14,5490.0,5360.0,5600.0,5310.0,114995
2016-01-15,5400.0,5640.0,5750.0,5330.0,140772
2016-01-18,5230.0,5400.0,5440.0,5120.0,87526
