date,close,open,high,low,volume
2017-03-02,14631.0,18227.0,19187.0,14449.0,6811726
2017-03-03,13851.0,15170.0,15230.0,13610.0,1878473
2017-03-06,13431.0,13849.0,14508.0,13429.0,1377728
2017-03-07,12712.0,13190.0,13549.0,12470.0,1362585
2017-03-08,12892.0,12831.0,13132.0,12591.0,985267
2017-03-09,12173.0,12832.0,13132.0,12112.0,1052847
2017-03-10,12592.0,12470.0,13191.0,11991.0,1682895
2017-03-13,12952.0,13072.0,13491.0,12891.0,1033002
2017-03-14,12592.0,12950.0,13130.0,12530.0,597449
2017-03-15,12053.0,12652.0,12772.0,11957.0,1011357
2017-03-16,11993.0,12173.0,12411.0,11944.0,491588
2017-03-17,12772.0,12051.0,12770.0,11978.0,777143
2017-03-20,12291.0,12950.0,12950.0,12230.0,469162
2017-03-21,12113.0,12291.0,12411.0,12052.0,345167
2017-03-22,12113.0,12113.0,12411.0,11992.0,341028
2017-03-23,12233.0,12233.0,12591.0,12052.0,469302
2017-03-24,12352.0,12350.0,12830.0,12290.0,678755
2017-03-27,12113.0,12471.0,12531.0,12052.0,281382
2017-03-28,12053.0,12233.0,12291.0,11980.0,349612
2017-03-29,12053.0,12173.0,12173.0,11992.0,196745
2017-03-30,12233.0,12172.0,12291.0,11992.0,226715
2017-03-31,12173.0,12233.0,12411.0,12112.0,219330
2017-04-03,12592.0,12290.0,12590.0,12231.0,414933
2017-04-04,12592.0,12590.0,13070.0,12350.0,541952
2017-04-05,12832.0,12771.0,13192.0,12711.0,646384
2017-04-06,12532.0,12830.0,12950.0,12410.0,337296
2017-04-07,12532.0,12590.0,12770.0,12410.0,312399
2017-04-10,12053.0,12471.0,12471.0,12053.0,386257
2017-04-11,12053.0,12113.0,12351.0,11884.0,289057
2017-04-12,12113.0,12113.0,12173.0,11884.0,196176
2017-04-13,12173.0,11992.0,12233.0,11992.0,172302
2017-04-14,11993.0,12113.0,12173.0,11968.0,193332
2017-04-17,12592.0,12051.0,12590.0,11991.0,531575
2017-04-18,12472.0,12590.0,12650.0,12350.0,247023
2017-04-19,12352.0,12410.0,12590.0,12231.0,233708
2017-04-20,12592.0,12350.0,12710.0,12171.0,363472
2017-04-21,12412.0,12710.0,12770.0,12350.0,250835
2017-04-24,12113.0,12351.0,12411.0,11992.0,254504
2017-04-25,12113.0,12173.0,12233.0,12052.0,185810
2017-04-26,11993.0,12173.0,12173.0,11993.0,218671
2017-04-27,11993.0,12053.0,12053.0,11932.0,212372
2017-04-28,12053.0,12053.0,12113.0,11932.0,172967
2017-05-02,11944.0,12051.0,12111.0,11942.0,139809
2017-05-04,12113.0,11980.0,12173.0,11968.0,97593
2017-05-08,12233.0,12112.0,12233.0,11992.0,183525
2017-05-10,12113.0,12351.0,12411.0,12052.0,158466
2017-05-11,12233.0,12112.0,12233.0,12052.0,91310
