date,close,open,high,low,volume
2021-11-18,6290.0,7300.0,7400.0,5440.0,6492774
2021-11-19,6970.0,6270.0,7860.0,6210.0,9915173
2021-11-22,6580.0,6840.0,7010.0,6490.0,899669
2021-11-23,6520.0,6590.0,6880.0,6350.0,544121
2021-11-24,6590.0,6420.0,6590.0,6260.0,346788
2021-11-25,6880.0,6590.0,7160.0,6560.0,646738
2021-11-26,7000.0,6890.0,7180.0,6500.0,439869
2021-11-29,7250.0,6750.0,7550.0,6700.0,710850
2021-11-30,7650.0,7230.0,8400.0,7150.0,3279192
2021-12-01,7470.0,7650.0,8220.0,7330.0,3879196
2021-12-02,7600.0,7260.0,7870.0,7190.0,410372
2021-12-03,8100.0,7700.0,8130.0,7600.0,444860
2021-12-06,8390.0,8100.0,8600.0,7920.0,371160
2021-12-07,8530.0,8270.0,8730.0,8150.0,397800
2021-12-08,8960.0,8630.0,9470.0,8550.0,764690
2021-12-09,8370.0,8970.0,8990.0,8150.0,378061
2021-12-10,8660.0,8370.0,8840.0,8090.0,407198
2021-12-13,9110.0,8610.0,9230.0,8590.0,529152
2021-12-14,9070.0,9160.0,9430.0,8900.0,282606
2021-12-15,8900.0,9010.0,9380.0,8550.0,265209
2021-12-16,8860.0,8930.0,9250.0,8300.0,418586
2021-12-17,8730.0,8860.0,8920.0,8600.0,211942
2021-12-20,8700.0,8570.0,8750.0,8400.0,151071
2021-12-21,9190.0,8530.0,9250.0,8530.0,340973
2021-12-22,9160.0,9500.0,9510.0,8800.0,657257
2021-12-23,9180.0,9210.0,9270.0,8820.0,317217
2021-12-24,9520.0,9200.0,10350.0,9200.0,770323
2021-12-27,9970.0,9620.0,10100.0,9550.0,372346
2021-12-28,9700.0,10050.0,10200.0,9630.0,219235
2021-12-29,9890.0,9870.0,9980.0,9680.0,169009
2021-12-30,10300.0,9900.0,10300.0,9760.0,171623
2022-01-03,9910.0,10350.0,10350.0,9870.0,170380
2022-01-04,9580.0,10000.0,10000.0,9240.0,337087
2022-01-05,9210.0,9560.0,9560.0,9020.0,346059
2022-01-06,9320.0,8940.0,9530.0,8870.0,249318
2022-01-07,9430.0,9210.0,9500.0,9200.0,151228
2022-01-10,9420.0,9620.0,9620.0,9210.0,74174
2022-01-11,10100.0,10250.0,10450.0,9830.0,1282308
2022-01-12,10450.0,10350.0,10900.0,10000.0,741384
2022-01-13,10300.0,10300.0,10500.0,9990.0,280330
2022-01-14,11000.0,10150.0,11450.0,10150.0,1336256
2022-01-17,11600.0,11250.0,11700.0,10800.0,593622
2022-01-18,11150.0,11800.0,11950.0,11000.0,507568
2022-01-19,11100.0,10850.0,11100.0,10450.0,539785
2022-01-20,11000.0,11200.0,11350.0,10650.0,319621
2022-01-21,10950.0,10750.0,11050.0,10400.0,540007
2022-01-24,10550.0,10800.0,10800.0,10350.0,279602
2022-01-25,10200.0,10750.0,10800.0,9900.0,428867
2022-01-26,9990.0,10200.0,10500.0,9890.0,194512
2022-01-27,9600.0,10000.0,10150.0,9270.0,296534
2022-01-28,10100.0,9600.0,10100.0,9310.0,210887
2022-02-03,9830.0,10200.0,10350.0,9830.0,184330
2022-02-04,10350.0,10000.0,10400.0,10000.0,196316
2022-02-07,10750.0,10350.0,10750.0,9960.0,262809
2022-02-08,10350.0,10600.0,10850.0,10050.0,181367
2022-02-09,9910.0,10500.0,10700.0,9900.0,326408
2022-02-10,9910.0,10100.0,10250.0,9910.0,154162
2022-02-11,9570.0,9740.0,9980.0,9510.0,230934
2022-02-14,8820.0,9300.0,9470.0,8820.0,289706
2022-02-15,8200.0,8780.0,8990.0,8200.0,286145
2022-02-16,8610.0,8440.0,8710.0,8430.0,94387
2022-02-17,8850.0,8650.0,9150.0,8480.0,218250
2022-02-18,8840.0,8710.0,9120.0,8620.0,113191
2022-02-21,8660.0,8810.0,8810.0,8500.0,83687
2022-02-22,8270.0,8330.0,8580.0,8250.0,140860
2022-02-23,8740.0,8760.0,8930.0,8380.0,177244
2022-02-24,8250.0,8550.0,8620.0,8190.0,124127
2022-02-25,8400.0,8440.0,8560.0,8330.0,100113
2022-02-28,8320.0,8300.0,8420.0,8200.0,84584
2022-03-02,8290.0,8270.0,8360.0,8180.0,70799
2022-03-03,8800.0,8340.0,10300.0,8330.0,1866400
2022-03-04,8650.0,8680.0,9270.0,8600.0,760116
2022-03-07,8290.0,8570.0,8610.0,8150.0,231293
2022-03-08,8020.0,8000.0,8270.0,7900.0,131392
2022-03-10,7960.0,8150.0,8280.0,7960.0,91001
2022-03-11,7750.0,7970.0,8070.0,7650.0,154766
2022-03-14,7410.0,7750.0,7750.0,7370.0,125396
2022-03-15,7790.0,7350.0,8210.0,7350.0,266172
2022-03-16,8050.0,7900.0,8200.0,7800.0,75366
2022-03-17,8150.0,8200.0,8320.0,8040.0,126364
2022-03-18,8530.0,8110.0,8630.0,8080.0,112530
2022-03-21,8630.0,8600.0,8810.0,8390.0,107152
2022-03-22,8630.0,8670.0,8720.0,8530.0,54465
2022-03-23,8600.0,8800.0,8800.0,8540.0,62459
2022-03-24,8820.0,8550.0,8820.0,8420.0,112384
2022-03-25,8700.0,8990.0,9000.0,8700.0,115945
2022-03-28,8630.0,8700.0,8700.0,8520.0,35559
2022-03-29,8490.0,8630.0,8680.0,8430.0,56036
2022-03-30,8580.0,8580.0,8600.0,8310.0,63271
2022-03-31,8530.0,8510.0,8530.0,8340.0,48016
2022-04-01,8380.0,8530.0,8530.0,8340.0,24553
2022-04-04,8160.0,8390.0,8390.0,8080.0,80991
2022-04-05,8070.0,8160.0,8210.0,8030.0,56762
2022-04-06,8010.0,8070.0,8120.0,8000.0,55212
2022-04-07,7870.0,8010.0,8010.0,7810.0,56956
2022-04-08,8170.0,7880.0,8400.0,7880.0,83388
2022-04-11,8000.0,8060.0,8150.0,7900.0,32442
2022-04-12,7980.0,7980.0,8070.0,7900.0,37618
