date,close,open,high,low,volume
2015-11-05,1996.0,1990.0,2000.0,1980.0,1702524
2015-11-06,2001.0,1989.0,2005.0,1989.0,208243
2015-11-09,1991.0,2000.0,2000.0,1985.0,111204
2015-11-10,1981.0,1990.0,2000.0,1975.0,157932
2015-11-11,1991.0,1990.0,1990.0,1985.0,34069
2015-11-12,1986.0,1986.0,1990.0,1975.0,107722
2015-11-13,1991.0,1985.0,1990.0,1985.0,73225
2015-11-16,1986.0,1990.0,1990.0,1980.0,56347
2015-11-17,1986.0,1986.0,1990.0,1975.0,70276
2015-11-18,1976.0,1980.0,1985.0,1975.0,21148
2015-11-19,1976.0,1980.0,1980.0,1970.0,22806
2015-11-20,1976.0,1980.0,1980.0,1970.0,20063
2015-11-23,1976.0,1975.0,1975.0,1964.0,15158
2015-11-24,1971.0,1975.0,1975.0,1960.0,39166
2015-11-25,1971.0,1975.0,1975.0,1965.0,58626
2015-11-26,1976.0,1970.0,1975.0,1970.0,30243
2015-11-27,1971.0,1975.0,1975.0,1960.0,14650
2015-11-30,1966.0,1970.0,1980.0,1965.0,81103
2015-12-01,1971.0,1970.0,1975.0,1970.0,1222
2015-12-02,1971.0,1970.0,1970.0,1955.0,4324
2015-12-03,1966.0,1965.0,1965.0,1965.0,1098
2015-12-04,1971.0,1965.0,1970.0,1965.0,896
2015-12-07,1957.0,1966.0,1966.0,1957.0,18737
2015-12-08,1966.0,1955.0,1965.0,1955.0,11558
2015-12-09,1962.0,1966.0,1966.0,1951.0,21708
2015-12-10,1957.0,1962.0,1962.0,1937.0,4209
2015-12-11,1947.0,1956.0,1965.0,1946.0,18953
2015-12-14,1957.0,1957.0,1957.0,1946.0,12383
2015-12-15,1952.0,1961.0,1961.0,1951.0,15358
2015-12-16,1952.0,1956.0,1961.0,1951.0,7427
2015-12-17,1952.0,1951.0,1951.0,1940.0,11704
2015-12-18,1952.0,1951.0,1951.0,1946.0,9296
2015-12-21,1952.0,1951.0,1951.0,1951.0,190
2015-12-22,1957.0,1946.0,1962.0,1946.0,4584
2015-12-23,1966.0,1965.0,1965.0,1950.0,12763
2015-12-24,1966.0,1965.0,1965.0,1936.0,3316
2015-12-28,1957.0,1962.0,1962.0,1946.0,13822
2015-12-29,1952.0,1951.0,1951.0,1936.0,17086
2015-12-30,1952.0,1956.0,1956.0,1940.0,11580
2016-01-04,1947.0,1956.0,1956.0,1946.0,4435
2016-01-05,1947.0,1941.0,1951.0,1941.0,959
2016-01-06,1947.0,1956.0,1975.0,1946.0,32121
2016-01-07,1952.0,1946.0,1951.0,1940.0,17594
2016-01-08,1952.0,1946.0,1956.0,1946.0,25218
2016-01-11,1962.0,1951.0,1962.0,1951.0,6389
2016-01-12,1957.0,1962.0,1962.0,1951.0,10221
2016-01-13,1952.0,1961.0,1961.0,1951.0,18566
2016-01-14,1957.0,1951.0,1957.0,1951.0,6245
2016-01-15,1957.0,1962.0,1962.0,1951.0,4378
2016-01-18,1957.0,1946.0,1962.0,1946.0,2987
2016-01-19,1957.0,1951.0,1957.0,1951.0,4434
2016-01-20,1947.0,1951.0,1965.0,1946.0,63252
2016-01-21,1966.0,1970.0,1970.0,1965.0,4717
2016-01-22,1971.0,1970.0,1970.0,1960.0,7724
2016-01-25,1947.0,1970.0,1970.0,1941.0,16648
2016-01-26,1966.0,1965.0,1965.0,1965.0,4567
2016-01-27,1947.0,1965.0,1970.0,1946.0,9709
2016-01-28,1966.0,1945.0,1965.0,1945.0,3058
2016-01-29,1966.0,1965.0,1970.0,1960.0,31896
2016-02-01,1966.0,1970.0,1970.0,1960.0,8116
2016-02-02,1966.0,1970.0,1970.0,1965.0,4339
2016-02-03,1966.0,1960.0,1965.0,1960.0,13335
2016-02-04,1971.0,1965.0,1970.0,1950.0,4762
2016-02-05,1957.0,1971.0,1971.0,1957.0,3203
2016-02-11,1966.0,1970.0,1970.0,1965.0,6147
2016-02-12,1962.0,1962.0,1971.0,1937.0,25730
2016-02-15,1966.0,1965.0,1965.0,1931.0,40263
2016-02-16,1966.0,1965.0,1965.0,1945.0,3865
2016-02-17,1966.0,1965.0,1965.0,1945.0,128
2016-02-18,1966.0,1960.0,1965.0,1960.0,3044
2016-02-19,1966.0,1960.0,1965.0,1950.0,2181
2016-02-22,1966.0,1950.0,1965.0,1945.0,5683
2016-02-23,1962.0,1946.0,1962.0,1872.0,38553
2016-02-24,1962.0,1966.0,1966.0,1962.0,10092
2016-02-25,1962.0,1962.0,1962.0,1951.0,2165
2016-02-26,1947.0,1941.0,1965.0,1941.0,3310
2016-02-29,1952.0,1946.0,1951.0,1940.0,3132
2016-03-02,1937.0,1965.0,1965.0,1931.0,4160
2016-03-03,1962.0,1966.0,1966.0,1937.0,6588
2016-03-04,1952.0,1961.0,1961.0,1951.0,2842
2016-03-07,1932.0,1961.0,1961.0,1932.0,5138
2016-03-08,1927.0,1937.0,1951.0,1927.0,5254
2016-03-09,1932.0,1956.0,1956.0,1932.0,13448
2016-03-10,1927.0,1932.0,1932.0,1927.0,9976
2016-03-11,1922.0,1926.0,1945.0,1921.0,56023
2016-03-14,1947.0,1951.0,1951.0,1926.0,358
2016-03-15,1947.0,1941.0,1946.0,1931.0,8218
2016-03-16,1937.0,1941.0,1941.0,1931.0,10995
2016-03-17,1937.0,1926.0,1937.0,1926.0,45349
2016-03-18,1937.0,1931.0,1937.0,1921.0,25712
2016-03-21,1932.0,1932.0,1937.0,1926.0,5499
2016-03-22,1932.0,1932.0,1932.0,1932.0,7073
2016-03-23,1932.0,1932.0,1932.0,1932.0,5728
2016-03-24,1932.0,1932.0,1946.0,1932.0,810
2016-03-25,1947.0,1931.0,1946.0,1931.0,3146
2016-03-28,1947.0,1961.0,1961.0,1946.0,3046
2016-03-29,1937.0,1941.0,1941.0,1937.0,6639
2016-03-30,1947.0,1941.0,1946.0,1931.0,471
2016-03-31,1941.0,1940.0,1940.0,1930.0,4074
2016-04-01,1932.0,1941.0,1941.0,1932.0,11674
2016-04-04,1937.0,1937.0,1937.0,1931.0,13273
2016-04-05,1937.0,1937.0,1946.0,1937.0,9055
2016-04-06,1941.0,1945.0,1945.0,1935.0,3043
2016-04-07,1941.0,1940.0,1940.0,1940.0,4176
2016-04-08,1941.0,1940.0,1940.0,1930.0,3566
2016-04-11,1937.0,1937.0,1937.0,1931.0,4129
2016-04-12,1932.0,1932.0,1932.0,1932.0,1274
