date,close,open,high,low,volume
2016-10-12,15125.0,17300.0,18583.0,14927.0,7273103
2016-10-13,14681.0,15272.0,16062.0,14380.0,1360220
2016-10-14,14286.0,14927.0,15024.0,14135.0,767982
2016-10-17,14383.0,14333.0,14974.0,13393.0,1118726
2016-10-18,13742.0,14333.0,14678.0,13739.0,430996
2016-10-19,13296.0,13887.0,14085.0,13293.0,388171
2016-10-20,13840.0,13443.0,14085.0,13345.0,615029
2016-10-21,14383.0,14085.0,15172.0,13789.0,1538645
2016-10-24,14581.0,14383.0,15172.0,14333.0,773066
2016-10-25,13940.0,14826.0,15074.0,13937.0,599141
2016-10-26,12852.0,14034.0,14232.0,12701.0,592172
2016-10-27,12900.0,12899.0,13345.0,12701.0,276975
2016-10-28,11369.0,12849.0,13097.0,11366.0,456550
2016-10-31,10973.0,11466.0,12208.0,10825.0,687141
2016-11-01,11617.0,10970.0,12604.0,10922.0,1137775
2016-11-02,11121.0,11516.0,11614.0,11070.0,181062
2016-11-03,11369.0,11020.0,11614.0,11020.0,174757
2016-11-04,12161.0,11416.0,12601.0,11366.0,357953
2016-11-07,12752.0,12108.0,12949.0,12057.0,317503
2016-11-08,12802.0,12799.0,12899.0,12406.0,165795
2016-11-09,12208.0,12799.0,12949.0,11070.0,478350
2016-11-10,12161.0,12651.0,12752.0,12158.0,148874
2016-11-11,12802.0,12208.0,13047.0,12108.0,356878
2016-11-14,12456.0,12849.0,12899.0,12406.0,130002
2016-11-15,12802.0,12503.0,12997.0,12258.0,191472
2016-11-16,12752.0,12849.0,13047.0,12651.0,106556
2016-11-17,12554.0,12849.0,12997.0,12406.0,113813
2016-11-18,12208.0,12651.0,12799.0,12057.0,114364
2016-11-21,11665.0,12158.0,12208.0,11564.0,116959
2016-11-22,11665.0,11910.0,12010.0,11516.0,76919
2016-11-23,11073.0,11664.0,12010.0,10872.0,188369
2016-11-24,11467.0,11120.0,11910.0,10674.0,387203
2016-11-25,11812.0,11516.0,12258.0,11516.0,157053
2016-11-28,11765.0,11862.0,12158.0,11664.0,72701
2016-11-29,11617.0,11762.0,11960.0,11318.0,85735
2016-11-30,11665.0,11664.0,11812.0,11466.0,46216
2016-12-01,11369.0,11664.0,11664.0,11268.0,60251
2016-12-02,11319.0,11268.0,11466.0,10970.0,76751
2016-12-05,11073.0,11120.0,11466.0,10970.0,71039
2016-12-06,11319.0,11516.0,11614.0,11218.0,74173
2016-12-07,11319.0,11268.0,11516.0,11120.0,40066
2016-12-08,12013.0,11466.0,12057.0,11416.0,150301
2016-12-09,12013.0,11910.0,12057.0,11564.0,101767
2016-12-12,11812.0,12158.0,12208.0,11712.0,139295
2016-12-13,12208.0,11762.0,12305.0,11614.0,140980
2016-12-14,13050.0,12406.0,13295.0,12406.0,569332
2016-12-15,13000.0,12899.0,13145.0,12701.0,212859
2016-12-16,13594.0,13097.0,13641.0,12997.0,223098
