date,close,open,high,low,volume
2022-02-21,22200.0,25200.0,25200.0,20850.0,2919410
2022-02-22,25900.0,24050.0,28850.0,23400.0,8800851
2022-02-23,24200.0,25250.0,26200.0,23750.0,1360466
2022-02-24,20400.0,23400.0,23450.0,20200.0,1075546
2022-02-25,20250.0,21000.0,21600.0,20200.0,954218
2022-02-28,18800.0,19900.0,19950.0,18800.0,577134
2022-03-02,18750.0,19050.0,19150.0,18650.0,243389
2022-03-03,19750.0,19000.0,19950.0,18700.0,442237
2022-03-04,19750.0,19600.0,19800.0,18900.0,415123
2022-03-07,19650.0,19900.0,20000.0,19050.0,324018
2022-03-08,19050.0,19200.0,20200.0,19050.0,318720
2022-03-10,18900.0,19450.0,19500.0,18800.0,156853
2022-03-11,18800.0,18850.0,19000.0,18150.0,230346
2022-03-14,18650.0,19150.0,19200.0,18600.0,213907
2022-03-15,18300.0,18400.0,18800.0,18100.0,188417
2022-03-16,18200.0,18450.0,18550.0,18150.0,114202
2022-03-17,18950.0,18400.0,20600.0,18250.0,544001
2022-03-18,18950.0,18900.0,19300.0,18650.0,115107
2022-03-21,18750.0,19200.0,19500.0,18750.0,131240
2022-03-22,19350.0,18800.0,19550.0,18750.0,159881
2022-03-23,18900.0,19400.0,19450.0,18850.0,95663
2022-03-24,18700.0,18750.0,18900.0,18450.0,131267
2022-03-25,18600.0,18800.0,18850.0,18550.0,67829
2022-03-28,18600.0,18650.0,18900.0,18400.0,76879
2022-03-29,19200.0,18850.0,19600.0,18500.0,204091
2022-03-30,21900.0,19150.0,23550.0,19000.0,2257355
2022-03-31,22350.0,22150.0,22900.0,21350.0,636856
2022-04-01,20900.0,22150.0,22700.0,20900.0,386748
2022-04-04,21000.0,20800.0,21150.0,20550.0,106781
2022-04-05,21000.0,20900.0,21050.0,20500.0,116388
2022-04-06,21750.0,20800.0,22250.0,20350.0,320939
2022-04-07,20550.0,21550.0,22100.0,20450.0,206179
2022-04-08,21550.0,20650.0,22050.0,20500.0,261281
2022-04-11,22850.0,21550.0,23650.0,21500.0,691115
2022-04-12,22750.0,22500.0,23250.0,21450.0,330451
2022-04-13,22250.0,22950.0,24250.0,22000.0,450192
2022-04-14,21750.0,22200.0,22400.0,21450.0,153000
2022-04-15,21350.0,21350.0,22550.0,21100.0,162887
2022-04-18,20750.0,21600.0,21850.0,20750.0,122774
2022-04-19,19950.0,20850.0,21200.0,19600.0,228353
2022-04-20,19500.0,19950.0,20100.0,19500.0,102793
2022-04-21,20350.0,19700.0,20800.0,19650.0,146463
2022-04-22,26450.0,20050.0,26450.0,19800.0,3909317
2022-04-25,24950.0,25850.0,27700.0,24450.0,2486321
2022-04-26,25100.0,25000.0,25700.0,24500.0,769633
2022-04-27,22750.0,24100.0,24600.0,22400.0,574245
2022-04-28,23000.0,23050.0,24300.0,22600.0,556357
2022-04-29,23700.0,22850.0,23750.0,22550.0,193768
2022-05-02,23950.0,23650.0,24400.0,22850.0,271159
2022-05-03,26500.0,24100.0,29250.0,24050.0,3298912
2022-05-04,26050.0,26400.0,28800.0,26000.0,846455
2022-05-06,24250.0,25250.0,26050.0,23750.0,463601
2022-05-09,22900.0,24500.0,25150.0,22650.0,623845
2022-05-10,23100.0,22450.0,23100.0,21800.0,163346
2022-05-11,22450.0,22700.0,23100.0,22300.0,122017
2022-05-12,21050.0,21900.0,22550.0,21000.0,157453
2022-05-13,23400.0,21200.0,23900.0,21200.0,290662
2022-05-16,23950.0,24200.0,24800.0,23200.0,257636
2022-05-17,23950.0,24000.0,24200.0,23200.0,88090
2022-05-18,22650.0,24200.0,24500.0,22400.0,136451
2022-05-19,21650.0,21900.0,22200.0,21400.0,130216
2022-05-20,21850.0,21550.0,22650.0,21500.0,86092
2022-05-23,21850.0,21750.0,23200.0,21750.0,134137
2022-05-24,21600.0,22100.0,23050.0,21500.0,115111
2022-05-25,21500.0,21600.0,21950.0,21400.0,54716
2022-05-26,23300.0,21800.0,23800.0,21250.0,230349
2022-05-27,24200.0,23500.0,24950.0,23000.0,223405
2022-05-30,24550.0,24300.0,25100.0,24100.0,151630
2022-05-31,24450.0,24550.0,24850.0,23750.0,73023
2022-06-02,24350.0,24250.0,24900.0,23950.0,42714
2022-06-03,25500.0,24550.0,25650.0,23850.0,144925
2022-06-07,24900.0,25300.0,26550.0,24750.0,131292
2022-06-08,24700.0,25150.0,25550.0,24600.0,51275
2022-06-09,25350.0,24600.0,25500.0,24050.0,61786
2022-06-10,25850.0,24800.0,26450.0,24800.0,164189
2022-06-13,24450.0,25200.0,25500.0,23500.0,116710
2022-06-14,24050.0,23950.0,24450.0,22750.0,125830
2022-06-15,24500.0,24100.0,26500.0,22900.0,626008
2022-06-16,28300.0,24650.0,28300.0,24200.0,519058
2022-06-17,27150.0,26950.0,27700.0,25900.0,399094
2022-06-20,25200.0,27450.0,29000.0,24750.0,579337
2022-06-21,25150.0,25950.0,26150.0,23350.0,230957
2022-06-22,23300.0,25050.0,25900.0,23300.0,132432
2022-06-23,23700.0,23300.0,25150.0,22150.0,227852
2022-06-24,24950.0,23700.0,25300.0,23150.0,165349
2022-06-27,24900.0,25100.0,27000.0,24400.0,372171
2022-06-28,25600.0,25900.0,26150.0,24400.0,250481
2022-06-29,25200.0,24950.0,25700.0,24700.0,86882
2022-06-30,23750.0,25000.0,25050.0,23650.0,109052
2022-07-01,23800.0,23900.0,24700.0,23550.0,60348
2022-07-04,22400.0,23900.0,24200.0,22200.0,98291
2022-07-05,22750.0,22400.0,23100.0,22400.0,73294
2022-07-06,23300.0,22800.0,24100.0,22600.0,67356
2022-07-07,23300.0,23500.0,23850.0,23300.0,33218
2022-07-08,24200.0,23700.0,24350.0,23450.0,58037
2022-07-11,23600.0,24250.0,24550.0,23500.0,47024
2022-07-12,22100.0,23250.0,23450.0,21950.0,111007
2022-07-13,22300.0,22100.0,22550.0,21550.0,46191
2022-07-14,22200.0,22100.0,22650.0,21900.0,23396
2022-07-15,22200.0,22200.0,22450.0,21550.0,37005
2022-07-18,22200.0,22500.0,22600.0,22050.0,34555
2022-07-19,22350.0,22100.0,22600.0,21900.0,27095
2022-07-20,21950.0,22650.0,23050.0,21950.0,81485
