date,close,open,high,low,volume
2017-11-24,71800.0,55300.0,71800.0,55300.0,6531671
2017-11-27,71300.0,75000.0,81300.0,69900.0,5421002
2017-11-28,64000.0,70700.0,70700.0,64000.0,1682370
2017-11-29,62800.0,65600.0,67800.0,61100.0,1150710
2017-11-30,64500.0,63000.0,65900.0,60100.0,1039417
2017-12-01,64100.0,64200.0,65200.0,61200.0,684438
2017-12-04,64100.0,66300.0,66800.0,63000.0,513036
2017-12-05,63300.0,64500.0,65100.0,62600.0,292824
2017-12-06,60400.0,63300.0,64000.0,60000.0,374562
2017-12-07,57800.0,60000.0,60500.0,55800.0,483900
2017-12-08,60200.0,57700.0,62800.0,55800.0,604302
2017-12-11,63500.0,60400.0,64100.0,60200.0,509388
2017-12-12,62200.0,63600.0,63800.0,61300.0,221848
2017-12-13,62000.0,61800.0,63100.0,61000.0,198113
2017-12-14,61200.0,62600.0,62700.0,61000.0,141395
2017-12-15,59700.0,61800.0,61800.0,59500.0,138850
2017-12-18,64100.0,59700.0,64900.0,59000.0,469126
2017-12-19,65100.0,64500.0,66100.0,62000.0,264963
2017-12-20,65600.0,64500.0,65800.0,63500.0,191312
2017-12-21,62200.0,65900.0,65900.0,61700.0,166337
2017-12-22,62100.0,62000.0,63100.0,61000.0,133700
2017-12-26,60300.0,59100.0,60800.0,59000.0,448787
2017-12-27,62000.0,60300.0,62100.0,59000.0,254801
2017-12-28,65000.0,62000.0,65600.0,61400.0,328115
2018-01-02,65800.0,64000.0,66000.0,63500.0,243933
2018-01-03,63400.0,65500.0,65500.0,63000.0,231444
2018-01-04,60000.0,63000.0,63100.0,59500.0,536708
2018-01-05,59700.0,60700.0,60800.0,59000.0,297646
2018-01-08,58700.0,60300.0,60500.0,58000.0,238067
2018-01-09,58400.0,59000.0,59400.0,58100.0,184615
2018-01-10,62400.0,60400.0,62500.0,59500.0,435674
2018-01-11,63600.0,62900.0,64100.0,62000.0,303519
2018-01-12,68500.0,64200.0,68500.0,62600.0,820943
2018-01-15,69700.0,69500.0,70900.0,67100.0,571029
2018-01-16,72100.0,70000.0,74300.0,68200.0,649957
2018-01-17,74400.0,73000.0,77000.0,71900.0,527685
2018-01-18,76100.0,78100.0,81500.0,76000.0,650908
2018-01-19,79400.0,76200.0,80000.0,73500.0,478723
2018-01-22,77000.0,81000.0,85700.0,74000.0,724471
2018-01-23,82000.0,77300.0,82800.0,74700.0,442446
2018-01-24,87000.0,83100.0,87400.0,81800.0,458076
2018-01-25,83500.0,86800.0,88200.0,81600.0,402983
2018-01-26,85200.0,83000.0,85700.0,80800.0,290011
2018-01-29,79600.0,81000.0,83400.0,78600.0,628754
2018-01-30,78300.0,79600.0,81600.0,78100.0,250194
2018-01-31,79100.0,77600.0,81000.0,77400.0,231302
2018-02-01,84700.0,79100.0,85000.0,77300.0,351417
2018-02-02,83300.0,84300.0,84500.0,81400.0,188298
2018-02-05,77100.0,80200.0,81400.0,77100.0,229594
2018-02-06,75000.0,72800.0,78500.0,70200.0,420516
2018-02-07,71400.0,76500.0,78000.0,71100.0,213525
2018-02-08,75600.0,73500.0,76600.0,72200.0,194137
2018-02-09,77000.0,72600.0,78100.0,72600.0,169083
2018-02-12,79000.0,78000.0,80800.0,77500.0,144378
2018-02-13,79400.0,81300.0,81300.0,79400.0,110770
2018-02-14,79500.0,79500.0,80700.0,78400.0,83486
2018-02-19,79700.0,80100.0,81000.0,79200.0,83005
2018-02-20,77800.0,80400.0,80500.0,76900.0,114369
2018-02-21,76200.0,77800.0,78400.0,76000.0,100292
2018-02-22,75800.0,76800.0,78000.0,75200.0,74370
2018-02-23,80400.0,75900.0,80900.0,75300.0,280155
2018-02-26,80000.0,78200.0,82000.0,77400.0,436786
2018-02-27,88600.0,80700.0,90600.0,80200.0,793528
2018-02-28,87700.0,87500.0,91300.0,86200.0,301601
2018-03-02,87300.0,86700.0,88700.0,85600.0,185709
2018-03-05,87300.0,89900.0,91600.0,86600.0,227553
2018-03-06,88100.0,89000.0,89400.0,85400.0,142762
2018-03-07,87600.0,88900.0,90500.0,86300.0,194932
2018-03-08,87200.0,87400.0,88700.0,86000.0,115643
2018-03-09,91000.0,86600.0,91700.0,86600.0,286056
2018-03-12,90100.0,91700.0,94200.0,88400.0,311340
2018-03-13,93500.0,91000.0,93500.0,89200.0,195381
2018-03-14,93700.0,92900.0,95100.0,92100.0,112570
2018-03-15,97700.0,93300.0,98400.0,93300.0,252303
2018-03-16,97000.0,98000.0,100400.0,96200.0,215913
2018-03-19,97400.0,97800.0,99500.0,96600.0,107202
2018-03-20,98000.0,96000.0,98800.0,95400.0,149476
2018-03-21,98500.0,98500.0,99400.0,97300.0,116225
2018-03-22,97900.0,99700.0,99700.0,96500.0,95550
2018-03-23,94500.0,95600.0,96800.0,93000.0,147706
2018-03-26,95800.0,94100.0,97500.0,93100.0,162117
2018-03-27,97600.0,97500.0,98000.0,95700.0,139631
2018-03-28,94000.0,96100.0,96900.0,91700.0,293003
2018-03-29,95500.0,94100.0,95600.0,91700.0,199568
2018-03-30,92600.0,96400.0,96500.0,92600.0,135523
2018-04-02,96800.0,95500.0,99000.0,94200.0,257776
2018-04-03,98600.0,96700.0,98700.0,95600.0,187984
2018-04-04,94600.0,98600.0,98900.0,92900.0,196147
2018-04-05,91700.0,95900.0,96200.0,90000.0,285115
2018-04-06,92500.0,92600.0,93800.0,91700.0,102858
2018-04-09,92000.0,92500.0,93600.0,91500.0,95591
2018-04-10,91300.0,92000.0,93200.0,90200.0,98305
2018-04-11,91500.0,92600.0,94300.0,91400.0,116701
2018-04-12,90000.0,92000.0,92000.0,88500.0,187084
2018-04-13,93100.0,90200.0,93500.0,89000.0,146899
2018-04-16,95600.0,93500.0,95800.0,93500.0,136880
2018-04-17,96900.0,96500.0,98000.0,96000.0,153328
2018-04-18,96600.0,98500.0,99000.0,96000.0,162646
2018-04-19,94200.0,96100.0,96700.0,93900.0,103971
2018-04-20,93000.0,93700.0,95000.0,92500.0,86316
2018-04-23,91300.0,93000.0,93500.0,91000.0,73042
2018-04-24,90300.0,91500.0,92900.0,89900.0,101369
2018-04-25,87700.0,88700.0,90400.0,85200.0,228417
2018-04-26,85300.0,88000.0,88800.0,85100.0,139052
2018-04-27,87400.0,86300.0,87900.0,85300.0,84068
2018-04-30,84600.0,85300.0,86900.0,80100.0,360677
2018-05-02,81800.0,83500.0,84500.0,81200.0,132144
2018-05-03,84800.0,81100.0,85500.0,81100.0,130388
2018-05-04,83900.0,83900.0,87400.0,82500.0,131875
2018-05-08,79600.0,87200.0,87200.0,78800.0,179948
2018-05-09,83600.0,80400.0,83600.0,78400.0,126209
2018-05-10,84100.0,84000.0,85800.0,82000.0,96742
2018-05-11,92000.0,83600.0,92800.0,83600.0,387204
2018-05-14,92800.0,92300.0,93400.0,90600.0,115593
2018-05-15,92800.0,93400.0,93400.0,92200.0,66741
2018-05-16,92900.0,92000.0,93200.0,89700.0,79575
2018-05-17,93000.0,92900.0,93400.0,91500.0,68604
2018-05-18,95300.0,93300.0,95900.0,93300.0,106199
2018-05-21,96200.0,95800.0,98000.0,93900.0,113504
2018-05-23,99000.0,97700.0,99200.0,96100.0,189072
2018-05-24,98300.0,99500.0,100800.0,97900.0,145701
2018-05-25,96400.0,97100.0,100400.0,95300.0,206607
