date,close,open,high,low,volume
2021-09-29,21700.0,25200.0,25200.0,21250.0,959240
2021-09-30,21000.0,22050.0,22200.0,20150.0,188228
2021-10-01,20350.0,20650.0,21000.0,19700.0,88585
2021-10-05,18900.0,20350.0,20350.0,18800.0,62473
2021-10-06,18650.0,19250.0,19350.0,18350.0,73146
2021-10-07,19300.0,18900.0,19950.0,18750.0,44838
2021-10-08,20050.0,19350.0,21050.0,19150.0,48391
2021-10-12,19850.0,20100.0,20500.0,19500.0,56845
2021-10-13,19900.0,19650.0,20100.0,19650.0,32139
2021-10-14,20050.0,20000.0,20350.0,19800.0,27349
2021-10-15,19900.0,20250.0,20350.0,19750.0,19758
2021-10-18,19650.0,19950.0,20000.0,19550.0,16289
2021-10-19,19800.0,19650.0,19800.0,19450.0,23589
2021-10-20,19400.0,19850.0,20100.0,19300.0,31201
2021-10-21,18700.0,19350.0,19400.0,18600.0,37034
2021-10-22,18750.0,18700.0,19050.0,17700.0,38408
2021-10-25,18600.0,18750.0,18800.0,18550.0,9191
2021-10-26,18900.0,18600.0,19050.0,18600.0,15304
2021-10-27,18400.0,18900.0,19050.0,18400.0,17071
2021-10-28,18500.0,18550.0,18600.0,17950.0,19298
2021-10-29,18250.0,18550.0,18550.0,18150.0,16154
2021-11-01,18500.0,18250.0,18600.0,18150.0,16519
2021-11-02,18450.0,18550.0,18550.0,18250.0,7680
2021-11-03,17900.0,18450.0,18450.0,17900.0,18186
2021-11-04,17750.0,17950.0,18100.0,17600.0,10476
2021-11-05,17300.0,17750.0,17750.0,17000.0,18525
2021-11-08,17150.0,17200.0,17850.0,17000.0,9193
2021-11-09,16850.0,17150.0,17300.0,16600.0,25056
2021-11-10,16700.0,16600.0,16850.0,16500.0,13050
2021-11-11,16000.0,16700.0,16700.0,15800.0,46337
2021-11-12,16500.0,16250.0,16550.0,15800.0,19370
2021-11-15,18300.0,16350.0,18450.0,16350.0,63312
2021-11-16,18750.0,18550.0,19300.0,18300.0,37410
2021-11-17,18800.0,19050.0,19050.0,18550.0,15278
2021-11-18,18700.0,18900.0,18900.0,18450.0,8143
2021-11-19,18600.0,18500.0,18700.0,18300.0,12516
2021-11-22,18600.0,18850.0,18900.0,18450.0,11065
2021-11-23,18500.0,18600.0,18600.0,17300.0,5144
2021-11-24,18250.0,18450.0,18650.0,18050.0,6917
2021-11-25,18250.0,18500.0,18550.0,18050.0,5666
2021-11-26,18200.0,18400.0,18400.0,17650.0,16681
2021-11-29,17950.0,17900.0,18100.0,17400.0,7671
2021-11-30,17950.0,18150.0,18150.0,17300.0,7183
2021-12-01,17800.0,17900.0,18000.0,17050.0,5075
2021-12-02,17750.0,17850.0,18450.0,17450.0,19582
2021-12-03,17850.0,17750.0,17850.0,17500.0,5128
2021-12-06,18350.0,17600.0,19250.0,17600.0,57911
2021-12-07,18300.0,18400.0,18550.0,18150.0,11541
2021-12-08,18100.0,18300.0,18500.0,17800.0,70332
2021-12-09,17900.0,18150.0,18250.0,17750.0,8419
2021-12-10,18250.0,17850.0,18900.0,17800.0,26719
2021-12-13,18400.0,18300.0,19500.0,18050.0,53960
2021-12-14,18700.0,18400.0,19200.0,18250.0,19843
2021-12-15,19250.0,18700.0,19350.0,18700.0,32659
2021-12-16,18950.0,19450.0,19650.0,18800.0,28194
2021-12-17,19000.0,19000.0,19250.0,18450.0,29320
2021-12-20,18650.0,19000.0,19300.0,18600.0,12740
2021-12-21,18650.0,18700.0,19050.0,18300.0,27380
2021-12-22,19300.0,18750.0,19500.0,18700.0,38674
2021-12-23,19300.0,19500.0,19600.0,19050.0,22225
2021-12-24,18900.0,19300.0,19300.0,18900.0,12477
2021-12-27,19400.0,18850.0,19600.0,18750.0,24611
2021-12-28,19900.0,19600.0,20000.0,19300.0,29214
2021-12-29,19800.0,19900.0,20100.0,19400.0,6947
2021-12-30,19150.0,19800.0,19900.0,19150.0,12459
2022-01-03,19400.0,19300.0,19500.0,19000.0,9011
2022-01-04,19450.0,19550.0,19550.0,19250.0,10039
2022-01-05,19050.0,19400.0,19400.0,18800.0,11104
2022-01-06,19000.0,18850.0,19300.0,18800.0,10785
2022-01-07,19300.0,19000.0,19600.0,18950.0,7043
2022-01-10,19400.0,19500.0,19600.0,18900.0,13834
2022-01-11,18800.0,19400.0,19400.0,18800.0,12849
2022-01-12,19100.0,18750.0,19300.0,18500.0,15540
2022-01-13,18950.0,19100.0,19150.0,18750.0,4926
2022-01-14,18650.0,18950.0,18950.0,18450.0,18834
2022-01-17,18500.0,18650.0,18850.0,18500.0,8173
2022-01-18,18900.0,18450.0,20700.0,18450.0,79769
2022-01-19,18750.0,18600.0,19050.0,18450.0,17154
2022-01-20,19100.0,18900.0,19100.0,18600.0,8238
2022-01-21,18800.0,19100.0,19100.0,18650.0,6398
2022-01-24,18550.0,18750.0,18750.0,18250.0,9263
2022-01-25,18300.0,18550.0,18650.0,17600.0,28578
2022-01-26,18150.0,18300.0,18550.0,18000.0,6153
2022-01-27,17300.0,18150.0,18150.0,17000.0,9995
2022-01-28,17750.0,17400.0,18100.0,17400.0,8959
2022-02-03,18400.0,18100.0,18700.0,17450.0,4324
2022-02-04,18300.0,17950.0,18550.0,17900.0,56331
2022-02-07,18200.0,18300.0,18300.0,18000.0,11557
2022-02-08,18200.0,18100.0,18250.0,17900.0,6806
2022-02-09,18650.0,18200.0,19300.0,18200.0,21356
2022-02-10,18850.0,18600.0,18900.0,18350.0,10573
2022-02-11,18850.0,18900.0,19150.0,18750.0,13819
2022-02-14,18800.0,18500.0,19050.0,18050.0,12084
2022-02-15,18600.0,18800.0,19000.0,18200.0,4993
2022-02-16,18650.0,19050.0,19050.0,18550.0,4766
2022-02-17,18600.0,18850.0,18950.0,18250.0,11228
2022-02-18,18550.0,18200.0,18700.0,18200.0,3386
2022-02-21,19200.0,18550.0,19200.0,18350.0,31823
2022-02-22,18400.0,18950.0,19200.0,18300.0,31415
2022-02-23,18700.0,18250.0,18750.0,18250.0,59450
2022-02-24,17800.0,18700.0,18700.0,17550.0,40224
2022-02-25,17800.0,18000.0,18300.0,17700.0,17741
2022-02-28,17500.0,17800.0,17900.0,17500.0,11675
2022-03-02,17850.0,17650.0,17900.0,17400.0,6784
2022-03-03,18100.0,17750.0,18100.0,17750.0,6095
2022-03-04,17900.0,18000.0,18000.0,17650.0,7517
2022-03-07,17650.0,17850.0,17850.0,17400.0,6018
2022-03-08,17600.0,17500.0,17600.0,17300.0,6887
2022-03-10,17850.0,17650.0,17850.0,17550.0,7303
2022-03-11,17500.0,18000.0,18000.0,17150.0,12546
2022-03-14,17550.0,17650.0,17700.0,17200.0,6729
2022-03-15,17500.0,17550.0,17650.0,17250.0,2731
2022-03-16,17500.0,17700.0,17700.0,17350.0,3333
2022-03-17,17700.0,17800.0,17850.0,17450.0,11547
2022-03-18,17850.0,18050.0,18050.0,17550.0,4425
2022-03-21,17850.0,18050.0,18150.0,17700.0,10535
2022-03-22,17750.0,17850.0,17900.0,17650.0,5597
2022-03-23,17800.0,17950.0,18400.0,17700.0,7782
2022-03-24,18300.0,17800.0,18550.0,17600.0,23996
2022-03-25,18100.0,18350.0,18500.0,18000.0,6477
2022-03-28,18000.0,18450.0,18450.0,17800.0,20641
2022-03-29,18350.0,18050.0,19150.0,18050.0,57921
2022-03-30,18400.0,18250.0,18900.0,17950.0,43803
2022-03-31,18700.0,18350.0,19200.0,18200.0,71454
2022-04-01,19350.0,18600.0,19600.0,18450.0,96923
2022-04-04,21150.0,19200.0,21350.0,19200.0,351823
2022-04-05,21900.0,21000.0,22850.0,20500.0,249993
2022-04-06,21650.0,22000.0,22200.0,21100.0,117537
2022-04-07,20850.0,21400.0,22550.0,20650.0,90240
2022-04-08,20850.0,21100.0,21800.0,19800.0,80190
2022-04-11,20650.0,20850.0,20850.0,20050.0,32624
2022-04-12,21000.0,20500.0,21550.0,20250.0,56329
2022-04-13,21700.0,21200.0,22050.0,21050.0,75082
2022-04-14,20650.0,22000.0,22050.0,20650.0,41922
2022-04-15,20700.0,20550.0,21100.0,20000.0,30772
2022-04-18,20750.0,20300.0,21100.0,20300.0,20014
2022-04-19,21350.0,20650.0,21500.0,20550.0,33214
2022-04-20,22600.0,21400.0,22650.0,21050.0,114761
2022-04-21,22550.0,23050.0,23350.0,22400.0,90635
2022-04-22,22950.0,22450.0,23700.0,22200.0,149419
2022-04-25,21550.0,22750.0,23300.0,21300.0,93664
2022-04-26,21400.0,21800.0,22050.0,21400.0,34551
2022-04-27,20700.0,20900.0,21150.0,20350.0,42685
2022-04-28,20600.0,20650.0,20950.0,20350.0,15734
2022-04-29,21300.0,20800.0,21550.0,20100.0,33978
2022-05-02,20800.0,21000.0,21300.0,20650.0,8984
2022-05-03,20300.0,20350.0,20950.0,20250.0,16265
2022-05-04,20000.0,20500.0,20500.0,19550.0,20959
2022-05-06,19500.0,19700.0,19750.0,19300.0,24332
2022-05-09,19200.0,19350.0,19400.0,18850.0,17586
2022-05-10,19300.0,18550.0,19500.0,18300.0,19920
2022-05-11,19800.0,19300.0,20050.0,18650.0,22265
2022-05-12,19200.0,19350.0,19900.0,19050.0,16544
2022-05-13,19450.0,19200.0,19600.0,18800.0,8201
2022-05-16,20000.0,20000.0,20350.0,19900.0,19691
2022-05-17,21500.0,20050.0,21600.0,19850.0,72138
2022-05-18,20850.0,21500.0,22250.0,20850.0,130762
2022-05-19,20300.0,20350.0,20700.0,20150.0,21459
2022-05-20,20100.0,20300.0,20450.0,20050.0,23910
2022-05-23,19950.0,20000.0,20200.0,19700.0,19241
2022-05-24,19500.0,19950.0,20200.0,19300.0,24504
2022-05-25,19650.0,19450.0,19750.0,19150.0,11258
2022-05-26,19550.0,19550.0,19750.0,19250.0,8716
2022-05-27,19800.0,19650.0,20250.0,19400.0,19964
2022-05-30,20100.0,19850.0,20200.0,19850.0,9177
