date,close,open,high,low,volume
2019-11-05,11077.0,13619.0,14406.0,11064.0,2490667
2019-11-06,10314.0,10882.0,10882.0,10277.0,680502
2019-11-07,10217.0,10459.0,10519.0,10192.0,294283
2019-11-08,9927.0,10205.0,10253.0,9927.0,263291
2019-11-11,10023.0,9938.0,10180.0,9865.0,132668
2019-11-12,10302.0,9987.0,10834.0,9963.0,460251
2019-11-13,10338.0,10434.0,10676.0,10241.0,306555
2019-11-14,10205.0,10652.0,10652.0,10120.0,195278
2019-11-15,10023.0,10168.0,10252.0,10023.0,101864
2019-11-18,9818.0,10023.0,10096.0,9733.0,130348
2019-11-19,9370.0,9817.0,9830.0,9309.0,163751
2019-11-20,9055.0,9393.0,9781.0,8958.0,156823
2019-11-21,8607.0,8897.0,9054.0,8510.0,157022
2019-11-22,8474.0,8655.0,8885.0,8425.0,96372
2019-11-25,8655.0,8570.0,8727.0,8473.0,76550
2019-11-26,8813.0,8982.0,9515.0,8691.0,268231
2019-11-27,8716.0,8824.0,8861.0,8679.0,46707
2019-11-28,8704.0,8691.0,9042.0,8679.0,52181
2019-11-29,8716.0,8764.0,9200.0,8473.0,96341
2019-12-02,8631.0,8715.0,8836.0,8594.0,28939
2019-12-03,8401.0,8630.0,8630.0,8340.0,35600
2019-12-04,8038.0,8280.0,8340.0,7965.0,82532
2019-12-05,7651.0,8098.0,8159.0,7542.0,87038
2019-12-06,7905.0,7699.0,7904.0,7650.0,40455
2019-12-09,7747.0,7831.0,7964.0,7710.0,31829
2019-12-10,7977.0,7747.0,8085.0,7734.0,49668
2019-12-11,7929.0,8025.0,8098.0,7844.0,17178
2019-12-12,8292.0,7928.0,8788.0,7928.0,225702
2019-12-13,8292.0,8449.0,8449.0,8207.0,36960
2019-12-16,8316.0,8328.0,8412.0,8267.0,23396
2019-12-17,8389.0,8316.0,8437.0,8219.0,27547
2019-12-18,8401.0,8388.0,8630.0,8292.0,42735
2019-12-19,8401.0,8413.0,8570.0,8328.0,27147
2019-12-20,8401.0,8401.0,8401.0,7941.0,110087
2019-12-23,8256.0,8437.0,8473.0,8256.0,34702
2019-12-24,8171.0,8388.0,8388.0,8170.0,29421
2019-12-26,8595.0,8171.0,8982.0,8074.0,155899
2019-12-27,8692.0,8595.0,8909.0,8558.0,49552
2019-12-30,8982.0,8594.0,9018.0,8594.0,49011
2020-01-02,8958.0,9079.0,9139.0,8800.0,41506
2020-01-03,8789.0,8958.0,9031.0,8716.0,41609
2020-01-06,8595.0,8788.0,8788.0,8449.0,87197
2020-01-07,8546.0,8570.0,8667.0,8485.0,22144
2020-01-08,8341.0,8546.0,8631.0,8328.0,51569
2020-01-09,8571.0,8437.0,8643.0,8389.0,32301
2020-01-10,8425.0,8630.0,8630.0,8340.0,44361
2020-01-13,8365.0,8413.0,8461.0,8328.0,24934
2020-01-14,8377.0,8328.0,8461.0,8304.0,24560
2020-01-15,8643.0,8413.0,8824.0,8340.0,66822
2020-01-16,9200.0,8752.0,9200.0,8594.0,107656
2020-01-17,9188.0,9248.0,9333.0,8982.0,80810
2020-01-20,8752.0,9187.0,9236.0,8727.0,41263
2020-01-21,8607.0,8752.0,8824.0,8594.0,24038
2020-01-22,8716.0,8546.0,8764.0,8546.0,14075
2020-01-23,8607.0,8607.0,8728.0,8364.0,21101
2020-01-28,8244.0,8316.0,8474.0,8231.0,32834
2020-01-29,8365.0,8268.0,8449.0,8195.0,22868
2020-01-30,8208.0,8389.0,8389.0,8026.0,18014
2020-01-31,8050.0,8280.0,8280.0,7880.0,25800
2020-02-03,8086.0,7880.0,8086.0,7747.0,14255
2020-02-04,8232.0,8086.0,8256.0,8086.0,12738
2020-02-05,8232.0,8244.0,8256.0,8086.0,6977
2020-02-06,8232.0,8232.0,8280.0,8135.0,6005
