date,close,open,high,low,volume
2020-07-06,11344.0,16205.0,16712.0,11344.0,12314791
2020-07-07,10838.0,11394.0,11926.0,10559.0,3841610
2020-07-08,10787.0,10888.0,11014.0,10280.0,1751424
2020-07-09,11015.0,11014.0,11698.0,10938.0,2663880
2020-07-10,10230.0,11090.0,11141.0,10204.0,1350789
2020-07-13,11496.0,10280.0,12407.0,10077.0,8730530
2020-07-14,11091.0,11293.0,11951.0,10938.0,2136882
2020-07-15,11648.0,11192.0,11749.0,11166.0,2578156
2020-07-16,11116.0,11597.0,11774.0,11014.0,1167537
2020-07-17,10762.0,11040.0,11090.0,10710.0,672140
2020-07-20,10660.0,10710.0,11014.0,10432.0,586391
2020-07-21,10812.0,10761.0,11116.0,10609.0,914715
2020-07-22,10686.0,10837.0,10938.0,10609.0,527105
2020-07-23,10407.0,10710.0,10710.0,10356.0,460849
2020-07-24,10407.0,10229.0,10786.0,10204.0,387085
2020-07-27,10458.0,10331.0,10660.0,10305.0,268543
2020-07-28,10382.0,10635.0,10660.0,10356.0,282194
2020-07-29,10483.0,10381.0,10736.0,10381.0,283535
2020-07-30,10635.0,10533.0,10761.0,10483.0,367266
2020-07-31,10458.0,10685.0,10812.0,10457.0,338832
2020-08-03,10356.0,10559.0,10584.0,10331.0,252618
2020-08-04,10306.0,10432.0,10483.0,10305.0,227003
2020-08-05,10306.0,10331.0,10457.0,10280.0,204483
2020-08-06,10382.0,10305.0,10457.0,10305.0,324117
2020-08-07,10458.0,10457.0,10584.0,10331.0,255390
2020-08-10,11293.0,10533.0,11318.0,10457.0,1454288
2020-08-11,11800.0,11344.0,11875.0,11014.0,1373398
2020-08-12,11293.0,11850.0,11977.0,11268.0,674743
2020-08-13,13648.0,11546.0,14028.0,11445.0,7098821
2020-08-14,12813.0,13065.0,13293.0,12356.0,1547028
2020-08-18,11040.0,12610.0,12635.0,10761.0,1422785
2020-08-19,11319.0,11192.0,11723.0,10888.0,838969
2020-08-20,11496.0,11571.0,12128.0,11217.0,1168023
2020-08-21,11319.0,11673.0,11977.0,11318.0,635087
2020-08-24,11065.0,11141.0,11268.0,10483.0,475917
2020-08-25,11471.0,11192.0,11698.0,11192.0,514554
2020-08-26,11952.0,11698.0,11951.0,11343.0,655159
2020-08-27,11040.0,12154.0,12154.0,11040.0,846339
2020-08-28,10686.0,11090.0,11318.0,10685.0,570150
2020-08-31,10838.0,10685.0,10938.0,10609.0,282095
2020-09-01,11040.0,10862.0,11394.0,10837.0,353698
2020-09-02,11065.0,11090.0,11217.0,10913.0,268990
2020-09-03,11471.0,11217.0,11521.0,11065.0,568564
2020-09-04,11319.0,10862.0,11318.0,10837.0,402499
2020-09-07,11952.0,11318.0,12179.0,11166.0,1336181
2020-09-08,12002.0,12356.0,12458.0,11901.0,937362
2020-09-09,11876.0,12002.0,12331.0,11850.0,612854
2020-09-10,12078.0,12052.0,12458.0,11977.0,872496
2020-09-11,12610.0,12128.0,12610.0,12078.0,826565
2020-09-14,13218.0,12635.0,13268.0,12331.0,936458
2020-09-15,13041.0,13091.0,13268.0,12888.0,630148
2020-09-16,12990.0,12939.0,14230.0,12432.0,2326144
2020-09-17,12686.0,13167.0,13268.0,12610.0,511983
2020-09-18,12230.0,12635.0,12812.0,12154.0,417757
2020-09-21,11673.0,12230.0,12407.0,11394.0,421674
2020-09-22,11319.0,11647.0,11749.0,11116.0,384054
2020-09-23,11547.0,11445.0,11799.0,11065.0,292480
2020-09-24,11217.0,11166.0,11495.0,11141.0,213874
2020-09-25,11065.0,11318.0,11445.0,11065.0,187197
2020-09-28,11268.0,11192.0,11344.0,10989.0,192592
2020-09-29,11395.0,11394.0,11698.0,11344.0,180438
2020-10-05,11800.0,11470.0,11901.0,11268.0,206892
2020-10-06,11673.0,11622.0,11926.0,11571.0,261462
2020-10-07,11597.0,11673.0,11825.0,11546.0,153729
2020-10-08,11724.0,11647.0,11749.0,11546.0,146479
2020-10-12,11648.0,11749.0,11901.0,11647.0,150939
2020-10-13,11623.0,11749.0,11850.0,11546.0,123287
2020-10-14,11420.0,11698.0,11698.0,11369.0,174964
2020-10-15,11217.0,11344.0,11344.0,10888.0,217549
2020-10-16,11192.0,11090.0,11268.0,10989.0,110446
2020-10-19,10812.0,11217.0,11217.0,10786.0,153627
2020-10-20,10610.0,10660.0,10862.0,10255.0,168788
2020-10-21,10686.0,10660.0,10786.0,10508.0,136811
2020-10-22,10407.0,10483.0,10635.0,10381.0,63482
2020-10-23,10458.0,10457.0,10508.0,10331.0,42812
2020-10-26,9875.0,10381.0,10457.0,9824.0,153494
2020-10-27,9496.0,9672.0,9824.0,9343.0,140527
2020-10-28,10027.0,9394.0,10052.0,9394.0,124023
2020-10-29,10230.0,9698.0,10964.0,9698.0,222243
2020-10-30,9951.0,10457.0,10457.0,9951.0,104601
2020-11-02,9825.0,10128.0,10153.0,9774.0,81557
2020-11-03,9825.0,9824.0,10052.0,9799.0,82458
2020-11-04,9977.0,9926.0,10103.0,9850.0,125522
2020-11-05,10508.0,10103.0,10812.0,10052.0,377062
2020-11-06,11065.0,10812.0,11318.0,10559.0,734159
2020-11-09,11015.0,11268.0,11318.0,10888.0,276029
2020-11-10,10863.0,11014.0,11014.0,10736.0,186895
2020-11-11,10534.0,10812.0,10812.0,10533.0,154136
2020-11-12,10559.0,10533.0,10736.0,10483.0,115317
2020-11-13,10382.0,10457.0,10533.0,10204.0,136448
2020-11-16,10356.0,10432.0,10710.0,10305.0,145598
2020-11-17,10103.0,10381.0,10381.0,10103.0,136817
2020-11-18,10205.0,10128.0,10305.0,10077.0,85341
2020-11-19,10154.0,10229.0,10255.0,10103.0,100000
2020-11-20,10230.0,10204.0,10229.0,10077.0,123265
2020-11-23,10205.0,10280.0,10356.0,10128.0,135255
2020-11-24,10205.0,10229.0,10305.0,10128.0,146498
2020-11-25,10205.0,10305.0,10407.0,10153.0,153514
2020-11-26,10255.0,10204.0,10533.0,10153.0,91444
2020-11-27,10179.0,10255.0,10356.0,10128.0,119849
2020-11-30,10078.0,10153.0,10229.0,10077.0,116954
2020-12-01,10053.0,10128.0,10128.0,10001.0,92238
2020-12-02,9875.0,10077.0,10103.0,9850.0,152574
2020-12-03,9977.0,9900.0,10153.0,9900.0,91806
2020-12-04,9799.0,10077.0,10077.0,9774.0,106347
2020-12-07,9597.0,9748.0,9799.0,9596.0,112330
2020-12-08,9521.0,9596.0,9799.0,9470.0,127072
2020-12-09,9622.0,9672.0,9672.0,9520.0,53354
2020-12-10,9597.0,9622.0,9774.0,9520.0,54237
2020-12-11,9622.0,9748.0,9748.0,9596.0,63772
2020-12-14,9572.0,9622.0,9672.0,9520.0,57753
2020-12-15,9546.0,9520.0,9571.0,9419.0,90390
2020-12-16,9647.0,9596.0,9774.0,9571.0,85560
2020-12-17,10002.0,9647.0,10204.0,9647.0,218631
2020-12-18,10027.0,10179.0,10280.0,10001.0,200743
2020-12-21,9825.0,10128.0,10153.0,9622.0,122039
2020-12-22,9850.0,9774.0,9976.0,9748.0,100330
2020-12-23,9825.0,9925.0,10077.0,9774.0,101469
2020-12-24,9799.0,9824.0,10001.0,9799.0,69271
2020-12-28,9698.0,9799.0,9951.0,9647.0,49079
2020-12-29,9951.0,9824.0,9951.0,9470.0,140190
2020-12-30,10534.0,10052.0,11242.0,9925.0,1141144
2021-01-04,10914.0,10635.0,10964.0,10533.0,538832
2021-01-05,10964.0,11040.0,11318.0,10862.0,533933
2021-01-06,11015.0,11166.0,11293.0,10964.0,361769
2021-01-07,11116.0,11268.0,11268.0,10964.0,239647
2021-01-08,11091.0,11166.0,11268.0,11014.0,223532
2021-01-11,10686.0,11318.0,11318.0,10432.0,315673
2021-01-12,10584.0,10685.0,10761.0,10381.0,147752
2021-01-13,11116.0,10660.0,11470.0,10609.0,352768
2021-01-14,11369.0,11293.0,11445.0,10989.0,358179
2021-01-15,11141.0,11394.0,11647.0,11141.0,276529
2021-01-18,10686.0,11090.0,11090.0,10533.0,220124
2021-01-19,11040.0,10761.0,11116.0,10736.0,141199
2021-01-20,11293.0,11040.0,11470.0,10964.0,238346
2021-01-21,11749.0,11344.0,11875.0,11318.0,401447
2021-01-22,11648.0,11799.0,12027.0,11546.0,855495
2021-01-25,11597.0,11673.0,11901.0,11495.0,325450
2021-01-26,11547.0,11749.0,11749.0,11268.0,323971
2021-01-27,11141.0,11597.0,11698.0,11141.0,215910
