date,close,open,high,low,volume
2018-08-28,9138.0,10508.0,10609.0,8909.0,2742218
2018-08-29,9239.0,9239.0,9340.0,8960.0,668021
2018-08-30,8935.0,9188.0,9290.0,8833.0,458177
2018-08-31,9036.0,8934.0,9061.0,8782.0,299454
2018-09-03,8757.0,8934.0,8960.0,8706.0,274359
2018-09-04,8706.0,8757.0,8883.0,8655.0,195233
2018-09-05,8757.0,8757.0,8909.0,8630.0,178650
2018-09-06,8884.0,8833.0,8934.0,8655.0,197758
2018-09-07,8655.0,8909.0,8909.0,8655.0,153044
2018-09-10,8326.0,8579.0,8655.0,8325.0,132300
2018-09-11,8021.0,8223.0,8376.0,7944.0,171602
2018-09-12,8173.0,8097.0,8274.0,7995.0,124869
2018-09-13,8681.0,8300.0,8883.0,8198.0,358182
2018-09-14,8452.0,8630.0,8757.0,8401.0,137370
2018-09-17,8732.0,8553.0,8757.0,8401.0,149151
2018-09-18,8681.0,8782.0,8807.0,8553.0,121186
2018-09-19,8427.0,8706.0,8757.0,8401.0,106561
2018-09-20,8300.0,8452.0,8528.0,8300.0,70796
2018-09-21,8427.0,8427.0,8553.0,8274.0,66264
2018-09-27,8402.0,8427.0,8579.0,8350.0,50305
2018-09-28,8224.0,8427.0,8427.0,8198.0,60687
2018-10-01,8529.0,8223.0,8553.0,8173.0,81523
2018-10-02,8579.0,8528.0,8706.0,8427.0,90656
2018-10-04,8427.0,8579.0,8655.0,8350.0,74494
2018-10-05,8326.0,8427.0,8503.0,8325.0,47980
2018-10-08,8376.0,8325.0,8528.0,8325.0,40715
2018-10-10,8732.0,8376.0,8782.0,8325.0,141696
2018-10-11,8579.0,8579.0,9163.0,8553.0,413359
2018-10-12,8935.0,8706.0,8960.0,8528.0,184303
2018-10-15,8579.0,9036.0,9061.0,8579.0,141910
2018-10-16,8655.0,8655.0,8833.0,8528.0,94257
2018-10-17,8529.0,8706.0,8883.0,8528.0,117077
2018-10-18,8148.0,8579.0,8630.0,8071.0,143637
2018-10-19,8275.0,8147.0,8274.0,7995.0,53526
2018-10-22,8072.0,8249.0,8350.0,8071.0,45875
2018-10-23,7691.0,8071.0,8147.0,7690.0,76284
2018-10-24,6853.0,7741.0,7817.0,6726.0,191826
2018-10-25,6396.0,6523.0,6701.0,6320.0,117360
2018-10-26,5889.0,6548.0,6548.0,5584.0,144081
2018-10-29,5407.0,5761.0,5990.0,5330.0,90328
2018-10-30,5736.0,5355.0,5812.0,5279.0,92745
2018-10-31,5940.0,5761.0,6091.0,5660.0,116197
2018-11-01,6396.0,6015.0,6472.0,5964.0,113133
2018-11-02,6625.0,6548.0,6751.0,6421.0,59546
2018-11-05,6752.0,6701.0,6777.0,6447.0,31486
2018-11-06,6980.0,6751.0,7107.0,6751.0,40152
2018-11-07,6676.0,6980.0,7081.0,6675.0,38535
2018-11-08,6929.0,6751.0,7005.0,6675.0,28829
2018-11-09,7031.0,6929.0,7081.0,6827.0,32848
2018-11-12,7082.0,7030.0,7107.0,6853.0,29903
2018-11-13,7006.0,7005.0,7056.0,6624.0,31360
2018-11-14,6929.0,7157.0,7234.0,6853.0,36911
2018-11-15,6701.0,6827.0,6929.0,6624.0,30117
2018-11-16,6676.0,6701.0,6802.0,6574.0,22058
2018-11-19,6726.0,6701.0,6878.0,6599.0,18764
2018-11-20,6473.0,6599.0,6726.0,6421.0,16835
2018-11-21,6346.0,6447.0,6472.0,6218.0,21669
2018-11-22,6371.0,6447.0,6650.0,6345.0,30438
2018-11-23,6473.0,6497.0,6497.0,6345.0,12154
2018-11-26,6523.0,6345.0,6599.0,6345.0,15620
2018-11-27,6929.0,6599.0,6929.0,6548.0,22895
2018-11-28,7310.0,7005.0,7589.0,6802.0,72373
2018-11-29,7259.0,7411.0,7487.0,7081.0,43365
2018-11-30,7285.0,7183.0,7335.0,7081.0,19599
2018-12-03,7209.0,7284.0,7411.0,7183.0,12273
2018-12-04,7158.0,7183.0,7234.0,7030.0,15681
2018-12-05,6980.0,6980.0,7132.0,6878.0,18979
2018-12-06,6625.0,6904.0,7056.0,6523.0,45255
2018-12-07,6752.0,6650.0,6853.0,6624.0,8055
2018-12-10,6396.0,6548.0,6853.0,6269.0,20620
2018-12-11,6422.0,6396.0,6447.0,6167.0,26016
2018-12-12,6447.0,6447.0,6497.0,6320.0,7640
2018-12-13,6498.0,6497.0,6497.0,6371.0,6327
2018-12-14,6346.0,6523.0,6523.0,6117.0,13928
2018-12-17,6244.0,6294.0,6371.0,5990.0,18593
2018-12-18,6270.0,6091.0,6624.0,6041.0,19737
2018-12-19,6320.0,6345.0,6421.0,6218.0,10269
2018-12-20,6396.0,6244.0,6497.0,6244.0,10776
2018-12-21,6701.0,6396.0,6802.0,6269.0,23667
2018-12-24,6904.0,6751.0,7411.0,6650.0,79608
2018-12-26,6752.0,6904.0,6904.0,6574.0,23792
2018-12-27,6676.0,6726.0,6777.0,6523.0,13492
2018-12-28,6676.0,6675.0,6751.0,6472.0,29821
2019-01-02,6676.0,6726.0,6904.0,6599.0,12281
2019-01-03,6599.0,6624.0,6802.0,6421.0,17899
2019-01-04,6473.0,6447.0,6523.0,6345.0,10823
2019-01-07,6396.0,6472.0,6548.0,6294.0,9786
2019-01-08,6295.0,6447.0,6447.0,6218.0,10861
2019-01-09,6320.0,6294.0,6447.0,6294.0,11556
2019-01-10,6574.0,6320.0,6751.0,6269.0,29063
2019-01-11,6803.0,6624.0,6878.0,6599.0,19845
2019-01-14,6752.0,6675.0,6904.0,6624.0,10841
2019-01-15,6879.0,6777.0,6929.0,6726.0,17347
2019-01-16,7640.0,6853.0,7868.0,6853.0,391359
2019-01-17,7386.0,7640.0,7640.0,7386.0,81674
2019-01-18,7970.0,7462.0,8046.0,7411.0,497905
2019-01-21,8122.0,8020.0,8325.0,7868.0,93543
2019-01-22,7792.0,8097.0,8122.0,7690.0,64852
2019-01-23,8072.0,7716.0,8223.0,7538.0,81953
2019-01-24,8072.0,8147.0,8198.0,7868.0,27592
2019-01-25,8122.0,8147.0,8325.0,8046.0,65893
2019-01-28,8224.0,8122.0,8350.0,7919.0,73764
2019-01-29,8072.0,8300.0,8300.0,7970.0,27117
2019-01-30,8046.0,8097.0,8173.0,7944.0,23324
2019-01-31,7869.0,8122.0,8122.0,7868.0,28748
2019-02-01,7869.0,7970.0,8020.0,7741.0,20262
2019-02-07,7843.0,7817.0,8020.0,7792.0,15851
2019-02-08,7996.0,7843.0,8071.0,7792.0,15026
