date,close,open,high,low,volume
2020-11-25,47104.0,36233.0,47104.0,36233.0,4010765
2020-11-26,38046.0,50520.0,51607.0,38045.0,1760717
2020-11-27,40064.0,36699.0,43325.0,36285.0,1899274
2020-11-30,38822.0,40064.0,41565.0,38615.0,379927
2020-12-01,38097.0,38511.0,40012.0,38097.0,287584
2020-12-02,37010.0,38615.0,38873.0,37010.0,197501
2020-12-03,34681.0,36751.0,36906.0,34370.0,246890
2020-12-04,33491.0,34474.0,35146.0,33387.0,207488
2020-12-07,31524.0,33231.0,33283.0,31523.0,207346
2020-12-08,35561.0,31885.0,39029.0,31782.0,1611397
2020-12-09,31834.0,35561.0,35561.0,31471.0,658454
2020-12-10,31782.0,32092.0,32351.0,30798.0,275602
2020-12-11,31782.0,32092.0,33076.0,31627.0,234851
2020-12-14,31679.0,32041.0,32299.0,31264.0,160587
2020-12-15,33232.0,31937.0,35509.0,31678.0,1009764
2020-12-16,35147.0,33542.0,35146.0,33542.0,305650
2020-12-17,35716.0,34888.0,36233.0,34111.0,357556
2020-12-18,37580.0,36233.0,41151.0,35819.0,1258437
2020-12-21,37942.0,37165.0,38615.0,36233.0,351908
2020-12-22,49278.0,40478.0,49278.0,38822.0,2540610
2020-12-23,54817.0,51245.0,63202.0,45240.0,6234445
2020-12-24,52073.0,53470.0,61442.0,50831.0,2780102
2020-12-28,53523.0,50727.0,56835.0,50209.0,1301975
2020-12-29,54869.0,53626.0,58906.0,53470.0,952268
2020-12-30,71329.0,57404.0,71329.0,57146.0,2461555
2021-01-04,77127.0,77747.0,84580.0,72830.0,2197616
2021-01-05,78265.0,77023.0,81319.0,72882.0,872620
2021-01-06,78731.0,79197.0,82199.0,76091.0,325902
2021-01-07,77075.0,77644.0,79455.0,74020.0,380067
2021-01-08,74228.0,78938.0,79093.0,73658.0,336215
2021-01-11,66256.0,71484.0,71898.0,61390.0,552859
2021-01-12,65583.0,64289.0,68068.0,62374.0,195214
2021-01-13,66256.0,66256.0,67861.0,64082.0,181152
2021-01-14,64652.0,66256.0,66981.0,63823.0,144288
2021-01-15,68638.0,65997.0,69051.0,64496.0,307041
2021-01-18,71795.0,67757.0,72726.0,66152.0,330716
2021-01-19,71847.0,72623.0,74020.0,69879.0,231729
2021-01-20,69259.0,72985.0,72985.0,67550.0,190104
2021-01-21,66308.0,69258.0,69569.0,66308.0,167167
2021-01-22,66619.0,66256.0,68844.0,64703.0,126153
2021-01-25,64548.0,67032.0,67343.0,64444.0,146942
2021-01-26,63254.0,64755.0,66774.0,63202.0,115989
2021-01-27,61287.0,63564.0,64341.0,59579.0,137971
2021-01-28,61494.0,59216.0,64185.0,58595.0,127788
2021-01-29,56421.0,62063.0,63720.0,56317.0,146631
2021-02-01,60045.0,56162.0,61235.0,53885.0,131612
2021-02-02,59113.0,61080.0,61856.0,58388.0,68242
2021-02-03,61753.0,59216.0,63823.0,58802.0,127961
2021-02-04,59579.0,61390.0,62115.0,59527.0,52465
2021-02-05,60045.0,60458.0,63150.0,59630.0,87055
2021-02-08,65480.0,61080.0,67809.0,60096.0,312838
2021-02-09,63875.0,65945.0,66204.0,63254.0,108466
2021-02-10,61391.0,63150.0,63771.0,60821.0,88761
2021-02-15,61235.0,61390.0,61908.0,59993.0,64744
2021-02-16,60873.0,61442.0,62529.0,60666.0,65206
2021-02-17,60045.0,61701.0,61701.0,60044.0,57893
2021-02-18,58285.0,59786.0,60510.0,58284.0,80862
2021-02-19,56732.0,57456.0,58906.0,55179.0,77701
2021-02-22,55127.0,56680.0,56732.0,55075.0,53829
2021-02-23,52746.0,53988.0,54765.0,52487.0,72195
2021-02-24,53782.0,53470.0,58802.0,52539.0,194528
2021-02-25,54610.0,53212.0,56007.0,52798.0,142543
2021-02-26,52022.0,53263.0,53367.0,50986.0,91253
2021-03-02,52902.0,53833.0,53833.0,52073.0,87243
2021-03-03,53264.0,56732.0,57456.0,53005.0,161129
2021-03-04,56680.0,53212.0,56939.0,51400.0,178930
2021-03-05,68068.0,56939.0,72985.0,56680.0,1466354
2021-03-08,65687.0,68792.0,70345.0,65324.0,239802
2021-03-09,60873.0,63875.0,64703.0,60562.0,181913
2021-03-10,62478.0,62425.0,64600.0,61183.0,159927
2021-03-11,61391.0,61753.0,63150.0,60096.0,99079
2021-03-12,63047.0,62633.0,65479.0,61442.0,146181
2021-03-15,66722.0,63047.0,67291.0,63047.0,165866
2021-03-16,66463.0,67291.0,68016.0,65738.0,76059
2021-03-17,67033.0,66101.0,67809.0,65738.0,62726
2021-03-18,66463.0,67239.0,67809.0,66101.0,82347
2021-03-19,64600.0,64755.0,66049.0,63357.0,115063
2021-03-22,64900.0,68000.0,69800.0,64600.0,157832
2021-03-23,60600.0,65500.0,65500.0,59800.0,113840
2021-03-24,57800.0,59600.0,59600.0,57500.0,74661
2021-03-25,57800.0,57900.0,58900.0,57100.0,40103
2021-03-26,56200.0,58300.0,58300.0,55900.0,44048
2021-03-29,56000.0,55100.0,57500.0,54500.0,50947
