date,close,open,high,low,volume
2018-12-21,2145.0,2144.0,2150.0,2139.0,405739
2018-12-24,2150.0,2139.0,2166.0,2139.0,156786
2018-12-26,2150.0,2150.0,2150.0,2150.0,88317
2018-12-27,2166.0,2150.0,2166.0,2150.0,21620
2018-12-28,2150.0,2150.0,2155.0,2150.0,4009
2019-01-02,2150.0,2155.0,2160.0,2150.0,10487
2019-01-03,2150.0,2150.0,2155.0,2150.0,3136
2019-01-04,2150.0,2155.0,2155.0,2150.0,105
2019-01-07,2150.0,2150.0,2150.0,2150.0,11235
2019-01-08,2156.0,2155.0,2160.0,2155.0,19614
2019-01-09,2156.0,2155.0,2155.0,2155.0,8
2019-01-10,2150.0,2155.0,2160.0,2150.0,18623
2019-01-11,2150.0,2150.0,2155.0,2139.0,113388
2019-01-14,2150.0,2150.0,2160.0,2150.0,17091
2019-01-15,2161.0,2160.0,2160.0,2160.0,36569
2019-01-16,2156.0,2155.0,2160.0,2155.0,7256
2019-01-17,2156.0,2160.0,2160.0,2155.0,10740
2019-01-18,2161.0,2160.0,2160.0,2160.0,7050
2019-01-21,2161.0,2160.0,2160.0,2155.0,13367
2019-01-22,2166.0,2160.0,2166.0,2160.0,11251
2019-01-23,2161.0,2160.0,2160.0,2144.0,85559
2019-01-24,2156.0,2160.0,2160.0,2155.0,4972
2019-01-25,2156.0,2155.0,2155.0,2155.0,88
2019-01-28,2156.0,2155.0,2155.0,2155.0,20
2019-01-29,2156.0,2155.0,2155.0,2155.0,0
2019-01-30,2172.0,2160.0,2171.0,2160.0,30000
2019-01-31,2161.0,2171.0,2171.0,2160.0,3511
2019-02-01,2166.0,2166.0,2166.0,2160.0,7800
2019-02-07,2172.0,2171.0,2171.0,2171.0,20
2019-02-08,2161.0,2160.0,2160.0,2160.0,11
2019-02-11,2161.0,2160.0,2160.0,2160.0,0
2019-02-12,2161.0,2160.0,2160.0,2160.0,0
2019-02-13,2161.0,2160.0,2160.0,2160.0,0
2019-02-14,2161.0,2160.0,2166.0,2160.0,2913
2019-02-15,2161.0,2160.0,2160.0,2160.0,10
2019-02-18,2166.0,2166.0,2166.0,2166.0,1
2019-02-19,2161.0,2155.0,2160.0,2155.0,2351
2019-02-20,2161.0,2160.0,2160.0,2160.0,0
2019-02-21,2156.0,2150.0,2155.0,2150.0,11364
2019-02-22,2156.0,2155.0,2155.0,2155.0,0
2019-02-25,2161.0,2160.0,2160.0,2160.0,0
2019-02-26,2161.0,2160.0,2160.0,2160.0,1
2019-02-27,2161.0,2160.0,2160.0,2160.0,5350
2019-02-28,2156.0,2160.0,2160.0,2155.0,806
2019-03-04,2161.0,2160.0,2160.0,2160.0,200
2019-03-05,2161.0,2160.0,2160.0,2160.0,494
2019-03-06,2161.0,2160.0,2160.0,2160.0,0
2019-03-07,2161.0,2166.0,2166.0,2160.0,3400
2019-03-08,2156.0,2160.0,2160.0,2155.0,49071
2019-03-11,2166.0,2155.0,2166.0,2155.0,62947
2019-03-12,2166.0,2166.0,2166.0,2155.0,15449
2019-03-13,2161.0,2155.0,2160.0,2155.0,10870
2019-03-14,2161.0,2160.0,2160.0,2160.0,2909
2019-03-15,2161.0,2155.0,2166.0,2155.0,3538
2019-03-18,2166.0,2166.0,2166.0,2166.0,6000
2019-03-19,2166.0,2160.0,2166.0,2160.0,1101
2019-03-20,2172.0,2171.0,2171.0,2171.0,246
2019-03-21,2172.0,2171.0,2171.0,2171.0,27214
2019-03-22,2172.0,2171.0,2171.0,2171.0,0
2019-03-25,2161.0,2160.0,2160.0,2160.0,494
2019-03-26,2172.0,2160.0,2171.0,2160.0,5215
2019-03-27,2166.0,2166.0,2166.0,2166.0,99
2019-03-28,2166.0,2166.0,2166.0,2166.0,100
2019-03-29,2161.0,2160.0,2166.0,2160.0,3338
2019-04-01,2166.0,2166.0,2171.0,2160.0,3131
2019-04-02,2166.0,2166.0,2176.0,2166.0,9768
2019-04-03,2172.0,2166.0,2171.0,2166.0,6000
2019-04-04,2182.0,2182.0,2182.0,2182.0,1652
2019-04-05,2182.0,2182.0,2193.0,2182.0,6794
2019-04-08,2177.0,2176.0,2176.0,2176.0,3554
2019-04-09,2188.0,2171.0,2193.0,2171.0,15613
2019-04-10,2188.0,2193.0,2193.0,2187.0,758
2019-04-11,2188.0,2193.0,2193.0,2171.0,5447
2019-04-12,2193.0,2166.0,2193.0,2166.0,11
2019-04-15,2188.0,2193.0,2193.0,2187.0,6243
2019-04-16,2198.0,2187.0,2198.0,2187.0,9525
2019-04-17,2198.0,2203.0,2235.0,2198.0,13956
2019-04-18,2204.0,2166.0,2203.0,2166.0,1934
2019-04-19,2214.0,2225.0,2225.0,2209.0,70204
2019-04-22,2220.0,2235.0,2235.0,2214.0,15318
2019-04-23,2230.0,2182.0,2230.0,2182.0,20001
2019-04-24,2230.0,2230.0,2235.0,2230.0,13165
2019-04-25,2220.0,2219.0,2225.0,2219.0,73
2019-04-26,2225.0,2230.0,2230.0,2225.0,7020
2019-04-29,2225.0,2225.0,2225.0,2225.0,892
2019-04-30,2230.0,2230.0,2230.0,2225.0,12496
2019-05-02,2220.0,2214.0,2230.0,2214.0,2531
2019-05-03,2230.0,2230.0,2246.0,2230.0,23593
2019-05-07,2230.0,2230.0,2230.0,2230.0,1982
2019-05-08,2230.0,2235.0,2246.0,2230.0,1604
2019-05-09,2230.0,2230.0,2235.0,2230.0,7397
2019-05-10,2230.0,2230.0,2246.0,2230.0,4742
2019-05-13,2252.0,2235.0,2257.0,2230.0,11156
2019-05-14,2241.0,2251.0,2337.0,2225.0,88734
2019-05-15,2252.0,2246.0,2257.0,2235.0,7941
2019-05-16,2273.0,2235.0,2273.0,2235.0,4059
2019-05-17,2273.0,2267.0,2310.0,2267.0,21748
2019-05-20,2268.0,2273.0,2273.0,2267.0,954
2019-05-21,2252.0,2214.0,2294.0,2214.0,4424
2019-05-22,2289.0,2209.0,2289.0,2209.0,625
2019-05-23,2284.0,2289.0,2300.0,2283.0,2185
2019-05-24,2284.0,2283.0,2283.0,2283.0,26
2019-05-27,2279.0,2283.0,2283.0,2267.0,9842
2019-05-28,2268.0,2278.0,2278.0,2267.0,4208
2019-05-29,2268.0,2267.0,2267.0,2267.0,15967
2019-05-30,2268.0,2267.0,2267.0,2267.0,3
2019-05-31,2268.0,2300.0,2300.0,2267.0,2
2019-06-03,2300.0,2267.0,2300.0,2267.0,207
2019-06-04,2305.0,2300.0,2316.0,2300.0,26363
2019-06-05,2311.0,2305.0,2310.0,2278.0,14375
2019-06-07,2311.0,2278.0,2316.0,2278.0,9792
2019-06-10,2316.0,2278.0,2332.0,2278.0,212717
2019-06-11,2311.0,2332.0,2332.0,2310.0,1128
2019-06-12,2321.0,2310.0,2321.0,2310.0,7101
2019-06-13,2321.0,2321.0,2321.0,2310.0,3802
2019-06-14,2321.0,2321.0,2321.0,2321.0,1041
2019-06-17,2348.0,2337.0,2364.0,2289.0,6392
2019-06-18,2493.0,2380.0,2663.0,2380.0,1235718
2019-06-19,2375.0,2492.0,2492.0,2326.0,479693
2019-06-20,2541.0,2369.0,2567.0,2369.0,673874
2019-06-21,2557.0,2631.0,2733.0,2417.0,1344432
2019-06-24,2316.0,2556.0,2663.0,2305.0,1172523
2019-06-25,2284.0,2305.0,2326.0,2283.0,243641
2019-06-26,2295.0,2300.0,2332.0,2278.0,91547
2019-06-27,2295.0,2289.0,2348.0,2283.0,100861
2019-06-28,2295.0,2326.0,2326.0,2267.0,94753
2019-07-01,2268.0,2294.0,2294.0,2262.0,18553
2019-07-02,2268.0,2251.0,2289.0,2251.0,34944
2019-07-03,2295.0,2278.0,2310.0,2262.0,56268
2019-07-04,2289.0,2310.0,2310.0,2267.0,53800
2019-07-05,2300.0,2262.0,2300.0,2262.0,27863
2019-07-08,2279.0,2289.0,2310.0,2267.0,39401
2019-07-09,2279.0,2310.0,2310.0,2267.0,33030
2019-07-10,2305.0,2289.0,2321.0,2283.0,30224
2019-07-11,2305.0,2310.0,2310.0,2273.0,23790
2019-07-12,2300.0,2305.0,2305.0,2278.0,4857
2019-07-15,2295.0,2294.0,2294.0,2273.0,1003
2019-07-16,2289.0,2283.0,2289.0,2251.0,18918
2019-07-17,2263.0,2305.0,2305.0,2262.0,4082
2019-07-18,2273.0,2300.0,2300.0,2267.0,10396
2019-07-19,2268.0,2267.0,2289.0,2257.0,7800
2019-07-22,2289.0,2294.0,2316.0,2267.0,45979
2019-07-23,2305.0,2300.0,2316.0,2294.0,46330
2019-07-24,2311.0,2305.0,2316.0,2283.0,7084
2019-07-25,2300.0,2289.0,2310.0,2273.0,3453
2019-07-26,2300.0,0.0,0.0,0.0,0
2019-07-29,2300.0,0.0,0.0,0.0,0
2019-07-30,2300.0,0.0,0.0,0.0,0
2019-07-31,2300.0,0.0,0.0,0.0,0
2019-08-01,2300.0,0.0,0.0,0.0,0
2019-08-02,2300.0,0.0,0.0,0.0,0
2019-08-05,2300.0,0.0,0.0,0.0,0
2019-08-06,2300.0,0.0,0.0,0.0,0
2019-08-07,2300.0,0.0,0.0,0.0,0
2019-08-08,2300.0,0.0,0.0,0.0,0
2019-08-09,2300.0,0.0,0.0,0.0,0
2019-08-12,2300.0,0.0,0.0,0.0,0
2019-08-13,2300.0,0.0,0.0,0.0,0
2019-08-14,2300.0,0.0,0.0,0.0,0
2019-08-16,2300.0,0.0,0.0,0.0,0
2019-08-19,2300.0,0.0,0.0,0.0,0
2019-08-20,2300.0,0.0,0.0,0.0,0
2019-08-21,2300.0,0.0,0.0,0.0,0
2019-08-22,2300.0,0.0,0.0,0.0,0
2019-08-23,2300.0,0.0,0.0,0.0,0
2019-08-26,2300.0,0.0,0.0,0.0,0
2019-08-27,2300.0,0.0,0.0,0.0,0
2019-08-28,2300.0,0.0,0.0,0.0,0
2019-08-29,2300.0,0.0,0.0,0.0,0
2019-08-30,2300.0,0.0,0.0,0.0,0
2019-09-02,2300.0,0.0,0.0,0.0,0
2019-09-03,2300.0,0.0,0.0,0.0,0
2019-09-04,2300.0,0.0,0.0,0.0,0
2019-09-05,2300.0,0.0,0.0,0.0,0
2019-09-06,2300.0,0.0,0.0,0.0,0
2019-09-09,2300.0,0.0,0.0,0.0,0
2019-09-10,2300.0,0.0,0.0,0.0,0
2019-09-11,2300.0,0.0,0.0,0.0,0
2019-09-16,2300.0,0.0,0.0,0.0,0
2019-09-17,2300.0,0.0,0.0,0.0,0
2019-09-18,2300.0,0.0,0.0,0.0,0
2019-09-19,2300.0,0.0,0.0,0.0,0
2019-09-20,2300.0,0.0,0.0,0.0,0
