date,close,open,high,low,volume
2024-10-16,20650.0,25400.0,26850.0,19130.0,22855966
2024-10-17,26800.0,21150.0,26800.0,21000.0,18596914
2024-10-18,26000.0,28100.0,29450.0,25100.0,14116929
2024-10-21,22600.0,24800.0,25400.0,22600.0,3119661
2024-10-22,19330.0,22900.0,24700.0,19200.0,5591688
2024-10-23,18370.0,19110.0,20650.0,17410.0,2982745
2024-10-24,20800.0,19400.0,22900.0,19040.0,10121747
2024-10-25,17750.0,20300.0,20450.0,17650.0,2316338
2024-10-28,16710.0,17350.0,18550.0,16380.0,2819999
2024-10-29,15790.0,16610.0,16740.0,15480.0,1075224
2024-10-30,15850.0,15790.0,17420.0,15450.0,2536706
2024-10-31,15090.0,15680.0,16340.0,15010.0,1162614
2024-11-01,14100.0,14770.0,15320.0,14000.0,579190
2024-11-04,14910.0,14080.0,15900.0,13780.0,1407988
2024-11-05,15020.0,15640.0,17100.0,15000.0,2365731
2024-11-06,14080.0,15020.0,15130.0,13900.0,664706
2024-11-07,13430.0,14110.0,14160.0,13260.0,472163
2024-11-08,14070.0,13430.0,14700.0,13430.0,549305
2024-11-11,13850.0,14110.0,14360.0,13500.0,318665
2024-11-12,13100.0,14250.0,14520.0,12800.0,441944
2024-11-13,11400.0,13100.0,13140.0,11310.0,451496
2024-11-14,10560.0,11500.0,11550.0,10500.0,274456
2024-11-15,10910.0,10910.0,11500.0,10650.0,528529
2024-11-18,11730.0,11000.0,12250.0,9930.0,1524445
2024-11-19,10930.0,11510.0,11700.0,10840.0,300495
2024-11-20,10930.0,10850.0,11930.0,10520.0,493090
2024-11-21,10290.0,10860.0,11130.0,10290.0,334267
2024-11-22,10110.0,10390.0,10770.0,10100.0,297878
2024-11-25,10420.0,10100.0,10680.0,10100.0,228094
2024-11-26,10410.0,10450.0,10730.0,10300.0,140974
2024-11-27,10970.0,10580.0,11300.0,10320.0,355903
2024-11-28,13370.0,11050.0,13960.0,11040.0,3858364
2024-11-29,12390.0,13900.0,14900.0,12230.0,3469450
2024-12-02,13170.0,12720.0,13590.0,12360.0,1387831
2024-12-03,13040.0,12910.0,13420.0,12650.0,622483
2024-12-04,14020.0,12510.0,14320.0,11990.0,2124655
2024-12-05,17300.0,15080.0,18140.0,14540.0,13035493
2024-12-06,16060.0,17090.0,17890.0,15130.0,6481613
2024-12-09,14500.0,15500.0,17270.0,14500.0,4282968
2024-12-10,15600.0,14880.0,16280.0,14860.0,2617331
2024-12-11,16030.0,15620.0,16170.0,15150.0,1392122
2024-12-12,15580.0,15670.0,16400.0,15500.0,1052794
2024-12-13,15510.0,15440.0,16550.0,15120.0,1419316
2024-12-16,14820.0,15650.0,15760.0,14440.0,902467
2024-12-17,14870.0,14650.0,15100.0,14120.0,769066
2024-12-18,14360.0,14690.0,14710.0,14060.0,404543
2024-12-19,12730.0,13610.0,13830.0,12680.0,705124
2024-12-20,11980.0,12580.0,12870.0,11830.0,413267
2024-12-23,12300.0,11980.0,12770.0,11700.0,293514
2024-12-24,12000.0,12360.0,12440.0,11750.0,243255
2024-12-26,11680.0,12050.0,12290.0,11550.0,222124
2024-12-27,11120.0,11450.0,11940.0,10950.0,271005
2024-12-30,11800.0,10900.0,11870.0,10900.0,230269
2025-01-02,12090.0,12000.0,12270.0,11730.0,194792
2025-01-03,12870.0,12400.0,13100.0,12310.0,391909
2025-01-06,12770.0,12870.0,12960.0,12560.0,168177
2025-01-07,12680.0,12980.0,13100.0,12500.0,174423
2025-01-08,12260.0,12560.0,12710.0,12210.0,164324
2025-01-09,13200.0,12300.0,13320.0,11850.0,478607
2025-01-10,13040.0,13500.0,14270.0,12740.0,573442
2025-01-13,13320.0,13180.0,13830.0,13100.0,348543
2025-01-14,13250.0,13710.0,13790.0,13100.0,267026
2025-01-15,13140.0,13260.0,13360.0,13000.0,154672
2025-01-16,15200.0,13000.0,15400.0,12770.0,2130016
2025-01-17,15590.0,15310.0,15780.0,15120.0,624303
2025-01-20,16200.0,15600.0,16760.0,15210.0,709460
2025-01-21,16060.0,16140.0,16590.0,15750.0,321592
