date,close,open,high,low,volume
2019-09-18,2090.0,2059.0,2100.0,2059.0,2417355
2019-09-19,2095.0,2089.0,2105.0,2089.0,151319
2019-09-20,2090.0,2089.0,2105.0,2089.0,113706
2019-09-23,2100.0,2089.0,2105.0,2089.0,70509
2019-09-24,2095.0,2100.0,2105.0,2095.0,27881
2019-09-25,2100.0,2095.0,2105.0,2095.0,30329
2019-09-26,2105.0,2105.0,2105.0,2095.0,36028
2019-09-27,2110.0,2100.0,2120.0,2095.0,51244
2019-09-30,2115.0,2110.0,2120.0,2095.0,80791
2019-10-01,2115.0,2115.0,2125.0,2105.0,19152
2019-10-02,2110.0,2100.0,2120.0,2100.0,12663
2019-10-04,2105.0,2105.0,2120.0,2105.0,4896
2019-10-07,2110.0,2105.0,2115.0,2095.0,90742
2019-10-08,2100.0,2095.0,2115.0,2074.0,98781
2019-10-10,2100.0,2084.0,2100.0,2074.0,44430
2019-10-11,2080.0,2079.0,2100.0,2079.0,27803
2019-10-14,2085.0,2079.0,2089.0,2074.0,15949
2019-10-15,2085.0,2084.0,2110.0,2079.0,2038
2019-10-16,2090.0,2079.0,2089.0,2079.0,8432
2019-10-17,2090.0,2079.0,2100.0,2079.0,2357
2019-10-18,2090.0,2100.0,2100.0,2079.0,854
2019-10-21,2090.0,2079.0,2089.0,2074.0,2888
2019-10-22,2090.0,2079.0,2089.0,2074.0,21739
2019-10-23,2090.0,2089.0,2089.0,2074.0,7692
2019-10-24,2090.0,2089.0,2089.0,2069.0,9219
2019-10-25,2085.0,2089.0,2089.0,2069.0,5037
2019-10-28,2105.0,2084.0,2105.0,2084.0,12501
2019-10-29,2080.0,2100.0,2100.0,2064.0,20069
2019-10-30,2080.0,2069.0,2079.0,2069.0,8191
2019-10-31,2085.0,2089.0,2089.0,2059.0,10497
2019-11-01,2085.0,2089.0,2089.0,2064.0,1861
2019-11-04,2090.0,2064.0,2089.0,2064.0,991
2019-11-05,2090.0,2069.0,2089.0,2054.0,5811
2019-11-06,2090.0,2074.0,2089.0,2074.0,20160
2019-11-07,2090.0,2079.0,2095.0,2069.0,11517
2019-11-08,2090.0,2095.0,2095.0,2069.0,3465
2019-11-11,2080.0,2089.0,2089.0,2054.0,9910
2019-11-12,2085.0,2079.0,2084.0,2079.0,2483
2019-11-13,2085.0,2059.0,2084.0,2054.0,5391
2019-11-14,2080.0,2079.0,2084.0,2069.0,3075
2019-11-15,2080.0,2069.0,2079.0,2069.0,533
2019-11-18,2075.0,2064.0,2079.0,2064.0,5983
2019-11-19,2075.0,2074.0,2074.0,2069.0,2126
2019-11-20,2075.0,2084.0,2084.0,2064.0,4080
2019-11-21,2070.0,2074.0,2074.0,2059.0,4700
2019-11-22,2075.0,2074.0,2074.0,2069.0,3797
2019-11-25,2075.0,2074.0,2074.0,2059.0,2120
2019-11-26,2070.0,2074.0,2074.0,2049.0,18608
2019-11-27,2060.0,2069.0,2074.0,2054.0,12140
2019-11-28,2070.0,2074.0,2074.0,2049.0,17145
2019-11-29,2075.0,2069.0,2074.0,2054.0,7777
2019-12-02,2100.0,2074.0,2100.0,2074.0,20119
2019-12-03,2090.0,2089.0,2095.0,2074.0,4869
2019-12-04,2075.0,2089.0,2089.0,2074.0,3206
2019-12-05,2080.0,2074.0,2089.0,2069.0,932
2019-12-06,2080.0,2084.0,2084.0,2079.0,1911
2019-12-09,2075.0,2069.0,2089.0,2069.0,10584
2019-12-10,2080.0,2069.0,2079.0,2069.0,7495
2019-12-11,2080.0,2079.0,2079.0,2064.0,5003
2019-12-12,2080.0,2069.0,2079.0,2069.0,1237
2019-12-13,2080.0,2064.0,2079.0,2059.0,5568
2019-12-16,2080.0,2054.0,2079.0,2024.0,41013
2019-12-17,2080.0,2079.0,2079.0,2049.0,7910
2019-12-18,2070.0,2074.0,2079.0,2064.0,3399
2019-12-19,2075.0,2064.0,2074.0,2059.0,1524
2019-12-20,2075.0,2064.0,2074.0,2059.0,2860
2019-12-23,2070.0,2054.0,2074.0,2039.0,20582
2019-12-24,2060.0,2059.0,2059.0,2039.0,15279
2019-12-26,2060.0,2049.0,2059.0,2039.0,7884
2019-12-27,2070.0,2049.0,2069.0,2044.0,10773
2019-12-30,2095.0,2064.0,2115.0,2049.0,21124
2020-01-02,2080.0,2059.0,2079.0,2059.0,89
2020-01-03,2085.0,2079.0,2084.0,2074.0,2200
2020-01-06,2070.0,2064.0,2084.0,2049.0,39300
2020-01-07,2075.0,2059.0,2074.0,2059.0,2079
2020-01-08,2075.0,2059.0,2074.0,2054.0,1652
2020-01-09,2075.0,2064.0,2074.0,2064.0,3055
2020-01-10,2075.0,2074.0,2074.0,2074.0,0
2020-01-13,2070.0,2059.0,2069.0,2059.0,4529
2020-01-14,2075.0,2069.0,2074.0,2059.0,10027
2020-01-15,2080.0,2074.0,2089.0,2069.0,94906
2020-01-16,2090.0,2095.0,2095.0,2079.0,21901
2020-01-17,2090.0,2089.0,2095.0,2089.0,11661
2020-01-20,2095.0,2069.0,2095.0,2054.0,8749
2020-01-21,2095.0,2069.0,2095.0,2069.0,206
2020-01-22,2095.0,0.0,0.0,0.0,0
2020-01-23,2095.0,0.0,0.0,0.0,0
2020-01-28,2095.0,0.0,0.0,0.0,0
2020-01-29,2095.0,0.0,0.0,0.0,0
2020-01-30,2095.0,0.0,0.0,0.0,0
2020-01-31,2095.0,0.0,0.0,0.0,0
2020-02-03,2095.0,0.0,0.0,0.0,0
2020-02-04,2095.0,0.0,0.0,0.0,0
2020-02-05,2095.0,0.0,0.0,0.0,0
2020-02-06,2095.0,0.0,0.0,0.0,0
2020-02-07,2095.0,0.0,0.0,0.0,0
2020-02-10,2095.0,0.0,0.0,0.0,0
2020-02-11,2095.0,0.0,0.0,0.0,0
2020-02-12,2095.0,0.0,0.0,0.0,0
2020-02-13,2095.0,0.0,0.0,0.0,0
2020-02-14,2095.0,0.0,0.0,0.0,0
2020-02-17,2095.0,0.0,0.0,0.0,0
2020-02-18,2095.0,0.0,0.0,0.0,0
2020-02-19,2095.0,0.0,0.0,0.0,0
2020-02-20,2095.0,0.0,0.0,0.0,0
2020-02-21,2095.0,0.0,0.0,0.0,0
2020-02-24,2095.0,0.0,0.0,0.0,0
2020-02-25,2095.0,0.0,0.0,0.0,0
2020-02-26,2095.0,0.0,0.0,0.0,0
2020-02-27,2095.0,0.0,0.0,0.0,0
2020-02-28,2095.0,0.0,0.0,0.0,0
2020-03-02,2095.0,0.0,0.0,0.0,0
2020-03-03,2095.0,0.0,0.0,0.0,0
2020-03-04,2095.0,0.0,0.0,0.0,0
2020-03-05,2095.0,0.0,0.0,0.0,0
2020-03-06,2095.0,0.0,0.0,0.0,0
2020-03-09,2095.0,0.0,0.0,0.0,0
2020-03-10,2095.0,0.0,0.0,0.0,0
2020-03-11,2095.0,0.0,0.0,0.0,0
2020-03-12,2095.0,0.0,0.0,0.0,0
2020-03-13,2095.0,0.0,0.0,0.0,0
2020-03-16,2095.0,0.0,0.0,0.0,0
2020-03-17,2095.0,0.0,0.0,0.0,0
2020-03-18,2095.0,0.0,0.0,0.0,0
2020-03-19,2095.0,0.0,0.0,0.0,0
2020-03-20,2095.0,0.0,0.0,0.0,0
2020-03-23,2095.0,0.0,0.0,0.0,0
2020-03-24,2095.0,0.0,0.0,0.0,0
2020-03-25,2095.0,0.0,0.0,0.0,0
2020-03-26,2095.0,0.0,0.0,0.0,0
2020-03-27,2095.0,0.0,0.0,0.0,0
2020-03-30,2095.0,0.0,0.0,0.0,0
2020-03-31,2095.0,0.0,0.0,0.0,0
2020-04-01,2095.0,0.0,0.0,0.0,0
2020-04-02,2095.0,0.0,0.0,0.0,0
2020-04-03,2095.0,0.0,0.0,0.0,0
2020-04-06,2095.0,0.0,0.0,0.0,0
2020-04-07,2095.0,0.0,0.0,0.0,0
2020-04-08,2095.0,0.0,0.0,0.0,0
2020-04-09,2095.0,0.0,0.0,0.0,0
2020-04-10,2095.0,0.0,0.0,0.0,0
2020-04-13,2095.0,0.0,0.0,0.0,0
2020-04-14,2095.0,0.0,0.0,0.0,0
2020-04-16,2095.0,0.0,0.0,0.0,0
2020-04-17,2095.0,0.0,0.0,0.0,0
2020-04-20,2055.0,2095.0,2200.0,2055.0,398577
2020-04-21,2020.0,2075.0,2085.0,1980.0,49216
2020-04-22,2010.0,2050.0,2050.0,1975.0,12942
2020-04-23,1990.0,2020.0,2020.0,1960.0,52365
2020-04-24,1985.0,2035.0,2035.0,1970.0,7191
2020-04-27,1960.0,1995.0,1995.0,1960.0,21118
2020-04-28,1970.0,2010.0,2010.0,1960.0,5840
2020-04-29,1980.0,2000.0,2000.0,1965.0,2706
2020-05-04,2025.0,2000.0,2030.0,1970.0,28056
2020-05-06,2015.0,2030.0,2030.0,2005.0,14628
2020-05-07,2015.0,2025.0,2025.0,1995.0,2819
2020-05-08,2015.0,1995.0,2015.0,1995.0,3386
2020-05-11,2020.0,2015.0,2040.0,2010.0,15682
2020-05-12,2020.0,2040.0,2040.0,2010.0,9100
2020-05-13,2050.0,2020.0,2050.0,2005.0,24086
2020-05-14,2030.0,2040.0,2040.0,2020.0,10276
2020-05-15,2030.0,2040.0,2040.0,2020.0,11266
2020-05-18,2030.0,2020.0,2030.0,2015.0,8540
2020-05-19,2030.0,2030.0,2050.0,2025.0,5902
2020-05-20,2045.0,2030.0,2055.0,2020.0,13696
2020-05-21,2035.0,2045.0,2050.0,2025.0,42013
2020-05-22,2050.0,2030.0,2055.0,2025.0,7863
2020-05-25,2040.0,2010.0,2045.0,2010.0,3809
2020-05-26,2025.0,2015.0,2055.0,2015.0,2382
2020-05-27,2025.0,2025.0,2035.0,2015.0,31071
2020-05-28,2025.0,2025.0,2040.0,2015.0,26866
2020-05-29,2035.0,2020.0,2045.0,2010.0,11667
2020-06-01,2035.0,2050.0,2070.0,2035.0,55281
2020-06-02,2055.0,2060.0,2060.0,2025.0,43756
2020-06-03,2055.0,2040.0,2060.0,2040.0,45863
2020-06-04,2065.0,2030.0,2075.0,2030.0,74634
2020-06-05,2145.0,2045.0,2180.0,2045.0,418963
2020-06-08,2140.0,2165.0,2175.0,2125.0,145200
2020-06-09,2120.0,2150.0,2150.0,2105.0,133964
2020-06-10,2225.0,2120.0,2245.0,2110.0,612393
2020-06-11,2445.0,2240.0,2650.0,2220.0,2607898
2020-06-12,2440.0,2305.0,2460.0,2250.0,613633
2020-06-15,2375.0,2460.0,2710.0,2310.0,1615425
2020-06-16,2505.0,2475.0,2575.0,2425.0,845743
2020-06-17,2425.0,2490.0,2510.0,2410.0,335736
2020-06-18,2430.0,2430.0,2500.0,2305.0,466326
2020-06-19,2550.0,2470.0,2600.0,2400.0,810737
2020-06-22,3315.0,2645.0,3315.0,2585.0,2906088
2020-06-23,3100.0,3585.0,3685.0,2965.0,2820066
2020-06-24,3070.0,3060.0,3240.0,2930.0,1080762
2020-06-25,3185.0,2995.0,3280.0,2940.0,1379472
2020-06-26,3070.0,3150.0,3195.0,3030.0,339212
2020-06-29,2950.0,3035.0,3100.0,2900.0,205663
2020-06-30,2850.0,3035.0,3045.0,2850.0,243487
2020-07-01,2790.0,2850.0,2900.0,2780.0,201788
2020-07-02,2965.0,2785.0,3150.0,2785.0,364868
2020-07-03,2940.0,2965.0,3010.0,2910.0,88684
2020-07-06,2850.0,2995.0,2995.0,2835.0,117688
