date,close,open,high,low,volume
2022-07-21,19311.0,14869.0,19311.0,14338.0,14285075
2022-07-22,19504.0,18996.0,23631.0,18562.0,15726939
2022-07-25,18056.0,19166.0,20517.0,17693.0,3135730
2022-07-26,17742.0,18007.0,19431.0,17283.0,3564197
2022-07-27,18877.0,18418.0,20856.0,18128.0,8482824
2022-07-28,19287.0,18683.0,19455.0,17814.0,2159111
2022-07-29,18394.0,19093.0,21000.0,18394.0,4226892
2022-08-01,18805.0,19263.0,20397.0,18683.0,3330246
2022-08-02,21894.0,19745.0,23462.0,19311.0,15688904
2022-08-03,21001.0,21893.0,22207.0,20638.0,2205216
2022-08-04,20204.0,21048.0,21072.0,19962.0,1453173
2022-08-05,20084.0,19890.0,20421.0,19552.0,1046288
2022-08-08,20325.0,20034.0,20759.0,19890.0,1093496
2022-08-09,20204.0,20855.0,21579.0,19986.0,1970934
2022-08-10,20132.0,20445.0,20759.0,19335.0,2252768
2022-08-11,19746.0,20397.0,20421.0,19697.0,724175
2022-08-12,19191.0,19432.0,20084.0,19142.0,570697
2022-08-16,18829.0,19142.0,19311.0,18466.0,513988
2022-08-17,19191.0,18756.0,19987.0,18563.0,915075
2022-08-18,18973.0,18851.0,19021.0,18562.0,289606
2022-08-19,19698.0,18901.0,20180.0,18635.0,1288784
2022-08-22,18056.0,19359.0,19504.0,18056.0,946191
2022-08-23,18080.0,17693.0,18393.0,17186.0,432214
2022-08-24,18853.0,18080.0,19263.0,18056.0,624673
2022-08-25,19311.0,18972.0,20058.0,18803.0,834322
2022-08-26,18829.0,19456.0,19504.0,18587.0,276809
2022-08-29,17187.0,17983.0,18393.0,16896.0,410115
2022-08-30,17742.0,17500.0,17983.0,17065.0,262623
2022-08-31,18249.0,17765.0,18610.0,17379.0,312774
2022-09-01,18104.0,18006.0,18900.0,17982.0,259457
2022-09-02,17501.0,18394.0,18587.0,17428.0,196390
2022-09-05,16076.0,17499.0,17741.0,15810.0,507072
2022-09-06,16149.0,16366.0,16462.0,15931.0,120255
2022-09-07,14966.0,16172.0,16293.0,14844.0,294299
2022-09-08,15859.0,15086.0,15883.0,15086.0,221504
2022-09-13,15714.0,16268.0,16703.0,15689.0,254532
2022-09-14,15087.0,15135.0,15497.0,14845.0,226653
2022-09-15,15304.0,15738.0,16269.0,14989.0,353256
2022-09-16,14508.0,15159.0,15159.0,14217.0,399575
2022-09-19,14145.0,14506.0,14627.0,13903.0,142962
2022-09-20,14073.0,14169.0,14603.0,14073.0,130919
2022-09-21,13783.0,13976.0,14169.0,13541.0,117357
2022-09-22,13735.0,13565.0,13855.0,13179.0,159810
2022-09-23,13083.0,13589.0,13855.0,12985.0,124468
2022-09-26,12190.0,12865.0,12889.0,11899.0,254826
2022-09-27,12214.0,12189.0,12310.0,11827.0,129324
2022-09-28,11490.0,12237.0,12431.0,11248.0,165009
2022-09-29,11804.0,11634.0,12214.0,11634.0,196294
2022-09-30,11538.0,11658.0,12068.0,11175.0,173114
2022-10-04,11973.0,11731.0,12166.0,11562.0,136433
2022-10-05,10959.0,12069.0,12165.0,10789.0,339089
2022-10-06,11562.0,11271.0,11923.0,11078.0,250263
2022-10-07,10814.0,11368.0,11537.0,10741.0,190958
2022-10-11,9583.0,10427.0,10427.0,9389.0,312396
2022-10-12,10017.0,9654.0,10403.0,9220.0,607841
2022-10-13,9390.0,9896.0,9920.0,9124.0,254680
2022-10-14,9752.0,9848.0,10089.0,9534.0,291788
2022-10-17,9897.0,9462.0,10065.0,9462.0,196680
