date,close,open,high,low,volume
2019-11-06,2361.0,2360.0,2366.0,2360.0,1151568
2019-11-07,2367.0,2366.0,2366.0,2360.0,92466
2019-11-08,2367.0,2366.0,2372.0,2360.0,211284
2019-11-11,2367.0,2366.0,2372.0,2360.0,96903
2019-11-12,2367.0,2366.0,2366.0,2360.0,115860
2019-11-13,2373.0,2366.0,2372.0,2360.0,147697
2019-11-14,2373.0,2372.0,2372.0,2366.0,15853
2019-11-15,2367.0,2372.0,2372.0,2366.0,8242
2019-11-18,2367.0,2372.0,2372.0,2360.0,19840
2019-11-19,2373.0,2366.0,2372.0,2360.0,7868
2019-11-20,2373.0,2372.0,2372.0,2366.0,17738
2019-11-21,2373.0,2372.0,2372.0,2360.0,24886
2019-11-22,2373.0,2366.0,2372.0,2366.0,32588
2019-11-25,2373.0,2366.0,2372.0,2366.0,9202
2019-11-26,2373.0,2366.0,2372.0,2366.0,17770
2019-11-27,2373.0,2366.0,2372.0,2366.0,10666
2019-11-28,2379.0,2372.0,2378.0,2366.0,81399
2019-11-29,2379.0,2378.0,2378.0,2366.0,49338
2019-12-02,2379.0,2366.0,2378.0,2366.0,3814
2019-12-03,2379.0,2378.0,2378.0,2366.0,20627
2019-12-04,2373.0,2372.0,2378.0,2372.0,17958
2019-12-05,2379.0,2372.0,2378.0,2366.0,24718
2019-12-06,2379.0,2378.0,2378.0,2378.0,510
2019-12-09,2367.0,2366.0,2372.0,2360.0,50625
2019-12-10,2373.0,2372.0,2372.0,2366.0,1240
2019-12-11,2373.0,2366.0,2372.0,2360.0,18161
2019-12-12,2373.0,2366.0,2372.0,2360.0,16112
2019-12-13,2367.0,2366.0,2372.0,2366.0,13613
2019-12-16,2373.0,2372.0,2372.0,2366.0,7064
2019-12-17,2367.0,2366.0,2366.0,2319.0,14806
2019-12-18,2373.0,2360.0,2372.0,2360.0,8099
2019-12-19,2367.0,2366.0,2366.0,2366.0,5998
2019-12-20,2367.0,2366.0,2366.0,2360.0,25920
2019-12-23,2367.0,2360.0,2366.0,2360.0,16458
2019-12-24,2355.0,2360.0,2366.0,2355.0,7847
2019-12-26,2367.0,2366.0,2366.0,2360.0,4126
2019-12-27,2367.0,2360.0,2366.0,2355.0,21906
2019-12-30,2367.0,2366.0,2366.0,2360.0,5482
2020-01-02,2367.0,2366.0,2366.0,2366.0,498
2020-01-03,2367.0,2366.0,2372.0,2366.0,3326
2020-01-06,2373.0,2360.0,2372.0,2360.0,2769
2020-01-07,2373.0,2366.0,2372.0,2366.0,9662
2020-01-08,2373.0,2360.0,2372.0,2360.0,6124
2020-01-09,2373.0,2366.0,2372.0,2360.0,8103
2020-01-10,2373.0,2366.0,2372.0,2366.0,8382
2020-01-13,2373.0,2366.0,2372.0,2366.0,3015
2020-01-14,2373.0,2366.0,2372.0,2360.0,33665
2020-01-15,2373.0,2372.0,2378.0,2366.0,27605
2020-01-16,2373.0,2372.0,2372.0,2372.0,345
2020-01-17,2373.0,2372.0,2372.0,2372.0,5285
2020-01-20,2379.0,2372.0,2378.0,2366.0,39186
2020-01-21,2379.0,2366.0,2378.0,2366.0,13416
2020-01-22,2379.0,2372.0,2378.0,2366.0,2441
2020-01-23,2379.0,2372.0,2378.0,2366.0,251
2020-01-28,2373.0,2366.0,2372.0,2360.0,6417
2020-01-29,2373.0,2366.0,2372.0,2366.0,22829
2020-01-30,2373.0,2372.0,2372.0,2372.0,6800
2020-01-31,2379.0,2366.0,2378.0,2366.0,2218
2020-02-03,2379.0,2366.0,2378.0,2366.0,8032
2020-02-04,2379.0,2366.0,2378.0,2360.0,28922
2020-02-05,2379.0,2366.0,2378.0,2366.0,1052
2020-02-06,2379.0,2372.0,2378.0,2366.0,16127
2020-02-07,2379.0,2366.0,2378.0,2366.0,500
2020-02-10,2385.0,2378.0,2384.0,2372.0,8543
2020-02-11,2379.0,2366.0,2384.0,2366.0,8834
2020-02-12,2379.0,2384.0,2384.0,2372.0,355
2020-02-13,2379.0,2372.0,2378.0,2372.0,147
