date,close,open,high,low,volume
2019-11-28,2379.0,2538.0,2786.0,2366.0,3065966
2019-11-29,2373.0,2372.0,2384.0,2360.0,416506
2019-12-02,2367.0,2378.0,2378.0,2366.0,108705
2019-12-03,2367.0,2366.0,2378.0,2366.0,58056
2019-12-04,2373.0,2366.0,2378.0,2366.0,20740
2019-12-05,2373.0,2372.0,2372.0,2366.0,16496
2019-12-06,2373.0,2366.0,2378.0,2366.0,39273
2019-12-09,2367.0,2366.0,2372.0,2366.0,12476
2019-12-10,2367.0,2366.0,2372.0,2360.0,53000
2019-12-11,2373.0,2366.0,2372.0,2360.0,93709
2019-12-12,2367.0,2366.0,2372.0,2366.0,20254
2019-12-13,2373.0,2366.0,2372.0,2360.0,32538
2019-12-16,2373.0,2366.0,2372.0,2360.0,8932
2019-12-17,2373.0,2366.0,2372.0,2349.0,37706
2019-12-18,2367.0,2366.0,2366.0,2360.0,3415
2019-12-19,2367.0,2366.0,2366.0,2360.0,14223
2019-12-20,2367.0,2366.0,2372.0,2360.0,15447
2019-12-23,2373.0,2360.0,2372.0,2360.0,14497
2019-12-24,2367.0,2372.0,2372.0,2366.0,16597
2019-12-26,2373.0,2366.0,2372.0,2360.0,4920
2019-12-27,2361.0,2372.0,2372.0,2360.0,3070
2019-12-30,2367.0,2372.0,2372.0,2366.0,15971
2020-01-02,2373.0,2366.0,2372.0,2360.0,11509
2020-01-03,2373.0,2366.0,2372.0,2366.0,1638
2020-01-06,2373.0,2366.0,2378.0,2366.0,12136
2020-01-07,2379.0,2366.0,2378.0,2366.0,1271
2020-01-08,2367.0,2366.0,2378.0,2366.0,4544
2020-01-09,2373.0,2378.0,2378.0,2366.0,2565
2020-01-10,2379.0,2372.0,2378.0,2366.0,5923
2020-01-13,2367.0,2372.0,2378.0,2366.0,26830
2020-01-14,2373.0,2378.0,2378.0,2372.0,5391
2020-01-15,2379.0,2378.0,2378.0,2372.0,897
2020-01-16,2367.0,2372.0,2378.0,2366.0,7503
2020-01-17,2367.0,2366.0,2378.0,2366.0,6897
2020-01-20,2373.0,2378.0,2378.0,2360.0,39079
2020-01-21,2379.0,2378.0,2378.0,2372.0,28976
2020-01-22,2379.0,2366.0,2378.0,2366.0,10
