date,close,open,high,low,volume
2020-08-13,7812.0,8613.0,8780.0,7745.0,6194129
2020-08-14,7879.0,7878.0,8045.0,7678.0,785962
2020-08-18,7311.0,7812.0,7878.0,7311.0,714635
2020-08-19,7378.0,7244.0,7611.0,7244.0,378589
2020-08-20,7478.0,7511.0,8045.0,7378.0,821215
2020-08-21,7712.0,7478.0,7778.0,7211.0,381756
2020-08-24,8179.0,7678.0,8513.0,7444.0,734050
2020-08-25,8346.0,8179.0,8747.0,8112.0,562133
2020-08-26,8346.0,8446.0,8513.0,8146.0,367061
2020-08-27,8146.0,8346.0,8346.0,8045.0,198400
2020-08-28,8447.0,8112.0,9581.0,8112.0,1396549
2020-08-31,8914.0,8580.0,9147.0,8446.0,517589
2020-09-01,8914.0,9047.0,9481.0,8913.0,370143
2020-09-02,9348.0,8913.0,9347.0,8913.0,348571
2020-09-03,9114.0,9347.0,9414.0,9014.0,313104
2020-09-04,8780.0,8680.0,8947.0,8513.0,232326
2020-09-07,8380.0,8780.0,8913.0,8112.0,431733
2020-09-08,8346.0,8513.0,8713.0,8179.0,283262
2020-09-09,8780.0,8146.0,9281.0,8112.0,306827
2020-09-10,9081.0,8747.0,9181.0,8646.0,264568
2020-09-11,9014.0,9080.0,9347.0,8813.0,199451
2020-09-14,8914.0,9047.0,9347.0,8813.0,315265
2020-09-15,8947.0,8947.0,9181.0,8747.0,357657
2020-09-16,8780.0,9080.0,9214.0,8646.0,418369
2020-09-17,8747.0,8947.0,9247.0,8680.0,411622
2020-09-18,8480.0,8747.0,8880.0,8313.0,267785
2020-09-21,8280.0,8747.0,8780.0,8212.0,205357
2020-09-22,8246.0,8146.0,8479.0,7912.0,148513
2020-09-23,8246.0,8446.0,8546.0,8146.0,78002
2020-09-24,7812.0,8045.0,8179.0,7645.0,182110
2020-09-25,7745.0,7979.0,8079.0,7712.0,86966
2020-09-28,8079.0,7778.0,8079.0,7778.0,54032
2020-09-29,8246.0,8146.0,8446.0,8146.0,77252
2020-10-05,8213.0,8246.0,8513.0,8179.0,137077
2020-10-06,8113.0,8446.0,8446.0,8012.0,107139
2020-10-07,8280.0,8112.0,8413.0,8012.0,143081
2020-10-08,8747.0,8413.0,8880.0,8212.0,271048
2020-10-12,8947.0,8913.0,9047.0,8747.0,273010
2020-10-13,8780.0,9047.0,9247.0,8680.0,306462
2020-10-14,8680.0,8980.0,8980.0,8613.0,88601
2020-10-15,8246.0,8680.0,8680.0,8146.0,181510
