date,close,open,high,low,volume
2021-01-28,9743.0,10761.0,11763.0,8928.0,38079220
2021-01-29,8504.0,9896.0,9997.0,8266.0,5352058
2021-02-01,8097.0,8470.0,8724.0,7994.0,3589113
2021-02-02,8250.0,8147.0,8368.0,7994.0,2866524
2021-02-03,7706.0,8164.0,8232.0,7672.0,2617301
2021-02-04,7350.0,7757.0,7825.0,7332.0,1539525
2021-02-05,7486.0,7434.0,8164.0,7349.0,3967846
2021-02-08,7978.0,7383.0,8589.0,7383.0,5800072
2021-02-09,7927.0,8096.0,8419.0,7808.0,2440870
2021-02-10,7944.0,8062.0,8351.0,7876.0,3094659
2021-02-15,7655.0,8113.0,8266.0,7655.0,2256881
2021-02-16,7435.0,7723.0,7757.0,7349.0,1404990
2021-02-17,7146.0,7468.0,7502.0,7146.0,1202676
2021-02-18,7214.0,7214.0,7400.0,7129.0,632790
2021-02-19,7486.0,7282.0,7553.0,7129.0,965453
2021-02-22,7214.0,7519.0,7672.0,7214.0,779588
2021-02-23,6926.0,7197.0,7214.0,6908.0,618285
2021-02-24,7095.0,6942.0,7808.0,6806.0,2194495
2021-02-25,7010.0,7265.0,7332.0,7010.0,650870
2021-02-26,6943.0,6959.0,7604.0,6925.0,2087080
2021-03-02,6926.0,7044.0,7112.0,6908.0,460530
2021-03-03,7163.0,6874.0,7231.0,6857.0,526633
2021-03-04,7010.0,7078.0,7180.0,6976.0,276414
2021-03-05,7129.0,6993.0,7502.0,6993.0,1361079
2021-03-08,7282.0,7248.0,7604.0,7163.0,1020893
2021-03-09,7163.0,7231.0,7451.0,7044.0,431760
2021-03-10,6959.0,7282.0,7282.0,6959.0,363973
2021-03-11,7061.0,6976.0,7112.0,6942.0,241358
2021-03-12,7129.0,7078.0,7214.0,7010.0,270923
2021-03-15,7469.0,7129.0,7553.0,7061.0,782256
2021-03-16,7672.0,7672.0,7740.0,7468.0,1122587
2021-03-17,7520.0,7672.0,7672.0,7434.0,474710
2021-03-18,8029.0,7740.0,8113.0,7604.0,2582050
2021-03-19,8131.0,7927.0,8351.0,7842.0,1558330
2021-03-22,8351.0,8113.0,8606.0,7910.0,1249891
2021-03-23,8555.0,8538.0,8707.0,8215.0,1621796
2021-03-24,8470.0,8470.0,8656.0,8317.0,680715
2021-03-25,8029.0,8385.0,8605.0,7893.0,878664
2021-03-26,8097.0,7977.0,8113.0,7689.0,597324
2021-03-29,8300.0,8147.0,8402.0,8147.0,645827
2021-03-30,8385.0,8317.0,8487.0,8198.0,526747
2021-03-31,8368.0,8402.0,8487.0,8198.0,636059
2021-04-01,8199.0,8453.0,8470.0,8113.0,467679
2021-04-02,8063.0,8249.0,8283.0,7977.0,367728
2021-04-05,7978.0,8062.0,8079.0,7910.0,281401
2021-04-06,7791.0,7977.0,8062.0,7791.0,366677
2021-04-07,7588.0,7808.0,7808.0,7468.0,722655
