date,close,open,high,low,volume
2023-12-01,30400.0,56900.0,59500.0,28300.0,11171009
2023-12-04,24100.0,28000.0,28150.0,22900.0,1761653
2023-12-05,21750.0,22750.0,24100.0,20950.0,823468
2023-12-06,21300.0,22300.0,22450.0,20750.0,728287
2023-12-07,24450.0,21000.0,26500.0,20850.0,3899370
2023-12-08,21750.0,23750.0,23850.0,21750.0,717016
2023-12-11,20600.0,22150.0,22150.0,20450.0,375772
2023-12-12,20350.0,20800.0,21350.0,20300.0,264629
2023-12-13,18510.0,20000.0,20250.0,18510.0,338041
2023-12-14,18100.0,18750.0,18890.0,17750.0,216131
2023-12-15,17280.0,18070.0,18140.0,16970.0,211420
2023-12-18,17440.0,17280.0,17930.0,17000.0,174435
2023-12-19,17800.0,17440.0,19090.0,17440.0,371484
2023-12-20,17900.0,17770.0,18490.0,17450.0,161303
2023-12-21,17350.0,18070.0,18400.0,17350.0,110574
2023-12-22,16740.0,17500.0,17500.0,16720.0,116300
2023-12-26,16170.0,16850.0,17220.0,16170.0,93391
2023-12-27,16120.0,16010.0,16630.0,16010.0,70208
2023-12-28,18470.0,16080.0,20150.0,16070.0,2426101
2024-01-02,17650.0,18040.0,18430.0,17550.0,322501
2024-01-03,17050.0,17410.0,17830.0,17050.0,151073
2024-01-04,16700.0,16940.0,17050.0,16580.0,114597
2024-01-05,16840.0,16580.0,17290.0,16550.0,111094
2024-01-08,18360.0,16950.0,19630.0,16640.0,1618991
2024-01-09,18090.0,18050.0,18260.0,17560.0,227773
2024-01-10,18440.0,17820.0,18750.0,17630.0,289752
2024-01-11,18030.0,18730.0,18890.0,18000.0,175407
2024-01-12,18080.0,17850.0,18560.0,17710.0,122837
2024-01-15,17120.0,17880.0,18060.0,17120.0,102234
2024-01-16,16600.0,17260.0,17280.0,16600.0,64845
2024-01-17,16120.0,16520.0,16750.0,16020.0,62373
2024-01-18,18250.0,17410.0,19980.0,16710.0,3496617
2024-01-19,17000.0,17850.0,18640.0,16970.0,479376
2024-01-22,16400.0,17050.0,17050.0,16280.0,185547
2024-01-23,16140.0,16360.0,16980.0,16090.0,156416
2024-01-24,16640.0,16180.0,16920.0,16100.0,125539
2024-01-25,15440.0,16750.0,16780.0,15330.0,177831
2024-01-26,15190.0,15410.0,15650.0,15160.0,70334
2024-01-29,14520.0,15270.0,15290.0,14450.0,88933
2024-01-30,15300.0,14620.0,15500.0,14600.0,99316
2024-01-31,14430.0,15170.0,15210.0,14400.0,71295
2024-02-01,14300.0,14000.0,14390.0,13590.0,87580
2024-02-02,14650.0,14300.0,14870.0,14300.0,43300
2024-02-05,14440.0,14910.0,15100.0,14380.0,35258
2024-02-06,14100.0,14440.0,14670.0,14010.0,25169
2024-02-07,14300.0,14100.0,14350.0,14050.0,16406
2024-02-08,14820.0,14340.0,15100.0,14050.0,42503
2024-02-13,15600.0,14850.0,16620.0,14700.0,270288
2024-02-14,15350.0,15180.0,15720.0,15180.0,49680
2024-02-15,15600.0,15580.0,15800.0,15240.0,53465
2024-02-16,15710.0,15510.0,15950.0,15400.0,44141
2024-02-19,15760.0,15610.0,16200.0,15450.0,53791
2024-02-20,16170.0,15650.0,16170.0,15450.0,53699
2024-02-21,15700.0,16170.0,16170.0,15480.0,41561
2024-02-22,15510.0,15560.0,15910.0,15510.0,21603
2024-02-23,15930.0,15500.0,16230.0,15200.0,106154
2024-02-26,16240.0,16090.0,16300.0,15420.0,102063
2024-02-27,14820.0,16270.0,16280.0,14500.0,138356
2024-02-28,14740.0,14820.0,15220.0,14650.0,34812
2024-02-29,14700.0,14750.0,15090.0,14700.0,19503
2024-03-04,14710.0,14700.0,15150.0,14600.0,33191
2024-03-05,14470.0,14710.0,14710.0,14410.0,21758
2024-03-06,14680.0,14500.0,15140.0,14350.0,35020
2024-03-07,14500.0,14940.0,14940.0,14340.0,27531
2024-03-08,14330.0,14730.0,14730.0,14150.0,22068
2024-03-11,14340.0,14300.0,14860.0,14300.0,13385
2024-03-12,14230.0,14300.0,14590.0,14200.0,14752
2024-03-13,14210.0,14230.0,14510.0,14100.0,24328
2024-03-14,14110.0,14400.0,14550.0,14030.0,34678
2024-03-15,13930.0,14120.0,14210.0,13910.0,22732
2024-03-18,13840.0,13970.0,14030.0,13790.0,721392
2024-03-19,13240.0,13970.0,13970.0,13180.0,73479
2024-03-20,13550.0,13330.0,13570.0,13230.0,44567
2024-03-21,13560.0,13560.0,13740.0,13460.0,52428
2024-03-22,13150.0,13480.0,13600.0,13150.0,41788
2024-03-25,12200.0,13150.0,13150.0,12200.0,76151
2024-03-26,12220.0,12230.0,12600.0,12200.0,43648
2024-03-27,12100.0,12230.0,12300.0,11960.0,50345
2024-03-28,11960.0,12100.0,12180.0,11880.0,70948
2024-03-29,11830.0,11850.0,12020.0,11650.0,53500
2024-04-01,11960.0,11890.0,12100.0,11760.0,50254
2024-04-02,11460.0,12000.0,12000.0,11450.0,58287
2024-04-03,11310.0,11460.0,11490.0,11200.0,36550
2024-04-04,11040.0,11220.0,11410.0,10900.0,72000
2024-04-05,11000.0,11040.0,11040.0,10320.0,35659
2024-04-08,10380.0,10990.0,10990.0,10380.0,62697
2024-04-09,10180.0,10400.0,10610.0,10110.0,57010
2024-04-11,10120.0,10180.0,10300.0,10000.0,22850
2024-04-12,10390.0,10150.0,10900.0,10000.0,55354
2024-04-15,9940.0,10380.0,10380.0,9850.0,37790
2024-04-16,9470.0,9800.0,9800.0,9430.0,41780
2024-04-17,9530.0,9470.0,9770.0,9400.0,38340
2024-04-18,10200.0,9530.0,10280.0,9510.0,54050
2024-04-19,10100.0,10950.0,10950.0,9870.0,93174
2024-04-22,10130.0,10020.0,10250.0,9910.0,26124
2024-04-23,9970.0,10150.0,10280.0,9950.0,16382
2024-04-24,10190.0,10020.0,10300.0,10020.0,21970
2024-04-25,12940.0,10190.0,13240.0,10110.0,2980892
2024-04-26,11840.0,13200.0,13460.0,11660.0,1194534
2024-04-29,12120.0,11840.0,12320.0,11570.0,370133
2024-04-30,11300.0,11920.0,12070.0,11300.0,228714
2024-05-02,14690.0,11250.0,14690.0,11100.0,3353402
2024-05-03,14650.0,15430.0,16300.0,13970.0,5547681
2024-05-07,15200.0,15000.0,15330.0,14460.0,1475362
2024-05-08,14380.0,14800.0,15070.0,14140.0,471279
2024-05-09,13400.0,14450.0,16550.0,13320.0,3730040
2024-05-10,13400.0,13500.0,14370.0,13400.0,604351
2024-05-13,12640.0,13570.0,13570.0,12550.0,313365
2024-05-14,12480.0,12560.0,12650.0,12120.0,155162
2024-05-16,12940.0,12480.0,13120.0,12250.0,213177
2024-05-17,13680.0,12870.0,14200.0,12460.0,915815
2024-05-20,14420.0,13590.0,15380.0,13520.0,1062709
2024-05-21,14630.0,14660.0,15260.0,13970.0,274484
2024-05-22,14870.0,14650.0,16500.0,14650.0,1361115
2024-05-23,15480.0,14720.0,16190.0,14500.0,587070
2024-05-24,15400.0,15610.0,16490.0,14840.0,489571
2024-05-27,14620.0,15330.0,15390.0,14620.0,239757
