date,close,open,high,low,volume
2021-03-24,26719.0,21682.0,28186.0,20114.0,15121409
2021-03-25,23517.0,28587.0,29687.0,21848.0,5330076
2021-03-26,20782.0,22416.0,23917.0,20781.0,3384594
2021-03-29,19414.0,21682.0,21815.0,19280.0,1548421
2021-03-30,18113.0,19580.0,19680.0,17712.0,1031797
2021-03-31,18513.0,18213.0,19147.0,17812.0,1201101
2021-04-01,17312.0,18379.0,18546.0,17212.0,580547
2021-04-02,17713.0,17345.0,18213.0,17212.0,487590
2021-04-05,19247.0,17712.0,20281.0,17679.0,1408964
2021-04-06,18480.0,19080.0,19714.0,18279.0,419325
2021-04-07,17679.0,18446.0,18646.0,17579.0,345401
2021-04-08,17446.0,17712.0,18012.0,17379.0,193982
2021-04-09,18280.0,17612.0,19046.0,17345.0,390696
2021-04-12,19280.0,19247.0,19847.0,18513.0,544903
2021-04-13,19481.0,19513.0,19780.0,19013.0,269747
2021-04-14,18847.0,19580.0,19580.0,18813.0,196459
2021-04-15,18146.0,19080.0,19080.0,18046.0,183577
2021-04-16,17913.0,18012.0,18713.0,17846.0,231651
2021-04-19,18313.0,17912.0,18346.0,17479.0,187339
2021-04-20,18680.0,18446.0,18813.0,18112.0,185660
2021-04-21,18747.0,18579.0,19280.0,18446.0,178501
2021-04-22,18580.0,18913.0,18980.0,18346.0,103666
2021-04-23,18780.0,18613.0,19046.0,17979.0,225802
2021-04-26,17946.0,18413.0,18713.0,17879.0,365637
2021-04-27,17779.0,18012.0,18346.0,17746.0,210710
2021-04-28,17346.0,18012.0,18012.0,17245.0,210069
2021-04-29,16745.0,17379.0,17679.0,16745.0,213732
2021-04-30,16412.0,16812.0,16812.0,16328.0,127568
2021-05-03,16462.0,16395.0,16978.0,16144.0,85940
2021-05-04,16779.0,16511.0,16812.0,15777.0,116764
2021-05-06,16528.0,16478.0,16978.0,16478.0,49657
2021-05-07,16579.0,16845.0,17078.0,16411.0,61075
2021-05-10,16378.0,16578.0,16645.0,16328.0,82237
