date,close,open,high,low,volume
2021-05-21,28600.0,22000.0,28600.0,21000.0,8152699
2021-05-24,20050.0,28800.0,28850.0,20050.0,3203819
2021-05-25,16500.0,19200.0,19650.0,16400.0,1877918
2021-05-26,15750.0,16350.0,17450.0,15650.0,1280682
2021-05-27,16250.0,16000.0,16450.0,15700.0,689329
2021-05-28,16200.0,16100.0,16400.0,15950.0,387449
2021-05-31,16300.0,16650.0,16750.0,16250.0,646591
2021-06-01,16150.0,16250.0,16450.0,16050.0,223192
2021-06-02,16300.0,16400.0,16950.0,16150.0,765412
2021-06-03,16200.0,16500.0,16700.0,16200.0,449661
2021-06-04,15650.0,16150.0,16150.0,15550.0,207282
2021-06-07,14900.0,15450.0,15550.0,14850.0,257695
2021-06-08,14400.0,14950.0,15000.0,14300.0,178670
2021-06-09,14250.0,14400.0,14550.0,14150.0,103098
2021-06-10,14000.0,14200.0,14200.0,13900.0,101633
2021-06-11,14150.0,13900.0,14250.0,13900.0,110483
2021-06-14,14200.0,14150.0,14300.0,14000.0,52782
2021-06-15,13800.0,14200.0,14200.0,13800.0,64830
2021-06-16,13950.0,13850.0,14050.0,13750.0,49291
2021-06-17,13950.0,13950.0,14000.0,13800.0,39180
2021-06-18,14550.0,14400.0,15700.0,14350.0,719921
2021-06-21,13850.0,14400.0,14400.0,13750.0,161537
2021-06-22,13750.0,13950.0,13950.0,13700.0,84800
2021-06-23,13850.0,13750.0,13950.0,13650.0,82802
2021-06-24,14000.0,13900.0,14050.0,13750.0,56355
2021-06-25,14850.0,14050.0,15150.0,13800.0,258469
2021-06-28,14550.0,14950.0,15850.0,14350.0,386251
2021-06-29,14400.0,14600.0,14650.0,14350.0,65079
2021-06-30,14150.0,14400.0,14600.0,14150.0,83877
2021-07-01,14250.0,14150.0,14550.0,14100.0,83528
2021-07-02,14300.0,14250.0,14450.0,14200.0,52311
2021-07-05,14450.0,14400.0,14750.0,14300.0,74784
2021-07-06,14400.0,14300.0,14600.0,14200.0,48973
2021-07-07,14450.0,14300.0,14500.0,14200.0,44205
2021-07-08,14150.0,14600.0,14600.0,14050.0,56425
2021-07-09,13800.0,14150.0,14150.0,13750.0,52901
