date,close,open,high,low,volume
2025-06-30,32550.0,29550.0,40000.0,21000.0,40975681
2025-07-01,29350.0,33800.0,37650.0,29350.0,10546889
2025-07-02,29700.0,29600.0,33550.0,28250.0,6256289
2025-07-03,26050.0,31500.0,32100.0,26050.0,2381271
2025-07-04,22400.0,25700.0,25800.0,22200.0,2143461
2025-07-07,21450.0,22800.0,23600.0,21150.0,1135845
2025-07-08,22700.0,21500.0,23450.0,21200.0,1594516
2025-07-09,25000.0,22300.0,27950.0,21600.0,6943652
2025-07-10,23650.0,24850.0,26550.0,23500.0,1535472
2025-07-11,23950.0,23650.0,26350.0,23100.0,2375441
2025-07-14,25400.0,24250.0,29000.0,24250.0,5628389
