date,close,open,high,low,volume
2022-04-28,44200.0,34000.0,44200.0,34000.0,516447
2022-04-29,38550.0,52000.0,54800.0,38200.0,2581963
2022-05-02,37600.0,37150.0,38100.0,35100.0,555141
2022-05-03,37550.0,37150.0,39650.0,36450.0,576995
2022-05-04,37150.0,37400.0,41100.0,37150.0,625263
2022-05-06,34500.0,36600.0,36900.0,34100.0,206052
2022-05-09,30250.0,34600.0,34700.0,30250.0,215964
2022-05-10,28550.0,29000.0,29150.0,27850.0,120274
2022-05-11,27650.0,28650.0,29200.0,27650.0,86383
2022-05-12,28000.0,27200.0,32500.0,27150.0,635035
2022-05-13,25300.0,27800.0,27900.0,25100.0,388805
2022-05-16,25200.0,25700.0,28000.0,25200.0,338419
2022-05-17,25400.0,25100.0,25800.0,24350.0,133388
2022-05-18,25450.0,25750.0,27100.0,25400.0,180316
2022-05-19,24750.0,24600.0,25500.0,24100.0,96169
2022-05-20,27000.0,25250.0,28750.0,25050.0,554572
2022-05-23,26150.0,26750.0,27700.0,26100.0,143136
2022-05-24,27100.0,26000.0,30200.0,25750.0,821882
2022-05-25,26600.0,27000.0,28400.0,26300.0,190268
2022-05-26,25450.0,26800.0,27850.0,25450.0,141730
2022-05-27,25650.0,25850.0,26700.0,25600.0,101851
2022-05-30,23400.0,24900.0,25000.0,23200.0,1688873
2022-05-31,23500.0,24100.0,24900.0,23300.0,521925
2022-06-02,23250.0,23550.0,23900.0,23150.0,201909
2022-06-03,23550.0,23600.0,24200.0,23250.0,455066
2022-06-07,23200.0,23650.0,24200.0,23050.0,258311
2022-06-08,23850.0,23250.0,24150.0,22900.0,225196
2022-06-09,22400.0,23750.0,23750.0,22150.0,306645
2022-06-10,22400.0,21600.0,22400.0,21400.0,264832
2022-06-13,20550.0,21700.0,21900.0,20450.0,208209
2022-06-14,20050.0,19650.0,20550.0,19500.0,306441
2022-06-15,19450.0,20300.0,21000.0,19000.0,431335
2022-06-16,18750.0,19950.0,20700.0,18750.0,319727
2022-06-17,18750.0,18100.0,18750.0,17900.0,210230
2022-06-20,17450.0,18850.0,18950.0,17200.0,235197
2022-06-21,17900.0,17600.0,18300.0,17250.0,158503
2022-06-22,16700.0,18150.0,18150.0,16650.0,146785
2022-06-23,16050.0,16950.0,17350.0,16050.0,169474
2022-06-24,16600.0,16550.0,16750.0,15850.0,153715
2022-06-27,17350.0,16750.0,18050.0,16500.0,241731
2022-06-28,18050.0,17500.0,19450.0,17450.0,493901
2022-06-29,18350.0,17500.0,18650.0,17350.0,159373
2022-06-30,17050.0,18500.0,18500.0,17050.0,147645
2022-07-01,16800.0,17100.0,18000.0,16600.0,153529
2022-07-04,16600.0,16950.0,17250.0,15850.0,94669
2022-07-05,17450.0,16850.0,17750.0,16550.0,113586
2022-07-06,18800.0,17950.0,19600.0,17550.0,878491
2022-07-07,21500.0,19900.0,23050.0,19500.0,4430495
2022-07-08,21650.0,21300.0,22250.0,21100.0,888534
2022-07-11,22100.0,21650.0,23300.0,20800.0,1835857
2022-07-12,23250.0,21700.0,23850.0,21350.0,2194439
2022-07-13,21000.0,22900.0,23400.0,20700.0,868290
2022-07-14,21000.0,20750.0,21450.0,20050.0,416656
2022-07-15,23750.0,20850.0,23850.0,20500.0,1545893
2022-07-18,24100.0,23550.0,24650.0,23100.0,1298414
2022-07-19,22900.0,23850.0,23900.0,22800.0,489160
2022-07-20,24600.0,23300.0,25450.0,22900.0,1946631
2022-07-21,24950.0,24350.0,25700.0,23950.0,1259072
2022-07-22,25800.0,25300.0,26750.0,24500.0,2096395
2022-07-25,23750.0,25300.0,25300.0,23650.0,568355
2022-07-26,22200.0,23150.0,23900.0,22050.0,534601
2022-07-27,23350.0,22300.0,23500.0,21850.0,520366
2022-07-28,21250.0,22250.0,22700.0,21200.0,994906
2022-07-29,20750.0,21250.0,21550.0,20600.0,469387
2022-08-01,21100.0,20900.0,21400.0,20450.0,241544
2022-08-02,21000.0,21000.0,21550.0,20950.0,176269
2022-08-03,21700.0,20800.0,21700.0,20800.0,234669
2022-08-04,21600.0,21700.0,22150.0,21500.0,234579
2022-08-05,21550.0,21800.0,22100.0,21400.0,213053
2022-08-08,20700.0,21550.0,21550.0,20500.0,213520
2022-08-09,20800.0,20800.0,21450.0,20700.0,158639
2022-08-10,19600.0,20800.0,20800.0,19600.0,276824
2022-08-11,20000.0,19950.0,20150.0,19850.0,128507
2022-08-12,19850.0,20000.0,20200.0,19700.0,147536
2022-08-16,18100.0,19550.0,19800.0,17950.0,677465
2022-08-17,17600.0,18150.0,18150.0,17400.0,284206
2022-08-18,17500.0,17650.0,17800.0,17350.0,130111
2022-08-19,17050.0,17400.0,17850.0,16950.0,171349
2022-08-22,16700.0,16800.0,17300.0,16450.0,205157
2022-08-23,16400.0,16350.0,16700.0,16300.0,109492
2022-08-24,17150.0,16500.0,17200.0,16500.0,175257
2022-08-25,17150.0,17200.0,17350.0,17000.0,119194
2022-08-26,16900.0,17200.0,17450.0,16900.0,123121
2022-08-29,16150.0,16000.0,16350.0,15800.0,134383
2022-08-30,16500.0,16200.0,16700.0,16200.0,93212
2022-08-31,16850.0,16300.0,17000.0,16300.0,82205
2022-09-01,15950.0,16700.0,16900.0,15900.0,119193
2022-09-02,16150.0,16100.0,16700.0,16100.0,133507
2022-09-05,17300.0,16400.0,17650.0,16300.0,545846
2022-09-06,18800.0,17600.0,19050.0,17450.0,1036968
2022-09-07,19350.0,19900.0,20600.0,19050.0,1383725
2022-09-08,18850.0,19200.0,19650.0,18600.0,355321
2022-09-13,18850.0,19150.0,19300.0,18350.0,265050
2022-09-14,17450.0,17950.0,18100.0,17350.0,363284
2022-09-15,17000.0,17650.0,17750.0,16850.0,224298
2022-09-16,16450.0,16950.0,16950.0,16200.0,268722
2022-09-19,15800.0,16300.0,16600.0,15700.0,214196
2022-09-20,15850.0,16000.0,16250.0,15800.0,130480
2022-09-21,15950.0,15650.0,16100.0,15500.0,111745
2022-09-22,15050.0,15750.0,15750.0,14650.0,293707
2022-09-23,14050.0,15000.0,15000.0,14000.0,201027
2022-09-26,12850.0,13600.0,13900.0,12800.0,215993
2022-09-27,12950.0,12850.0,13250.0,12450.0,243053
2022-09-28,12800.0,12750.0,14000.0,12550.0,564629
2022-09-29,12800.0,13350.0,13650.0,12800.0,303473
2022-09-30,13050.0,12500.0,13150.0,12450.0,138958
2022-10-04,13350.0,13450.0,13550.0,13050.0,125891
2022-10-05,12900.0,13650.0,13650.0,12750.0,186860
2022-10-06,13400.0,13050.0,13550.0,13000.0,167003
2022-10-07,12850.0,13200.0,13250.0,12800.0,128560
2022-10-11,11550.0,12350.0,12600.0,11550.0,178061
2022-10-12,11500.0,11650.0,11800.0,11250.0,199447
2022-10-13,10500.0,11350.0,11450.0,10500.0,176587
2022-10-14,11250.0,10800.0,11300.0,10800.0,210007
2022-10-17,11200.0,10800.0,11250.0,10650.0,64277
2022-10-18,11500.0,12200.0,12350.0,11400.0,367243
2022-10-19,10900.0,11650.0,11700.0,10850.0,220991
2022-10-20,11100.0,10900.0,11250.0,10800.0,174862
2022-10-21,11050.0,11000.0,11350.0,10950.0,154574
2022-10-24,11200.0,11200.0,11550.0,11150.0,167752
2022-10-25,11450.0,11200.0,11650.0,11050.0,229285
2022-10-26,10800.0,11550.0,11550.0,10800.0,158353
2022-10-27,10300.0,10850.0,11250.0,10300.0,437323
2022-10-28,10150.0,10300.0,10500.0,9950.0,345065
2022-10-31,10550.0,10400.0,10850.0,10200.0,194499
2022-11-01,10450.0,10500.0,10600.0,10250.0,220910
2022-11-02,10300.0,10400.0,10500.0,10200.0,170864
2022-11-03,10200.0,10100.0,10250.0,9970.0,116127
2022-11-04,10300.0,10350.0,10800.0,10200.0,308203
2022-11-07,10650.0,10400.0,10950.0,10350.0,307852
2022-11-08,10850.0,10650.0,11000.0,10500.0,207492
2022-11-09,10750.0,11000.0,11000.0,10600.0,164856
2022-11-10,10500.0,10500.0,10750.0,10400.0,101180
2022-11-11,11150.0,10850.0,11300.0,10800.0,469857
2022-11-14,11450.0,11300.0,11750.0,11100.0,560699
2022-11-15,11150.0,11250.0,11350.0,10900.0,439293
2022-11-16,11400.0,11250.0,11450.0,11050.0,294543
2022-11-17,11050.0,11350.0,11400.0,10850.0,244462
2022-11-18,12250.0,11100.0,12550.0,11000.0,2391008
2022-11-21,11950.0,12300.0,12500.0,11950.0,840416
2022-11-22,11100.0,11950.0,12050.0,11000.0,686626
2022-11-23,11250.0,11300.0,11550.0,11200.0,316003
2022-11-24,12350.0,11350.0,12400.0,11300.0,1090066
2022-11-25,12150.0,12350.0,12650.0,11950.0,648698
2022-11-28,12600.0,12050.0,13250.0,11950.0,1368705
2022-11-29,12700.0,12450.0,12950.0,12350.0,433872
2022-11-30,12700.0,12700.0,13300.0,12600.0,550556
2022-12-01,12750.0,13000.0,13250.0,12750.0,424234
2022-12-02,13700.0,12650.0,14100.0,12550.0,1724145
2022-12-05,13850.0,13850.0,14350.0,13150.0,858905
2022-12-06,13550.0,13600.0,14100.0,13400.0,427159
2022-12-07,12650.0,13350.0,13400.0,12650.0,474977
2022-12-08,12650.0,12850.0,13150.0,12400.0,452441
2022-12-09,14300.0,12900.0,14450.0,12750.0,2332188
2022-12-12,13400.0,14100.0,14250.0,13400.0,624638
2022-12-13,12850.0,13400.0,13500.0,12750.0,445462
2022-12-14,13400.0,12950.0,13450.0,12800.0,445294
2022-12-15,12850.0,13100.0,13500.0,12750.0,314658
