date,close,open,high,low,volume
2023-04-27,4956.0,6123.0,6224.0,4800.0,4380740
2023-04-28,4760.0,5006.0,5010.0,4431.0,1294778
2023-05-02,4712.0,4725.0,4952.0,4506.0,790702
2023-05-03,4871.0,4732.0,4993.0,4671.0,523929
2023-05-04,4736.0,4837.0,4878.0,4705.0,235023
2023-05-08,4655.0,4797.0,4797.0,4644.0,128036
2023-05-09,4516.0,4648.0,4668.0,4479.0,159855
2023-05-10,4334.0,4512.0,4543.0,4330.0,108630
2023-05-11,4215.0,4330.0,4357.0,4130.0,218478
2023-05-12,4144.0,4140.0,4181.0,4120.0,147924
2023-05-15,4019.0,4110.0,4194.0,3978.0,154643
2023-05-16,3813.0,4025.0,4052.0,3799.0,188803
2023-05-17,4198.0,3792.0,4465.0,3734.0,790755
2023-05-18,4134.0,4194.0,4265.0,4079.0,138456
2023-05-19,4405.0,4133.0,4600.0,4100.0,678729
2023-05-22,4398.0,4407.0,4512.0,4232.0,181174
2023-05-23,4455.0,4397.0,4553.0,4330.0,246484
2023-05-24,4290.0,4397.0,4397.0,4245.0,149825
2023-05-25,4330.0,4289.0,4448.0,4265.0,67642
2023-05-26,4151.0,4289.0,4326.0,4130.0,88098
2023-05-30,4134.0,4154.0,4201.0,4103.0,24050
2023-05-31,4330.0,4194.0,4350.0,4130.0,99455
2023-06-01,4449.0,4367.0,4482.0,4269.0,133957
2023-06-02,4506.0,4451.0,4550.0,4330.0,193379
2023-06-05,4428.0,4506.0,4732.0,4330.0,352530
2023-06-07,4374.0,4431.0,4431.0,4360.0,43802
2023-06-08,4479.0,4391.0,4492.0,4363.0,91763
2023-06-09,4631.0,4499.0,4681.0,4479.0,243037
2023-06-12,4668.0,4658.0,4834.0,4624.0,177757
2023-06-13,5751.0,4668.0,5937.0,4543.0,4911597
2023-06-14,5633.0,5933.0,6156.0,5463.0,2320900
2023-06-15,5301.0,5602.0,5602.0,5274.0,611080
2023-06-16,5281.0,5253.0,5372.0,5145.0,372265
2023-06-19,5173.0,5196.0,5250.0,5152.0,207308
2023-06-20,5480.0,5172.0,5520.0,5098.0,401287
2023-06-21,5507.0,5378.0,5754.0,5378.0,544777
2023-06-22,5430.0,5507.0,5717.0,5382.0,236847
2023-06-23,5548.0,5361.0,5656.0,5341.0,410719
2023-06-26,5910.0,5629.0,5910.0,5564.0,1163694
2023-06-27,5710.0,7680.0,7680.0,5700.0,4687859
2023-06-28,5230.0,5560.0,5730.0,5160.0,586056
2023-06-29,4800.0,5200.0,5290.0,4750.0,339580
2023-06-30,4795.0,4800.0,4970.0,4605.0,258594
2023-07-03,4930.0,4810.0,5000.0,4795.0,128649
2023-07-04,4800.0,4950.0,5000.0,4700.0,137948
2023-07-05,4800.0,4800.0,4800.0,4650.0,129011
2023-07-06,4900.0,4800.0,4955.0,4720.0,96457
2023-07-07,4750.0,4850.0,4910.0,4750.0,73561
2023-07-10,4575.0,4755.0,4755.0,4575.0,74671
2023-07-11,4440.0,4600.0,4610.0,4435.0,86582
2023-07-12,4815.0,4500.0,5610.0,4410.0,2203399
2023-07-13,4595.0,4840.0,4855.0,4565.0,237310
2023-07-14,4455.0,4510.0,4595.0,4440.0,165500
2023-07-17,4685.0,4440.0,5360.0,4310.0,1170118
2023-07-18,4185.0,4350.0,4410.0,4175.0,672596
2023-07-19,4080.0,4185.0,4235.0,4025.0,167501
2023-07-20,4035.0,3910.0,4110.0,3900.0,385779
2023-07-21,4230.0,4035.0,4430.0,3950.0,364936
2023-07-24,3950.0,4235.0,4235.0,3915.0,336246
2023-07-25,4020.0,3955.0,4190.0,3860.0,230549
2023-07-26,3845.0,4310.0,4375.0,3800.0,451751
2023-07-27,3740.0,3755.0,3880.0,3700.0,164732
2023-07-28,3760.0,3700.0,3850.0,3700.0,127547
2023-07-31,3760.0,3840.0,3860.0,3690.0,179750
2023-08-01,3925.0,3770.0,4000.0,3760.0,176662
2023-08-02,3780.0,3910.0,3925.0,3760.0,111938
2023-08-03,3780.0,3775.0,3850.0,3675.0,126540
2023-08-04,3780.0,3760.0,3820.0,3715.0,65582
2023-08-07,3660.0,3780.0,3780.0,3650.0,181266
2023-08-08,3610.0,3695.0,3705.0,3580.0,107868
2023-08-09,3640.0,3600.0,4290.0,3500.0,1102779
2023-08-10,3770.0,3640.0,3775.0,3620.0,129875
2023-08-11,3900.0,3765.0,3950.0,3720.0,184671
2023-08-14,3875.0,3900.0,3935.0,3815.0,80443
2023-08-16,4165.0,3875.0,4865.0,3750.0,2561472
2023-08-17,5410.0,4330.0,5410.0,4300.0,16054593
2023-08-18,4835.0,5620.0,5770.0,4745.0,7439529
2023-08-21,4895.0,5040.0,5660.0,4885.0,7078356
2023-08-22,4655.0,4820.0,5390.0,4565.0,2842894
2023-08-23,5130.0,4690.0,5330.0,4620.0,5711535
2023-08-24,4950.0,5300.0,5540.0,4895.0,2905969
2023-08-25,5640.0,4900.0,6280.0,4875.0,11224564
2023-08-28,5780.0,5640.0,5780.0,5280.0,2289709
2023-08-29,5690.0,5700.0,5810.0,5540.0,1364496
2023-08-30,5670.0,5590.0,5730.0,5370.0,1403509
2023-08-31,5330.0,5590.0,5910.0,5300.0,1637908
2023-09-01,4910.0,5410.0,5450.0,4910.0,911047
2023-09-04,4800.0,4910.0,4995.0,4770.0,440340
2023-09-05,5270.0,4840.0,5380.0,4780.0,2271555
2023-09-06,5410.0,5190.0,5410.0,5100.0,875564
2023-09-07,5400.0,5350.0,5480.0,5220.0,536380
2023-09-08,5260.0,5500.0,5790.0,5120.0,1071300
2023-09-11,5150.0,5340.0,5380.0,5150.0,469397
2023-09-12,4820.0,5180.0,5210.0,4810.0,461937
2023-09-13,5960.0,4875.0,6260.0,4850.0,18220970
2023-09-14,6390.0,5850.0,6810.0,5830.0,16799313
