date,close,open,high,low,volume
2022-07-07,15300.0,17650.0,18150.0,15075.0,8340382
2022-07-08,17750.0,15325.0,19475.0,15124.0,13448670
2022-07-11,16850.0,17875.0,18850.0,16625.0,4758974
2022-07-12,15600.0,16300.0,16600.0,15500.0,1110856
2022-07-13,15200.0,15400.0,16075.0,15075.0,1266760
2022-07-14,14575.0,15050.0,15425.0,14500.0,1180234
2022-07-15,13725.0,15275.0,15275.0,13650.0,932000
2022-07-18,13975.0,13800.0,14300.0,13550.0,508118
2022-07-19,14000.0,14075.0,14400.0,13775.0,575404
2022-07-20,14125.0,14550.0,15275.0,14000.0,1065576
2022-07-21,14175.0,14225.0,14475.0,14075.0,410488
2022-07-22,13600.0,14175.0,14325.0,13600.0,365050
2022-07-25,13600.0,13350.0,15000.0,13250.0,1733800
2022-07-26,13400.0,13774.0,13850.0,13400.0,316098
2022-07-27,13350.0,13499.0,13550.0,13200.0,267414
2022-07-28,13300.0,13550.0,13900.0,13300.0,328932
2022-07-29,12950.0,13350.0,13425.0,12925.0,328008
2022-08-01,13000.0,13124.0,13175.0,12875.0,147412
2022-08-02,12900.0,13000.0,13125.0,12800.0,150534
2022-08-03,12925.0,12875.0,13100.0,12775.0,149588
2022-08-04,13700.0,13000.0,13750.0,12750.0,527466
2022-08-05,13575.0,13750.0,13875.0,13350.0,348874
2022-08-08,13225.0,13475.0,13625.0,13025.0,188742
2022-08-09,12875.0,13225.0,13225.0,12850.0,171050
2022-08-10,12850.0,13000.0,13250.0,12850.0,153940
2022-08-11,12750.0,12975.0,13050.0,12750.0,142204
2022-08-12,13150.0,12750.0,13875.0,12675.0,620558
2022-08-16,13925.0,13575.0,14625.0,13525.0,1118482
2022-08-17,13525.0,14000.0,14025.0,13500.0,201160
2022-08-18,13725.0,13425.0,13775.0,13150.0,192662
2022-08-19,13300.0,13649.0,13750.0,13300.0,111380
2022-08-22,12500.0,13049.0,13150.0,12500.0,228460
2022-08-23,12100.0,12275.0,12525.0,12075.0,145736
2022-08-24,12175.0,11975.0,12350.0,11975.0,203368
2022-08-25,12300.0,12050.0,12500.0,12050.0,94678
2022-08-26,12175.0,12350.0,12725.0,12175.0,112790
2022-08-29,11275.0,11675.0,11975.0,11275.0,196962
2022-08-30,11350.0,11425.0,11475.0,10950.0,120046
2022-08-31,11850.0,11350.0,12250.0,11300.0,209408
2022-09-01,11250.0,11800.0,11850.0,11250.0,118472
2022-09-02,11225.0,11300.0,11475.0,11175.0,96558
2022-09-05,10500.0,11050.0,11300.0,10475.0,122548
2022-09-06,10650.0,10525.0,10700.0,10400.0,89172
2022-09-07,10150.0,10550.0,10600.0,9975.0,88914
2022-09-08,10000.0,10275.0,10325.0,10000.0,64068
2022-09-13,10325.0,10175.0,10400.0,10150.0,56446
2022-09-14,11700.0,9900.0,13000.0,9850.0,1172354
2022-09-15,13625.0,12400.0,14500.0,12275.0,2777692
2022-09-16,13250.0,13950.0,14875.0,13225.0,1010706
2022-09-19,14675.0,14125.0,15850.0,13750.0,3348998
2022-09-20,13850.0,15000.0,15699.0,13475.0,1367068
2022-09-21,12200.0,13300.0,13524.0,12000.0,849710
2022-09-22,12300.0,11775.0,12425.0,11675.0,551640
2022-09-23,12625.0,12125.0,13375.0,12000.0,915504
2022-09-26,13300.0,12625.0,14000.0,12249.0,1196212
2022-09-27,13250.0,13000.0,13850.0,13000.0,593208
2022-09-28,13325.0,13150.0,13975.0,12225.0,754238
2022-09-29,13225.0,13250.0,13900.0,12550.0,1015288
2022-09-30,12425.0,12700.0,13325.0,12300.0,398762
2022-10-04,12575.0,12575.0,13100.0,12200.0,341726
2022-10-05,10850.0,12725.0,13175.0,10550.0,612932
2022-10-06,10725.0,10750.0,11100.0,10625.0,206230
2022-10-07,10025.0,10575.0,10600.0,9900.0,487310
2022-10-11,8725.0,9900.0,9900.0,8625.0,397450
2022-10-12,9225.0,8625.0,10225.0,8425.0,1128556
2022-10-13,9175.0,9250.0,9675.0,9025.0,208556
2022-10-14,9200.0,9625.0,9800.0,9100.0,178650
2022-10-17,9100.0,8950.0,9200.0,8750.0,91218
2022-10-18,9300.0,9350.0,9450.0,9000.0,117122
2022-10-19,9300.0,9325.0,9575.0,9200.0,120796
2022-10-20,9000.0,9350.0,9350.0,9000.0,76950
2022-10-21,8650.0,8925.0,9150.0,8650.0,74442
2022-10-24,8900.0,8825.0,9075.0,8800.0,90692
2022-10-25,9050.0,8825.0,9250.0,8825.0,85384
2022-10-26,9375.0,9125.0,10225.0,9025.0,610766
2022-10-27,9475.0,9350.0,9550.0,9350.0,77164
2022-10-28,11875.0,10000.0,12300.0,10000.0,4317832
2022-10-31,11700.0,11649.0,12075.0,11500.0,1041566
2022-11-01,11250.0,11625.0,11650.0,10950.0,649470
2022-11-02,11225.0,11125.0,11425.0,10950.0,341288
2022-11-03,10950.0,10775.0,11000.0,10625.0,175500
2022-11-04,10325.0,10750.0,10875.0,10325.0,274614
2022-11-07,10675.0,10475.0,10875.0,10325.0,187982
2022-11-08,10750.0,10675.0,10775.0,10550.0,169370
2022-11-09,10350.0,10725.0,10900.0,10300.0,192822
2022-11-10,10125.0,10300.0,10375.0,10125.0,86012
2022-11-11,10300.0,10425.0,10475.0,10200.0,104362
2022-11-14,10525.0,10300.0,10625.0,10125.0,126476
2022-11-15,10625.0,10625.0,10825.0,10500.0,160810
2022-11-16,10800.0,10675.0,10800.0,10500.0,156614
2022-11-17,10300.0,10750.0,10750.0,10050.0,161408
2022-11-18,9825.0,10400.0,10400.0,9775.0,135316
2022-11-21,9475.0,9725.0,9825.0,9450.0,115746
