date,close,open,high,low,volume
2022-11-02,12801.0,14353.0,15004.0,12534.0,5185271
2022-11-03,12768.0,12517.0,13335.0,12334.0,1257149
2022-11-04,11817.0,12634.0,12934.0,11783.0,914968
2022-11-07,11299.0,11816.0,11916.0,11265.0,488306
2022-11-08,11132.0,11416.0,11449.0,11082.0,349679
2022-11-09,11066.0,11215.0,11249.0,11015.0,220915
2022-11-10,11216.0,10998.0,11566.0,10998.0,319042
2022-11-11,11049.0,11432.0,11516.0,11048.0,239830
2022-11-14,10882.0,11098.0,11182.0,10815.0,173309
2022-11-15,10832.0,10932.0,10998.0,10748.0,153225
2022-11-16,11583.0,10915.0,11783.0,10815.0,529190
2022-11-17,11299.0,11582.0,11582.0,11249.0,141323
2022-11-18,11266.0,11432.0,11699.0,11249.0,156440
2022-11-21,11349.0,11449.0,11516.0,11232.0,87162
2022-11-22,11867.0,11516.0,11983.0,11365.0,360353
2022-11-23,11316.0,11816.0,11816.0,11299.0,216089
2022-11-24,11366.0,11382.0,11699.0,11299.0,93912
2022-11-25,11166.0,11365.0,11382.0,11149.0,122060
2022-11-28,11283.0,11115.0,11349.0,11015.0,91887
2022-11-29,11550.0,11282.0,11699.0,11182.0,121626
2022-11-30,11600.0,11416.0,11699.0,11416.0,56369
2022-12-01,11583.0,11649.0,11749.0,11499.0,67246
2022-12-02,13052.0,11582.0,13902.0,11582.0,1926569
2022-12-05,13052.0,13151.0,13936.0,12818.0,643218
2022-12-06,12200.0,12901.0,13051.0,12033.0,846727
2022-12-07,12501.0,12117.0,12751.0,12066.0,420476
2022-12-08,12100.0,12667.0,12667.0,12100.0,202557
2022-12-09,11883.0,12066.0,12250.0,11783.0,153339
2022-12-12,12034.0,11900.0,12267.0,11749.0,103172
2022-12-13,11967.0,12066.0,12150.0,11933.0,105493
2022-12-14,11600.0,12000.0,12066.0,11582.0,235055
2022-12-15,11633.0,11633.0,11766.0,11399.0,135403
2022-12-16,11850.0,11649.0,11950.0,11549.0,282436
2022-12-19,15400.0,15400.0,15400.0,14950.0,916799
2022-12-20,12600.0,14900.0,15350.0,12600.0,736859
2022-12-21,12100.0,12600.0,14500.0,12100.0,1296469
2022-12-22,11900.0,12150.0,12600.0,11800.0,195466
2022-12-23,11850.0,11800.0,13100.0,11800.0,452700
2022-12-26,12050.0,11950.0,12500.0,11800.0,166697
2022-12-27,12050.0,12000.0,12200.0,11950.0,81257
2022-12-28,12500.0,12150.0,12750.0,12050.0,113024
2022-12-29,12000.0,12500.0,12500.0,12000.0,71603
2023-01-02,12000.0,12000.0,12250.0,11900.0,51180
2023-01-03,12500.0,12050.0,12850.0,12050.0,90265
2023-01-04,12350.0,12650.0,12650.0,12100.0,46825
2023-01-05,12050.0,12450.0,12550.0,11950.0,62088
2023-01-06,11500.0,11300.0,11700.0,11050.0,200297
2023-01-09,11350.0,11550.0,11750.0,11350.0,74244
2023-01-10,10950.0,11200.0,11200.0,10750.0,256161
2023-01-11,10950.0,11000.0,11100.0,10900.0,89795
2023-01-12,10950.0,11050.0,11100.0,10800.0,93116
2023-01-13,11100.0,11050.0,11450.0,10950.0,121212
2023-01-16,11550.0,11200.0,11700.0,11100.0,127491
2023-01-17,11350.0,11500.0,11800.0,11350.0,93855
2023-01-18,11250.0,11350.0,11450.0,11200.0,50781
2023-01-19,11450.0,11150.0,11500.0,11150.0,66722
2023-01-20,11050.0,11450.0,11550.0,11050.0,76169
2023-01-25,11390.0,11250.0,11520.0,11210.0,95948
2023-01-26,11850.0,11500.0,12350.0,11340.0,303037
2023-01-27,11630.0,11930.0,11940.0,11630.0,79800
2023-01-30,11650.0,11630.0,11920.0,11580.0,70264
2023-01-31,11800.0,11650.0,11890.0,11510.0,62134
2023-02-01,12890.0,12000.0,13380.0,11710.0,880036
2023-02-02,14080.0,13500.0,15180.0,13440.0,1398935
2023-02-03,13820.0,14050.0,14210.0,13610.0,270493
2023-02-06,12850.0,13780.0,13800.0,12850.0,305638
2023-02-07,13110.0,12840.0,13290.0,12600.0,167856
2023-02-08,12740.0,13040.0,13100.0,12690.0,189249
2023-02-09,12300.0,12700.0,12700.0,12220.0,171369
2023-02-10,12210.0,12210.0,12650.0,12190.0,202572
2023-02-13,12640.0,12550.0,12950.0,12430.0,216041
2023-02-14,13610.0,12670.0,15880.0,12220.0,3468503
2023-02-15,13100.0,13690.0,13910.0,13000.0,453437
2023-02-16,13600.0,13190.0,13740.0,13050.0,317678
