date,close,open,high,low,volume
2023-07-24,32600.0,54500.0,69200.0,32600.0,7348742
2023-07-25,26400.0,30150.0,31150.0,26050.0,863519
2023-07-26,21550.0,25600.0,26050.0,20200.0,525427
2023-07-27,22350.0,21200.0,24200.0,20850.0,368416
2023-07-28,21300.0,22000.0,22550.0,21250.0,167533
2023-07-31,23150.0,21350.0,24500.0,20850.0,406172
2023-08-01,22650.0,23000.0,24150.0,22300.0,137033
2023-08-02,23100.0,22800.0,24700.0,22500.0,216141
2023-08-03,21650.0,22700.0,22850.0,21600.0,92742
2023-08-04,23650.0,21650.0,24450.0,21650.0,326085
2023-08-07,24700.0,23550.0,24800.0,23000.0,196699
2023-08-08,23100.0,24950.0,25950.0,23100.0,247958
2023-08-09,23000.0,23300.0,23700.0,22800.0,57415
2023-08-10,29900.0,25000.0,29900.0,24250.0,1405203
2023-08-11,31100.0,33000.0,37450.0,30500.0,1609501
2023-08-14,31600.0,32900.0,35100.0,30200.0,557412
2023-08-16,30350.0,33100.0,33100.0,30150.0,225001
2023-08-17,26500.0,28700.0,29000.0,25850.0,227142
2023-08-18,26400.0,27400.0,31700.0,26100.0,685367
2023-08-21,25700.0,27450.0,28700.0,25650.0,216736
2023-08-22,26800.0,27000.0,27100.0,25800.0,135258
2023-08-23,25550.0,26050.0,26550.0,25500.0,160578
2023-08-24,25450.0,25000.0,26150.0,23000.0,111161
2023-08-25,25700.0,25150.0,26650.0,24800.0,155379
2023-08-28,26000.0,26800.0,27300.0,25900.0,118188
2023-08-29,25500.0,26200.0,26500.0,25050.0,73887
2023-08-30,27550.0,25550.0,27850.0,25000.0,159760
2023-08-31,27550.0,27000.0,27950.0,26400.0,123659
2023-09-01,27000.0,28950.0,29500.0,26900.0,177804
2023-09-04,26400.0,26550.0,26800.0,25700.0,72028
2023-09-05,26000.0,26350.0,26850.0,25700.0,56577
2023-09-06,27550.0,25850.0,27900.0,25850.0,113020
2023-09-07,25950.0,27700.0,27750.0,25850.0,95162
2023-09-08,25700.0,26050.0,26550.0,25150.0,58833
2023-09-11,27000.0,25750.0,27900.0,25750.0,144764
2023-09-12,26600.0,26500.0,27450.0,26250.0,65714
2023-09-13,26000.0,26600.0,27550.0,26000.0,62278
2023-09-14,25950.0,26000.0,26200.0,25700.0,33780
2023-09-15,26500.0,26050.0,26900.0,25900.0,39619
2023-09-18,26600.0,26700.0,27200.0,26150.0,49485
2023-09-19,25650.0,26600.0,26850.0,25650.0,50908
2023-09-20,24600.0,25500.0,25800.0,24450.0,42193
2023-09-21,22900.0,24450.0,24450.0,22800.0,53552
2023-09-22,23200.0,22350.0,23750.0,22350.0,20497
2023-09-25,23450.0,23700.0,24200.0,22900.0,28252
2023-09-26,22400.0,23200.0,23300.0,22400.0,19982
2023-09-27,22800.0,22050.0,23000.0,21900.0,16406
2023-10-04,21000.0,22750.0,22750.0,21000.0,22782
2023-10-05,20000.0,21550.0,21550.0,20000.0,22374
2023-10-06,20800.0,20000.0,21150.0,20000.0,17561
2023-10-10,19530.0,21000.0,21200.0,19500.0,20820
2023-10-11,19960.0,19980.0,20300.0,19720.0,8018
2023-10-12,20700.0,20050.0,20750.0,20050.0,8555
2023-10-13,19640.0,20300.0,20350.0,19600.0,22931
2023-10-16,19000.0,19540.0,19540.0,18810.0,16466
2023-10-17,19610.0,19400.0,19840.0,19210.0,13240
2023-10-18,18460.0,19650.0,19770.0,18410.0,16007
2023-10-19,17350.0,18460.0,18460.0,17350.0,21291
2023-10-20,17200.0,17350.0,17780.0,16750.0,20534
2023-10-23,17350.0,17190.0,17700.0,17030.0,12164
2023-10-24,17490.0,17200.0,17700.0,16320.0,32824
2023-10-25,20350.0,17500.0,22500.0,17210.0,520913
2023-10-26,18270.0,19160.0,19490.0,18070.0,100944
2023-10-27,17340.0,18190.0,18360.0,17240.0,37600
2023-10-30,17730.0,17520.0,18230.0,17200.0,29903
2023-10-31,20900.0,18200.0,23000.0,17970.0,1606929
2023-11-01,22200.0,20500.0,23200.0,20350.0,480823
2023-11-02,21650.0,22200.0,22250.0,20600.0,201805
2023-11-03,22500.0,22100.0,22500.0,21100.0,136939
2023-11-06,21900.0,22400.0,22400.0,20700.0,149387
2023-11-07,22450.0,21800.0,22750.0,20800.0,193514
2023-11-08,21750.0,22200.0,22400.0,21500.0,71883
2023-11-09,20450.0,21750.0,21750.0,20400.0,47192
2023-11-10,19900.0,19860.0,20900.0,19600.0,47277
2023-11-13,18450.0,20000.0,20500.0,18440.0,53655
2023-11-14,19140.0,18390.0,19440.0,18390.0,25675
2023-11-15,19490.0,19170.0,19530.0,19080.0,17075
2023-11-16,18900.0,19680.0,19680.0,18750.0,19903
2023-11-17,17950.0,18900.0,19500.0,17860.0,64754
2023-11-20,18150.0,17960.0,18440.0,17550.0,18853
2023-11-21,18520.0,18160.0,19040.0,18160.0,32950
2023-11-22,18080.0,18700.0,18700.0,17860.0,25264
2023-11-23,18100.0,18010.0,18500.0,17900.0,11888
2023-11-24,17960.0,18100.0,18480.0,17910.0,20704
2023-11-27,17490.0,18000.0,18090.0,17400.0,25559
2023-11-28,17300.0,17610.0,17700.0,17250.0,17104
2023-11-29,17310.0,17490.0,17490.0,17190.0,22734
2023-11-30,17310.0,17500.0,17690.0,17260.0,14060
2023-12-01,16860.0,17340.0,17400.0,16810.0,28886
2023-12-04,16380.0,16970.0,16970.0,16350.0,20617
2023-12-05,16340.0,16070.0,16910.0,16070.0,17114
2023-12-06,16320.0,16740.0,16740.0,16130.0,11996
2023-12-07,16230.0,16550.0,16570.0,16130.0,10328
2023-12-08,16390.0,16220.0,16590.0,16100.0,18201
2023-12-11,16480.0,16500.0,16810.0,16300.0,18114
2023-12-12,16290.0,16500.0,16590.0,16120.0,13575
2023-12-13,15910.0,16290.0,16290.0,15860.0,16459
2023-12-14,16070.0,15970.0,16320.0,15920.0,14722
2023-12-15,16200.0,16080.0,16350.0,16030.0,8131
2023-12-18,16700.0,16650.0,16870.0,16200.0,23267
2023-12-19,16850.0,16700.0,16870.0,16450.0,14051
