date,close,open,high,low,volume
2022-06-24,17350.0,20600.0,23350.0,16800.0,15546372
2022-06-27,17400.0,17400.0,18250.0,16650.0,3209939
2022-06-28,17650.0,18700.0,19900.0,17250.0,5308688
2022-06-29,18500.0,17200.0,19000.0,16600.0,4823347
2022-06-30,17400.0,18100.0,18350.0,17350.0,1275409
2022-07-01,14900.0,17800.0,18250.0,14600.0,2724125
2022-07-04,13200.0,14900.0,15000.0,12800.0,1418289
2022-07-05,13700.0,13700.0,14600.0,13500.0,2420308
2022-07-06,14700.0,14200.0,15850.0,14100.0,4752740
2022-07-07,14550.0,14550.0,14700.0,13850.0,1583979
2022-07-08,14750.0,14750.0,15250.0,14500.0,1491692
2022-07-11,14000.0,14600.0,14650.0,14000.0,468143
2022-07-12,13150.0,13900.0,14000.0,13100.0,565175
2022-07-13,13200.0,13100.0,13550.0,12900.0,410612
2022-07-14,13150.0,13100.0,13550.0,13000.0,389162
2022-07-15,12600.0,13300.0,13350.0,12550.0,342084
2022-07-18,12650.0,12800.0,12950.0,12400.0,322826
2022-07-19,13400.0,12550.0,13400.0,12500.0,477804
2022-07-20,13200.0,13500.0,13550.0,13100.0,409021
2022-07-21,13250.0,13300.0,13700.0,13100.0,574871
2022-07-22,13450.0,13350.0,14300.0,13300.0,1671769
2022-07-25,12600.0,13250.0,13250.0,12600.0,1001856
2022-07-26,12450.0,12600.0,12850.0,11950.0,901616
2022-07-27,12200.0,12200.0,12450.0,11950.0,685817
2022-07-28,12150.0,12350.0,12450.0,12000.0,501084
2022-07-29,12200.0,12200.0,12450.0,12050.0,441157
2022-08-01,12400.0,12250.0,12500.0,12000.0,259919
2022-08-02,12100.0,12400.0,12450.0,12100.0,215856
2022-08-03,12500.0,12200.0,12750.0,12100.0,506807
2022-08-04,12400.0,12600.0,12800.0,12350.0,370767
2022-08-05,12450.0,12600.0,12700.0,12400.0,249447
2022-08-08,12250.0,12500.0,12500.0,12250.0,252215
2022-08-09,12100.0,12250.0,12400.0,12050.0,247473
2022-08-10,12100.0,12050.0,12400.0,12000.0,279710
2022-08-11,12300.0,12300.0,12400.0,12200.0,240551
2022-08-12,12900.0,12300.0,13250.0,12200.0,1410167
2022-08-16,13750.0,13550.0,15200.0,13500.0,6820463
