date,close,open,high,low,volume
2022-11-17,9260.0,10000.0,10450.0,9070.0,3342762
2022-11-18,9060.0,9300.0,9410.0,9050.0,766692
2022-11-21,8550.0,9100.0,9100.0,8540.0,466869
2022-11-22,8160.0,8430.0,8650.0,8130.0,311876
2022-11-23,8160.0,8290.0,8310.0,8100.0,220946
2022-11-24,8360.0,8190.0,8490.0,8160.0,232399
2022-11-25,8900.0,8460.0,9410.0,8280.0,1699470
2022-11-28,8520.0,8900.0,8980.0,8450.0,232397
2022-11-29,8330.0,8400.0,8600.0,8270.0,234482
2022-11-30,8500.0,8370.0,8550.0,8200.0,141765
2022-12-01,8930.0,8900.0,9300.0,8780.0,802899
2022-12-02,8860.0,8850.0,9200.0,8790.0,149338
2022-12-05,8660.0,8870.0,8870.0,8620.0,88151
2022-12-06,8260.0,8560.0,8590.0,8190.0,180845
2022-12-07,8120.0,8260.0,8270.0,8040.0,113875
2022-12-08,8000.0,8180.0,8180.0,7900.0,93243
2022-12-09,8280.0,8110.0,8800.0,8040.0,300986
2022-12-12,8510.0,8320.0,8730.0,8270.0,151502
2022-12-13,8300.0,8540.0,8680.0,8280.0,84126
2022-12-14,8310.0,8310.0,8330.0,8190.0,58856
2022-12-15,8240.0,8220.0,8370.0,8220.0,31612
2022-12-16,8100.0,8100.0,8280.0,8020.0,82094
2022-12-19,8050.0,8050.0,8100.0,7940.0,47090
2022-12-20,8200.0,8040.0,8320.0,7960.0,83233
2022-12-21,8380.0,8140.0,8460.0,8140.0,101583
2022-12-22,8390.0,8440.0,8540.0,8340.0,52875
2022-12-23,8110.0,8250.0,8360.0,8080.0,48839
2022-12-26,8030.0,8200.0,8200.0,8010.0,35743
2022-12-27,8070.0,8090.0,8090.0,8000.0,47437
2022-12-28,7990.0,8070.0,8070.0,7930.0,69248
2022-12-29,7840.0,7920.0,8010.0,7780.0,63445
2023-01-02,7680.0,7840.0,7890.0,7620.0,39957
2023-01-03,7620.0,7740.0,7740.0,7380.0,40002
2023-01-04,7740.0,7500.0,7800.0,7300.0,41624
2023-01-05,7640.0,7740.0,7760.0,7510.0,34824
2023-01-06,7600.0,7700.0,7700.0,7500.0,29634
2023-01-09,7710.0,7600.0,7770.0,7600.0,36409
2023-01-10,7730.0,7710.0,7750.0,7680.0,38490
2023-01-11,8040.0,7830.0,8370.0,7830.0,222495
2023-01-12,7980.0,8100.0,8130.0,7850.0,44419
2023-01-13,7970.0,7980.0,8040.0,7910.0,29807
2023-01-16,8060.0,8150.0,8150.0,7940.0,23348
2023-01-17,7910.0,8050.0,8090.0,7830.0,34546
2023-01-18,7830.0,7930.0,7960.0,7810.0,14949
2023-01-19,7790.0,7800.0,7850.0,7710.0,25930
2023-01-20,7720.0,7720.0,7830.0,7650.0,78527
2023-01-25,8240.0,7770.0,8250.0,7720.0,124906
2023-01-26,8120.0,8240.0,8400.0,8090.0,88003
2023-01-27,8180.0,8120.0,8390.0,8120.0,57139
2023-01-30,7960.0,8240.0,8240.0,7960.0,57919
2023-01-31,8000.0,8000.0,8050.0,7910.0,24811
2023-02-01,8410.0,8180.0,8440.0,8080.0,165358
2023-02-02,8550.0,8590.0,8640.0,8380.0,128656
2023-02-03,8550.0,8550.0,8630.0,8390.0,119506
2023-02-06,8740.0,8630.0,8840.0,8480.0,340983
2023-02-07,8750.0,8790.0,8850.0,8430.0,155963
2023-02-08,8870.0,8760.0,9190.0,8650.0,392140
2023-02-09,8600.0,8750.0,8750.0,8550.0,97411
2023-02-10,8370.0,8590.0,8590.0,8250.0,124370
2023-02-13,8400.0,8270.0,8590.0,8240.0,92802
2023-02-14,9010.0,8520.0,9500.0,8520.0,1771722
2023-02-15,9060.0,9170.0,9870.0,8980.0,992822
2023-02-16,9510.0,9140.0,10600.0,9080.0,2700023
2023-02-17,9280.0,9410.0,9460.0,8930.0,401837
2023-02-20,8960.0,9220.0,9260.0,8930.0,308398
2023-02-21,9670.0,9340.0,9730.0,9090.0,1209938
2023-02-22,9060.0,9390.0,9390.0,9060.0,271370
2023-02-23,8900.0,9100.0,9180.0,8900.0,227421
2023-02-24,8730.0,8900.0,8980.0,8730.0,181933
2023-02-27,8760.0,8700.0,8900.0,8660.0,121201
2023-02-28,8630.0,8760.0,8880.0,8550.0,143997
2023-03-02,8500.0,8570.0,8630.0,8360.0,151721
2023-03-03,8580.0,8600.0,8620.0,8380.0,66866
2023-03-06,8930.0,8730.0,8930.0,8380.0,350327
2023-03-07,8960.0,8930.0,8980.0,8790.0,140559
2023-03-08,9100.0,8970.0,9230.0,8910.0,276775
2023-03-09,8900.0,9260.0,9320.0,8860.0,292431
