date,close,open,high,low,volume
2023-11-09,5590.0,6960.0,7950.0,5510.0,32006618
2023-11-10,5180.0,5850.0,6100.0,5100.0,10522254
2023-11-13,4550.0,5110.0,5300.0,4480.0,3439978
2023-11-14,5590.0,4595.0,5860.0,4540.0,22582251
2023-11-15,5340.0,5330.0,5450.0,5140.0,5790719
2023-11-16,5490.0,5320.0,6140.0,5240.0,16069953
2023-11-17,5020.0,5880.0,5880.0,5020.0,4982852
2023-11-20,5090.0,4930.0,5450.0,4810.0,3375123
2023-11-21,4955.0,5100.0,5110.0,4925.0,1325365
2023-11-22,5210.0,5090.0,5500.0,5040.0,4608733
2023-11-23,5220.0,5130.0,5850.0,5010.0,5681451
2023-11-24,5410.0,5250.0,5540.0,5230.0,3031991
2023-11-27,5220.0,5430.0,5560.0,5200.0,2077847
2023-11-28,5730.0,5340.0,6170.0,5340.0,12907804
2023-11-29,5800.0,6180.0,6200.0,5570.0,5389008
2023-11-30,7110.0,5710.0,7530.0,5630.0,28181694
2023-12-01,6600.0,7110.0,7230.0,6510.0,5904067
2023-12-04,5870.0,6450.0,6590.0,5870.0,2711255
2023-12-05,5550.0,5990.0,6100.0,5400.0,2296105
2023-12-06,5600.0,5550.0,5630.0,5270.0,1309779
2023-12-07,5940.0,5510.0,6380.0,5460.0,7209988
2023-12-08,5770.0,5890.0,5960.0,5700.0,1362253
2023-12-11,5950.0,5720.0,6090.0,5640.0,3192979
2023-12-12,5930.0,5870.0,6190.0,5790.0,2844936
2023-12-13,5430.0,5930.0,5930.0,5390.0,1722240
2023-12-14,5450.0,5570.0,5690.0,5330.0,945059
2023-12-15,5360.0,5450.0,5600.0,5300.0,720512
2023-12-18,5300.0,5370.0,5380.0,5100.0,844306
2023-12-19,5190.0,5300.0,5380.0,5140.0,629008
2023-12-20,5340.0,5210.0,5550.0,5170.0,1386129
2023-12-21,5350.0,5280.0,5550.0,5250.0,737096
2023-12-22,5270.0,5410.0,5430.0,5200.0,542779
2023-12-26,5120.0,5220.0,5300.0,5100.0,486934
2023-12-27,5000.0,5120.0,5160.0,4975.0,503717
2023-12-28,5110.0,5040.0,5140.0,5000.0,236969
2024-01-02,5240.0,5170.0,5270.0,5140.0,285093
2024-01-03,5210.0,5190.0,5220.0,5120.0,308711
2024-01-04,5140.0,5220.0,5280.0,5100.0,265545
2024-01-05,5240.0,5150.0,5360.0,5150.0,541928
2024-01-08,5220.0,5300.0,5330.0,5160.0,267794
2024-01-09,5130.0,5320.0,5320.0,5100.0,541100
2024-01-10,5070.0,5150.0,5150.0,4985.0,493966
2024-01-11,5070.0,5170.0,5320.0,5070.0,1071276
2024-01-12,5210.0,5040.0,5290.0,4985.0,1292353
2024-01-15,5280.0,5250.0,5300.0,5070.0,657411
2024-01-16,5270.0,5300.0,5450.0,5160.0,680498
